state,district,year,bank_branches,loan_amount,deposit_amount,digital_transactions,financial_inclusion,credit_growth,atm_count
Madhya Pradesh,Harda,2023,97.41,27.36,14.74,68.26,65.03,55.61,42.71
Maharashtra,Mumbai Suburban,2025,82.8,89.03,89.98,24.33,95.24,17.94,47.66
Uttarakhand,Pauri Garhwal,2025,54.56,67.31,12.98,90.82,81.19,82.34,54.35
Maharashtra,Amravati,2023,20.16,38.5,47.29,36.92,89.08,36.45,25.44
Maharashtra,Satara,2022,83.23,63.27,42.8,90.32,42.37,74.4,35.67
Maharashtra,Dhule,2020,58.49,21.97,91.43,54.18,96.73,29.53,36.38
Telangana,Jangaon,2015,18.47,17.49,46.45,39.86,31.11,32.88,48.0
Maharashtra,Pune,2015,59.73,72.99,70.41,68.96,24.19,70.55,67.29
Assam,West Karbi Anglong,2022,92.19,53.99,25.8,61.0,80.18,98.0,26.77
Uttarakhand,Rudraprayag,2020,74.65,74.76,18.83,77.91,69.27,80.5,89.11
Jharkhand,Latehar,2015,87.13,14.64,25.22,29.17,71.47,55.75,25.48
Madhya Pradesh,Bhopal,2018,61.95,56.19,49.34,30.97,62.34,29.91,38.72
Madhya Pradesh,Mandsaur,2018,33.04,81.49,63.68,58.12,82.4,42.31,26.16
Telangana,Yadadri Bhuvanagiri,2023,15.58,77.31,80.65,94.04,27.2,64.49,13.79
Jharkhand,Jamtara,2023,30.9,34.83,77.23,98.72,56.33,95.83,66.3
Chhattisgarh,Jashpur,2025,51.73,98.61,82.57,20.49,29.46,37.49,11.7
Andhra Pradesh,YSR Kadapa,2015,62.0,35.31,91.26,83.77,16.88,26.14,73.72
Rajasthan,Bikaner,2022,70.35,31.79,94.11,72.17,80.07,66.96,92.15
Arunachal Pradesh,Lower Subansiri,2023,19.99,19.74,52.67,45.85,32.56,33.74,26.29
Jharkhand,Seraikela-Kharsawan,2022,74.54,87.45,32.54,21.77,81.34,36.03,64.5
Rajasthan,Phalodi,2023,62.65,97.51,33.42,25.54,50.05,17.18,73.59
Nagaland,Dimapur,2018,18.56,38.84,24.36,71.21,20.17,69.83,14.59
Uttar Pradesh,Mathura,2017,58.01,42.77,97.13,58.65,29.73,22.13,68.22
Rajasthan,Shahpura,2015,55.83,57.94,98.92,88.77,99.33,62.7,72.27
Maharashtra,Yavatmal,2022,58.58,58.17,39.68,72.63,29.19,58.72,89.1
Assam,Majuli,2015,28.82,11.14,40.31,45.2,87.65,35.93,67.37
Odisha,Kendrapara,2018,64.17,89.54,94.36,94.59,40.73,80.64,50.85
Madhya Pradesh,Singrauli,2025,54.32,67.16,69.29,97.97,81.24,48.99,10.4
Rajasthan,Alwar,2023,29.81,63.49,92.28,27.63,23.18,55.99,16.94
Telangana,Jagtial,2018,30.3,62.32,67.84,12.07,83.31,88.45,33.61
Goa,South Goa,2025,58.54,55.11,81.08,97.16,99.01,23.89,38.62
Sikkim,Soreng,2017,45.12,28.26,20.14,74.41,53.29,70.41,25.08
Punjab,Sangrur,2017,80.76,76.98,20.13,41.09,90.87,45.98,80.21
Arunachal Pradesh,West Siang,2018,69.1,72.66,32.95,89.19,20.28,20.1,53.79
Assam,Nalbari,2024,21.19,86.21,37.92,50.8,89.4,72.74,40.78
Odisha,Gajapati,2021,12.31,13.67,37.83,39.74,98.26,18.63,57.79
Madhya Pradesh,Katni,2022,62.62,82.85,65.55,44.75,52.44,50.23,87.56
Gujarat,Amreli,2018,81.0,34.48,57.06,49.42,99.48,85.5,37.52
Odisha,Ganjam,2024,98.13,79.4,44.17,45.99,10.67,50.58,92.4
Andhra Pradesh,Sri Sathya Sai,2022,16.75,75.81,13.96,36.53,90.01,22.78,77.62
Bihar,Samastipur,2025,38.11,85.34,10.1,14.03,75.22,16.74,58.86
Uttar Pradesh,Barabanki,2019,68.05,64.5,24.88,51.04,43.37,38.67,33.78
Jharkhand,Ramgarh,2025,63.55,28.01,47.66,23.21,60.16,57.69,43.78
Tamil Nadu,Krishnagiri,2018,73.76,58.26,50.22,15.35,73.77,60.35,41.35
Manipur,Tengnoupal,2025,29.96,11.64,18.39,21.79,92.88,57.5,34.89
Uttar Pradesh,Sitapur,2019,37.15,33.44,37.49,17.37,45.41,21.99,65.93
West Bengal,Murshidabad,2022,58.04,58.32,12.05,12.69,23.8,82.07,36.1
Uttar Pradesh,Rampur,2018,37.86,41.73,83.87,86.46,39.48,60.74,79.58
Uttar Pradesh,Sambhal,2023,87.86,96.1,76.85,92.31,21.59,76.25,51.86
Haryana,Panchkula,2024,16.31,76.61,23.54,62.92,47.65,78.95,30.33
Gujarat,Chhota Udepur,2020,79.57,17.28,74.53,70.3,74.0,19.71,78.87
Punjab,Sri Muktsar Sahib,2021,80.47,74.85,71.81,83.83,27.46,88.89,95.46
Himachal Pradesh,Mandi,2024,47.58,57.29,71.83,46.78,25.52,43.95,63.94
Telangana,Sangareddy,2019,64.34,97.52,33.63,90.43,13.02,51.58,10.07
Uttarakhand,Dehradun,2024,23.63,59.64,26.29,40.46,45.51,28.77,32.42
Jharkhand,Dumka,2022,14.77,33.07,71.87,24.2,29.58,30.91,11.99
Gujarat,Gir Somnath,2020,85.8,17.5,70.97,45.72,19.65,81.93,36.54
Chhattisgarh,Mungeli,2016,55.77,93.87,74.28,52.09,60.94,88.06,45.96
Chhattisgarh,Dhamtari,2017,95.9,22.51,16.94,76.94,68.29,13.03,68.58
Jharkhand,Simdega,2016,25.86,68.1,66.58,77.23,51.3,33.84,83.27
Jharkhand,Seraikela-Kharsawan,2019,40.68,92.98,17.64,67.77,42.13,15.37,31.86
Andhra Pradesh,YSR Kadapa,2021,86.91,80.68,77.87,22.22,58.01,57.3,93.54
Karnataka,Chikkaballapur,2025,55.71,60.08,67.68,29.23,99.32,30.61,74.02
Chhattisgarh,Korea,2020,70.48,11.81,58.56,35.72,97.03,18.66,50.59
Punjab,Barnala,2022,95.09,73.53,46.97,49.89,39.71,92.16,74.85
Haryana,Yamunanagar,2018,29.6,11.43,46.96,54.67,97.98,86.07,34.13
Odisha,Bargarh,2025,18.05,54.18,81.95,97.52,56.45,38.28,97.67
Haryana,Charkhi Dadri,2023,29.52,85.27,21.6,89.14,12.8,75.86,17.64
Maharashtra,Akola,2021,89.72,96.08,48.32,42.98,36.25,76.09,85.52
Madhya Pradesh,Rewa,2016,83.67,77.87,41.83,34.61,67.45,67.33,56.01
Uttar Pradesh,Siddharthnagar,2022,23.11,61.86,80.11,73.39,30.25,34.72,95.34
Rajasthan,Salumbar,2023,15.16,80.27,16.47,80.17,32.86,53.41,60.14
Kerala,Kasaragod,2023,56.09,14.62,23.39,49.78,16.41,86.44,17.12
Chhattisgarh,Kanker,2021,90.4,38.16,49.24,23.17,18.69,91.88,46.91
Rajasthan,Jalore,2019,93.57,47.98,16.59,90.35,73.21,75.56,27.0
Tamil Nadu,Chennai,2022,51.49,15.02,34.15,85.96,98.37,74.77,53.02
Tamil Nadu,Namakkal,2021,87.44,54.82,17.85,29.06,47.13,78.55,91.82
Andhra Pradesh,Eluru,2020,84.48,70.08,55.28,42.85,72.45,63.51,66.37
Chhattisgarh,Sarangarh-Bilaigarh,2020,69.18,41.46,25.72,65.38,30.59,46.09,49.22
Odisha,Jharsuguda,2024,83.28,25.9,97.67,55.72,57.23,30.27,60.77
Rajasthan,Khairthal-Tijara,2020,13.31,76.37,63.33,56.14,78.59,51.93,83.75
Uttarakhand,Almora,2016,16.62,38.59,21.77,45.04,17.49,18.79,91.95
Madhya Pradesh,Panna,2016,85.36,96.46,18.13,31.07,94.15,35.82,38.21
Odisha,Nabarangpur,2020,41.92,20.84,69.31,88.87,99.01,83.69,43.19
Himachal Pradesh,Mandi,2022,40.36,53.53,99.68,53.6,91.43,53.43,72.13
Punjab,Fazilka,2025,31.6,66.65,94.46,52.07,38.1,93.2,15.55
Madhya Pradesh,Gwalior,2023,46.81,62.76,10.78,37.9,40.99,35.04,12.3
Karnataka,Udupi,2015,46.49,44.92,73.44,34.13,25.26,53.52,69.12
Karnataka,Shivamogga,2025,64.18,15.91,70.61,75.17,16.32,46.83,35.97
Maharashtra,Nandurbar,2020,67.25,28.22,64.89,60.78,96.77,57.17,39.73
Punjab,Jalandhar,2024,61.74,55.11,50.4,41.63,38.0,47.44,38.01
Andhra Pradesh,Anantapur,2017,47.02,70.22,11.63,28.58,84.55,29.52,95.3
Madhya Pradesh,Barwani,2024,84.74,41.08,68.54,49.61,60.75,60.41,78.18
Karnataka,Koppal,2018,80.46,13.02,45.19,75.22,55.94,74.84,80.81
Arunachal Pradesh,Tawang,2017,16.13,75.82,85.65,34.06,94.56,35.56,46.06
Rajasthan,Didwana-Kuchaman,2016,36.82,88.5,46.24,93.48,63.98,75.04,17.36
Tripura,Gomati,2021,17.44,56.57,97.46,54.93,14.56,45.52,52.67
Rajasthan,Pratapgarh,2019,76.37,96.62,25.63,42.32,33.85,82.8,62.68
Karnataka,Hassan,2019,23.29,66.47,40.21,35.82,13.47,51.07,71.99
Odisha,Sonepur,2016,59.75,92.93,97.05,25.69,65.48,29.54,47.47
Rajasthan,Bikaner,2025,67.04,23.08,92.58,43.71,67.06,85.15,20.38
Odisha,Nabarangpur,2020,26.08,19.78,76.18,91.38,13.32,34.19,89.78
Jharkhand,Giridih,2022,89.99,48.7,18.89,52.81,85.88,49.03,76.62
Punjab,Barnala,2019,96.09,96.23,60.14,17.18,29.76,83.79,74.31
Gujarat,Patan,2024,61.61,16.81,53.0,62.47,23.47,29.63,78.55
Jharkhand,Gumla,2022,55.31,41.06,14.42,83.56,35.4,31.99,88.23
Karnataka,Shivamogga,2022,21.99,59.26,99.77,84.65,42.08,78.35,31.82
Uttar Pradesh,Basti,2019,78.02,24.22,57.49,59.91,30.99,78.82,89.86
Telangana,Mahabubabad,2024,17.69,23.95,40.11,57.59,94.59,12.28,24.22
Uttar Pradesh,Jalaun,2023,71.99,11.76,51.28,57.26,64.6,31.15,70.53
Karnataka,Yadgir,2016,52.38,61.54,29.98,11.08,96.02,59.18,69.22
Nagaland,Phek,2025,81.64,26.64,71.81,78.94,60.88,96.32,14.64
Telangana,Medak,2015,36.05,98.29,96.43,27.63,27.41,11.18,93.87
Rajasthan,Jhunjhunu,2023,87.05,85.08,70.47,91.22,35.83,22.2,79.34
Madhya Pradesh,Vidisha,2025,16.59,26.08,50.4,91.49,94.44,79.15,95.2
Odisha,Kendujhar (Keonjhar),2016,98.87,29.82,12.76,61.04,58.36,57.12,92.75
Maharashtra,Parbhani,2017,40.56,73.88,65.75,79.31,97.78,20.9,81.93
Assam,Nalbari,2017,18.43,56.86,43.71,43.62,28.56,49.32,33.07
Uttar Pradesh,Chandauli,2023,23.34,30.59,24.21,91.56,67.27,32.32,45.52
Tamil Nadu,Salem,2024,77.09,13.49,99.52,90.62,30.51,41.1,55.51
Madhya Pradesh,Niwari,2025,25.47,18.46,87.36,18.3,50.84,53.33,59.3
Maharashtra,Nanded,2016,44.96,34.39,31.59,60.51,79.36,22.93,56.31
Assam,Nagaon,2017,45.0,63.2,52.52,79.02,96.03,23.92,49.91
Odisha,Koraput,2015,39.2,66.87,76.16,10.63,36.82,78.16,77.46
Tamil Nadu,Thoothukudi,2018,90.18,30.65,37.56,76.38,65.34,36.73,59.07
Uttarakhand,Bageshwar,2017,51.23,13.77,89.08,21.86,91.27,86.74,79.52
Odisha,Kendujhar (Keonjhar),2019,97.42,46.19,76.31,81.48,54.32,38.65,98.81
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2024,32.4,89.95,80.06,17.95,58.26,86.37,10.58
Madhya Pradesh,Tikamgarh,2015,71.61,94.04,64.38,12.06,45.3,45.44,16.46
Madhya Pradesh,Sidhi,2020,22.62,46.98,41.58,82.94,61.62,23.8,42.4
Odisha,Nayagarh,2021,83.65,61.04,28.44,46.63,92.45,89.11,99.09
Bihar,Sitamarhi,2019,83.8,23.59,87.42,45.17,24.91,68.52,16.97
Meghalaya,South West Khasi Hills,2023,14.15,14.34,57.84,52.2,48.86,14.42,53.93
Karnataka,Koppal,2015,50.03,32.71,72.06,92.43,57.02,52.23,31.28
Chhattisgarh,Balrampur,2018,97.04,71.58,79.06,88.33,65.84,62.51,70.57
West Bengal,Purulia,2020,20.57,53.69,31.66,17.97,57.86,64.74,34.46
Tamil Nadu,Chennai,2019,82.27,93.94,12.99,31.13,66.96,42.09,10.52
Assam,Biswanath,2020,47.38,31.19,28.93,70.05,33.95,42.15,92.83
Odisha,Boudh,2021,31.34,87.94,72.78,24.38,53.56,89.99,12.48
Uttar Pradesh,Lalitpur,2017,55.04,50.26,61.24,80.29,63.48,16.91,11.5
Haryana,Faridabad,2022,60.18,82.59,93.76,93.03,66.28,63.05,79.77
Gujarat,Surat,2020,63.58,29.11,59.3,39.54,53.04,44.66,74.67
Andhra Pradesh,Parvathipuram Manyam,2019,89.87,66.01,42.12,57.46,41.38,74.46,62.32
Rajasthan,Barmer,2022,57.58,50.41,96.87,99.87,98.27,48.02,18.81
Mizoram,Kolasib,2015,67.33,69.35,64.01,77.44,23.98,78.2,13.06
Telangana,Karimnagar,2017,38.22,81.28,59.11,72.11,37.45,80.77,59.56
Bihar,Siwan,2021,26.64,82.65,50.79,61.59,14.69,27.2,49.2
Tamil Nadu,Kallakurichi,2021,91.54,70.68,22.75,30.46,79.11,64.89,75.38
Andhra Pradesh,Vizianagaram,2021,74.34,93.88,12.9,86.23,92.1,29.1,49.65
Chhattisgarh,Baloda Bazar,2016,14.84,99.63,48.16,39.83,49.46,33.86,78.43
Bihar,Araria,2019,63.61,80.98,29.53,92.4,76.24,82.34,30.41
Rajasthan,Bikaner,2020,46.51,79.58,27.84,53.14,77.8,46.78,81.66
Nagaland,Mon,2019,97.2,19.49,47.59,84.72,66.65,22.06,32.41
Uttarakhand,Haridwar,2023,91.48,16.58,62.29,32.98,68.91,80.9,14.12
Assam,Karbi Anglong,2016,15.49,80.18,13.8,34.07,63.27,98.43,89.56
Rajasthan,Neem Ka Thana,2017,82.51,58.26,90.75,25.86,61.07,56.15,53.88
Kerala,Kasaragod,2023,47.68,16.79,52.35,53.05,24.94,12.91,36.15
West Bengal,Cooch Behar,2018,68.77,19.01,87.69,65.43,67.25,19.54,92.36
Tamil Nadu,Kanchipuram,2020,60.23,19.08,85.02,84.48,13.76,76.59,86.5
Bihar,West Champaran,2021,88.59,56.57,49.95,17.02,61.8,18.4,35.55
Andhra Pradesh,Visakhapatnam,2022,42.28,66.36,89.03,66.59,64.82,64.97,83.33
Uttar Pradesh,Banda,2025,29.95,56.98,51.13,72.65,18.92,11.4,78.28
Telangana,Ranga Reddy,2017,42.24,82.83,40.74,39.46,47.69,24.33,35.63
Madhya Pradesh,Ashoknagar,2023,61.49,53.52,10.35,14.28,58.18,18.69,56.53
Tamil Nadu,Coimbatore,2025,40.62,42.28,12.53,28.72,28.21,13.58,34.54
Karnataka,Hassan,2023,75.78,17.56,20.93,44.25,68.91,69.97,18.79
Arunachal Pradesh,Upper Subansiri,2025,44.7,28.8,87.33,34.66,24.26,25.35,70.56
Maharashtra,Hingoli,2020,92.51,39.72,45.95,34.76,30.34,75.36,91.1
Uttar Pradesh,Hapur,2015,40.41,71.78,34.75,51.14,69.8,58.35,39.92
Gujarat,Anand,2017,21.95,74.58,87.91,72.93,67.72,10.24,60.09
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2015,47.58,87.53,82.25,57.97,28.39,27.54,37.41
Nagaland,Tseminyu,2019,58.72,51.26,17.94,36.42,27.45,19.52,57.76
West Bengal,Paschim Medinipur,2016,57.95,84.6,79.36,41.04,55.18,96.68,20.36
Karnataka,Kolar,2023,86.45,13.13,12.91,65.3,55.82,15.35,85.15
Gujarat,Morbi,2019,59.46,49.71,56.47,93.73,10.87,64.4,62.93
Tamil Nadu,Dindigul,2024,91.02,28.02,90.7,23.48,30.19,56.94,34.24
Bihar,Muzaffarpur,2021,30.23,85.49,25.99,85.62,30.51,75.4,31.76
Uttarakhand,Haridwar,2022,48.27,23.83,99.63,95.55,28.42,79.43,47.33
Karnataka,Ramanagara,2023,65.46,78.19,14.1,42.8,39.12,65.4,84.5
Madhya Pradesh,Dhar,2017,77.98,53.31,39.81,67.66,29.95,48.17,68.72
Madhya Pradesh,Khandwa,2021,63.41,77.05,52.63,90.0,25.89,73.56,75.44
Madhya Pradesh,Umaria,2019,92.11,90.87,94.27,78.41,46.78,99.38,61.71
Maharashtra,Akola,2017,24.09,69.59,33.41,26.41,34.62,78.4,10.83
Madhya Pradesh,Neemuch,2021,88.67,91.74,81.66,47.41,59.08,37.31,44.01
Assam,Hailakandi,2019,36.63,15.3,62.13,60.29,13.25,20.34,12.14
Maharashtra,Pune,2021,31.77,29.04,30.46,39.17,37.82,33.83,35.35
Gujarat,Vadodara,2021,27.24,28.77,20.8,91.23,78.0,85.58,66.77
Karnataka,Belagavi,2019,35.51,82.27,82.87,42.17,32.15,37.38,48.77
Himachal Pradesh,Kinnaur,2024,88.08,37.53,14.55,37.36,61.01,37.93,32.54
Manipur,Kangpokpi,2016,57.39,21.47,39.32,75.15,58.66,28.19,98.08
Karnataka,Chikkaballapur,2021,24.63,79.62,29.58,92.74,73.44,14.55,88.59
Andhra Pradesh,Vizianagaram,2021,54.91,33.5,83.31,84.66,48.58,81.63,99.9
Punjab,Fatehgarh Sahib,2023,70.99,24.68,70.4,96.78,49.0,28.56,41.72
Himachal Pradesh,Sirmaur,2022,71.43,24.55,78.01,81.11,91.95,55.25,54.23
Uttar Pradesh,Gonda,2021,10.51,28.59,74.96,81.49,46.26,33.84,79.26
Assam,Dibrugarh,2017,38.17,72.91,14.35,98.97,69.98,81.68,51.36
Kerala,Kozhikode,2024,45.68,55.76,39.11,17.99,65.27,62.88,42.53
Maharashtra,Mumbai Suburban,2020,17.02,31.07,80.73,57.15,62.99,48.91,51.69
Telangana,Khammam,2022,85.05,43.26,82.23,62.09,60.27,89.53,51.42
Uttar Pradesh,Mahoba,2024,99.2,51.63,78.43,17.52,51.36,81.13,81.48
West Bengal,Purba Medinipur,2017,15.33,78.62,73.35,43.08,73.72,65.62,62.21
Odisha,Nabarangpur,2025,35.65,49.23,95.01,87.84,14.18,37.6,64.24
Tripura,Gomati,2018,52.74,93.27,62.64,12.68,28.59,56.34,40.23
Assam,Kokrajhar,2022,90.02,33.22,40.52,11.27,27.99,58.87,41.8
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,47.67,63.9,81.41,61.22,62.14,73.69,20.97
Uttarakhand,Pithoragarh,2019,70.04,58.92,40.86,25.03,14.25,70.38,68.93
Madhya Pradesh,Umaria,2023,20.48,73.45,77.75,75.39,61.41,37.09,90.56
Madhya Pradesh,Ratlam,2021,92.21,62.29,39.43,65.19,86.21,33.87,33.15
Chhattisgarh,Surguja,2022,63.99,86.13,38.75,15.44,93.05,36.84,71.85
Karnataka,Vijayanagara,2021,72.39,98.47,98.98,53.26,55.04,99.65,32.06
Manipur,Chandel,2017,60.71,15.35,66.39,49.04,31.45,75.52,77.61
Sikkim,Gangtok,2016,83.08,45.13,16.28,88.9,55.72,74.55,44.59
Tamil Nadu,Erode,2019,38.19,72.2,75.81,62.5,52.68,62.73,13.33
Jharkhand,Simdega,2016,32.51,52.7,19.44,54.82,10.49,40.01,17.9
Madhya Pradesh,Ratlam,2018,47.36,60.66,91.55,86.67,12.49,87.46,57.76
Karnataka,Kolar,2015,43.48,25.8,82.69,62.19,74.25,97.81,44.91
Telangana,Yadadri Bhuvanagiri,2018,24.83,45.79,51.17,31.42,47.91,73.08,42.11
Himachal Pradesh,Sirmaur,2020,73.45,71.43,35.9,85.21,72.37,39.33,47.61
Rajasthan,Bikaner,2021,63.2,90.2,20.29,34.76,49.64,43.36,79.53
Uttar Pradesh,Kanpur Nagar,2016,79.47,43.02,79.93,94.18,82.77,36.93,18.81
Uttar Pradesh,Muzaffarnagar,2022,97.0,97.13,12.99,58.74,26.46,61.1,22.55
Madhya Pradesh,Neemuch,2024,75.96,54.33,12.46,88.87,11.52,42.78,63.26
Karnataka,Dakshina Kannada,2015,46.6,73.33,24.5,39.8,63.64,86.79,35.73
Uttar Pradesh,Shahjahanpur,2021,77.78,12.56,60.76,27.7,16.25,37.82,55.84
Uttar Pradesh,Lakhimpur Kheri,2019,23.1,25.24,88.83,52.03,54.24,89.14,42.52
Uttar Pradesh,Maharajganj,2023,98.47,65.54,40.26,71.17,51.07,97.54,30.97
Bihar,Purnia,2016,77.19,69.79,81.52,32.03,42.9,12.48,36.76
Arunachal Pradesh,Anjaw,2021,98.29,69.07,50.59,36.55,23.72,52.23,62.02
Punjab,Ludhiana,2017,68.53,28.68,48.64,50.53,21.41,19.48,67.86
Chhattisgarh,Sukma,2018,13.23,96.53,62.35,96.64,70.11,47.99,15.11
Uttar Pradesh,Lucknow,2025,29.44,80.24,66.86,30.42,86.5,81.68,36.58
Uttar Pradesh,Ghaziabad,2019,97.4,64.48,26.56,98.54,87.21,96.79,33.59
Uttar Pradesh,Hapur,2024,13.62,46.3,58.54,85.99,36.32,20.41,54.58
Chhattisgarh,Balrampur,2022,36.64,29.0,46.07,35.86,42.76,71.03,54.73
Uttar Pradesh,Mau,2016,86.18,41.93,73.19,99.29,75.88,53.06,46.34
Bihar,Buxar,2025,45.96,52.74,36.53,21.59,40.57,63.6,77.42
Gujarat,Jamnagar,2023,52.55,63.27,76.21,23.84,78.32,37.03,26.3
Kerala,Kannur,2025,67.32,82.56,84.96,44.08,58.09,33.07,72.61
Uttar Pradesh,Lakhimpur Kheri,2016,76.09,54.35,18.28,70.61,26.16,64.96,14.86
Odisha,Boudh,2025,34.48,30.6,91.4,21.1,31.83,59.39,58.06
Gujarat,Banaskantha,2018,87.8,82.82,93.39,60.36,80.05,76.28,21.87
