state,district,year,literacy_rate,schools,colleges,teachers,students,dropout_rate,digital_classrooms
Andhra Pradesh,Anantapur,2016,81.14,1778,83,5979,181044,9.61,153
Andhra Pradesh,Anantapur,2017,74.33,408,96,5803,52866,3.5,487
Andhra Pradesh,Anantapur,2018,83.61,1692,159,7278,131457,8.84,184
Andhra Pradesh,Anantapur,2019,78.2,1391,80,308,156341,6.82,79
Andhra Pradesh,Anantapur,2020,90.24,363,39,2731,80623,14.26,381
Andhra Pradesh,Anantapur,2021,75.51,1250,109,2405,135969,1.4,10
Andhra Pradesh,Anantapur,2022,76.82,505,78,1323,142584,10.1,491
Andhra Pradesh,Anantapur,2023,64.47,190,27,2470,145876,8.66,469
Andhra Pradesh,Anantapur,2024,72.73,1581,36,5222,143669,4.3,208
Andhra Pradesh,Anantapur,2025,78.17,1109,17,771,170594,14.04,105
Andhra Pradesh,Annamayya,2015,86.28,178,87,1949,185041,5.06,466
Andhra Pradesh,Annamayya,2016,72.76,54,86,1569,120616,4.23,376
Andhra Pradesh,Annamayya,2017,61.39,1427,160,3501,133308,4.78,203
Andhra Pradesh,Annamayya,2018,69.77,192,110,7188,86287,5.14,108
Andhra Pradesh,Annamayya,2019,78.93,634,67,4421,99546,9.53,169
Andhra Pradesh,Annamayya,2020,58.8,1373,57,7922,46389,6.91,199
Andhra Pradesh,Annamayya,2021,70.2,761,162,2010,177657,13.8,170
Andhra Pradesh,Annamayya,2022,56.8,972,196,6096,89185,2.7,453
Andhra Pradesh,Annamayya,2023,81.24,81,197,4056,38594,4.29,28
Andhra Pradesh,Annamayya,2024,58.26,820,50,1017,46500,1.55,404
Andhra Pradesh,Annamayya,2025,63.71,1342,31,2894,195758,2.03,178
Andhra Pradesh,Bapatla,2015,74.36,1600,130,7648,2251,1.99,157
Andhra Pradesh,Bapatla,2016,63.86,672,75,7499,34446,5.9,191
Andhra Pradesh,Bapatla,2017,86.9,1672,165,3299,82335,1.5,128
Andhra Pradesh,Bapatla,2018,88.35,490,177,2259,4407,8.14,370
Andhra Pradesh,Bapatla,2019,84.77,371,87,2795,55416,14.22,292
Andhra Pradesh,Bapatla,2020,78.74,1852,149,7391,132383,3.08,274
Andhra Pradesh,Bapatla,2021,72.34,1047,130,6776,75488,14.88,209
Andhra Pradesh,Bapatla,2022,71.67,1465,18,3433,181174,4.43,146
Andhra Pradesh,Bapatla,2023,65.89,111,33,487,196992,1.51,44
Andhra Pradesh,Bapatla,2024,85.98,919,197,1285,193183,3.26,247
Andhra Pradesh,Bapatla,2025,57.29,1616,156,2270,46973,5.24,44
Andhra Pradesh,Chittoor,2015,83.13,997,113,2508,149501,7.62,482
Andhra Pradesh,Chittoor,2016,78.72,1459,13,6042,198655,1.71,342
Andhra Pradesh,Chittoor,2017,64.7,699,73,2718,84687,11.83,94
Andhra Pradesh,Chittoor,2018,94.88,326,93,3741,84447,7.52,303
Andhra Pradesh,Chittoor,2019,85.05,252,72,7180,193545,8.6,133
Andhra Pradesh,Chittoor,2020,74.29,1167,70,5178,51015,2.22,35
Andhra Pradesh,Chittoor,2021,61.29,212,76,837,93834,9.81,476
Andhra Pradesh,Chittoor,2022,80.33,1760,23,642,34175,12.42,216
Andhra Pradesh,Chittoor,2023,77.24,1497,185,2616,6602,8.4,425
Andhra Pradesh,Chittoor,2024,76.04,1607,71,6221,118376,5.02,59
Andhra Pradesh,Chittoor,2025,77.38,306,16,1762,137099,13.16,366
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,67.0,1228,116,2621,78730,7.36,415
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2016,69.67,899,145,3432,56010,11.46,120
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2017,82.76,193,79,4599,51353,9.43,328
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2018,59.23,955,129,3476,104484,3.44,183
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2019,90.79,1162,56,3015,177433,13.15,111
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2020,74.19,1288,8,2031,55608,13.98,134
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2021,69.82,176,60,6060,132885,14.38,73
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,79.48,726,45,3250,154806,2.64,293
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2023,90.25,1319,121,7127,49175,2.45,125
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2024,94.23,303,63,2135,198539,10.5,339
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2025,72.12,1413,74,3281,26414,8.84,209
Andhra Pradesh,East Godavari,2015,84.61,154,100,949,191174,7.17,341
Andhra Pradesh,East Godavari,2016,77.13,57,132,3770,195370,3.4,237
Andhra Pradesh,East Godavari,2017,57.18,1421,28,4091,51160,1.05,141
Andhra Pradesh,East Godavari,2018,61.14,531,88,5077,106762,14.59,214
Andhra Pradesh,East Godavari,2019,62.82,867,44,519,15973,2.32,444
Andhra Pradesh,East Godavari,2020,81.63,441,18,897,187478,3.36,21
Andhra Pradesh,East Godavari,2021,83.24,1957,41,483,61723,6.24,307
Andhra Pradesh,East Godavari,2022,63.12,409,72,1427,108108,12.18,352
Andhra Pradesh,East Godavari,2023,76.62,541,23,5693,160194,14.65,45
Andhra Pradesh,East Godavari,2024,87.26,785,200,4162,7694,8.16,340
Andhra Pradesh,East Godavari,2025,60.85,1450,50,5510,196342,5.13,489
Andhra Pradesh,Eluru,2015,91.22,1871,178,6415,102361,1.44,361
Andhra Pradesh,Eluru,2016,77.41,135,32,2937,112124,11.33,181
Andhra Pradesh,Eluru,2017,84.65,1302,31,2814,54522,12.53,422
Andhra Pradesh,Eluru,2018,71.09,659,160,1754,119303,7.83,176
Andhra Pradesh,Eluru,2019,74.69,378,194,6675,170154,5.16,156
Andhra Pradesh,Eluru,2020,84.39,1301,103,4375,9051,3.82,73
Andhra Pradesh,Eluru,2021,94.84,683,155,5384,19177,11.82,282
Andhra Pradesh,Eluru,2022,60.11,763,63,564,193169,2.85,432
Andhra Pradesh,Eluru,2023,76.3,1913,111,962,80784,6.51,354
Andhra Pradesh,Eluru,2024,78.54,427,188,6080,14391,8.11,283
Andhra Pradesh,Eluru,2025,77.01,1235,152,200,178980,8.0,247
Andhra Pradesh,Guntur,2015,65.33,1720,128,435,136690,13.31,214
Andhra Pradesh,Guntur,2016,59.0,1509,25,7483,40577,9.95,245
Andhra Pradesh,Guntur,2017,90.15,1157,28,844,146140,13.75,148
Andhra Pradesh,Guntur,2018,71.91,874,44,2417,174042,13.89,174
Andhra Pradesh,Guntur,2019,93.88,864,171,3016,26637,1.87,84
Andhra Pradesh,Guntur,2020,65.56,186,124,4782,58936,10.82,172
Andhra Pradesh,Guntur,2021,86.09,1099,64,2179,111860,14.81,366
Andhra Pradesh,Guntur,2022,56.71,1382,143,1292,13959,11.44,182
Andhra Pradesh,Guntur,2023,69.69,1055,39,2919,130979,12.44,385
Andhra Pradesh,Guntur,2024,56.16,1151,64,2988,174441,5.27,221
Andhra Pradesh,Guntur,2025,71.57,1505,133,1271,133946,5.99,482
Andhra Pradesh,Kakinada,2015,79.37,1817,135,4101,195979,6.06,135
Andhra Pradesh,Kakinada,2016,88.28,1000,54,1998,70185,2.53,452
Andhra Pradesh,Kakinada,2017,57.76,1424,27,2106,6029,11.24,415
Andhra Pradesh,Kakinada,2018,70.17,315,132,1721,161900,12.91,444
Andhra Pradesh,Kakinada,2019,93.14,1674,163,4550,55004,11.3,158
Andhra Pradesh,Kakinada,2020,63.68,1929,39,6936,75883,2.17,336
Andhra Pradesh,Kakinada,2021,86.42,628,172,5593,55779,14.98,298
Andhra Pradesh,Kakinada,2022,79.75,355,11,7659,186764,8.65,359
Andhra Pradesh,Kakinada,2023,67.82,1985,164,1827,161040,10.05,425
Andhra Pradesh,Kakinada,2024,76.73,710,53,5792,130386,14.93,422
Andhra Pradesh,Kakinada,2025,78.31,772,138,4012,26987,13.26,103
Andhra Pradesh,Krishna,2015,83.88,304,25,1255,62052,3.46,414
Andhra Pradesh,Krishna,2016,91.37,103,176,7124,194214,9.62,122
Andhra Pradesh,Krishna,2017,91.91,1326,67,2779,135449,1.53,180
Andhra Pradesh,Krishna,2018,74.88,1682,128,2566,13999,10.01,251
Andhra Pradesh,Krishna,2019,71.69,1764,105,467,61375,14.25,70
Andhra Pradesh,Krishna,2020,73.92,340,70,3901,183292,14.25,335
Andhra Pradesh,Krishna,2021,57.22,1109,136,6986,197320,10.35,306
Andhra Pradesh,Krishna,2022,91.68,1813,161,4478,163026,8.95,339
Andhra Pradesh,Krishna,2023,61.44,1054,181,3505,167840,4.37,366
Andhra Pradesh,Krishna,2024,88.07,599,70,6851,2989,12.93,290
Andhra Pradesh,Krishna,2025,77.82,870,156,7463,14014,14.15,232
Andhra Pradesh,Kurnool,2015,65.13,837,170,4369,172456,13.36,84
Andhra Pradesh,Kurnool,2016,61.31,1747,34,1961,6713,5.08,158
Andhra Pradesh,Kurnool,2017,73.09,1571,28,585,161579,7.47,333
Andhra Pradesh,Kurnool,2018,79.55,54,162,353,66667,13.31,223
Andhra Pradesh,Kurnool,2019,59.61,366,21,1691,64376,10.37,486
Andhra Pradesh,Kurnool,2020,72.01,1580,15,1880,153889,3.37,153
Andhra Pradesh,Kurnool,2021,60.36,511,6,5693,100168,2.61,241
Andhra Pradesh,Kurnool,2022,90.44,301,103,6634,39655,7.93,182
Andhra Pradesh,Kurnool,2023,90.22,721,121,706,168293,14.88,431
Andhra Pradesh,Kurnool,2024,81.81,1136,178,4742,48665,4.91,123
Andhra Pradesh,Kurnool,2025,57.6,1049,54,4070,162480,5.01,355
Andhra Pradesh,Nandyal,2015,84.55,1452,192,5588,27406,7.7,18
Andhra Pradesh,Nandyal,2016,89.07,606,74,608,112674,11.66,42
Andhra Pradesh,Nandyal,2017,81.74,250,20,7418,75686,9.67,39
Andhra Pradesh,Nandyal,2018,85.43,912,64,885,33641,13.42,158
Andhra Pradesh,Nandyal,2019,74.17,1360,123,4900,197885,2.06,248
Andhra Pradesh,Nandyal,2020,80.71,320,164,7872,15836,2.85,242
Andhra Pradesh,Nandyal,2021,86.92,164,48,2819,100148,14.35,199
Andhra Pradesh,Nandyal,2022,75.3,1003,98,3239,128308,14.3,49
Andhra Pradesh,Nandyal,2023,88.0,1350,41,396,94441,3.6,432
Andhra Pradesh,Nandyal,2024,62.32,658,196,4990,183537,5.1,337
Andhra Pradesh,Nandyal,2025,74.91,1975,116,2588,100905,11.54,222
Andhra Pradesh,NTR,2015,94.35,574,11,4803,174113,1.31,244
Andhra Pradesh,NTR,2016,66.95,1995,173,1658,126943,10.17,282
Andhra Pradesh,NTR,2017,88.4,1570,30,1181,198562,6.69,372
Andhra Pradesh,NTR,2018,64.56,553,8,2550,104690,6.82,284
Andhra Pradesh,NTR,2019,67.42,1870,173,3282,183956,2.99,292
Andhra Pradesh,NTR,2020,76.7,553,50,1261,191620,11.25,137
Andhra Pradesh,NTR,2021,76.77,1593,50,1921,94864,13.79,252
Andhra Pradesh,NTR,2022,84.96,726,95,7311,130105,13.17,52
Andhra Pradesh,NTR,2023,55.87,751,35,447,49092,5.21,81
Andhra Pradesh,NTR,2024,69.85,441,55,7670,175713,1.43,126
Andhra Pradesh,NTR,2025,89.66,1828,89,5070,171906,2.49,183
Andhra Pradesh,Palnadu,2015,59.13,453,8,2953,78347,10.83,62
Andhra Pradesh,Palnadu,2016,89.8,1777,134,7008,176234,12.32,500
Andhra Pradesh,Palnadu,2017,90.52,934,161,6201,113691,12.09,443
Andhra Pradesh,Palnadu,2018,92.52,1909,22,6049,87875,8.83,365
Andhra Pradesh,Palnadu,2019,60.75,1436,50,1502,24843,5.49,441
Andhra Pradesh,Palnadu,2020,72.9,1985,118,2754,40646,4.89,293
Andhra Pradesh,Palnadu,2021,68.41,1241,90,1719,167020,12.82,444
Andhra Pradesh,Palnadu,2022,92.02,951,182,4610,21938,13.84,478
Andhra Pradesh,Palnadu,2023,86.66,118,157,3394,12144,12.02,348
Andhra Pradesh,Palnadu,2024,92.7,1258,26,4425,159616,10.39,427
Andhra Pradesh,Palnadu,2025,77.91,908,93,6850,181004,1.44,482
Andhra Pradesh,Parvathipuram Manyam,2015,67.3,678,175,3785,39341,9.64,36
Andhra Pradesh,Parvathipuram Manyam,2016,91.87,94,8,5162,171675,2.53,60
Andhra Pradesh,Parvathipuram Manyam,2017,73.59,1974,193,2798,11254,10.7,168
Andhra Pradesh,Parvathipuram Manyam,2018,65.15,1837,108,728,11181,7.15,110
Andhra Pradesh,Parvathipuram Manyam,2019,79.24,397,145,3994,146768,7.84,117
Andhra Pradesh,Parvathipuram Manyam,2020,65.1,261,11,500,105853,5.11,444
Andhra Pradesh,Parvathipuram Manyam,2021,61.63,1335,26,799,106673,5.75,136
Andhra Pradesh,Parvathipuram Manyam,2022,86.45,742,80,2423,91217,5.04,330
Andhra Pradesh,Parvathipuram Manyam,2023,88.33,1373,31,816,169244,10.4,176
Andhra Pradesh,Parvathipuram Manyam,2024,84.1,774,188,3124,65753,12.27,83
Andhra Pradesh,Parvathipuram Manyam,2025,58.36,1368,156,623,191995,6.71,274
Andhra Pradesh,Prakasam,2015,78.46,1070,147,4737,5718,12.05,164
Andhra Pradesh,Prakasam,2016,77.49,280,173,1795,35045,8.72,485
Andhra Pradesh,Prakasam,2017,56.1,1069,107,6710,79694,11.09,384
Andhra Pradesh,Prakasam,2018,77.31,941,124,3340,85821,12.88,110
Andhra Pradesh,Prakasam,2019,75.84,410,121,966,171226,10.98,387
Andhra Pradesh,Prakasam,2020,73.99,380,118,2173,197271,1.58,351
Andhra Pradesh,Prakasam,2021,91.54,1718,131,1294,79427,7.64,400
Andhra Pradesh,Prakasam,2022,57.25,1481,193,215,132998,12.12,44
Andhra Pradesh,Prakasam,2023,61.55,289,8,881,62125,3.27,365
Andhra Pradesh,Prakasam,2024,56.03,787,123,616,188645,2.05,100
Andhra Pradesh,Prakasam,2025,72.95,1400,86,5947,18883,12.55,19
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,71.24,1245,86,2141,159279,13.25,274
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,74.18,895,13,3373,80070,9.65,319
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,63.62,153,65,6731,136007,2.51,221
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,83.05,1926,30,6054,9096,10.4,72
Andhra Pradesh,Sri Potti Sriramulu Nellore,2019,90.15,1746,166,1573,111629,6.46,189
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,63.47,687,29,1975,62098,1.68,403
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,74.54,849,40,7751,61302,1.38,257
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,90.83,393,181,1184,78853,8.08,278
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,65.85,1962,18,946,148681,10.87,382
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,90.85,362,140,2136,187824,14.13,468
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,89.08,911,67,1942,144204,3.87,292
Andhra Pradesh,Sri Sathya Sai,2015,69.87,1061,169,4680,9869,10.9,355
Andhra Pradesh,Sri Sathya Sai,2016,91.32,716,43,7259,149977,7.1,199
Andhra Pradesh,Sri Sathya Sai,2017,65.52,1946,136,379,121052,5.82,66
Andhra Pradesh,Sri Sathya Sai,2018,85.21,1324,17,1888,41861,11.25,126
Andhra Pradesh,Sri Sathya Sai,2019,92.23,342,196,6389,93995,7.8,372
Andhra Pradesh,Sri Sathya Sai,2020,80.33,996,26,3543,19413,6.51,156
Andhra Pradesh,Sri Sathya Sai,2021,78.32,1562,186,716,77157,10.59,339
Andhra Pradesh,Sri Sathya Sai,2022,88.53,1262,104,3701,137741,10.82,166
Andhra Pradesh,Sri Sathya Sai,2023,87.79,1954,78,6228,100541,3.51,169
Andhra Pradesh,Sri Sathya Sai,2024,81.86,221,62,2178,6056,12.67,292
Andhra Pradesh,Sri Sathya Sai,2025,84.23,1807,166,373,136410,8.87,108
Andhra Pradesh,Srikakulam,2015,88.88,887,79,879,142753,10.62,371
Andhra Pradesh,Srikakulam,2016,65.14,1200,89,7008,122108,5.17,88
Andhra Pradesh,Srikakulam,2017,85.4,1702,5,4738,192033,14.91,391
Andhra Pradesh,Srikakulam,2018,77.76,156,109,4669,132653,1.42,297
Andhra Pradesh,Srikakulam,2019,72.56,102,185,2675,47552,12.03,17
Andhra Pradesh,Srikakulam,2020,94.9,1984,61,479,173475,8.01,376
Andhra Pradesh,Srikakulam,2021,73.92,1494,152,6697,44082,1.49,433
Andhra Pradesh,Srikakulam,2022,57.39,1752,144,1561,59395,8.72,18
Andhra Pradesh,Srikakulam,2023,92.25,1705,192,7174,46419,9.36,117
Andhra Pradesh,Srikakulam,2024,56.74,1235,134,3849,30159,9.14,394
Andhra Pradesh,Srikakulam,2025,66.46,438,125,1905,21918,13.89,460
Andhra Pradesh,Tirupati,2015,60.19,1052,82,4802,109467,5.54,76
Andhra Pradesh,Tirupati,2016,66.73,1793,125,431,140523,9.13,245
Andhra Pradesh,Tirupati,2017,69.49,1176,195,4160,115368,13.36,374
Andhra Pradesh,Tirupati,2018,94.96,400,32,3701,146580,13.2,325
Andhra Pradesh,Tirupati,2019,73.88,1635,128,2708,3891,12.99,54
Andhra Pradesh,Tirupati,2020,81.76,1733,47,1226,62132,2.97,77
Andhra Pradesh,Tirupati,2021,89.76,853,177,1074,84735,3.94,293
Andhra Pradesh,Tirupati,2022,64.89,581,10,3797,18124,12.07,498
Andhra Pradesh,Tirupati,2023,66.52,1016,64,4328,15790,4.79,376
Andhra Pradesh,Tirupati,2024,66.4,1593,90,7126,107997,8.19,6
Andhra Pradesh,Tirupati,2025,57.51,1940,180,645,163491,11.48,200
Andhra Pradesh,Visakhapatnam,2015,58.46,1554,46,3969,159305,3.28,145
Andhra Pradesh,Visakhapatnam,2016,90.98,313,8,5136,70691,3.14,231
Andhra Pradesh,Visakhapatnam,2017,64.0,594,156,4747,95593,9.95,169
Andhra Pradesh,Visakhapatnam,2018,60.15,687,180,1027,197819,1.38,337
Andhra Pradesh,Visakhapatnam,2019,56.18,789,144,7364,33212,1.1,403
Andhra Pradesh,Visakhapatnam,2020,74.85,208,132,3238,151360,4.86,413
Andhra Pradesh,Visakhapatnam,2021,88.68,765,120,4965,133955,10.53,221
Andhra Pradesh,Visakhapatnam,2022,87.2,834,170,4654,166829,14.15,313
Andhra Pradesh,Visakhapatnam,2023,83.05,757,84,1684,183260,9.61,411
Andhra Pradesh,Visakhapatnam,2024,84.7,1670,34,2294,36962,14.45,90
Andhra Pradesh,Visakhapatnam,2025,89.79,1807,109,1082,103199,12.93,218
Andhra Pradesh,Vizianagaram,2015,71.67,973,46,6593,90489,4.44,464
Andhra Pradesh,Vizianagaram,2016,79.72,129,91,3194,193998,1.28,89
Andhra Pradesh,Vizianagaram,2017,90.98,1475,174,3638,113920,9.91,447
Andhra Pradesh,Vizianagaram,2018,55.7,252,9,5441,118710,10.26,14
Andhra Pradesh,Vizianagaram,2019,57.38,1808,48,745,12939,14.41,397
Andhra Pradesh,Vizianagaram,2020,66.33,482,56,6942,173501,9.04,85
Andhra Pradesh,Vizianagaram,2021,87.97,711,166,3823,50214,11.82,463
Andhra Pradesh,Vizianagaram,2022,79.23,536,140,7163,38603,7.99,124
Andhra Pradesh,Vizianagaram,2023,63.21,620,29,7190,3297,2.84,271
Andhra Pradesh,Vizianagaram,2024,84.02,1518,114,7951,181189,4.63,466
Andhra Pradesh,Vizianagaram,2025,89.34,1657,63,1922,182081,12.15,395
Andhra Pradesh,West Godavari,2015,94.48,341,77,4334,45760,4.48,462
Andhra Pradesh,West Godavari,2016,73.44,1963,143,7309,128128,11.72,441
Andhra Pradesh,West Godavari,2017,81.99,989,85,2776,22977,10.24,245
Andhra Pradesh,West Godavari,2018,93.03,1218,16,6977,42614,7.82,435
Andhra Pradesh,West Godavari,2019,89.18,765,169,1742,150779,7.8,76
Andhra Pradesh,West Godavari,2020,85.88,1288,143,2417,109810,7.9,197
Andhra Pradesh,West Godavari,2021,76.86,796,38,7317,175093,14.93,415
Andhra Pradesh,West Godavari,2022,68.59,1552,112,7618,88008,9.13,493
Andhra Pradesh,West Godavari,2023,62.01,1175,128,3836,114563,11.5,111
Andhra Pradesh,West Godavari,2024,70.72,730,20,379,157126,7.55,195
Andhra Pradesh,West Godavari,2025,85.84,655,63,6466,186056,7.5,349
Andhra Pradesh,YSR Kadapa,2015,89.37,1734,123,3051,97549,8.19,382
Andhra Pradesh,YSR Kadapa,2016,61.37,566,150,6023,174073,2.07,290
Andhra Pradesh,YSR Kadapa,2017,61.47,295,131,4235,100334,14.79,246
Andhra Pradesh,YSR Kadapa,2018,88.61,1673,111,6217,105534,12.81,361
Andhra Pradesh,YSR Kadapa,2019,86.55,1408,43,6406,149816,10.0,336
Andhra Pradesh,YSR Kadapa,2020,64.94,972,66,6684,153605,14.97,460
Andhra Pradesh,YSR Kadapa,2021,91.47,1216,147,7500,136590,11.74,49
Andhra Pradesh,YSR Kadapa,2022,58.5,274,16,5054,119602,8.59,472
Andhra Pradesh,YSR Kadapa,2023,74.07,436,7,6031,120759,2.33,145
Andhra Pradesh,YSR Kadapa,2024,80.22,882,57,1421,56555,14.54,51
Andhra Pradesh,YSR Kadapa,2025,74.32,1319,160,2898,197200,1.48,483
Arunachal Pradesh,Tawang,2015,84.13,298,21,605,195670,2.36,428
Arunachal Pradesh,Tawang,2016,65.31,1259,15,3692,12055,4.75,360
Arunachal Pradesh,Tawang,2017,90.24,1974,43,4514,134899,8.69,232
Arunachal Pradesh,Tawang,2018,93.44,1015,129,5503,119809,9.89,104
Arunachal Pradesh,Tawang,2019,75.15,1907,41,6685,95143,7.34,159
Arunachal Pradesh,Tawang,2020,83.71,61,6,2104,45731,8.32,98
Arunachal Pradesh,Tawang,2021,79.73,947,119,3301,15651,7.11,234
Arunachal Pradesh,Tawang,2022,63.6,1949,88,6041,128320,11.02,187
Arunachal Pradesh,Tawang,2023,67.64,307,50,6361,199917,9.32,42
Arunachal Pradesh,Tawang,2024,73.24,537,95,2909,79112,3.98,131
Arunachal Pradesh,Tawang,2025,57.73,1877,118,869,178725,7.86,359
Arunachal Pradesh,West Kameng,2015,85.69,1039,55,7413,6048,12.24,210
Arunachal Pradesh,West Kameng,2016,62.49,1663,117,2590,184178,5.87,27
Arunachal Pradesh,West Kameng,2017,93.3,428,39,1971,153268,8.95,90
Arunachal Pradesh,West Kameng,2018,91.4,511,109,251,182475,8.69,146
Arunachal Pradesh,West Kameng,2019,66.83,322,193,4927,24661,11.65,365
Arunachal Pradesh,West Kameng,2020,72.26,1985,184,7801,17260,8.88,177
Arunachal Pradesh,West Kameng,2021,74.59,161,87,4465,76269,4.29,204
Arunachal Pradesh,West Kameng,2022,70.3,858,60,3424,192306,14.62,27
Arunachal Pradesh,West Kameng,2023,80.56,1120,46,1624,170414,5.87,456
Arunachal Pradesh,West Kameng,2024,71.7,1102,60,4393,165998,4.58,418
Arunachal Pradesh,West Kameng,2025,78.99,1994,200,4725,178216,14.23,284
Arunachal Pradesh,East Kameng,2015,62.93,1058,11,5942,42283,4.41,164
Arunachal Pradesh,East Kameng,2016,90.02,1093,72,1790,123973,11.3,119
Arunachal Pradesh,East Kameng,2017,69.66,1748,172,3240,128083,5.31,438
Arunachal Pradesh,East Kameng,2018,66.11,1915,160,4959,53606,7.02,326
Arunachal Pradesh,East Kameng,2019,56.03,1207,199,5702,180152,9.72,151
Arunachal Pradesh,East Kameng,2020,78.14,1145,48,844,174442,1.66,109
Arunachal Pradesh,East Kameng,2021,84.31,358,29,5891,89598,12.76,94
Arunachal Pradesh,East Kameng,2022,64.68,130,181,5465,137860,8.95,87
Arunachal Pradesh,East Kameng,2023,68.94,222,187,5401,48931,6.31,174
Arunachal Pradesh,East Kameng,2024,62.41,186,127,4737,78583,14.31,299
Arunachal Pradesh,East Kameng,2025,66.03,843,32,2910,33728,4.38,133
Arunachal Pradesh,Papum Pare,2015,55.95,429,78,2350,189530,1.22,112
Arunachal Pradesh,Papum Pare,2016,64.43,222,85,2188,34649,12.82,206
Arunachal Pradesh,Papum Pare,2017,58.41,377,24,6572,168178,10.63,243
Arunachal Pradesh,Papum Pare,2018,92.02,109,114,5151,154598,1.7,439
Arunachal Pradesh,Papum Pare,2019,92.57,1400,186,3021,96989,5.43,32
Arunachal Pradesh,Papum Pare,2020,88.62,132,162,7758,191903,10.62,167
Arunachal Pradesh,Papum Pare,2021,79.07,1202,176,1648,114354,8.93,457
Arunachal Pradesh,Papum Pare,2022,73.8,1154,51,1158,83351,11.53,145
Arunachal Pradesh,Papum Pare,2023,60.65,251,156,4015,111908,6.97,330
Arunachal Pradesh,Papum Pare,2024,73.7,292,130,7332,193335,7.79,307
Arunachal Pradesh,Papum Pare,2025,84.53,382,123,2976,100980,12.28,418
Arunachal Pradesh,Kurung Kumey,2015,86.99,1123,51,1609,109799,9.07,117
Arunachal Pradesh,Kurung Kumey,2016,57.64,1651,89,5724,82924,4.35,191
Arunachal Pradesh,Kurung Kumey,2017,82.75,1842,47,5160,121302,13.24,67
Arunachal Pradesh,Kurung Kumey,2018,61.57,244,13,7760,150366,7.03,498
Arunachal Pradesh,Kurung Kumey,2019,76.13,613,134,1130,164457,13.25,144
Arunachal Pradesh,Kurung Kumey,2020,62.96,1514,84,4443,166642,7.24,156
Arunachal Pradesh,Kurung Kumey,2021,84.92,1328,160,3528,107739,12.26,370
Arunachal Pradesh,Kurung Kumey,2022,73.53,1989,193,7096,53763,3.38,458
