state,district,year,rural_roads,village_development_index,employment_scheme,agriculture_support,rural_income,water_access,education_access
Jharkhand,East Singhbhum,2023,42.85,90.55,78.33,61.89,45.97,40.86,19.15
Maharashtra,Latur,2020,64.92,25.45,71.22,95.63,87.57,61.51,82.9
Maharashtra,Dhule,2019,82.05,61.46,92.73,27.2,28.7,81.12,99.24
Mizoram,Aizawl,2022,33.58,39.58,48.17,84.8,84.58,59.54,33.97
Rajasthan,Gangapur City,2023,59.45,52.61,53.2,25.79,57.98,72.67,76.51
Telangana,Peddapalli,2020,31.19,70.35,71.8,61.93,69.52,12.21,76.78
Assam,Hojai,2023,75.47,63.97,94.35,37.73,19.79,48.14,42.23
Punjab,Rupnagar,2019,36.15,32.33,95.16,16.18,57.87,83.86,18.74
Uttar Pradesh,Aligarh,2019,88.37,45.23,17.04,54.12,11.64,80.62,89.18
Rajasthan,Didwana-Kuchaman,2025,24.19,22.0,31.0,23.05,39.19,39.35,54.8
Tamil Nadu,Tenkasi,2015,93.59,67.09,47.18,79.1,11.19,31.11,33.9
Manipur,Imphal West,2017,97.82,36.83,69.68,62.42,93.01,95.54,79.02
Gujarat,Dahod,2015,46.77,35.79,14.4,36.29,55.77,39.79,21.51
Chhattisgarh,Baloda Bazar,2024,73.83,63.23,32.41,84.06,52.35,51.55,66.18
Bihar,Gaya,2015,23.8,61.64,97.64,70.38,76.45,64.17,23.53
Nagaland,Wokha,2015,14.26,48.01,25.99,57.54,77.35,76.78,30.62
Tamil Nadu,Viluppuram,2018,16.6,47.02,25.15,57.76,18.14,70.24,25.44
Telangana,Mahabubnagar,2024,48.78,15.38,59.89,73.24,69.61,53.87,47.5
Haryana,Rohtak,2025,48.96,35.35,62.28,30.43,90.4,42.01,92.32
Madhya Pradesh,Sehore,2015,70.54,93.56,42.97,70.15,16.07,25.58,50.09
Madhya Pradesh,Mandla,2021,77.84,32.21,13.96,79.24,14.89,36.77,13.96
Mizoram,Lunglei,2021,50.11,29.71,71.45,78.89,30.85,25.57,72.52
Andhra Pradesh,Eluru,2020,74.01,12.57,29.08,54.41,79.66,36.24,91.27
Tamil Nadu,Namakkal,2015,40.36,32.01,10.93,76.75,71.62,21.03,34.41
Tamil Nadu,Karur,2025,34.54,44.66,50.7,74.48,51.65,93.73,19.87
Tamil Nadu,Salem,2023,49.42,19.27,75.31,59.33,37.1,20.43,52.77
Bihar,Purnia,2025,30.55,33.01,56.25,63.12,75.06,46.5,18.67
Haryana,Nuh,2017,23.49,83.64,90.08,62.81,54.49,74.96,42.19
Karnataka,Shivamogga,2025,22.0,63.95,80.93,86.19,18.4,95.78,47.56
Punjab,Ferozepur,2016,83.05,44.45,61.1,66.95,14.18,79.21,85.03
Arunachal Pradesh,Longding,2023,29.19,27.9,19.05,67.86,38.45,29.74,41.34
Madhya Pradesh,Ashoknagar,2020,94.99,72.68,84.77,77.62,48.31,17.5,91.9
Gujarat,Tapi,2019,72.45,43.43,64.61,61.23,82.46,49.75,38.83
Uttar Pradesh,Balrampur,2018,21.56,11.18,82.28,68.56,43.54,33.07,28.1
Jharkhand,Pakur,2025,97.61,92.68,58.66,75.21,63.21,95.92,63.48
Uttar Pradesh,Varanasi,2017,58.07,10.71,79.89,56.18,67.47,24.15,26.98
Nagaland,Mon,2016,55.54,75.59,11.8,77.37,59.4,77.81,63.44
Kerala,Thrissur,2017,11.69,40.97,40.87,56.13,18.62,78.46,57.85
Manipur,Jiribam,2019,21.96,48.79,34.04,90.49,48.29,53.83,18.47
Gujarat,Surat,2023,89.85,98.16,24.79,16.81,82.21,74.58,69.61
Kerala,Pathanamthitta,2015,38.26,38.83,71.88,24.5,77.06,91.14,16.96
Tamil Nadu,Coimbatore,2021,46.55,63.64,31.81,77.12,90.17,36.69,95.45
Karnataka,Chitradurga,2022,29.37,47.09,94.18,80.63,12.78,79.28,54.23
Madhya Pradesh,Dindori,2017,15.72,15.54,82.78,43.04,91.2,93.52,11.87
Tamil Nadu,Perambalur,2019,53.78,78.94,27.83,53.5,58.9,95.66,34.74
Arunachal Pradesh,Lower Siang,2023,42.56,64.55,11.93,20.35,71.5,64.92,32.48
Madhya Pradesh,Anuppur,2015,13.33,66.82,20.1,30.56,77.14,35.09,65.47
Rajasthan,Didwana-Kuchaman,2020,85.7,47.79,18.87,34.72,16.15,51.5,77.87
Haryana,Gurugram,2025,18.22,78.86,93.27,80.55,29.98,87.82,27.52
Uttar Pradesh,Rae Bareli,2020,75.22,74.71,22.74,59.92,99.3,86.18,92.58
Mizoram,Aizawl,2015,30.11,29.27,94.35,92.53,66.9,80.29,73.33
Karnataka,Chikkaballapur,2021,84.44,54.66,66.61,82.15,29.08,94.4,61.1
Andhra Pradesh,Kakinada,2018,65.3,22.66,69.25,69.78,69.26,90.2,99.68
Mizoram,Saiha,2025,56.15,84.46,59.9,76.4,82.02,78.06,25.95
Madhya Pradesh,Barwani,2020,95.72,15.3,62.81,95.31,33.9,85.51,22.69
Himachal Pradesh,Solan,2019,78.51,11.99,98.48,55.85,45.62,99.58,11.85
Bihar,West Champaran,2024,23.02,58.91,12.88,72.0,62.67,21.03,99.56
Arunachal Pradesh,Upper Siang,2016,90.56,85.3,86.01,70.65,29.62,27.07,36.85
Gujarat,Dang,2021,49.36,34.09,81.88,54.17,96.24,26.9,59.65
Rajasthan,Pali,2024,87.61,83.79,82.7,79.93,97.16,46.1,56.99
Uttarakhand,Champawat,2021,13.88,77.7,44.5,86.42,90.24,79.72,50.13
Jharkhand,Bokaro,2025,45.96,73.94,26.67,92.51,81.96,74.25,49.39
Haryana,Bhiwani,2022,21.64,51.98,31.13,78.07,99.82,87.28,52.29
Kerala,Kannur,2016,18.76,24.66,89.45,49.85,89.44,42.95,75.03
Punjab,Kapurthala,2019,77.56,12.77,49.15,28.41,98.23,62.82,85.81
Madhya Pradesh,Barwani,2022,83.06,93.68,86.23,17.79,16.94,75.22,72.06
Arunachal Pradesh,Upper Siang,2015,95.22,27.9,39.76,15.15,59.22,90.87,97.64
Karnataka,Mysuru,2022,60.98,62.14,18.29,69.71,91.34,24.73,94.93
Tripura,Sepahijala,2016,14.77,35.36,67.9,91.44,16.79,80.04,92.96
Himachal Pradesh,Solan,2018,32.0,15.94,28.25,86.35,33.49,23.4,83.66
Assam,Majuli,2023,41.16,30.07,76.49,14.14,18.87,72.88,59.74
Maharashtra,Nandurbar,2023,64.39,30.8,54.59,53.46,98.93,56.04,40.31
Bihar,Banka,2019,69.73,14.57,22.57,82.45,26.29,20.05,10.78
Uttar Pradesh,Farrukhabad,2024,92.0,79.79,98.78,84.5,19.34,80.03,37.41
Haryana,Mahendragarh,2017,65.69,51.62,73.86,12.38,99.8,90.43,98.11
Uttarakhand,Nainital,2019,90.3,56.54,52.26,57.32,69.21,62.53,36.01
Madhya Pradesh,Burhanpur,2025,35.85,29.26,49.77,85.77,59.63,76.34,31.57
Himachal Pradesh,Kinnaur,2015,72.71,40.43,68.42,43.61,68.71,24.63,48.77
Tamil Nadu,Ariyalur,2019,98.32,53.44,89.07,80.01,65.89,88.33,21.0
Jharkhand,Deoghar,2017,96.73,93.48,93.08,73.72,66.27,41.59,32.75
Odisha,Rayagada,2021,77.39,33.04,26.28,58.09,59.61,47.07,29.95
Telangana,Mahabubnagar,2020,16.43,75.53,55.27,26.8,35.54,30.73,58.44
Manipur,Kangpokpi,2023,63.88,95.49,37.33,14.89,79.21,24.52,35.21
Maharashtra,Thane,2020,11.3,26.01,46.76,83.21,14.06,11.28,94.0
Odisha,Jagatsinghpur,2022,50.42,63.68,89.0,52.75,84.26,16.24,42.74
Karnataka,Dakshina Kannada,2022,75.3,68.47,82.16,82.39,79.65,64.98,52.98
Bihar,Muzaffarpur,2018,97.73,54.33,99.49,39.43,98.34,10.17,51.47
Manipur,Kangpokpi,2015,32.0,57.04,70.79,50.39,36.2,37.98,56.43
Madhya Pradesh,Harda,2020,24.4,22.05,82.18,15.9,75.84,63.3,31.91
Tamil Nadu,Coimbatore,2020,94.31,72.19,74.54,92.25,54.37,30.13,14.4
Bihar,Jehanabad,2022,20.79,63.37,89.07,38.4,40.72,22.42,81.28
Chhattisgarh,Kabirdham,2024,48.38,63.19,71.39,78.99,88.76,22.44,25.06
Andhra Pradesh,Bapatla,2019,92.17,28.17,55.19,38.41,55.67,48.04,10.83
Bihar,Saran,2025,37.57,26.41,95.2,82.67,46.21,67.09,55.03
Odisha,Nabarangpur,2025,17.62,31.75,36.65,75.16,27.81,66.16,83.26
Uttar Pradesh,Jhansi,2024,55.78,27.88,40.11,76.42,31.02,87.94,52.27
Karnataka,Kalaburagi,2020,75.34,45.94,41.75,76.45,42.62,92.79,13.66
Karnataka,Kalaburagi,2020,56.86,88.56,93.55,69.74,52.76,40.09,25.61
Jharkhand,Koderma,2019,39.86,58.33,18.69,60.13,66.53,38.54,28.45
Gujarat,Junagadh,2023,48.77,63.44,38.42,12.41,17.44,66.68,80.5
Tamil Nadu,Coimbatore,2022,44.84,22.91,26.3,58.6,33.76,66.44,28.22
Telangana,Siddipet,2022,90.28,94.22,66.85,47.04,47.41,12.51,45.98
Manipur,Kakching,2019,34.12,28.3,46.81,98.76,43.4,76.38,54.83
Uttar Pradesh,Jhansi,2022,40.1,65.56,92.91,86.0,44.36,22.32,58.05
Madhya Pradesh,Maihar,2020,94.54,49.54,81.57,76.52,97.05,46.24,51.01
Madhya Pradesh,Ratlam,2015,40.54,82.75,19.17,66.21,42.21,42.72,56.0
Rajasthan,Neem Ka Thana,2019,71.3,99.15,81.28,40.74,79.86,76.32,97.21
Madhya Pradesh,Chhindwara,2020,89.37,85.72,53.06,89.84,77.34,95.11,35.03
Karnataka,Kolar,2024,88.48,15.43,81.51,94.81,63.93,59.64,77.46
Chhattisgarh,Mungeli,2023,21.66,65.66,80.29,16.5,29.72,62.35,99.68
Chhattisgarh,Jashpur,2024,90.36,25.56,30.67,33.05,53.22,75.14,17.18
Madhya Pradesh,Sehore,2025,70.53,72.39,27.31,78.22,91.04,48.24,30.96
Madhya Pradesh,Sehore,2024,74.1,84.42,96.22,54.62,33.88,38.39,60.99
Uttar Pradesh,Lakhimpur Kheri,2023,28.94,44.7,71.93,24.83,32.37,50.74,76.37
Maharashtra,Raigad,2018,54.17,37.51,65.43,69.48,27.99,16.99,75.81
Gujarat,Kutch,2021,63.93,18.49,54.24,88.13,10.74,42.01,42.01
Maharashtra,Washim,2021,24.72,86.47,14.06,13.41,65.98,90.6,70.05
West Bengal,Paschim Bardhaman,2021,91.34,41.62,19.01,81.63,84.76,95.25,50.21
Karnataka,Uttara Kannada,2020,29.07,80.98,20.68,80.11,26.7,32.5,29.02
Assam,Goalpara,2022,65.22,44.43,85.62,88.98,91.0,82.04,79.37
Madhya Pradesh,Niwari,2016,91.43,68.62,33.31,27.21,64.93,29.59,13.79
Assam,Nagaon,2025,13.18,62.2,71.7,49.36,53.55,96.72,28.11
Rajasthan,Sawai Madhopur,2015,60.33,40.84,48.41,18.28,86.16,59.31,37.48
Tamil Nadu,Kanchipuram,2015,88.5,39.01,74.26,53.42,99.34,76.0,59.83
Madhya Pradesh,Hoshangabad (Narmadapuram),2016,50.49,67.69,14.52,55.56,50.14,48.29,86.62
Gujarat,Amreli,2017,94.99,25.71,61.55,81.58,27.57,63.1,40.34
Haryana,Rohtak,2020,36.72,57.35,31.93,16.82,60.92,48.26,99.03
Bihar,Buxar,2016,41.34,61.91,19.26,59.77,77.61,90.46,82.31
Punjab,Patiala,2016,96.3,16.75,14.22,66.56,10.34,16.5,63.81
Arunachal Pradesh,Lohit,2025,57.18,28.27,23.58,44.81,55.16,28.06,68.04
Jharkhand,Dumka,2020,10.75,83.36,76.73,81.02,77.35,66.27,32.15
Kerala,Kollam,2021,12.01,12.67,68.73,48.44,73.63,21.36,45.97
Chhattisgarh,Surguja,2019,26.81,71.8,86.27,17.39,41.86,83.65,77.58
Manipur,Ukhrul,2016,76.39,82.97,72.9,32.97,52.76,15.9,22.57
Nagaland,Kiphire,2017,91.66,55.67,70.58,42.45,94.08,18.54,79.13
Karnataka,Kalaburagi,2019,74.09,65.38,99.77,76.32,13.7,97.41,87.57
Madhya Pradesh,Ujjain,2023,41.16,36.41,88.43,25.81,21.17,30.89,88.53
Nagaland,Chümoukedima,2016,49.38,91.65,69.95,48.78,32.39,59.26,75.09
Nagaland,Noklak,2025,28.52,66.15,28.19,39.86,90.77,64.54,34.83
Rajasthan,Sirohi,2024,84.75,62.45,23.65,30.79,72.79,60.61,20.67
Rajasthan,Jodhpur,2017,74.72,55.73,75.06,88.13,89.24,35.69,28.51
Manipur,Noney,2020,61.14,87.38,61.29,88.75,52.35,15.1,50.64
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2020,15.09,98.44,31.01,35.45,68.37,40.24,44.22
Andhra Pradesh,Anakapalli,2017,71.22,87.38,98.77,18.45,79.25,55.07,25.73
Punjab,Fazilka,2024,10.33,24.32,52.41,13.99,84.42,38.97,84.36
Kerala,Ernakulam,2020,92.22,84.04,52.54,99.54,82.66,63.22,37.27
Odisha,Ganjam,2018,36.72,39.62,58.96,66.75,57.31,48.68,29.66
Gujarat,Kutch,2023,15.51,44.55,34.02,39.14,99.4,83.75,86.69
Chhattisgarh,Durg,2024,56.83,94.74,61.59,33.55,19.87,33.84,94.68
Uttar Pradesh,Jaunpur,2024,61.1,66.92,26.2,85.21,36.22,43.01,19.42
Haryana,Bhiwani,2015,58.57,52.35,68.01,85.39,31.16,90.73,17.54
Assam,Cachar,2025,49.86,62.34,85.81,21.72,24.76,69.72,86.41
Uttar Pradesh,Lucknow,2021,60.43,47.31,27.58,25.88,36.24,83.44,34.91
Uttar Pradesh,Sultanpur,2022,37.88,73.46,67.36,61.38,19.72,33.83,77.26
Madhya Pradesh,Damoh,2024,95.33,14.13,22.74,10.82,83.47,35.94,80.96
West Bengal,Darjeeling,2020,47.85,54.09,79.12,39.83,79.99,81.59,84.5
Telangana,Mahabubnagar,2015,85.29,18.04,15.36,63.18,23.18,24.28,29.33
Rajasthan,Jaisalmer,2022,17.64,44.17,27.76,34.63,20.17,85.5,66.45
Madhya Pradesh,Sidhi,2015,96.93,75.68,56.35,87.85,81.89,89.73,27.64
Punjab,Mansa,2015,35.21,36.58,86.09,73.48,39.91,34.79,65.12
Maharashtra,Yavatmal,2025,42.71,28.56,94.49,27.16,24.67,72.68,97.86
Meghalaya,East Jaintia Hills,2023,14.03,96.53,98.41,21.42,23.13,55.0,53.21
Haryana,Rohtak,2016,91.49,51.62,54.51,54.39,22.21,15.15,70.19
Chhattisgarh,Bijapur,2024,74.84,27.0,14.48,82.96,40.44,15.52,99.91
Punjab,Sri Muktsar Sahib,2019,77.3,31.13,98.87,44.29,78.93,71.94,85.94
Andhra Pradesh,Kakinada,2025,81.43,95.02,29.63,39.84,47.64,64.91,75.1
Jharkhand,Simdega,2015,39.28,34.39,66.79,23.52,50.05,75.29,33.95
Haryana,Hisar,2018,30.65,79.27,17.72,16.75,57.81,70.46,60.78
West Bengal,Bankura,2021,58.5,41.17,51.82,65.22,19.09,31.5,25.46
Madhya Pradesh,Seoni,2016,39.57,83.73,53.63,14.4,15.7,74.96,77.88
Assam,South Salmara-Mankachar,2017,58.4,61.15,34.81,59.36,93.53,21.22,26.15
Andhra Pradesh,Kakinada,2025,95.96,42.95,76.9,13.37,90.77,79.81,40.26
Gujarat,Surat,2022,48.07,22.82,71.1,56.51,31.46,45.41,35.37
Madhya Pradesh,Shajapur,2024,22.78,86.5,36.22,85.66,57.57,51.98,45.79
Himachal Pradesh,Kangra,2022,68.02,68.69,20.27,27.2,36.82,57.55,31.68
Odisha,Kendrapara,2023,87.22,97.42,20.1,27.95,49.69,69.3,31.09
West Bengal,Paschim Medinipur,2015,99.11,85.35,81.67,55.25,63.08,66.79,19.8
Tamil Nadu,Erode,2022,34.5,48.0,29.0,22.46,82.34,23.61,87.95
Odisha,Mayurbhanj,2020,47.03,52.15,18.55,86.67,27.16,57.48,95.52
Madhya Pradesh,Niwari,2021,58.79,69.15,19.79,92.88,17.61,20.7,96.31
Andhra Pradesh,Anakapalli,2015,73.46,84.26,50.28,26.81,21.02,23.97,38.37
Himachal Pradesh,Solan,2018,89.2,87.01,33.29,85.05,81.99,60.12,86.35
Uttarakhand,Pithoragarh,2015,83.12,47.53,97.58,65.95,13.77,55.81,36.99
Goa,North Goa,2024,46.81,89.2,95.08,26.99,67.31,41.19,62.94
Chhattisgarh,Janjgir-Champa,2023,88.35,44.14,24.06,12.46,57.1,55.73,76.82
Assam,Sonitpur,2015,64.62,23.81,67.17,41.62,63.01,22.68,99.39
Rajasthan,Anupgarh,2015,62.64,29.84,43.75,15.56,29.22,70.98,69.87
Bihar,Kaimur,2025,69.57,40.49,99.93,53.14,98.87,91.38,66.16
Maharashtra,Gondia,2016,26.29,75.34,42.42,76.9,89.8,68.33,94.95
Himachal Pradesh,Hamirpur,2021,23.18,20.25,30.44,29.77,48.18,91.84,27.76
Chhattisgarh,Korea,2019,43.58,38.99,32.48,26.1,35.15,27.89,45.17
Manipur,Tengnoupal,2022,86.55,64.45,98.67,48.65,88.38,81.88,15.52
West Bengal,Purba Medinipur,2025,95.44,16.26,82.57,14.53,34.97,26.25,82.17
Chhattisgarh,Balrampur,2015,49.38,73.78,82.86,84.64,52.59,64.04,81.68
Odisha,Boudh,2016,74.59,95.63,85.12,61.0,35.18,90.56,61.41
West Bengal,Purulia,2018,65.79,37.02,72.91,90.53,12.55,46.21,49.56
Maharashtra,Parbhani,2015,61.33,29.94,31.88,23.52,21.6,20.51,59.97
Kerala,Kannur,2020,24.57,18.32,96.35,43.64,29.27,96.99,79.41
Assam,Hailakandi,2018,90.56,29.32,15.55,13.69,14.15,58.35,54.42
Andhra Pradesh,Srikakulam,2023,42.52,82.15,81.23,90.36,55.19,44.01,72.76
Uttar Pradesh,Mahoba,2020,71.88,49.18,20.15,80.74,54.36,22.8,13.2
Nagaland,Kiphire,2021,86.57,15.35,57.6,84.5,68.04,46.95,48.13
Uttar Pradesh,Chitrakoot,2018,89.73,10.4,94.94,12.16,44.0,25.0,19.04
Jharkhand,Sahebganj,2015,51.71,13.6,78.81,78.32,68.17,97.35,83.31
Jharkhand,Dhanbad,2023,58.6,76.49,89.99,59.79,38.33,53.14,90.6
Arunachal Pradesh,West Kameng,2023,11.63,94.92,58.4,82.93,38.48,69.81,39.21
Haryana,Kurukshetra,2018,22.46,69.81,56.43,60.03,84.03,15.63,11.39
Assam,Kamrup,2023,60.66,10.31,75.58,37.9,65.09,24.38,42.59
Assam,Darrang,2022,95.59,92.86,24.32,47.98,50.02,71.6,75.89
Gujarat,Bharuch,2024,66.25,36.72,71.39,26.96,90.6,22.71,25.99
West Bengal,Malda,2022,82.61,30.38,50.85,41.67,48.47,87.63,83.38
Chhattisgarh,Bemetara,2017,79.16,33.39,27.53,66.99,79.81,59.57,15.36
Kerala,Thiruvananthapuram,2016,29.84,71.99,26.07,42.6,48.41,93.74,87.4
Nagaland,Noklak,2017,87.82,16.76,26.87,19.9,37.2,92.57,70.88
Maharashtra,Nagpur,2018,94.17,40.37,82.16,85.91,13.82,46.57,68.4
Uttar Pradesh,Siddharthnagar,2025,53.39,42.88,59.65,35.84,39.47,64.93,57.08
Kerala,Malappuram,2024,60.42,75.12,62.43,56.52,80.43,46.88,72.38
Madhya Pradesh,Dhar,2016,54.97,66.23,52.43,38.68,39.59,13.04,48.16
Uttarakhand,Nainital,2023,89.32,42.28,11.56,89.72,54.32,73.63,58.39
Haryana,Yamunanagar,2019,19.82,66.07,58.63,37.72,27.1,48.11,43.51
Rajasthan,Baran,2024,57.79,10.71,92.89,26.62,93.42,89.64,45.7
Gujarat,Patan,2015,91.12,32.44,88.07,88.41,45.45,95.99,19.86
Telangana,Warangal,2015,54.23,61.62,21.43,72.63,23.43,40.88,13.26
Tamil Nadu,Ariyalur,2022,55.37,51.09,48.57,59.86,27.75,14.61,52.61
Bihar,Patna,2021,76.93,65.66,47.54,66.88,85.19,38.68,16.96
Maharashtra,Pune,2021,98.85,95.43,81.74,62.35,87.33,41.08,74.08
Tamil Nadu,Tenkasi,2018,74.31,48.73,65.18,58.99,17.11,41.14,28.64
Bihar,Madhepura,2017,73.66,38.89,90.08,32.4,18.51,74.19,68.21
Telangana,Warangal,2019,70.67,20.22,24.43,60.16,85.03,57.8,56.99
Arunachal Pradesh,Upper Siang,2022,26.29,93.45,19.03,49.67,63.03,37.63,76.09
Madhya Pradesh,Bhopal,2015,73.67,24.9,97.08,87.11,61.92,79.18,75.19
Assam,Morigaon,2022,11.89,86.21,12.77,93.31,64.41,97.23,72.22
Manipur,Tengnoupal,2024,41.67,90.64,85.16,59.08,75.9,26.98,27.67
Madhya Pradesh,Bhind,2024,91.13,61.95,13.22,12.16,37.56,83.67,52.36
Chhattisgarh,Bastar,2025,94.68,97.79,76.94,59.41,29.26,12.98,44.16
Uttar Pradesh,Muzaffarnagar,2015,24.82,34.23,29.08,40.97,26.19,85.5,50.77
Tripura,Unakoti,2015,10.54,42.26,76.87,47.79,82.03,27.14,24.68
Karnataka,Dharwad,2017,14.02,66.23,12.17,87.68,48.59,28.17,14.05
Maharashtra,Washim,2020,14.5,91.31,31.02,62.49,85.58,64.87,24.79
Uttar Pradesh,Mainpuri,2019,66.98,12.51,23.35,14.2,71.74,91.86,38.68
Tamil Nadu,Coimbatore,2017,34.34,67.46,95.9,26.14,38.19,10.29,47.65
West Bengal,Jalpaiguri,2017,35.25,31.69,90.8,36.43,89.24,80.33,59.3
Sikkim,Gangtok,2021,74.64,96.35,59.03,15.76,82.12,29.1,88.54
Kerala,Thiruvananthapuram,2017,60.13,45.03,94.72,59.03,22.27,64.75,57.44
Uttar Pradesh,Hapur,2023,33.25,95.18,15.98,18.55,78.7,25.44,20.98
Karnataka,Davanagere,2016,85.71,69.52,22.81,99.65,70.28,82.32,10.54
Madhya Pradesh,Singrauli,2022,59.83,12.59,29.1,33.47,53.79,75.97,66.34
Tamil Nadu,Thoothukudi,2024,34.54,28.29,21.87,37.27,91.96,72.56,74.85
Assam,Biswanath,2020,90.7,49.45,97.39,93.26,32.93,47.42,72.1
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,46.14,90.93,57.14,70.13,34.4,68.91,56.25
Haryana,Panchkula,2021,76.71,85.23,24.52,58.71,55.0,25.61,29.05
Assam,Golaghat,2022,83.3,71.61,58.09,91.97,69.0,86.21,79.1
Karnataka,Bengaluru Urban,2017,20.93,97.97,32.07,14.24,57.22,95.79,27.91
Assam,Sivasagar,2016,27.58,17.52,66.25,23.24,62.42,21.76,72.09
Assam,Biswanath,2022,69.7,97.25,42.22,79.75,19.17,88.75,37.74
Chhattisgarh,Balod,2018,39.03,36.85,94.93,91.91,37.85,66.48,17.28
Rajasthan,Sawai Madhopur,2020,33.8,30.02,93.63,59.6,14.62,78.15,25.73
Uttar Pradesh,Hathras,2020,85.94,95.2,69.77,36.47,41.37,38.41,24.62
Telangana,Komaram Bheem Asifabad,2020,49.51,95.41,98.64,16.06,37.07,73.29,57.4
Nagaland,Mokokchung,2016,94.93,57.52,65.32,97.01,23.79,74.8,96.27
Odisha,Cuttack,2017,17.68,29.53,87.3,16.37,56.45,77.86,51.04
Arunachal Pradesh,Upper Siang,2024,10.57,84.44,62.24,93.13,77.18,20.57,40.01
Madhya Pradesh,Datia,2024,97.13,93.98,27.15,70.22,90.34,23.67,58.93
Nagaland,Kiphire,2022,58.47,65.49,96.87,76.12,13.47,55.09,33.56
Rajasthan,Dholpur,2016,79.44,34.3,90.94,57.54,81.2,24.97,74.55
Andhra Pradesh,Nandyal,2018,31.71,68.45,54.19,76.3,26.95,15.53,57.35
Nagaland,Tuensang,2018,28.99,64.25,61.93,26.69,41.2,44.73,56.14
Bihar,Sheohar,2025,50.95,23.79,88.23,55.04,85.53,88.66,47.03
Uttar Pradesh,Shamli,2020,95.31,59.31,85.93,41.7,17.82,33.7,97.92
Tamil Nadu,Tiruppur,2022,19.27,66.29,60.21,65.79,72.18,64.41,24.8
Gujarat,Panchmahal,2019,39.64,97.75,87.72,61.82,65.47,67.14,33.51
Rajasthan,Sanchore,2023,88.89,88.29,24.42,23.74,81.41,93.83,88.01
Bihar,Bhagalpur,2024,12.74,48.07,24.67,15.95,51.87,37.48,17.0
Haryana,Sirsa,2016,84.36,74.98,22.19,83.18,86.98,17.98,67.62
Chhattisgarh,Mahasamund,2023,51.05,58.44,79.71,46.2,30.59,34.83,49.89
