state,district,year,avg_temperature,annual_rainfall_mm,humidity_percent,heatwave_days,flood_incidents
Andhra Pradesh,Bapatla,2021,35.02,761,74.32,11,8
Andhra Pradesh,Bapatla,2022,24.98,2317,33.65,32,8
Andhra Pradesh,Bapatla,2023,35.8,296,61.01,18,10
Andhra Pradesh,Bapatla,2024,30.55,1814,41.87,4,0
Andhra Pradesh,Bapatla,2025,38.94,2683,42.88,40,10
Andhra Pradesh,Chittoor,2015,39.87,1652,57.82,11,3
Andhra Pradesh,Chittoor,2016,33.43,1662,90.5,35,2
Andhra Pradesh,Chittoor,2017,18.32,2596,33.09,18,5
Andhra Pradesh,Chittoor,2018,38.4,221,85.44,35,2
Andhra Pradesh,Chittoor,2019,38.57,791,64.9,2,6
Andhra Pradesh,Chittoor,2020,25.47,1646,72.51,38,1
Andhra Pradesh,Chittoor,2021,25.62,1478,93.91,21,3
Andhra Pradesh,Chittoor,2022,16.59,1270,34.5,20,9
Andhra Pradesh,Chittoor,2023,31.99,380,81.78,6,10
Andhra Pradesh,Chittoor,2024,24.47,2559,51.12,37,1
Andhra Pradesh,Chittoor,2025,17.19,336,33.74,3,1
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,27.02,215,32.6,26,2
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2016,35.95,1155,94.27,33,6
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2017,33.39,1996,68.27,28,4
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2018,29.94,930,88.18,38,6
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2019,34.46,320,39.27,36,2
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2020,23.88,2517,82.16,25,2
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2021,22.54,2400,82.17,16,4
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,30.28,2871,55.83,25,0
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2023,39.78,967,43.89,8,2
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2024,18.91,1589,74.45,2,7
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2025,24.05,2228,31.76,3,8
Andhra Pradesh,East Godavari,2015,35.1,938,36.34,35,3
Andhra Pradesh,East Godavari,2016,28.8,595,38.6,16,4
Andhra Pradesh,East Godavari,2017,35.18,415,77.86,35,1
Andhra Pradesh,East Godavari,2018,37.77,723,84.27,26,9
Andhra Pradesh,East Godavari,2019,26.86,1906,75.03,8,3
Andhra Pradesh,East Godavari,2020,26.72,564,32.77,21,7
Andhra Pradesh,East Godavari,2021,21.22,1287,91.94,38,4
Andhra Pradesh,East Godavari,2022,36.87,590,42.72,25,3
Andhra Pradesh,East Godavari,2023,19.25,664,58.96,19,4
Andhra Pradesh,East Godavari,2024,20.5,955,31.31,24,10
Andhra Pradesh,East Godavari,2025,17.6,272,88.79,19,1
Andhra Pradesh,Eluru,2015,19.76,840,45.18,2,1
Andhra Pradesh,Eluru,2016,20.76,957,83.64,2,6
Andhra Pradesh,Eluru,2017,21.69,2724,79.99,39,2
Andhra Pradesh,Eluru,2018,20.91,1021,78.94,6,5
Andhra Pradesh,Eluru,2019,17.59,1516,59.8,20,2
Andhra Pradesh,Eluru,2020,32.26,806,43.25,27,5
Andhra Pradesh,Eluru,2021,17.98,2206,44.67,39,4
Andhra Pradesh,Eluru,2022,18.39,2558,76.65,19,3
Andhra Pradesh,Eluru,2023,18.26,1011,54.66,36,8
Andhra Pradesh,Eluru,2024,16.01,2781,85.09,2,6
Andhra Pradesh,Eluru,2025,37.41,1835,85.97,19,10
Andhra Pradesh,Guntur,2015,20.81,2856,36.54,3,1
Andhra Pradesh,Guntur,2016,23.22,1306,86.44,22,0
Andhra Pradesh,Guntur,2017,24.94,322,50.73,40,2
Andhra Pradesh,Guntur,2018,38.48,2791,78.29,3,10
Andhra Pradesh,Guntur,2019,25.1,1800,33.89,2,3
Andhra Pradesh,Guntur,2020,22.6,765,49.81,25,6
Andhra Pradesh,Guntur,2021,36.72,2247,88.6,32,9
Andhra Pradesh,Guntur,2022,19.73,1663,73.06,0,0
Andhra Pradesh,Guntur,2023,31.86,952,37.64,6,6
Andhra Pradesh,Guntur,2024,39.69,1178,47.76,29,0
Andhra Pradesh,Guntur,2025,17.07,1356,66.05,26,6
Andhra Pradesh,Kakinada,2015,24.88,1856,50.0,26,8
Andhra Pradesh,Kakinada,2016,39.65,1687,60.25,25,10
Andhra Pradesh,Kakinada,2017,30.42,951,81.8,29,9
Andhra Pradesh,Kakinada,2018,28.4,1655,56.08,27,2
Andhra Pradesh,Kakinada,2019,30.64,2796,70.32,23,10
Andhra Pradesh,Kakinada,2020,20.09,672,90.6,7,3
Andhra Pradesh,Kakinada,2021,38.88,2121,93.5,18,7
Andhra Pradesh,Kakinada,2022,22.2,2716,83.87,33,6
Andhra Pradesh,Kakinada,2023,22.28,2346,53.13,12,0
Andhra Pradesh,Kakinada,2024,20.37,462,92.9,21,4
Andhra Pradesh,Kakinada,2025,29.73,1258,33.11,15,6
Andhra Pradesh,Krishna,2015,16.07,1673,44.12,39,10
Andhra Pradesh,Krishna,2016,23.92,2898,80.1,5,9
Andhra Pradesh,Krishna,2017,22.82,1621,38.18,32,4
Andhra Pradesh,Krishna,2018,20.58,700,69.46,35,7
Andhra Pradesh,Krishna,2019,23.65,1026,50.35,11,8
Andhra Pradesh,Krishna,2020,28.83,1864,64.58,11,9
Andhra Pradesh,Krishna,2021,23.25,726,90.9,11,10
Andhra Pradesh,Krishna,2022,24.73,2282,60.83,35,3
Andhra Pradesh,Krishna,2023,31.33,1295,67.48,8,5
Andhra Pradesh,Krishna,2024,16.26,1658,72.63,37,7
Andhra Pradesh,Krishna,2025,27.49,976,42.34,37,2
Andhra Pradesh,Kurnool,2015,34.68,315,30.52,26,8
Andhra Pradesh,Kurnool,2016,35.98,473,38.84,19,10
Andhra Pradesh,Kurnool,2017,19.47,2777,90.89,38,1
Andhra Pradesh,Kurnool,2018,25.95,1833,38.76,27,6
Andhra Pradesh,Kurnool,2019,22.68,2630,78.78,26,9
Andhra Pradesh,Kurnool,2020,29.03,321,82.95,4,7
Andhra Pradesh,Kurnool,2021,26.47,1171,42.43,5,6
Andhra Pradesh,Kurnool,2022,17.31,1234,87.72,34,0
Andhra Pradesh,Kurnool,2023,33.02,917,92.25,39,3
Andhra Pradesh,Kurnool,2024,17.01,966,93.37,32,8
Andhra Pradesh,Kurnool,2025,19.39,1046,47.64,34,2
Andhra Pradesh,Nandyal,2015,32.56,601,46.85,22,10
Andhra Pradesh,Nandyal,2016,17.94,908,71.58,1,6
Andhra Pradesh,Nandyal,2017,39.5,2557,73.87,37,5
Andhra Pradesh,Nandyal,2018,27.21,450,94.41,31,9
Andhra Pradesh,Nandyal,2019,37.94,1954,53.75,14,8
Andhra Pradesh,Nandyal,2020,18.34,2924,74.43,22,6
Andhra Pradesh,Nandyal,2021,25.52,1098,60.18,2,4
Andhra Pradesh,Nandyal,2022,20.15,1923,80.21,27,2
Andhra Pradesh,Nandyal,2023,25.46,840,48.82,39,2
Andhra Pradesh,Nandyal,2024,33.75,2160,78.09,22,7
Andhra Pradesh,Nandyal,2025,22.26,2609,81.88,34,3
Andhra Pradesh,NTR,2015,32.62,900,75.94,4,6
Andhra Pradesh,NTR,2016,37.85,2327,61.75,20,7
Andhra Pradesh,NTR,2017,22.11,1259,92.01,25,0
Andhra Pradesh,NTR,2018,31.79,1763,71.05,15,1
Andhra Pradesh,NTR,2019,17.7,677,34.81,6,1
Andhra Pradesh,NTR,2020,16.64,1945,52.13,6,8
Andhra Pradesh,NTR,2021,17.75,1713,78.73,20,7
Andhra Pradesh,NTR,2022,32.07,1586,68.98,33,0
Andhra Pradesh,NTR,2023,18.8,1906,59.48,30,4
Andhra Pradesh,NTR,2024,20.47,995,93.4,19,5
Andhra Pradesh,NTR,2025,24.76,2537,58.59,4,7
Andhra Pradesh,Palnadu,2015,19.88,557,73.51,27,5
Andhra Pradesh,Palnadu,2016,38.78,1747,57.98,31,9
Andhra Pradesh,Palnadu,2017,23.64,2191,43.53,8,10
Andhra Pradesh,Palnadu,2018,30.21,1247,51.25,7,5
Andhra Pradesh,Palnadu,2019,28.9,2267,76.24,24,2
Andhra Pradesh,Palnadu,2020,27.92,413,62.59,3,6
Andhra Pradesh,Palnadu,2021,30.54,1100,66.6,28,9
Andhra Pradesh,Palnadu,2022,23.74,2691,70.99,21,8
Andhra Pradesh,Palnadu,2023,19.34,2798,91.4,5,6
Andhra Pradesh,Palnadu,2024,24.74,1541,63.08,11,7
Andhra Pradesh,Palnadu,2025,25.89,2672,67.82,1,5
Andhra Pradesh,Parvathipuram Manyam,2015,16.68,1576,49.54,4,10
Andhra Pradesh,Parvathipuram Manyam,2016,16.27,301,35.43,17,3
Andhra Pradesh,Parvathipuram Manyam,2017,23.37,2502,86.61,8,2
Andhra Pradesh,Parvathipuram Manyam,2018,39.66,539,32.43,20,10
Andhra Pradesh,Parvathipuram Manyam,2019,34.36,2417,71.03,23,10
Andhra Pradesh,Parvathipuram Manyam,2020,26.72,824,52.72,7,3
Andhra Pradesh,Parvathipuram Manyam,2021,37.2,567,92.78,0,1
Andhra Pradesh,Parvathipuram Manyam,2022,18.79,2605,55.01,0,1
Andhra Pradesh,Parvathipuram Manyam,2023,19.35,2268,66.82,36,9
Andhra Pradesh,Parvathipuram Manyam,2024,34.24,2920,80.56,2,2
Andhra Pradesh,Parvathipuram Manyam,2025,27.9,1599,36.19,0,2
Andhra Pradesh,Prakasam,2015,22.18,939,42.44,10,5
Andhra Pradesh,Prakasam,2016,39.28,2037,46.07,3,9
Andhra Pradesh,Prakasam,2017,37.02,338,92.41,40,0
Andhra Pradesh,Prakasam,2018,32.76,2088,70.65,24,0
Andhra Pradesh,Prakasam,2019,21.12,458,61.72,26,3
Andhra Pradesh,Prakasam,2020,32.05,2257,65.45,33,3
Andhra Pradesh,Prakasam,2021,26.08,1141,57.07,30,2
Andhra Pradesh,Prakasam,2022,24.08,1521,89.46,28,9
Andhra Pradesh,Prakasam,2023,26.27,1618,70.19,38,0
Andhra Pradesh,Prakasam,2024,21.35,1306,78.81,8,5
Andhra Pradesh,Prakasam,2025,30.6,2371,94.09,22,4
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,27.7,2507,90.25,38,4
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,36.04,2919,86.62,7,3
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,35.43,2655,76.6,31,8
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,28.5,2101,85.63,0,0
Andhra Pradesh,Sri Potti Sriramulu Nellore,2019,35.18,797,37.98,27,2
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,31.7,235,94.51,22,6
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,26.44,354,43.71,21,1
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,27.56,2027,67.39,19,5
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,33.2,1686,92.78,34,5
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,26.73,2998,52.98,12,7
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,24.76,2800,64.71,14,8
Andhra Pradesh,Sri Sathya Sai,2015,16.08,2899,38.87,7,0
Andhra Pradesh,Sri Sathya Sai,2016,32.15,813,38.43,0,9
Andhra Pradesh,Sri Sathya Sai,2017,20.26,722,46.57,40,0
Andhra Pradesh,Sri Sathya Sai,2018,33.67,2914,85.47,1,2
Andhra Pradesh,Sri Sathya Sai,2019,27.2,592,78.99,1,5
Andhra Pradesh,Sri Sathya Sai,2020,30.44,2762,86.36,7,7
Andhra Pradesh,Sri Sathya Sai,2021,37.43,1646,30.25,36,2
Andhra Pradesh,Sri Sathya Sai,2022,23.36,1298,63.27,1,10
Andhra Pradesh,Sri Sathya Sai,2023,24.61,1472,85.73,30,2
Andhra Pradesh,Sri Sathya Sai,2024,29.48,2768,31.05,1,5
Andhra Pradesh,Sri Sathya Sai,2025,37.46,222,62.72,14,9
Andhra Pradesh,Srikakulam,2015,22.14,756,93.84,33,9
Andhra Pradesh,Srikakulam,2016,24.65,1893,86.96,12,9
Andhra Pradesh,Srikakulam,2017,23.82,880,37.69,10,5
Andhra Pradesh,Srikakulam,2018,15.26,433,42.5,23,2
Andhra Pradesh,Srikakulam,2019,15.41,1963,72.68,36,1
Andhra Pradesh,Srikakulam,2020,18.1,1863,63.18,32,1
Andhra Pradesh,Srikakulam,2021,31.09,1061,70.12,33,1
Andhra Pradesh,Srikakulam,2022,25.16,1635,48.46,18,9
Andhra Pradesh,Srikakulam,2023,25.94,1952,52.94,1,10
Andhra Pradesh,Srikakulam,2024,31.83,2846,41.93,5,0
Andhra Pradesh,Srikakulam,2025,34.44,476,79.06,20,5
Andhra Pradesh,Tirupati,2015,18.76,2239,52.78,16,3
Andhra Pradesh,Tirupati,2016,25.8,943,30.58,7,0
Andhra Pradesh,Tirupati,2017,29.68,2431,78.82,36,3
Andhra Pradesh,Tirupati,2018,31.23,2086,41.09,35,10
Andhra Pradesh,Tirupati,2019,20.49,1105,62.93,33,7
Andhra Pradesh,Tirupati,2020,21.55,1447,49.96,35,0
Andhra Pradesh,Tirupati,2021,29.37,507,87.93,35,3
Andhra Pradesh,Tirupati,2022,18.76,2304,31.43,25,10
Andhra Pradesh,Tirupati,2023,32.54,1673,80.1,37,7
Andhra Pradesh,Tirupati,2024,16.36,2133,69.44,2,9
Andhra Pradesh,Tirupati,2025,20.1,464,65.8,32,4
Andhra Pradesh,Visakhapatnam,2015,22.53,349,31.14,17,2
Andhra Pradesh,Visakhapatnam,2016,28.81,353,86.5,11,0
Andhra Pradesh,Visakhapatnam,2017,18.32,2130,32.88,25,0
Andhra Pradesh,Visakhapatnam,2018,16.12,1436,70.26,3,0
Andhra Pradesh,Visakhapatnam,2019,29.27,1045,64.76,9,7
Andhra Pradesh,Visakhapatnam,2020,27.56,2516,58.65,18,1
Andhra Pradesh,Visakhapatnam,2021,32.9,465,87.7,40,7
Andhra Pradesh,Visakhapatnam,2022,37.13,2130,30.86,3,0
Andhra Pradesh,Visakhapatnam,2023,33.33,799,65.03,13,3
Andhra Pradesh,Visakhapatnam,2024,17.09,1591,73.37,3,7
Andhra Pradesh,Visakhapatnam,2025,38.8,627,58.46,40,6
Andhra Pradesh,Vizianagaram,2015,27.84,2163,44.97,12,7
Andhra Pradesh,Vizianagaram,2016,32.36,2983,34.38,18,7
Andhra Pradesh,Vizianagaram,2017,35.13,632,41.06,28,10
Andhra Pradesh,Vizianagaram,2018,32.35,1329,67.03,10,8
Andhra Pradesh,Vizianagaram,2019,33.37,2574,87.17,7,9
Andhra Pradesh,Vizianagaram,2020,35.13,2499,83.52,14,1
Andhra Pradesh,Vizianagaram,2021,22.13,980,45.94,13,0
Andhra Pradesh,Vizianagaram,2022,28.19,448,74.03,15,9
Andhra Pradesh,Vizianagaram,2023,35.36,2217,49.15,29,5
Andhra Pradesh,Vizianagaram,2024,23.55,1424,73.87,24,9
Andhra Pradesh,Vizianagaram,2025,30.35,1984,65.77,29,6
Andhra Pradesh,West Godavari,2015,35.33,1972,49.26,1,1
Andhra Pradesh,West Godavari,2016,16.55,2000,93.35,40,2
Andhra Pradesh,West Godavari,2017,26.87,2931,84.9,26,3
Andhra Pradesh,West Godavari,2018,35.09,2328,44.76,38,8
Andhra Pradesh,West Godavari,2019,24.44,2850,59.49,10,9
Andhra Pradesh,West Godavari,2020,26.64,2909,44.66,40,0
Andhra Pradesh,West Godavari,2021,21.49,1723,41.43,34,0
Andhra Pradesh,West Godavari,2022,35.07,2221,73.02,9,0
Andhra Pradesh,West Godavari,2023,23.13,2140,77.86,39,1
Andhra Pradesh,West Godavari,2024,18.24,2562,57.07,26,4
Andhra Pradesh,West Godavari,2025,32.61,2897,63.08,35,8
Andhra Pradesh,YSR Kadapa,2015,33.4,233,54.92,9,5
Andhra Pradesh,YSR Kadapa,2016,29.67,804,89.65,22,3
Andhra Pradesh,YSR Kadapa,2017,23.88,1617,49.51,1,5
Andhra Pradesh,YSR Kadapa,2018,19.79,1100,80.34,22,1
Andhra Pradesh,YSR Kadapa,2019,22.41,2722,54.24,8,9
Andhra Pradesh,YSR Kadapa,2020,15.19,383,46.36,40,10
Andhra Pradesh,YSR Kadapa,2021,29.47,1378,34.86,32,2
Andhra Pradesh,YSR Kadapa,2022,29.02,317,39.68,0,3
Andhra Pradesh,YSR Kadapa,2023,34.51,2017,42.32,7,2
Andhra Pradesh,YSR Kadapa,2024,28.85,359,90.4,12,5
Andhra Pradesh,YSR Kadapa,2025,25.68,930,92.66,28,0
Arunachal Pradesh,Tawang,2015,38.85,806,91.62,32,10
Arunachal Pradesh,Tawang,2016,24.91,1829,92.82,34,4
Arunachal Pradesh,Tawang,2017,33.65,2415,58.66,20,2
Arunachal Pradesh,Tawang,2018,30.73,2871,43.58,16,2
Arunachal Pradesh,Tawang,2019,25.11,2353,72.96,2,10
Arunachal Pradesh,Tawang,2020,16.49,633,66.95,35,10
Arunachal Pradesh,Tawang,2021,28.22,595,55.91,17,3
Arunachal Pradesh,Tawang,2022,32.46,1909,93.23,11,10
Arunachal Pradesh,Tawang,2023,29.22,1670,75.21,4,10
Arunachal Pradesh,Tawang,2024,37.19,2966,45.25,27,3
Arunachal Pradesh,Tawang,2025,29.86,1071,38.83,20,6
Arunachal Pradesh,West Kameng,2015,17.86,301,67.71,8,5
Arunachal Pradesh,West Kameng,2016,15.98,2779,60.54,14,5
Arunachal Pradesh,West Kameng,2017,17.67,2913,57.83,4,4
Arunachal Pradesh,West Kameng,2018,25.29,1827,71.45,7,3
Arunachal Pradesh,West Kameng,2019,39.48,2227,35.4,1,6
Arunachal Pradesh,West Kameng,2020,27.18,2394,87.41,33,3
Arunachal Pradesh,West Kameng,2021,17.84,2239,89.0,27,6
Arunachal Pradesh,West Kameng,2022,22.79,1021,42.17,27,9
Arunachal Pradesh,West Kameng,2023,20.57,375,59.42,7,10
Arunachal Pradesh,West Kameng,2024,38.49,648,73.54,22,8
Arunachal Pradesh,West Kameng,2025,17.69,1826,93.83,6,1
Arunachal Pradesh,East Kameng,2015,39.12,2195,66.64,25,2
Arunachal Pradesh,East Kameng,2016,15.07,2425,93.48,15,6
Arunachal Pradesh,East Kameng,2017,38.16,387,66.57,19,4
Arunachal Pradesh,East Kameng,2018,32.16,1727,30.56,17,10
Arunachal Pradesh,East Kameng,2019,37.15,1582,53.47,35,6
Arunachal Pradesh,East Kameng,2020,30.51,2680,86.8,36,6
Arunachal Pradesh,East Kameng,2021,32.24,1427,93.4,29,4
Arunachal Pradesh,East Kameng,2022,21.8,1514,71.05,29,9
Arunachal Pradesh,East Kameng,2023,35.79,1416,89.8,26,8
Arunachal Pradesh,East Kameng,2024,34.33,2713,75.2,33,0
Arunachal Pradesh,East Kameng,2025,18.52,764,31.83,33,10
Arunachal Pradesh,Papum Pare,2015,32.81,781,91.97,28,1
Arunachal Pradesh,Papum Pare,2016,26.76,838,67.81,32,1
Arunachal Pradesh,Papum Pare,2017,35.6,2748,47.1,8,9
Arunachal Pradesh,Papum Pare,2018,27.27,2096,34.19,21,1
Arunachal Pradesh,Papum Pare,2019,19.56,2251,38.23,18,1
Arunachal Pradesh,Papum Pare,2020,22.83,2570,71.88,35,3
Arunachal Pradesh,Papum Pare,2021,30.45,1667,40.34,39,0
Arunachal Pradesh,Papum Pare,2022,26.72,855,61.63,19,1
Arunachal Pradesh,Papum Pare,2023,25.71,1196,79.4,14,4
Arunachal Pradesh,Papum Pare,2024,16.33,1929,64.53,31,8
Arunachal Pradesh,Papum Pare,2025,37.86,1091,58.99,1,6
Arunachal Pradesh,Kurung Kumey,2015,30.17,581,79.32,2,4
Arunachal Pradesh,Kurung Kumey,2016,22.55,2545,45.52,23,8
Arunachal Pradesh,Kurung Kumey,2017,38.84,2590,62.32,15,7
Arunachal Pradesh,Kurung Kumey,2018,30.99,276,76.3,11,8
Arunachal Pradesh,Kurung Kumey,2019,23.1,1089,73.19,26,4
Arunachal Pradesh,Kurung Kumey,2020,21.28,2500,38.06,19,9
Arunachal Pradesh,Kurung Kumey,2021,15.76,945,82.94,6,4
Arunachal Pradesh,Kurung Kumey,2022,15.59,1727,34.98,23,8
Arunachal Pradesh,Kurung Kumey,2023,32.11,882,41.08,29,1
Arunachal Pradesh,Kurung Kumey,2024,37.13,1395,45.58,15,2
Arunachal Pradesh,Kurung Kumey,2025,24.19,1674,93.81,38,8
Arunachal Pradesh,Kra Daadi,2015,19.02,2434,48.07,37,0
Arunachal Pradesh,Kra Daadi,2016,17.95,2470,51.85,18,3
Arunachal Pradesh,Kra Daadi,2017,32.55,1125,75.96,22,7
Arunachal Pradesh,Kra Daadi,2018,33.77,805,78.12,7,10
Arunachal Pradesh,Kra Daadi,2019,37.05,981,48.84,18,7
Arunachal Pradesh,Kra Daadi,2020,34.25,2926,86.87,28,0
Arunachal Pradesh,Kra Daadi,2021,27.38,608,57.9,20,7
Arunachal Pradesh,Kra Daadi,2022,35.08,1336,48.25,38,3
Arunachal Pradesh,Kra Daadi,2023,23.75,1523,33.14,27,0
Arunachal Pradesh,Kra Daadi,2024,27.13,1684,87.2,16,2
Arunachal Pradesh,Kra Daadi,2025,27.91,644,47.96,26,6
Arunachal Pradesh,Lower Subansiri,2015,19.71,2495,84.35,6,10
Arunachal Pradesh,Lower Subansiri,2016,30.39,2546,92.08,21,10
Arunachal Pradesh,Lower Subansiri,2017,19.59,1583,75.61,20,8
Arunachal Pradesh,Lower Subansiri,2018,22.18,975,93.81,33,6
Arunachal Pradesh,Lower Subansiri,2019,24.2,1353,30.32,4,4
Arunachal Pradesh,Lower Subansiri,2020,26.88,620,85.82,4,4
Arunachal Pradesh,Lower Subansiri,2021,33.76,2083,34.19,39,6
Arunachal Pradesh,Lower Subansiri,2022,15.77,888,73.12,35,0
Arunachal Pradesh,Lower Subansiri,2023,15.14,1018,94.27,39,10
Arunachal Pradesh,Lower Subansiri,2024,37.97,2335,83.21,37,4
Arunachal Pradesh,Lower Subansiri,2025,30.5,2363,63.68,27,9
Arunachal Pradesh,Upper Subansiri,2015,27.65,397,90.63,38,10
Arunachal Pradesh,Upper Subansiri,2016,29.76,1320,77.0,22,5
Arunachal Pradesh,Upper Subansiri,2017,17.86,1314,84.66,12,7
Arunachal Pradesh,Upper Subansiri,2018,23.6,368,85.9,22,6
Arunachal Pradesh,Upper Subansiri,2019,21.29,1690,67.96,33,6
Arunachal Pradesh,Upper Subansiri,2020,25.09,822,37.31,24,6
Arunachal Pradesh,Upper Subansiri,2021,32.36,2117,83.01,4,6
Arunachal Pradesh,Upper Subansiri,2022,35.67,203,57.91,5,8
Arunachal Pradesh,Upper Subansiri,2023,15.66,853,41.06,31,0
Arunachal Pradesh,Upper Subansiri,2024,35.64,2659,56.61,3,3
Arunachal Pradesh,Upper Subansiri,2025,15.04,1339,73.47,26,10
Arunachal Pradesh,West Siang,2015,36.04,1133,31.97,5,2
Arunachal Pradesh,West Siang,2016,23.74,2334,92.79,34,4
Arunachal Pradesh,West Siang,2017,34.01,1901,75.76,17,9
Arunachal Pradesh,West Siang,2018,32.65,1208,64.73,3,0
Arunachal Pradesh,West Siang,2019,38.35,565,51.92,24,9
Arunachal Pradesh,West Siang,2020,35.33,881,65.33,8,6
Arunachal Pradesh,West Siang,2021,25.29,717,92.57,31,9
Arunachal Pradesh,West Siang,2022,25.21,2252,70.57,18,3
Arunachal Pradesh,West Siang,2023,18.66,1198,47.85,4,7
Arunachal Pradesh,West Siang,2024,16.3,269,68.7,37,1
Arunachal Pradesh,West Siang,2025,16.15,609,76.25,5,5
Arunachal Pradesh,East Siang,2015,25.26,1817,55.41,28,10
Arunachal Pradesh,East Siang,2016,32.22,1889,71.87,15,5
Arunachal Pradesh,East Siang,2017,25.64,2010,32.44,34,6
Arunachal Pradesh,East Siang,2018,25.97,1481,41.71,28,7
Arunachal Pradesh,East Siang,2019,18.21,2735,92.92,9,6
Arunachal Pradesh,East Siang,2020,18.58,2895,31.96,32,6
