state,district,year,literacy_rate,male_literacy_rate,female_literacy_rate,schools,teachers,students
Andhra Pradesh,Bapatla,2021,93.34,90.49,52.99,1663,6481,125251
Andhra Pradesh,Bapatla,2022,61.2,94.05,52.83,1568,6260,181854
Andhra Pradesh,Bapatla,2023,58.57,88.39,73.14,240,7831,179168
Andhra Pradesh,Bapatla,2024,84.59,64.15,64.54,1139,5249,111352
Andhra Pradesh,Bapatla,2025,55.46,75.69,77.24,111,7913,138600
Andhra Pradesh,Chittoor,2015,80.24,98.33,84.87,1878,3904,37325
Andhra Pradesh,Chittoor,2016,61.89,72.56,93.7,957,2246,102443
Andhra Pradesh,Chittoor,2017,57.49,65.01,60.66,1427,7653,113688
Andhra Pradesh,Chittoor,2018,81.58,73.85,55.81,351,6241,103331
Andhra Pradesh,Chittoor,2019,96.17,78.26,52.47,197,1435,191650
Andhra Pradesh,Chittoor,2020,77.88,97.26,67.04,1259,446,157917
Andhra Pradesh,Chittoor,2021,77.28,82.09,83.17,1163,6012,67803
Andhra Pradesh,Chittoor,2022,96.37,85.48,83.55,1384,267,55475
Andhra Pradesh,Chittoor,2023,60.67,85.28,84.55,863,5646,22456
Andhra Pradesh,Chittoor,2024,59.78,61.27,84.91,1880,2004,129001
Andhra Pradesh,Chittoor,2025,76.02,92.46,81.58,383,7783,110925
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,96.3,78.74,58.79,321,1904,99638
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2016,61.31,79.79,51.02,993,5801,119645
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2017,57.36,74.67,82.19,1873,2004,74477
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2018,85.09,88.12,63.6,1039,5695,40659
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2019,65.59,86.74,88.73,1692,5172,22666
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2020,88.63,94.35,68.82,899,6953,91535
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2021,84.26,63.39,69.36,1170,7738,149784
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,79.06,68.77,70.93,1036,7726,124540
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2023,60.0,65.84,83.61,974,581,29814
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2024,84.69,79.66,87.1,514,3212,116706
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2025,94.76,62.35,65.2,541,3981,38504
Andhra Pradesh,East Godavari,2015,70.99,74.49,84.35,1702,2744,137388
Andhra Pradesh,East Godavari,2016,82.14,61.61,71.61,444,6550,81203
Andhra Pradesh,East Godavari,2017,66.82,88.72,75.45,189,2438,72561
Andhra Pradesh,East Godavari,2018,63.42,89.31,67.2,702,7559,17491
Andhra Pradesh,East Godavari,2019,95.8,71.02,87.21,994,2074,136470
Andhra Pradesh,East Godavari,2020,74.96,98.28,57.88,1315,2585,71968
Andhra Pradesh,East Godavari,2021,62.72,60.32,78.04,1205,5946,137237
Andhra Pradesh,East Godavari,2022,78.67,83.32,69.62,1130,1181,74595
Andhra Pradesh,East Godavari,2023,78.01,64.96,57.86,1762,6685,137427
Andhra Pradesh,East Godavari,2024,74.64,86.68,93.99,792,6985,21383
Andhra Pradesh,East Godavari,2025,61.46,71.2,60.07,980,3067,101614
Andhra Pradesh,Eluru,2015,64.24,97.67,55.75,283,257,41601
Andhra Pradesh,Eluru,2016,75.09,72.05,79.71,626,7854,23699
Andhra Pradesh,Eluru,2017,93.6,77.74,95.24,357,5486,17045
Andhra Pradesh,Eluru,2018,62.62,72.6,92.3,1904,1498,159251
Andhra Pradesh,Eluru,2019,93.53,89.1,52.8,129,367,135740
Andhra Pradesh,Eluru,2020,92.24,71.95,79.84,381,7043,132726
Andhra Pradesh,Eluru,2021,79.17,93.92,72.21,1708,1533,29073
Andhra Pradesh,Eluru,2022,92.45,63.15,63.16,1921,2451,9775
Andhra Pradesh,Eluru,2023,71.93,61.55,73.24,548,3515,8227
Andhra Pradesh,Eluru,2024,57.25,73.64,58.35,526,4722,3412
Andhra Pradesh,Eluru,2025,95.62,81.5,59.64,279,2736,146130
Andhra Pradesh,Guntur,2015,82.03,93.55,89.55,1217,4158,28840
Andhra Pradesh,Guntur,2016,73.2,67.76,82.33,1573,1212,173042
Andhra Pradesh,Guntur,2017,84.39,85.99,89.69,1014,3324,182938
Andhra Pradesh,Guntur,2018,83.45,78.93,89.56,1579,6782,30042
Andhra Pradesh,Guntur,2019,71.92,73.77,73.6,591,4712,189215
Andhra Pradesh,Guntur,2020,97.0,93.15,65.53,501,6951,50997
Andhra Pradesh,Guntur,2021,79.25,80.56,91.34,1174,5209,43894
Andhra Pradesh,Guntur,2022,85.19,63.03,96.23,1510,4284,132881
Andhra Pradesh,Guntur,2023,69.75,76.16,58.11,474,5788,120314
Andhra Pradesh,Guntur,2024,65.38,90.56,90.43,1491,2398,146900
Andhra Pradesh,Guntur,2025,60.32,69.92,78.02,202,7534,48592
Andhra Pradesh,Kakinada,2015,92.39,92.55,55.05,479,5010,32161
Andhra Pradesh,Kakinada,2016,59.06,65.15,79.99,1794,4971,149961
Andhra Pradesh,Kakinada,2017,70.72,86.68,92.78,1593,1289,156601
Andhra Pradesh,Kakinada,2018,59.19,75.35,85.96,654,6151,89318
Andhra Pradesh,Kakinada,2019,90.34,66.58,67.52,1457,394,84002
Andhra Pradesh,Kakinada,2020,83.51,61.32,68.92,1443,4171,19746
Andhra Pradesh,Kakinada,2021,64.43,83.64,80.02,1127,7355,168440
Andhra Pradesh,Kakinada,2022,94.7,81.93,50.52,1596,5712,130410
Andhra Pradesh,Kakinada,2023,57.58,71.61,70.39,1502,7367,40096
Andhra Pradesh,Kakinada,2024,75.73,73.22,94.05,866,2407,65623
Andhra Pradesh,Kakinada,2025,77.16,72.27,79.26,880,6624,153300
Andhra Pradesh,Krishna,2015,62.0,62.37,71.08,1812,1995,136274
Andhra Pradesh,Krishna,2016,88.28,64.4,60.14,234,5563,7838
Andhra Pradesh,Krishna,2017,76.99,85.33,62.88,724,3532,133917
Andhra Pradesh,Krishna,2018,88.76,68.48,92.84,1203,4453,85070
Andhra Pradesh,Krishna,2019,63.16,97.57,75.73,1609,7737,112574
Andhra Pradesh,Krishna,2020,94.09,92.21,65.16,189,632,87718
Andhra Pradesh,Krishna,2021,97.48,88.67,66.3,1532,1013,138299
Andhra Pradesh,Krishna,2022,57.71,88.71,79.58,79,3763,156416
Andhra Pradesh,Krishna,2023,67.9,78.51,72.44,495,4617,145358
Andhra Pradesh,Krishna,2024,67.76,69.64,56.7,519,2037,25651
Andhra Pradesh,Krishna,2025,73.52,83.43,95.21,1473,3398,67501
Andhra Pradesh,Kurnool,2015,60.14,91.26,54.15,760,7170,131286
Andhra Pradesh,Kurnool,2016,57.96,64.84,87.58,574,7344,61676
Andhra Pradesh,Kurnool,2017,76.31,88.1,94.16,1151,7432,116768
Andhra Pradesh,Kurnool,2018,96.4,87.52,63.45,812,1651,179970
Andhra Pradesh,Kurnool,2019,71.71,82.89,90.29,1811,5560,196411
Andhra Pradesh,Kurnool,2020,72.03,66.46,78.95,881,6747,90818
Andhra Pradesh,Kurnool,2021,66.97,93.83,68.99,990,7877,49877
Andhra Pradesh,Kurnool,2022,87.14,97.47,54.96,679,3274,154067
Andhra Pradesh,Kurnool,2023,97.67,81.02,82.39,1275,6071,183202
Andhra Pradesh,Kurnool,2024,86.38,78.78,75.91,483,3820,151158
Andhra Pradesh,Kurnool,2025,97.76,67.71,64.74,1784,2898,144611
Andhra Pradesh,Nandyal,2015,77.34,93.87,89.66,930,3334,163278
Andhra Pradesh,Nandyal,2016,79.78,67.07,79.47,803,2948,48333
Andhra Pradesh,Nandyal,2017,84.18,70.64,64.7,153,7138,175261
Andhra Pradesh,Nandyal,2018,60.54,70.88,53.91,650,1124,163371
Andhra Pradesh,Nandyal,2019,91.05,86.08,82.44,280,2233,28676
Andhra Pradesh,Nandyal,2020,62.62,60.4,76.7,73,3161,72212
Andhra Pradesh,Nandyal,2021,60.42,78.17,68.19,1579,7559,197123
Andhra Pradesh,Nandyal,2022,75.35,79.83,63.46,101,2859,56312
Andhra Pradesh,Nandyal,2023,74.99,62.57,62.07,1962,7395,128088
Andhra Pradesh,Nandyal,2024,83.78,71.74,70.91,1896,806,62921
Andhra Pradesh,Nandyal,2025,72.14,66.69,50.29,669,5672,193532
Andhra Pradesh,NTR,2015,80.3,63.9,80.79,417,7360,144338
Andhra Pradesh,NTR,2016,75.38,94.28,83.0,1337,2144,97636
Andhra Pradesh,NTR,2017,89.97,76.12,92.99,685,7564,60213
Andhra Pradesh,NTR,2018,84.32,82.75,89.94,945,4281,156689
Andhra Pradesh,NTR,2019,55.65,92.14,52.2,1118,1262,174543
Andhra Pradesh,NTR,2020,93.11,96.75,53.47,487,3360,172567
Andhra Pradesh,NTR,2021,82.47,87.47,87.79,1673,5120,39202
Andhra Pradesh,NTR,2022,91.27,62.75,95.52,977,2856,159827
Andhra Pradesh,NTR,2023,91.24,77.41,58.31,426,4742,83506
Andhra Pradesh,NTR,2024,70.83,90.08,95.89,1332,520,42412
Andhra Pradesh,NTR,2025,73.12,79.39,82.03,1525,1941,51890
Andhra Pradesh,Palnadu,2015,74.88,69.04,64.06,497,791,199725
Andhra Pradesh,Palnadu,2016,84.32,87.38,58.28,1003,1449,2067
Andhra Pradesh,Palnadu,2017,77.68,81.59,55.74,787,4387,47843
Andhra Pradesh,Palnadu,2018,60.18,62.54,53.73,402,976,128811
Andhra Pradesh,Palnadu,2019,91.7,69.83,52.74,1829,7350,186065
Andhra Pradesh,Palnadu,2020,78.94,69.49,88.02,1064,6918,109495
Andhra Pradesh,Palnadu,2021,79.9,77.77,71.05,360,7841,38901
Andhra Pradesh,Palnadu,2022,73.49,88.33,88.61,260,5215,43493
Andhra Pradesh,Palnadu,2023,78.78,69.8,86.02,502,2712,116540
Andhra Pradesh,Palnadu,2024,64.61,83.1,62.73,125,5068,140396
Andhra Pradesh,Palnadu,2025,84.69,76.28,64.33,1885,5351,38679
Andhra Pradesh,Parvathipuram Manyam,2015,93.87,91.41,91.59,1619,6950,137793
Andhra Pradesh,Parvathipuram Manyam,2016,86.64,69.63,77.48,1032,3360,17274
Andhra Pradesh,Parvathipuram Manyam,2017,66.62,78.4,77.08,561,6375,108675
Andhra Pradesh,Parvathipuram Manyam,2018,60.56,81.98,82.97,1621,5470,141700
Andhra Pradesh,Parvathipuram Manyam,2019,88.85,95.34,59.14,1599,4888,173948
Andhra Pradesh,Parvathipuram Manyam,2020,65.26,65.9,64.53,1880,6253,167968
Andhra Pradesh,Parvathipuram Manyam,2021,72.68,86.51,94.63,1004,7354,140138
Andhra Pradesh,Parvathipuram Manyam,2022,72.82,92.97,66.97,497,2626,111979
Andhra Pradesh,Parvathipuram Manyam,2023,68.92,88.55,86.59,733,7696,117997
Andhra Pradesh,Parvathipuram Manyam,2024,85.24,71.87,73.11,699,729,12535
Andhra Pradesh,Parvathipuram Manyam,2025,57.7,70.31,71.19,702,5242,191001
Andhra Pradesh,Prakasam,2015,76.16,96.12,67.96,667,5080,85826
Andhra Pradesh,Prakasam,2016,73.75,65.01,62.86,157,1795,170658
Andhra Pradesh,Prakasam,2017,92.23,66.5,64.81,1237,622,11871
Andhra Pradesh,Prakasam,2018,79.89,69.67,79.44,1826,7853,108209
Andhra Pradesh,Prakasam,2019,76.08,82.9,71.94,1345,5734,134673
Andhra Pradesh,Prakasam,2020,60.23,60.26,86.5,1669,621,166652
Andhra Pradesh,Prakasam,2021,71.41,82.67,71.42,1256,1927,66546
Andhra Pradesh,Prakasam,2022,71.68,85.26,60.9,946,3783,37541
Andhra Pradesh,Prakasam,2023,66.27,96.01,61.42,1839,390,165502
Andhra Pradesh,Prakasam,2024,91.58,87.05,53.48,1279,7375,198138
Andhra Pradesh,Prakasam,2025,61.26,97.29,76.88,177,5488,18925
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,74.53,84.78,54.66,1321,4603,155986
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,92.16,66.81,53.35,1356,730,104358
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,72.63,65.91,77.82,1231,3797,143922
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,82.36,91.0,89.61,632,2647,173918
Andhra Pradesh,Sri Potti Sriramulu Nellore,2019,83.69,67.79,89.92,1761,2023,160431
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,75.44,71.7,69.98,1176,4130,94152
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,89.9,61.18,64.91,568,661,132849
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,63.15,78.99,81.32,1999,3847,131653
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,97.09,96.15,61.64,285,4088,111510
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,61.12,94.72,80.3,1923,3866,109213
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,97.98,80.5,96.06,365,5431,166874
Andhra Pradesh,Sri Sathya Sai,2015,67.02,87.6,71.64,1549,3891,92404
Andhra Pradesh,Sri Sathya Sai,2016,75.73,62.73,60.34,1815,1995,175546
Andhra Pradesh,Sri Sathya Sai,2017,57.16,71.19,83.95,1559,738,46689
Andhra Pradesh,Sri Sathya Sai,2018,94.8,89.25,53.91,151,6035,190090
Andhra Pradesh,Sri Sathya Sai,2019,96.36,62.49,53.56,1019,6235,163141
Andhra Pradesh,Sri Sathya Sai,2020,57.49,88.88,78.11,1783,5327,63716
Andhra Pradesh,Sri Sathya Sai,2021,72.58,60.9,59.02,1873,4385,122237
Andhra Pradesh,Sri Sathya Sai,2022,83.44,90.83,84.53,163,2223,167836
Andhra Pradesh,Sri Sathya Sai,2023,89.99,68.02,66.67,677,6083,27976
Andhra Pradesh,Sri Sathya Sai,2024,82.91,70.62,58.59,332,3274,180185
Andhra Pradesh,Sri Sathya Sai,2025,62.83,70.98,81.36,1848,5381,46673
Andhra Pradesh,Srikakulam,2015,88.7,72.21,87.16,736,1957,21476
Andhra Pradesh,Srikakulam,2016,95.03,71.13,89.75,527,4813,141431
Andhra Pradesh,Srikakulam,2017,87.58,81.26,92.44,1874,3185,173917
Andhra Pradesh,Srikakulam,2018,75.73,82.81,66.24,617,5735,113357
Andhra Pradesh,Srikakulam,2019,81.94,61.78,71.29,1785,1393,140033
Andhra Pradesh,Srikakulam,2020,93.71,75.21,79.87,866,6807,3604
Andhra Pradesh,Srikakulam,2021,71.6,81.76,67.92,714,2012,137525
Andhra Pradesh,Srikakulam,2022,63.95,80.66,69.23,800,6009,192175
Andhra Pradesh,Srikakulam,2023,76.84,66.97,58.84,429,1761,88354
Andhra Pradesh,Srikakulam,2024,60.09,96.05,61.6,643,1929,170485
Andhra Pradesh,Srikakulam,2025,89.34,92.49,95.71,171,6380,142306
Andhra Pradesh,Tirupati,2015,80.34,96.09,68.17,1405,916,20267
Andhra Pradesh,Tirupati,2016,97.87,63.46,86.48,816,6776,8223
Andhra Pradesh,Tirupati,2017,87.05,68.39,63.55,1063,687,52389
Andhra Pradesh,Tirupati,2018,65.46,86.36,63.63,139,7352,143420
Andhra Pradesh,Tirupati,2019,67.05,79.72,78.3,1891,1259,155378
Andhra Pradesh,Tirupati,2020,93.62,64.23,87.85,296,4482,170513
Andhra Pradesh,Tirupati,2021,76.47,88.03,81.11,437,707,72976
Andhra Pradesh,Tirupati,2022,89.25,86.97,52.31,770,3526,9069
Andhra Pradesh,Tirupati,2023,66.91,79.94,90.82,542,7864,73631
Andhra Pradesh,Tirupati,2024,72.29,76.0,58.25,1522,5225,17879
Andhra Pradesh,Tirupati,2025,56.11,81.62,66.52,872,2819,162448
Andhra Pradesh,Visakhapatnam,2015,56.07,66.7,75.92,627,1932,133096
Andhra Pradesh,Visakhapatnam,2016,71.43,62.1,91.5,1037,898,132599
Andhra Pradesh,Visakhapatnam,2017,88.73,66.9,59.81,438,3389,124264
Andhra Pradesh,Visakhapatnam,2018,96.55,85.49,68.63,874,2977,129694
Andhra Pradesh,Visakhapatnam,2019,93.8,72.91,91.75,220,3161,52829
Andhra Pradesh,Visakhapatnam,2020,82.42,75.52,76.04,117,5424,117973
Andhra Pradesh,Visakhapatnam,2021,79.77,61.87,66.59,1817,6100,62534
Andhra Pradesh,Visakhapatnam,2022,69.68,60.27,92.56,1405,7974,18307
Andhra Pradesh,Visakhapatnam,2023,75.26,87.71,51.93,145,650,110926
Andhra Pradesh,Visakhapatnam,2024,77.53,67.91,67.16,1640,4428,195212
Andhra Pradesh,Visakhapatnam,2025,55.78,88.49,94.9,586,5228,110228
Andhra Pradesh,Vizianagaram,2015,84.79,62.97,81.58,841,4379,101461
Andhra Pradesh,Vizianagaram,2016,63.6,84.67,59.95,1147,3410,194621
Andhra Pradesh,Vizianagaram,2017,82.14,63.81,80.44,283,1519,199409
Andhra Pradesh,Vizianagaram,2018,70.53,74.43,65.43,183,4175,190776
Andhra Pradesh,Vizianagaram,2019,65.64,65.85,66.75,1287,3590,91637
Andhra Pradesh,Vizianagaram,2020,60.66,92.89,85.35,1187,6627,168412
Andhra Pradesh,Vizianagaram,2021,60.94,63.61,74.72,522,3137,6847
Andhra Pradesh,Vizianagaram,2022,78.62,86.99,54.72,1762,2102,35464
Andhra Pradesh,Vizianagaram,2023,63.83,98.45,81.63,1744,2777,115449
Andhra Pradesh,Vizianagaram,2024,83.41,94.5,58.61,1458,1317,141930
Andhra Pradesh,Vizianagaram,2025,89.79,64.23,64.8,1637,322,199260
Andhra Pradesh,West Godavari,2015,55.52,70.59,56.69,1440,5878,198357
Andhra Pradesh,West Godavari,2016,57.18,60.54,89.94,1386,535,171448
Andhra Pradesh,West Godavari,2017,86.55,71.4,76.72,522,6490,35211
Andhra Pradesh,West Godavari,2018,57.06,62.5,92.38,948,1454,56358
Andhra Pradesh,West Godavari,2019,64.65,87.83,88.96,506,480,145838
Andhra Pradesh,West Godavari,2020,91.09,72.42,73.57,586,817,196508
Andhra Pradesh,West Godavari,2021,72.23,68.97,60.2,403,1142,74431
Andhra Pradesh,West Godavari,2022,55.72,70.33,92.14,1942,953,29205
Andhra Pradesh,West Godavari,2023,75.06,82.56,60.64,1109,772,53574
Andhra Pradesh,West Godavari,2024,86.8,61.04,78.09,1437,7863,93710
Andhra Pradesh,West Godavari,2025,60.75,65.85,71.51,577,6247,88234
Andhra Pradesh,YSR Kadapa,2015,79.43,83.55,71.62,1044,6710,94434
Andhra Pradesh,YSR Kadapa,2016,69.56,97.48,84.85,1776,3622,156357
Andhra Pradesh,YSR Kadapa,2017,57.61,97.07,79.48,1815,6428,117151
Andhra Pradesh,YSR Kadapa,2018,60.7,91.3,80.1,1614,5900,137473
Andhra Pradesh,YSR Kadapa,2019,87.82,75.53,67.5,1335,2960,5958
Andhra Pradesh,YSR Kadapa,2020,72.22,91.76,90.67,1115,1662,167571
Andhra Pradesh,YSR Kadapa,2021,59.66,81.6,61.73,758,7588,162313
Andhra Pradesh,YSR Kadapa,2022,74.46,64.47,95.98,74,2903,188139
Andhra Pradesh,YSR Kadapa,2023,88.58,90.87,70.66,810,2999,75957
Andhra Pradesh,YSR Kadapa,2024,92.85,96.41,77.31,1743,6624,98462
Andhra Pradesh,YSR Kadapa,2025,67.6,74.45,89.86,648,1907,61751
Arunachal Pradesh,Tawang,2015,87.36,75.71,53.0,80,5773,197245
Arunachal Pradesh,Tawang,2016,78.72,83.98,57.68,317,3205,115042
Arunachal Pradesh,Tawang,2017,95.61,62.27,63.21,1833,3445,72650
Arunachal Pradesh,Tawang,2018,81.48,60.22,91.96,1170,6173,179830
Arunachal Pradesh,Tawang,2019,67.73,67.31,53.1,1953,2202,21210
Arunachal Pradesh,Tawang,2020,94.87,90.71,76.29,592,5193,59839
Arunachal Pradesh,Tawang,2021,64.93,66.85,81.33,1043,4761,146102
Arunachal Pradesh,Tawang,2022,59.65,98.01,69.78,844,3483,19479
Arunachal Pradesh,Tawang,2023,85.23,82.53,86.43,1513,6474,198350
Arunachal Pradesh,Tawang,2024,85.15,82.94,85.49,1824,6908,146046
Arunachal Pradesh,Tawang,2025,69.86,88.06,62.47,1901,2791,92421
Arunachal Pradesh,West Kameng,2015,82.33,66.75,55.56,1964,7612,125460
Arunachal Pradesh,West Kameng,2016,88.76,62.2,96.77,837,4532,136228
Arunachal Pradesh,West Kameng,2017,96.7,69.05,74.25,1205,6425,71410
Arunachal Pradesh,West Kameng,2018,94.43,61.16,89.47,1772,3081,169473
Arunachal Pradesh,West Kameng,2019,84.88,81.12,53.52,252,3307,98713
Arunachal Pradesh,West Kameng,2020,94.53,73.44,73.72,1489,5091,4228
Arunachal Pradesh,West Kameng,2021,70.73,83.44,51.51,216,5297,160438
Arunachal Pradesh,West Kameng,2022,84.26,70.88,85.34,108,6094,106123
Arunachal Pradesh,West Kameng,2023,85.71,72.88,54.22,69,3442,103878
Arunachal Pradesh,West Kameng,2024,67.11,90.27,95.1,1758,5111,23531
Arunachal Pradesh,West Kameng,2025,62.12,60.02,63.63,736,6151,86247
Arunachal Pradesh,East Kameng,2015,90.75,76.46,88.88,1522,1902,151816
Arunachal Pradesh,East Kameng,2016,80.37,75.17,64.57,1726,6949,28038
Arunachal Pradesh,East Kameng,2017,63.33,73.12,74.25,1256,7253,75309
Arunachal Pradesh,East Kameng,2018,88.59,70.42,69.16,1539,1290,8349
Arunachal Pradesh,East Kameng,2019,66.53,89.84,55.0,985,7576,185758
Arunachal Pradesh,East Kameng,2020,66.85,77.65,94.62,1293,6382,121740
Arunachal Pradesh,East Kameng,2021,55.46,92.36,86.83,667,4149,95559
Arunachal Pradesh,East Kameng,2022,62.95,62.87,55.72,245,5810,162846
Arunachal Pradesh,East Kameng,2023,77.79,94.64,89.31,1872,1235,80059
Arunachal Pradesh,East Kameng,2024,96.01,68.2,87.6,1783,5323,42293
Arunachal Pradesh,East Kameng,2025,73.1,78.03,94.77,955,2086,159364
Arunachal Pradesh,Papum Pare,2015,65.65,96.31,50.0,323,6668,192219
Arunachal Pradesh,Papum Pare,2016,63.26,68.23,70.96,170,864,60669
Arunachal Pradesh,Papum Pare,2017,87.1,89.96,54.45,1457,2641,114873
Arunachal Pradesh,Papum Pare,2018,95.62,94.05,90.17,1096,4826,94519
Arunachal Pradesh,Papum Pare,2019,61.18,75.4,84.31,1345,3794,83129
Arunachal Pradesh,Papum Pare,2020,88.83,89.64,61.36,1307,1824,65732
Arunachal Pradesh,Papum Pare,2021,77.3,96.67,68.93,206,7253,192355
Arunachal Pradesh,Papum Pare,2022,75.43,90.39,91.02,83,1649,106443
Arunachal Pradesh,Papum Pare,2023,93.79,92.89,63.65,157,4944,22864
Arunachal Pradesh,Papum Pare,2024,58.57,79.95,91.95,423,2354,167402
Arunachal Pradesh,Papum Pare,2025,91.87,70.92,52.79,117,4743,73148
Arunachal Pradesh,Kurung Kumey,2015,71.45,88.74,78.59,357,6015,164498
Arunachal Pradesh,Kurung Kumey,2016,64.82,66.44,81.23,1377,7474,3317
Arunachal Pradesh,Kurung Kumey,2017,63.21,60.18,75.47,1827,6323,193397
Arunachal Pradesh,Kurung Kumey,2018,72.91,74.21,88.43,727,3504,57657
Arunachal Pradesh,Kurung Kumey,2019,90.17,78.61,86.42,1034,1616,129145
Arunachal Pradesh,Kurung Kumey,2020,97.0,61.88,53.37,560,6283,33048
Arunachal Pradesh,Kurung Kumey,2021,66.35,84.8,63.29,1508,7579,23906
Arunachal Pradesh,Kurung Kumey,2022,73.53,80.27,53.15,1366,6364,108892
