state,district,year,employment_rate,unemployment_rate,industrial_jobs,agriculture_jobs,service_jobs
Andhra Pradesh,Anantapur,2018,79.12,2.67,31792,97909,71832
Andhra Pradesh,Anantapur,2019,69.44,13.11,43717,58743,73508
Andhra Pradesh,Anantapur,2020,66.81,2.04,37237,33661,23649
Andhra Pradesh,Anantapur,2021,65.83,10.81,24800,78352,46306
Andhra Pradesh,Anantapur,2022,68.52,10.17,48257,83492,22814
Andhra Pradesh,Anantapur,2023,70.67,6.51,31539,63955,39903
Andhra Pradesh,Anantapur,2024,61.47,3.25,33396,31942,9990
Andhra Pradesh,Anantapur,2025,63.6,6.84,49863,51601,12928
Andhra Pradesh,Annamayya,2015,58.09,11.85,24388,37331,37994
Andhra Pradesh,Annamayya,2016,70.54,13.19,24714,99897,64300
Andhra Pradesh,Annamayya,2017,62.1,14.68,1193,44942,70093
Andhra Pradesh,Annamayya,2018,77.35,5.13,14245,89929,30299
Andhra Pradesh,Annamayya,2019,71.46,11.65,35649,57336,4809
Andhra Pradesh,Annamayya,2020,50.82,2.64,28511,33117,55575
Andhra Pradesh,Annamayya,2021,59.58,13.7,38100,54074,44783
Andhra Pradesh,Annamayya,2022,77.78,9.34,14996,84972,77665
Andhra Pradesh,Annamayya,2023,55.08,9.27,24762,66815,30901
Andhra Pradesh,Annamayya,2024,68.49,11.12,47513,46244,34829
Andhra Pradesh,Annamayya,2025,46.2,5.54,44900,19990,35803
Andhra Pradesh,Bapatla,2015,48.26,2.61,2808,88210,9254
Andhra Pradesh,Bapatla,2016,78.26,8.65,18860,10987,31718
Andhra Pradesh,Bapatla,2017,46.65,11.77,1470,21110,37987
Andhra Pradesh,Bapatla,2018,57.4,14.12,8622,90604,6265
Andhra Pradesh,Bapatla,2019,45.3,13.18,27079,63473,41658
Andhra Pradesh,Bapatla,2020,51.01,8.04,48312,49497,60459
Andhra Pradesh,Bapatla,2021,73.56,6.54,37213,42033,39923
Andhra Pradesh,Bapatla,2022,78.48,2.62,13879,99289,41758
Andhra Pradesh,Bapatla,2023,44.05,4.86,48415,22761,35758
Andhra Pradesh,Bapatla,2024,51.65,11.97,15949,8605,17864
Andhra Pradesh,Bapatla,2025,67.89,8.03,10254,9099,49717
Andhra Pradesh,Chittoor,2015,77.87,8.77,18174,82406,15339
Andhra Pradesh,Chittoor,2016,62.85,6.77,26228,20784,69819
Andhra Pradesh,Chittoor,2017,75.82,2.74,3257,56655,23253
Andhra Pradesh,Chittoor,2018,63.98,14.67,21177,54046,40807
Andhra Pradesh,Chittoor,2019,64.34,14.76,16863,39105,29574
Andhra Pradesh,Chittoor,2020,74.81,13.25,37067,26147,31346
Andhra Pradesh,Chittoor,2021,59.65,3.23,33263,60677,67280
Andhra Pradesh,Chittoor,2022,70.68,6.49,42290,89053,14862
Andhra Pradesh,Chittoor,2023,71.57,7.15,25337,91708,28431
Andhra Pradesh,Chittoor,2024,72.9,14.22,33325,84104,26294
Andhra Pradesh,Chittoor,2025,67.05,9.45,28381,52340,66382
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,58.55,5.35,48574,37012,43923
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2016,67.48,14.81,44978,90050,58806
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2017,52.7,13.37,36241,17744,5977
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2018,73.28,14.03,45647,30470,50942
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2019,62.23,2.98,37828,37599,73312
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2020,73.94,9.33,5792,79687,72989
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2021,51.52,12.44,17888,7554,39928
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,56.56,6.53,22232,62278,44699
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2023,77.53,8.53,46391,16348,73066
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2024,54.45,2.09,11096,41115,26435
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2025,64.16,13.33,36117,64365,29824
Andhra Pradesh,East Godavari,2015,47.64,13.38,36579,19896,27631
Andhra Pradesh,East Godavari,2016,71.59,8.6,4299,5955,29746
Andhra Pradesh,East Godavari,2017,49.86,11.8,11554,28294,60297
Andhra Pradesh,East Godavari,2018,54.7,5.27,31324,83410,34800
Andhra Pradesh,East Godavari,2019,75.05,3.28,35162,90724,4320
Andhra Pradesh,East Godavari,2020,53.98,2.64,33348,65903,6749
Andhra Pradesh,East Godavari,2021,75.95,3.5,1835,26202,20649
Andhra Pradesh,East Godavari,2022,47.94,5.94,29797,82000,55280
Andhra Pradesh,East Godavari,2023,51.66,12.98,6741,97626,9416
Andhra Pradesh,East Godavari,2024,63.42,12.54,49377,50495,59928
Andhra Pradesh,East Godavari,2025,41.53,2.19,26249,14823,27813
Andhra Pradesh,Eluru,2015,42.98,8.72,14419,82407,26434
Andhra Pradesh,Eluru,2016,45.44,8.02,35326,95146,40140
Andhra Pradesh,Eluru,2017,57.28,8.72,4767,66384,15457
Andhra Pradesh,Eluru,2018,51.07,4.88,5978,30727,46994
Andhra Pradesh,Eluru,2019,52.72,11.54,20145,47183,74776
Andhra Pradesh,Eluru,2020,52.77,2.32,24237,18751,13211
Andhra Pradesh,Eluru,2021,57.94,12.47,49735,35952,53329
Andhra Pradesh,Eluru,2022,59.8,6.55,47762,10969,27296
Andhra Pradesh,Eluru,2023,67.41,4.1,33027,89590,35564
Andhra Pradesh,Eluru,2024,46.91,14.72,37063,38437,42515
Andhra Pradesh,Eluru,2025,63.92,8.17,16165,74534,68380
Andhra Pradesh,Guntur,2015,41.67,3.99,37451,31173,28678
Andhra Pradesh,Guntur,2016,77.66,4.72,13773,7670,41497
Andhra Pradesh,Guntur,2017,51.93,14.85,46521,40387,36054
Andhra Pradesh,Guntur,2018,46.39,3.05,38744,56909,27678
Andhra Pradesh,Guntur,2019,62.62,5.94,8355,56161,40874
Andhra Pradesh,Guntur,2020,44.96,5.73,11469,80814,42262
Andhra Pradesh,Guntur,2021,63.09,10.55,23611,43029,66118
Andhra Pradesh,Guntur,2022,62.68,11.3,29630,6332,43907
Andhra Pradesh,Guntur,2023,56.66,5.8,23990,13444,56701
Andhra Pradesh,Guntur,2024,79.55,9.76,16285,8658,11803
Andhra Pradesh,Guntur,2025,50.0,6.34,15872,27122,27530
Andhra Pradesh,Kakinada,2015,61.63,10.92,27020,33768,36836
Andhra Pradesh,Kakinada,2016,79.23,11.98,31451,93753,31753
Andhra Pradesh,Kakinada,2017,49.87,8.2,29613,10678,8468
Andhra Pradesh,Kakinada,2018,49.44,11.59,27598,43761,61206
Andhra Pradesh,Kakinada,2019,65.69,13.62,43470,75210,39467
Andhra Pradesh,Kakinada,2020,67.91,6.49,20618,73562,31998
Andhra Pradesh,Kakinada,2021,76.34,7.27,39129,98066,52277
Andhra Pradesh,Kakinada,2022,76.01,12.13,11155,56157,37897
Andhra Pradesh,Kakinada,2023,68.88,9.22,44481,93638,75972
Andhra Pradesh,Kakinada,2024,76.92,6.24,30481,50498,41703
Andhra Pradesh,Kakinada,2025,48.65,11.21,6222,95853,71360
Andhra Pradesh,Krishna,2015,65.36,2.26,4903,24308,56916
Andhra Pradesh,Krishna,2016,53.09,11.8,23263,52985,29006
Andhra Pradesh,Krishna,2017,42.92,4.43,33492,36187,5472
Andhra Pradesh,Krishna,2018,50.6,14.14,16622,73572,5658
Andhra Pradesh,Krishna,2019,46.76,3.17,30664,87176,20464
Andhra Pradesh,Krishna,2020,63.62,9.26,6179,87933,34129
Andhra Pradesh,Krishna,2021,41.04,12.99,33138,73283,27292
Andhra Pradesh,Krishna,2022,40.55,3.57,9977,26581,20537
Andhra Pradesh,Krishna,2023,52.87,12.3,18653,32917,25234
Andhra Pradesh,Krishna,2024,54.15,12.4,17284,15791,42857
Andhra Pradesh,Krishna,2025,75.35,12.69,44478,88606,16506
Andhra Pradesh,Kurnool,2015,75.16,7.73,19761,25594,63732
Andhra Pradesh,Kurnool,2016,54.59,14.2,7134,85809,47908
Andhra Pradesh,Kurnool,2017,68.59,3.93,3783,17830,35063
Andhra Pradesh,Kurnool,2018,65.04,14.63,18700,26262,65052
Andhra Pradesh,Kurnool,2019,50.54,3.18,3284,82906,29210
Andhra Pradesh,Kurnool,2020,62.4,3.04,11999,43847,60886
Andhra Pradesh,Kurnool,2021,59.7,11.79,5253,71261,63154
Andhra Pradesh,Kurnool,2022,61.32,13.92,45158,77155,73917
Andhra Pradesh,Kurnool,2023,62.14,9.51,9371,52192,7751
Andhra Pradesh,Kurnool,2024,58.89,7.58,33632,31377,60863
Andhra Pradesh,Kurnool,2025,53.23,13.73,15063,59666,45274
Andhra Pradesh,Nandyal,2015,71.09,4.74,43312,15226,13954
Andhra Pradesh,Nandyal,2016,66.14,9.19,30855,15398,14401
Andhra Pradesh,Nandyal,2017,75.75,3.5,20951,87202,32166
Andhra Pradesh,Nandyal,2018,67.97,8.67,41434,78137,21374
Andhra Pradesh,Nandyal,2019,71.32,14.08,6757,18644,71468
Andhra Pradesh,Nandyal,2020,68.1,3.85,45594,78014,28783
Andhra Pradesh,Nandyal,2021,58.53,12.46,17554,77049,37928
Andhra Pradesh,Nandyal,2022,75.28,5.77,39317,84908,52383
Andhra Pradesh,Nandyal,2023,78.12,2.29,14523,97964,7434
Andhra Pradesh,Nandyal,2024,69.9,5.37,48601,42913,27022
Andhra Pradesh,Nandyal,2025,41.21,6.55,38478,30040,75839
Andhra Pradesh,NTR,2015,44.04,9.26,12003,69733,59603
Andhra Pradesh,NTR,2016,74.75,12.09,37815,30080,53016
Andhra Pradesh,NTR,2017,67.2,12.44,41018,88209,65280
Andhra Pradesh,NTR,2018,46.09,5.5,24626,58375,25874
Andhra Pradesh,NTR,2019,67.58,8.41,26943,19972,48929
Andhra Pradesh,NTR,2020,76.96,6.53,20759,55851,51680
Andhra Pradesh,NTR,2021,69.43,3.77,41555,28732,24161
Andhra Pradesh,NTR,2022,57.33,5.56,32782,28942,47824
Andhra Pradesh,NTR,2023,78.15,6.09,2249,82633,70408
Andhra Pradesh,NTR,2024,42.7,10.98,34763,95705,5726
Andhra Pradesh,NTR,2025,79.42,14.44,9337,25585,23291
Andhra Pradesh,Palnadu,2015,73.35,11.35,30271,49439,70166
Andhra Pradesh,Palnadu,2016,57.92,9.4,38222,89598,37016
Andhra Pradesh,Palnadu,2017,49.31,13.75,28232,27243,4773
Andhra Pradesh,Palnadu,2018,65.59,11.72,7899,41224,70546
Andhra Pradesh,Palnadu,2019,68.82,4.25,2260,70984,53326
Andhra Pradesh,Palnadu,2020,46.67,6.45,45213,37931,53609
Andhra Pradesh,Palnadu,2021,78.05,10.67,36815,76880,28457
Andhra Pradesh,Palnadu,2022,76.1,2.66,27334,59382,8650
Andhra Pradesh,Palnadu,2023,54.23,14.84,45976,31956,63660
Andhra Pradesh,Palnadu,2024,79.74,7.05,43523,15972,23176
Andhra Pradesh,Palnadu,2025,48.74,11.51,43851,83693,13678
Andhra Pradesh,Parvathipuram Manyam,2015,48.63,13.58,30684,11664,78518
Andhra Pradesh,Parvathipuram Manyam,2016,77.97,7.03,37919,51762,2681
Andhra Pradesh,Parvathipuram Manyam,2017,72.82,11.97,11860,69762,30986
Andhra Pradesh,Parvathipuram Manyam,2018,49.57,6.96,12352,59405,37183
Andhra Pradesh,Parvathipuram Manyam,2019,47.95,13.44,4501,95932,23043
Andhra Pradesh,Parvathipuram Manyam,2020,71.75,10.43,17515,60373,54243
Andhra Pradesh,Parvathipuram Manyam,2021,77.8,5.36,9431,34965,27988
Andhra Pradesh,Parvathipuram Manyam,2022,69.95,10.11,30940,61834,50643
Andhra Pradesh,Parvathipuram Manyam,2023,76.18,8.43,37443,96175,46417
Andhra Pradesh,Parvathipuram Manyam,2024,47.54,3.28,38405,53744,45381
Andhra Pradesh,Parvathipuram Manyam,2025,42.31,2.59,25214,99428,79753
Andhra Pradesh,Prakasam,2015,68.33,3.58,11029,92503,63794
Andhra Pradesh,Prakasam,2016,42.86,2.13,36861,66603,23264
Andhra Pradesh,Prakasam,2017,76.78,10.67,37367,83378,64724
Andhra Pradesh,Prakasam,2018,50.97,4.15,47655,36419,71774
Andhra Pradesh,Prakasam,2019,69.99,7.14,10064,11934,20599
Andhra Pradesh,Prakasam,2020,78.18,7.71,4266,12549,43228
Andhra Pradesh,Prakasam,2021,62.31,3.27,26022,96898,31867
Andhra Pradesh,Prakasam,2022,61.1,5.81,41233,33333,36547
Andhra Pradesh,Prakasam,2023,46.45,7.42,2222,72851,70485
Andhra Pradesh,Prakasam,2024,68.98,7.54,16645,82257,34590
Andhra Pradesh,Prakasam,2025,65.72,14.05,30172,22333,19852
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,72.29,7.43,46272,22936,66438
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,64.68,5.02,2867,85949,47969
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,66.42,5.42,27796,77804,73783
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,70.7,11.63,46358,7760,14464
Andhra Pradesh,Sri Potti Sriramulu Nellore,2019,48.8,4.33,5117,39449,66805
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,69.36,4.67,47058,31366,26618
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,72.11,8.59,39542,18596,59914
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,71.52,10.84,19869,10009,53294
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,68.83,11.01,13869,68087,24326
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,49.28,8.72,41349,22339,63336
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,67.57,6.49,33725,14722,13866
Andhra Pradesh,Sri Sathya Sai,2015,79.26,12.62,15120,81409,20617
Andhra Pradesh,Sri Sathya Sai,2016,75.94,13.74,3745,26194,48440
Andhra Pradesh,Sri Sathya Sai,2017,71.47,7.86,34569,52339,52725
Andhra Pradesh,Sri Sathya Sai,2018,78.98,9.73,21761,72059,25469
Andhra Pradesh,Sri Sathya Sai,2019,67.38,6.78,15784,77316,52437
Andhra Pradesh,Sri Sathya Sai,2020,71.94,5.1,45322,74559,37386
Andhra Pradesh,Sri Sathya Sai,2021,53.7,3.51,45552,55781,73391
Andhra Pradesh,Sri Sathya Sai,2022,43.67,12.61,2672,79177,57062
Andhra Pradesh,Sri Sathya Sai,2023,73.15,7.47,29640,19082,68817
Andhra Pradesh,Sri Sathya Sai,2024,63.07,7.12,26980,23926,66757
Andhra Pradesh,Sri Sathya Sai,2025,47.49,5.44,25306,8798,29061
Andhra Pradesh,Srikakulam,2015,73.67,7.56,14641,73800,24547
Andhra Pradesh,Srikakulam,2016,65.27,8.75,13585,12106,49576
Andhra Pradesh,Srikakulam,2017,42.95,13.63,34981,67342,44492
Andhra Pradesh,Srikakulam,2018,73.8,5.07,2319,88228,36760
Andhra Pradesh,Srikakulam,2019,72.63,5.54,3632,54538,37220
Andhra Pradesh,Srikakulam,2020,73.17,10.16,7932,5802,6510
Andhra Pradesh,Srikakulam,2021,79.4,4.64,13393,18707,66802
Andhra Pradesh,Srikakulam,2022,69.04,6.94,1166,59007,43720
Andhra Pradesh,Srikakulam,2023,44.61,3.33,20388,56013,64245
Andhra Pradesh,Srikakulam,2024,52.37,3.3,25704,46805,79880
Andhra Pradesh,Srikakulam,2025,76.44,7.87,29468,79486,9878
Andhra Pradesh,Tirupati,2015,61.99,3.83,9592,63751,69827
Andhra Pradesh,Tirupati,2016,54.39,11.21,48542,91909,6689
Andhra Pradesh,Tirupati,2017,63.16,13.91,34750,8816,18445
Andhra Pradesh,Tirupati,2018,57.54,10.54,28466,7225,42996
Andhra Pradesh,Tirupati,2019,71.77,4.12,13444,87739,21602
Andhra Pradesh,Tirupati,2020,60.95,11.3,10296,26891,54090
Andhra Pradesh,Tirupati,2021,70.83,3.96,13087,5545,50792
Andhra Pradesh,Tirupati,2022,55.23,9.22,31643,50869,79741
Andhra Pradesh,Tirupati,2023,58.72,8.38,21993,49759,74274
Andhra Pradesh,Tirupati,2024,67.76,2.81,14483,99938,66987
Andhra Pradesh,Tirupati,2025,70.8,12.79,13638,91196,10311
Andhra Pradesh,Visakhapatnam,2015,78.69,12.78,18976,27611,78873
Andhra Pradesh,Visakhapatnam,2016,58.02,2.85,15077,42420,73269
Andhra Pradesh,Visakhapatnam,2017,41.11,8.04,23757,79225,78560
Andhra Pradesh,Visakhapatnam,2018,68.73,6.37,6034,39125,26477
Andhra Pradesh,Visakhapatnam,2019,60.47,12.78,24738,15522,45575
Andhra Pradesh,Visakhapatnam,2020,45.34,9.09,30370,73809,67838
Andhra Pradesh,Visakhapatnam,2021,41.64,10.6,38488,91487,42238
Andhra Pradesh,Visakhapatnam,2022,74.91,14.25,46502,6327,27645
Andhra Pradesh,Visakhapatnam,2023,73.38,7.64,18949,73141,58754
Andhra Pradesh,Visakhapatnam,2024,45.92,2.1,16998,49481,26772
Andhra Pradesh,Visakhapatnam,2025,44.56,4.55,22902,86750,55932
Andhra Pradesh,Vizianagaram,2015,71.69,6.6,46482,38428,66349
Andhra Pradesh,Vizianagaram,2016,70.25,13.45,45645,71609,13085
Andhra Pradesh,Vizianagaram,2017,42.22,11.18,4785,46707,76582
Andhra Pradesh,Vizianagaram,2018,64.34,12.85,25181,88126,9500
Andhra Pradesh,Vizianagaram,2019,67.28,8.91,43600,17590,28235
Andhra Pradesh,Vizianagaram,2020,65.75,7.52,48783,65532,27466
Andhra Pradesh,Vizianagaram,2021,46.7,10.54,14390,14184,40067
Andhra Pradesh,Vizianagaram,2022,77.97,7.9,17371,26403,2453
Andhra Pradesh,Vizianagaram,2023,72.87,2.26,41142,68898,37761
Andhra Pradesh,Vizianagaram,2024,62.44,8.23,5701,30050,26942
Andhra Pradesh,Vizianagaram,2025,76.6,8.02,49734,10587,15187
Andhra Pradesh,West Godavari,2015,48.41,5.15,44613,35361,26113
Andhra Pradesh,West Godavari,2016,75.31,10.41,23094,5242,3617
Andhra Pradesh,West Godavari,2017,68.1,11.18,31306,78150,79677
Andhra Pradesh,West Godavari,2018,47.5,4.4,47807,9211,57069
Andhra Pradesh,West Godavari,2019,45.34,12.17,23984,54837,28185
Andhra Pradesh,West Godavari,2020,60.65,6.75,42223,69228,11645
Andhra Pradesh,West Godavari,2021,41.48,4.31,12195,92355,62932
Andhra Pradesh,West Godavari,2022,65.93,9.11,23358,15832,74394
Andhra Pradesh,West Godavari,2023,70.87,10.72,10568,24309,48189
Andhra Pradesh,West Godavari,2024,41.67,13.82,28742,14736,2576
Andhra Pradesh,West Godavari,2025,42.22,14.93,48575,82157,25277
Andhra Pradesh,YSR Kadapa,2015,58.08,7.82,38430,85083,36450
Andhra Pradesh,YSR Kadapa,2016,67.16,9.08,29589,11869,45105
Andhra Pradesh,YSR Kadapa,2017,70.9,3.75,7030,35414,33498
Andhra Pradesh,YSR Kadapa,2018,52.67,6.09,46677,48636,9048
Andhra Pradesh,YSR Kadapa,2019,74.98,2.92,35613,85942,73342
Andhra Pradesh,YSR Kadapa,2020,63.75,10.75,3127,93428,25647
Andhra Pradesh,YSR Kadapa,2021,53.25,6.25,42418,68593,57431
Andhra Pradesh,YSR Kadapa,2022,54.65,2.32,6155,31236,29322
Andhra Pradesh,YSR Kadapa,2023,67.85,7.61,20052,36818,23668
Andhra Pradesh,YSR Kadapa,2024,55.01,7.78,28602,68431,76857
Andhra Pradesh,YSR Kadapa,2025,57.01,11.89,13631,35228,3367
Arunachal Pradesh,Tawang,2015,43.87,6.18,26700,20479,52848
Arunachal Pradesh,Tawang,2016,59.04,8.95,42598,22231,62715
Arunachal Pradesh,Tawang,2017,64.01,4.78,35406,51882,68932
Arunachal Pradesh,Tawang,2018,46.71,12.99,26492,88324,64781
Arunachal Pradesh,Tawang,2019,65.15,3.32,21090,23165,24514
Arunachal Pradesh,Tawang,2020,55.48,3.87,14853,27695,10250
Arunachal Pradesh,Tawang,2021,61.7,8.94,16530,5081,23962
Arunachal Pradesh,Tawang,2022,40.38,11.55,7240,72824,53420
Arunachal Pradesh,Tawang,2023,58.84,11.9,48358,27287,58988
Arunachal Pradesh,Tawang,2024,51.98,2.46,23030,13840,51267
Arunachal Pradesh,Tawang,2025,62.97,2.32,32220,93402,18499
Arunachal Pradesh,West Kameng,2015,44.26,10.66,41098,89187,32418
Arunachal Pradesh,West Kameng,2016,79.17,9.68,16328,67905,65775
Arunachal Pradesh,West Kameng,2017,54.25,8.13,5637,87518,2396
Arunachal Pradesh,West Kameng,2018,70.39,2.02,33737,35093,63816
Arunachal Pradesh,West Kameng,2019,59.14,5.48,47367,19738,61607
Arunachal Pradesh,West Kameng,2020,47.42,6.27,10350,29307,58912
Arunachal Pradesh,West Kameng,2021,69.12,5.33,32969,23915,78654
Arunachal Pradesh,West Kameng,2022,49.07,3.94,49217,10734,23268
Arunachal Pradesh,West Kameng,2023,74.12,4.23,42418,84697,24075
Arunachal Pradesh,West Kameng,2024,49.06,12.14,24857,12826,57375
Arunachal Pradesh,West Kameng,2025,58.81,13.01,35740,9045,23804
Arunachal Pradesh,East Kameng,2015,50.91,5.94,29743,73355,24564
Arunachal Pradesh,East Kameng,2016,52.86,8.68,35711,46077,59001
Arunachal Pradesh,East Kameng,2017,65.32,13.03,16793,56755,42244
Arunachal Pradesh,East Kameng,2018,51.74,2.3,12416,70668,34276
Arunachal Pradesh,East Kameng,2019,53.02,11.13,9363,60647,27258
Arunachal Pradesh,East Kameng,2020,40.51,4.04,48537,30148,79881
Arunachal Pradesh,East Kameng,2021,65.31,11.06,9179,9591,77782
Arunachal Pradesh,East Kameng,2022,54.21,12.09,46384,25278,27531
Arunachal Pradesh,East Kameng,2023,42.75,10.71,45685,8882,63139
Arunachal Pradesh,East Kameng,2024,70.51,6.76,10928,21689,62004
Arunachal Pradesh,East Kameng,2025,52.48,4.09,38568,89256,47131
Arunachal Pradesh,Papum Pare,2015,40.49,6.52,31056,19535,14545
Arunachal Pradesh,Papum Pare,2016,58.57,2.65,7265,46057,53397
Arunachal Pradesh,Papum Pare,2017,73.02,6.48,24639,91492,57542
Arunachal Pradesh,Papum Pare,2018,41.45,13.02,6016,97187,54488
Arunachal Pradesh,Papum Pare,2019,44.14,4.68,46413,88653,9911
Arunachal Pradesh,Papum Pare,2020,43.0,8.45,22371,46388,18303
Arunachal Pradesh,Papum Pare,2021,75.84,2.24,7358,74177,78691
Arunachal Pradesh,Papum Pare,2022,49.89,5.72,28488,62446,60159
Arunachal Pradesh,Papum Pare,2023,59.08,3.4,9748,42574,21942
Arunachal Pradesh,Papum Pare,2024,68.08,10.81,38344,13769,64858
Arunachal Pradesh,Papum Pare,2025,74.35,12.47,28371,19624,5094
Arunachal Pradesh,Kurung Kumey,2015,77.01,6.75,49780,9411,3300
Arunachal Pradesh,Kurung Kumey,2016,46.1,4.42,37697,36233,61240
Arunachal Pradesh,Kurung Kumey,2017,74.76,4.77,18490,43212,2953
Arunachal Pradesh,Kurung Kumey,2018,50.34,4.83,23628,30998,40881
Arunachal Pradesh,Kurung Kumey,2019,41.12,13.04,45220,95140,24319
Arunachal Pradesh,Kurung Kumey,2020,60.3,14.42,13729,51494,56369
Arunachal Pradesh,Kurung Kumey,2021,74.56,5.19,27536,99661,65679
Arunachal Pradesh,Kurung Kumey,2022,66.95,14.96,21667,69430,22946
Arunachal Pradesh,Kurung Kumey,2023,68.22,11.61,14147,26161,72105
Arunachal Pradesh,Kurung Kumey,2024,58.97,8.32,45960,75553,28815
Arunachal Pradesh,Kurung Kumey,2025,47.81,3.16,44442,78900,16013
Arunachal Pradesh,Kra Daadi,2015,76.97,5.91,7117,70702,55165
Arunachal Pradesh,Kra Daadi,2016,40.08,10.36,1805,49192,5221
Arunachal Pradesh,Kra Daadi,2017,46.69,3.44,25598,9353,58765
Arunachal Pradesh,Kra Daadi,2018,46.22,7.64,28739,97756,74955
Arunachal Pradesh,Kra Daadi,2019,72.79,3.05,19406,17903,77377
Arunachal Pradesh,Kra Daadi,2020,61.11,4.25,41420,28223,56093
Arunachal Pradesh,Kra Daadi,2021,79.08,9.05,29330,80103,10507
Arunachal Pradesh,Kra Daadi,2022,63.36,7.03,43935,50648,14225
Arunachal Pradesh,Kra Daadi,2023,56.62,7.84,26463,37051,54381
Arunachal Pradesh,Kra Daadi,2024,67.16,13.73,19547,21190,12228
Arunachal Pradesh,Kra Daadi,2025,68.56,12.11,23312,70699,76520
Arunachal Pradesh,Lower Subansiri,2015,71.35,2.34,39280,64013,27241
Arunachal Pradesh,Lower Subansiri,2016,40.29,10.93,3110,75390,41184
Arunachal Pradesh,Lower Subansiri,2017,73.76,10.5,48480,83464,30255
Arunachal Pradesh,Lower Subansiri,2018,76.95,5.91,46792,18603,74494
Arunachal Pradesh,Lower Subansiri,2019,49.15,3.15,44417,86934,31626
Arunachal Pradesh,Lower Subansiri,2020,42.33,12.19,42384,19451,51763
Arunachal Pradesh,Lower Subansiri,2021,66.9,3.7,7119,22237,46175
Arunachal Pradesh,Lower Subansiri,2022,61.35,14.06,21921,95087,78750
Arunachal Pradesh,Lower Subansiri,2023,63.05,3.15,41189,58079,51148
Arunachal Pradesh,Lower Subansiri,2024,51.47,3.7,22354,98656,19627
Arunachal Pradesh,Lower Subansiri,2025,71.19,14.71,10402,51598,61152
Arunachal Pradesh,Upper Subansiri,2015,75.59,5.62,2005,63957,70878
Arunachal Pradesh,Upper Subansiri,2016,40.87,7.7,31978,15232,55316
Arunachal Pradesh,Upper Subansiri,2017,65.15,10.92,49339,52730,47600
