state,district,year,smart_projects,cctv_cameras,public_wifi_hotspots,ev_charging_stations,smart_traffic_signals
Andhra Pradesh,Bapatla,2020,59,19632,4812,616,1292
Andhra Pradesh,Bapatla,2021,46,8902,1304,1429,1948
Andhra Pradesh,Bapatla,2022,40,6474,2061,1902,288
Andhra Pradesh,Bapatla,2023,85,17638,1936,1115,1743
Andhra Pradesh,Bapatla,2024,51,14798,4361,721,1103
Andhra Pradesh,Bapatla,2025,22,8584,2888,1696,403
Andhra Pradesh,Chittoor,2015,35,4399,1641,105,1362
Andhra Pradesh,Chittoor,2016,25,13958,2089,1358,1781
Andhra Pradesh,Chittoor,2017,82,15959,4356,1245,1356
Andhra Pradesh,Chittoor,2018,91,513,246,1352,762
Andhra Pradesh,Chittoor,2019,56,6400,2182,1482,614
Andhra Pradesh,Chittoor,2020,81,13340,1210,1752,553
Andhra Pradesh,Chittoor,2021,56,17694,3976,1483,1593
Andhra Pradesh,Chittoor,2022,3,6621,3377,526,486
Andhra Pradesh,Chittoor,2023,81,19548,2568,795,1517
Andhra Pradesh,Chittoor,2024,72,2498,4424,761,1892
Andhra Pradesh,Chittoor,2025,15,15130,2626,1855,141
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,89,9556,3379,421,153
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2016,32,3489,672,317,704
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2017,84,5052,352,1548,540
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2018,100,19260,3256,1826,1559
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2019,85,12394,2722,1650,18
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2020,26,8120,356,1732,996
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2021,70,18795,3289,801,1656
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,84,5482,2734,1484,905
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2023,65,18635,2746,354,1495
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2024,40,13773,4554,1509,163
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2025,41,8919,3778,1467,1573
Andhra Pradesh,East Godavari,2015,81,898,161,1368,271
Andhra Pradesh,East Godavari,2016,65,2622,44,365,366
Andhra Pradesh,East Godavari,2017,86,2085,2952,1299,398
Andhra Pradesh,East Godavari,2018,95,19282,3449,912,309
Andhra Pradesh,East Godavari,2019,78,9171,2181,570,1651
Andhra Pradesh,East Godavari,2020,13,18247,2255,533,804
Andhra Pradesh,East Godavari,2021,76,6858,1450,1297,143
Andhra Pradesh,East Godavari,2022,40,11815,2905,253,479
Andhra Pradesh,East Godavari,2023,97,14669,1692,1348,262
Andhra Pradesh,East Godavari,2024,33,8692,781,787,1671
Andhra Pradesh,East Godavari,2025,89,12623,1377,914,687
Andhra Pradesh,Eluru,2015,94,5632,2840,671,1483
Andhra Pradesh,Eluru,2016,93,11381,576,1234,520
Andhra Pradesh,Eluru,2017,94,13925,1626,887,1059
Andhra Pradesh,Eluru,2018,43,9412,4596,740,1306
Andhra Pradesh,Eluru,2019,58,6575,2463,822,934
Andhra Pradesh,Eluru,2020,77,4353,4315,581,596
Andhra Pradesh,Eluru,2021,11,685,333,250,22
Andhra Pradesh,Eluru,2022,32,466,4849,1463,1604
Andhra Pradesh,Eluru,2023,80,12631,4234,1127,1659
Andhra Pradesh,Eluru,2024,70,11317,3524,1592,1368
Andhra Pradesh,Eluru,2025,5,13258,4759,1716,777
Andhra Pradesh,Guntur,2015,67,18156,3401,825,312
Andhra Pradesh,Guntur,2016,68,883,4323,235,580
Andhra Pradesh,Guntur,2017,14,7824,2363,758,1714
Andhra Pradesh,Guntur,2018,91,3528,4846,1930,1077
Andhra Pradesh,Guntur,2019,27,17206,4058,1760,1895
Andhra Pradesh,Guntur,2020,77,17461,3718,1486,1687
Andhra Pradesh,Guntur,2021,50,15557,621,251,497
Andhra Pradesh,Guntur,2022,79,16215,4274,1544,1423
Andhra Pradesh,Guntur,2023,12,11136,2244,1961,494
Andhra Pradesh,Guntur,2024,13,1116,2109,1018,1300
Andhra Pradesh,Guntur,2025,14,2247,2972,1810,1214
Andhra Pradesh,Kakinada,2015,31,1338,2441,71,1405
Andhra Pradesh,Kakinada,2016,3,6033,4025,1149,94
Andhra Pradesh,Kakinada,2017,64,3527,4544,421,949
Andhra Pradesh,Kakinada,2018,10,1586,3835,1760,1496
Andhra Pradesh,Kakinada,2019,2,11554,3598,1202,1401
Andhra Pradesh,Kakinada,2020,35,18502,1128,1234,1317
Andhra Pradesh,Kakinada,2021,59,3151,3816,1189,1164
Andhra Pradesh,Kakinada,2022,64,4762,2843,325,110
Andhra Pradesh,Kakinada,2023,53,754,2074,1889,987
Andhra Pradesh,Kakinada,2024,54,19275,3747,831,795
Andhra Pradesh,Kakinada,2025,72,10762,1778,786,505
Andhra Pradesh,Krishna,2015,6,17970,2942,1171,1851
Andhra Pradesh,Krishna,2016,45,7175,2596,527,1486
Andhra Pradesh,Krishna,2017,64,4144,1227,1259,1241
Andhra Pradesh,Krishna,2018,48,11221,3632,800,943
Andhra Pradesh,Krishna,2019,7,10486,431,1215,422
Andhra Pradesh,Krishna,2020,6,3665,1978,775,287
Andhra Pradesh,Krishna,2021,41,12469,593,1241,1383
Andhra Pradesh,Krishna,2022,61,12711,1177,833,1989
Andhra Pradesh,Krishna,2023,85,5876,3951,1216,1767
Andhra Pradesh,Krishna,2024,70,1552,820,898,518
Andhra Pradesh,Krishna,2025,1,5859,4995,1859,111
Andhra Pradesh,Kurnool,2015,86,14241,4209,1613,62
Andhra Pradesh,Kurnool,2016,71,7702,3060,273,350
Andhra Pradesh,Kurnool,2017,73,11728,1712,2000,234
Andhra Pradesh,Kurnool,2018,91,6007,3258,921,517
Andhra Pradesh,Kurnool,2019,89,4588,4174,70,1241
Andhra Pradesh,Kurnool,2020,85,6368,1906,705,1834
Andhra Pradesh,Kurnool,2021,40,1272,891,989,943
Andhra Pradesh,Kurnool,2022,50,5506,1073,1412,480
Andhra Pradesh,Kurnool,2023,10,15584,477,1605,1531
Andhra Pradesh,Kurnool,2024,78,4028,1043,1860,227
Andhra Pradesh,Kurnool,2025,43,6235,3730,873,864
Andhra Pradesh,Nandyal,2015,7,10406,1156,493,673
Andhra Pradesh,Nandyal,2016,62,3068,3520,853,1130
Andhra Pradesh,Nandyal,2017,23,1721,612,207,1041
Andhra Pradesh,Nandyal,2018,56,15445,2494,929,1210
Andhra Pradesh,Nandyal,2019,97,619,4133,1981,1496
Andhra Pradesh,Nandyal,2020,66,19832,86,375,1648
Andhra Pradesh,Nandyal,2021,37,3879,924,356,376
Andhra Pradesh,Nandyal,2022,16,5731,1309,1099,294
Andhra Pradesh,Nandyal,2023,61,15841,4628,24,386
Andhra Pradesh,Nandyal,2024,38,9418,3427,1193,1992
Andhra Pradesh,Nandyal,2025,48,15471,841,822,1779
Andhra Pradesh,NTR,2015,18,8755,995,1293,1143
Andhra Pradesh,NTR,2016,93,952,1614,416,172
Andhra Pradesh,NTR,2017,43,14606,262,1724,60
Andhra Pradesh,NTR,2018,54,590,1210,759,769
Andhra Pradesh,NTR,2019,93,17020,1139,784,1208
Andhra Pradesh,NTR,2020,37,4325,4884,568,1017
Andhra Pradesh,NTR,2021,34,4762,2887,439,1276
Andhra Pradesh,NTR,2022,6,11676,66,783,1274
Andhra Pradesh,NTR,2023,10,6542,237,1806,54
Andhra Pradesh,NTR,2024,47,2347,3236,1627,1801
Andhra Pradesh,NTR,2025,60,8953,3224,1951,81
Andhra Pradesh,Palnadu,2015,53,10081,1154,1173,885
Andhra Pradesh,Palnadu,2016,46,15428,2269,1011,121
Andhra Pradesh,Palnadu,2017,92,18945,2168,1192,43
Andhra Pradesh,Palnadu,2018,4,497,2716,995,1719
Andhra Pradesh,Palnadu,2019,16,11025,815,1628,121
Andhra Pradesh,Palnadu,2020,69,9979,4526,602,999
Andhra Pradesh,Palnadu,2021,100,15070,2795,1352,916
Andhra Pradesh,Palnadu,2022,85,12184,1173,379,1492
Andhra Pradesh,Palnadu,2023,28,16602,3953,954,385
Andhra Pradesh,Palnadu,2024,45,4165,1162,1183,723
Andhra Pradesh,Palnadu,2025,23,2827,41,1241,1802
Andhra Pradesh,Parvathipuram Manyam,2015,53,14162,600,1548,1088
Andhra Pradesh,Parvathipuram Manyam,2016,89,19588,4623,1469,1280
Andhra Pradesh,Parvathipuram Manyam,2017,77,3338,1499,1823,1703
Andhra Pradesh,Parvathipuram Manyam,2018,18,10986,751,1118,497
Andhra Pradesh,Parvathipuram Manyam,2019,12,5581,3208,1420,1115
Andhra Pradesh,Parvathipuram Manyam,2020,51,16135,2410,980,61
Andhra Pradesh,Parvathipuram Manyam,2021,77,4123,2688,1016,1748
Andhra Pradesh,Parvathipuram Manyam,2022,70,8515,3414,70,324
Andhra Pradesh,Parvathipuram Manyam,2023,45,3913,4682,1343,212
Andhra Pradesh,Parvathipuram Manyam,2024,1,2546,4707,97,1220
Andhra Pradesh,Parvathipuram Manyam,2025,27,11219,610,485,433
Andhra Pradesh,Prakasam,2015,99,15764,4801,1829,1245
Andhra Pradesh,Prakasam,2016,71,2873,1686,1583,1828
Andhra Pradesh,Prakasam,2017,93,8373,454,668,545
Andhra Pradesh,Prakasam,2018,39,13255,1853,1431,1292
Andhra Pradesh,Prakasam,2019,9,11006,1689,588,467
Andhra Pradesh,Prakasam,2020,54,6238,130,367,332
Andhra Pradesh,Prakasam,2021,95,6472,104,1184,727
Andhra Pradesh,Prakasam,2022,31,18261,4551,74,1838
Andhra Pradesh,Prakasam,2023,62,19042,1366,954,641
Andhra Pradesh,Prakasam,2024,42,5377,1736,516,1674
Andhra Pradesh,Prakasam,2025,6,3631,76,1141,517
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,10,5738,3236,1822,916
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,55,3801,4001,688,466
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,76,18005,3906,26,1795
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,15,6287,3425,1116,877
Andhra Pradesh,Sri Potti Sriramulu Nellore,2019,70,4952,4941,474,144
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,32,1695,4367,622,972
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,82,5206,4381,460,1881
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,90,2986,2424,1020,1153
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,59,4632,4457,814,1536
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,20,13147,528,1681,793
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,53,17044,994,1294,648
Andhra Pradesh,Sri Sathya Sai,2015,94,14244,3724,179,1423
Andhra Pradesh,Sri Sathya Sai,2016,12,4637,4978,294,221
Andhra Pradesh,Sri Sathya Sai,2017,8,10127,3237,1287,1198
Andhra Pradesh,Sri Sathya Sai,2018,37,9890,628,1771,1332
Andhra Pradesh,Sri Sathya Sai,2019,39,14462,3868,1392,1520
Andhra Pradesh,Sri Sathya Sai,2020,27,16460,1646,1034,1662
Andhra Pradesh,Sri Sathya Sai,2021,48,17184,1161,718,658
Andhra Pradesh,Sri Sathya Sai,2022,21,1166,2082,930,1887
Andhra Pradesh,Sri Sathya Sai,2023,62,4734,2655,850,1247
Andhra Pradesh,Sri Sathya Sai,2024,15,7985,653,6,91
Andhra Pradesh,Sri Sathya Sai,2025,36,6121,1074,840,1319
Andhra Pradesh,Srikakulam,2015,52,16278,2706,1026,495
Andhra Pradesh,Srikakulam,2016,5,7206,1615,754,740
Andhra Pradesh,Srikakulam,2017,87,6195,1840,1902,544
Andhra Pradesh,Srikakulam,2018,77,9225,2630,376,897
Andhra Pradesh,Srikakulam,2019,66,16075,2223,987,1262
Andhra Pradesh,Srikakulam,2020,24,7691,3209,653,511
Andhra Pradesh,Srikakulam,2021,79,12949,268,109,409
Andhra Pradesh,Srikakulam,2022,74,4928,4107,1365,1803
Andhra Pradesh,Srikakulam,2023,29,11488,3748,831,704
Andhra Pradesh,Srikakulam,2024,100,2600,4404,1973,1698
Andhra Pradesh,Srikakulam,2025,49,1601,3051,453,622
Andhra Pradesh,Tirupati,2015,97,17111,2779,86,163
Andhra Pradesh,Tirupati,2016,100,14920,2880,1191,847
Andhra Pradesh,Tirupati,2017,57,17872,4037,1135,702
Andhra Pradesh,Tirupati,2018,16,3976,3745,336,698
Andhra Pradesh,Tirupati,2019,7,4459,4375,1950,523
Andhra Pradesh,Tirupati,2020,100,8379,13,461,1934
Andhra Pradesh,Tirupati,2021,37,7766,358,621,1730
Andhra Pradesh,Tirupati,2022,94,15064,1156,721,1874
Andhra Pradesh,Tirupati,2023,59,980,1664,853,650
Andhra Pradesh,Tirupati,2024,27,1261,1460,1614,1358
Andhra Pradesh,Tirupati,2025,82,1339,4020,406,1706
Andhra Pradesh,Visakhapatnam,2015,10,784,2448,1110,783
Andhra Pradesh,Visakhapatnam,2016,24,10382,1576,431,904
Andhra Pradesh,Visakhapatnam,2017,20,17390,2561,1740,603
Andhra Pradesh,Visakhapatnam,2018,65,909,3923,392,1149
Andhra Pradesh,Visakhapatnam,2019,87,2816,2779,168,138
Andhra Pradesh,Visakhapatnam,2020,11,17399,4116,439,953
Andhra Pradesh,Visakhapatnam,2021,34,9820,4604,1445,1817
Andhra Pradesh,Visakhapatnam,2022,53,15842,462,527,939
Andhra Pradesh,Visakhapatnam,2023,26,11702,3035,14,1111
Andhra Pradesh,Visakhapatnam,2024,42,7352,3259,631,456
Andhra Pradesh,Visakhapatnam,2025,93,2601,4729,633,259
Andhra Pradesh,Vizianagaram,2015,93,18390,3988,839,1042
Andhra Pradesh,Vizianagaram,2016,88,6537,2327,51,1940
Andhra Pradesh,Vizianagaram,2017,31,15082,240,922,1524
Andhra Pradesh,Vizianagaram,2018,79,9576,4760,1793,639
Andhra Pradesh,Vizianagaram,2019,19,6989,982,1267,464
Andhra Pradesh,Vizianagaram,2020,14,19087,3928,511,276
Andhra Pradesh,Vizianagaram,2021,28,16708,4198,725,123
Andhra Pradesh,Vizianagaram,2022,50,9111,4128,1340,1536
Andhra Pradesh,Vizianagaram,2023,35,12905,250,155,30
Andhra Pradesh,Vizianagaram,2024,12,2115,1491,1111,608
Andhra Pradesh,Vizianagaram,2025,96,12867,4328,1342,1531
Andhra Pradesh,West Godavari,2015,72,3431,4719,978,1604
Andhra Pradesh,West Godavari,2016,45,8958,2422,720,1061
Andhra Pradesh,West Godavari,2017,32,13004,2224,378,1922
Andhra Pradesh,West Godavari,2018,39,9320,1606,1152,649
Andhra Pradesh,West Godavari,2019,58,1020,4675,682,1515
Andhra Pradesh,West Godavari,2020,84,19963,4479,286,1153
Andhra Pradesh,West Godavari,2021,94,16422,3978,794,722
Andhra Pradesh,West Godavari,2022,70,6106,1181,1926,966
Andhra Pradesh,West Godavari,2023,80,8497,2932,1639,267
Andhra Pradesh,West Godavari,2024,35,17644,459,107,1990
Andhra Pradesh,West Godavari,2025,91,2652,1943,1522,1246
Andhra Pradesh,YSR Kadapa,2015,75,14483,1750,1099,1838
Andhra Pradesh,YSR Kadapa,2016,87,9078,3123,1709,1213
Andhra Pradesh,YSR Kadapa,2017,84,9835,3452,1981,513
Andhra Pradesh,YSR Kadapa,2018,49,18661,2601,556,1156
Andhra Pradesh,YSR Kadapa,2019,78,15388,998,107,244
Andhra Pradesh,YSR Kadapa,2020,20,19103,3649,1131,339
Andhra Pradesh,YSR Kadapa,2021,79,19195,2867,1162,1192
Andhra Pradesh,YSR Kadapa,2022,96,11634,3944,805,1602
Andhra Pradesh,YSR Kadapa,2023,56,1951,4962,1189,1091
Andhra Pradesh,YSR Kadapa,2024,72,4356,701,1829,1049
Andhra Pradesh,YSR Kadapa,2025,87,16990,1975,413,177
Arunachal Pradesh,Tawang,2015,5,13055,4043,1570,805
Arunachal Pradesh,Tawang,2016,11,9330,3010,1804,1752
Arunachal Pradesh,Tawang,2017,89,11162,2486,1893,455
Arunachal Pradesh,Tawang,2018,93,7400,4399,738,1455
Arunachal Pradesh,Tawang,2019,39,9238,4176,102,242
Arunachal Pradesh,Tawang,2020,9,14034,3797,1650,1136
Arunachal Pradesh,Tawang,2021,15,8885,3666,409,146
Arunachal Pradesh,Tawang,2022,86,6112,3578,364,1427
Arunachal Pradesh,Tawang,2023,40,12156,1896,1958,972
Arunachal Pradesh,Tawang,2024,38,9806,2350,1577,511
Arunachal Pradesh,Tawang,2025,73,16249,4651,846,1881
Arunachal Pradesh,West Kameng,2015,18,4233,1506,1714,73
Arunachal Pradesh,West Kameng,2016,81,1291,767,1889,1370
Arunachal Pradesh,West Kameng,2017,64,6861,1425,246,17
Arunachal Pradesh,West Kameng,2018,4,13672,3726,223,1900
Arunachal Pradesh,West Kameng,2019,81,5430,4127,1835,292
Arunachal Pradesh,West Kameng,2020,37,7667,1759,1460,356
Arunachal Pradesh,West Kameng,2021,83,8142,2235,1478,1999
Arunachal Pradesh,West Kameng,2022,32,1011,2824,1803,1214
Arunachal Pradesh,West Kameng,2023,42,2615,1739,298,671
Arunachal Pradesh,West Kameng,2024,96,7512,4257,1301,391
Arunachal Pradesh,West Kameng,2025,7,225,4649,1506,1722
Arunachal Pradesh,East Kameng,2015,36,1504,1703,418,1683
Arunachal Pradesh,East Kameng,2016,76,7758,4779,57,278
Arunachal Pradesh,East Kameng,2017,18,16237,1459,1344,1217
Arunachal Pradesh,East Kameng,2018,22,17077,2201,540,1278
Arunachal Pradesh,East Kameng,2019,10,5385,4166,1122,682
Arunachal Pradesh,East Kameng,2020,92,10364,4522,827,1235
Arunachal Pradesh,East Kameng,2021,50,10086,2021,432,988
Arunachal Pradesh,East Kameng,2022,75,19939,4263,1871,1201
Arunachal Pradesh,East Kameng,2023,82,2525,2068,1863,1073
Arunachal Pradesh,East Kameng,2024,65,5158,4386,1078,1004
Arunachal Pradesh,East Kameng,2025,55,5412,1321,1967,341
Arunachal Pradesh,Papum Pare,2015,7,2288,1369,1689,1168
Arunachal Pradesh,Papum Pare,2016,70,11990,3261,440,1209
Arunachal Pradesh,Papum Pare,2017,53,245,3473,1647,626
Arunachal Pradesh,Papum Pare,2018,62,4963,2192,1877,1701
Arunachal Pradesh,Papum Pare,2019,93,16344,2525,1468,389
Arunachal Pradesh,Papum Pare,2020,74,5489,1648,1513,1899
Arunachal Pradesh,Papum Pare,2021,36,1485,256,707,595
Arunachal Pradesh,Papum Pare,2022,65,13939,3433,1076,915
Arunachal Pradesh,Papum Pare,2023,73,8731,1768,1922,1406
Arunachal Pradesh,Papum Pare,2024,77,13670,1416,1558,1374
Arunachal Pradesh,Papum Pare,2025,36,11220,3768,1044,1479
Arunachal Pradesh,Kurung Kumey,2015,74,9294,1392,1530,931
Arunachal Pradesh,Kurung Kumey,2016,22,13912,1954,1979,955
Arunachal Pradesh,Kurung Kumey,2017,100,9274,460,283,1078
Arunachal Pradesh,Kurung Kumey,2018,87,17100,192,1390,513
Arunachal Pradesh,Kurung Kumey,2019,94,11239,918,82,1858
Arunachal Pradesh,Kurung Kumey,2020,95,1862,4506,391,1641
Arunachal Pradesh,Kurung Kumey,2021,57,227,2859,1474,764
Arunachal Pradesh,Kurung Kumey,2022,60,5806,4122,488,76
Arunachal Pradesh,Kurung Kumey,2023,79,11974,421,1418,165
Arunachal Pradesh,Kurung Kumey,2024,69,6157,2942,1253,1653
Arunachal Pradesh,Kurung Kumey,2025,14,9229,2173,1550,1838
Arunachal Pradesh,Kra Daadi,2015,28,3946,710,452,539
Arunachal Pradesh,Kra Daadi,2016,70,9136,643,766,164
Arunachal Pradesh,Kra Daadi,2017,51,4171,2764,834,1049
Arunachal Pradesh,Kra Daadi,2018,75,7029,2780,976,1506
Arunachal Pradesh,Kra Daadi,2019,49,16488,4611,1737,1445
Arunachal Pradesh,Kra Daadi,2020,49,3076,2705,457,1734
Arunachal Pradesh,Kra Daadi,2021,26,14370,3009,1376,1665
Arunachal Pradesh,Kra Daadi,2022,77,10375,291,1572,503
Arunachal Pradesh,Kra Daadi,2023,45,14306,1789,278,830
Arunachal Pradesh,Kra Daadi,2024,50,16016,217,1767,1856
Arunachal Pradesh,Kra Daadi,2025,31,6624,532,120,1597
Arunachal Pradesh,Lower Subansiri,2015,50,4355,2109,1889,1643
Arunachal Pradesh,Lower Subansiri,2016,66,10119,3757,252,338
Arunachal Pradesh,Lower Subansiri,2017,17,10542,823,886,748
Arunachal Pradesh,Lower Subansiri,2018,74,2450,4274,111,1733
Arunachal Pradesh,Lower Subansiri,2019,61,7968,2159,1884,57
Arunachal Pradesh,Lower Subansiri,2020,32,5541,2557,996,1810
Arunachal Pradesh,Lower Subansiri,2021,26,10957,3428,645,158
Arunachal Pradesh,Lower Subansiri,2022,73,3649,4567,718,873
Arunachal Pradesh,Lower Subansiri,2023,19,13533,326,492,1413
Arunachal Pradesh,Lower Subansiri,2024,13,2567,2901,1016,1897
Arunachal Pradesh,Lower Subansiri,2025,86,12311,3523,1140,1058
Arunachal Pradesh,Upper Subansiri,2015,98,12168,4142,669,1617
Arunachal Pradesh,Upper Subansiri,2016,33,8356,4548,1635,287
Arunachal Pradesh,Upper Subansiri,2017,5,3310,3775,394,1066
Arunachal Pradesh,Upper Subansiri,2018,36,9173,2172,187,1291
Arunachal Pradesh,Upper Subansiri,2019,57,4489,950,1635,1380
Arunachal Pradesh,Upper Subansiri,2020,20,7157,2439,32,362
Arunachal Pradesh,Upper Subansiri,2021,19,2850,4219,1505,1811
Arunachal Pradesh,Upper Subansiri,2022,22,7033,3916,767,1922
Arunachal Pradesh,Upper Subansiri,2023,72,16514,4055,677,322
Arunachal Pradesh,Upper Subansiri,2024,5,15902,2754,1945,1914
Arunachal Pradesh,Upper Subansiri,2025,83,16167,4782,1095,1845
Arunachal Pradesh,West Siang,2015,55,5673,3948,332,1375
Arunachal Pradesh,West Siang,2016,98,4347,1124,688,1241
Arunachal Pradesh,West Siang,2017,87,3975,345,675,11
Arunachal Pradesh,West Siang,2018,44,15670,2180,507,479
Arunachal Pradesh,West Siang,2019,35,2255,1695,1766,1710
Arunachal Pradesh,West Siang,2020,94,10465,3561,1589,747
Arunachal Pradesh,West Siang,2021,72,11905,3501,770,1882
Arunachal Pradesh,West Siang,2022,19,3218,3161,54,476
Arunachal Pradesh,West Siang,2023,24,17391,3623,357,454
Arunachal Pradesh,West Siang,2024,52,13101,1109,443,56
Arunachal Pradesh,West Siang,2025,9,12865,1254,376,1803
Arunachal Pradesh,East Siang,2015,62,8141,2285,785,1873
Arunachal Pradesh,East Siang,2016,64,3161,3376,146,1446
Arunachal Pradesh,East Siang,2017,46,10280,2526,531,796
Arunachal Pradesh,East Siang,2018,50,10650,271,1217,1921
Arunachal Pradesh,East Siang,2019,43,2101,4137,72,1144
Arunachal Pradesh,East Siang,2020,29,13245,3363,1428,871
Arunachal Pradesh,East Siang,2021,90,12923,184,479,1469
Arunachal Pradesh,East Siang,2022,36,3299,3546,507,348
Arunachal Pradesh,East Siang,2023,32,3470,2308,1660,1865
Arunachal Pradesh,East Siang,2024,16,1312,1804,1499,1402
Arunachal Pradesh,East Siang,2025,82,17950,1687,1827,432
Arunachal Pradesh,Siang,2015,32,1373,4124,736,648
Arunachal Pradesh,Siang,2016,90,5656,4209,681,1489
Arunachal Pradesh,Siang,2017,27,12605,3620,1208,1576
Arunachal Pradesh,Siang,2018,32,14498,1962,1681,1398
Arunachal Pradesh,Siang,2019,56,13704,2248,454,1285
Arunachal Pradesh,Siang,2020,74,17917,1017,1942,1907
Arunachal Pradesh,Siang,2021,65,875,4623,1327,1481
Arunachal Pradesh,Siang,2022,45,13515,3225,267,1746
Arunachal Pradesh,Siang,2023,12,8572,4739,738,1242
Arunachal Pradesh,Siang,2024,76,7351,2416,1768,829
Arunachal Pradesh,Siang,2025,10,19204,904,704,1387
Arunachal Pradesh,Upper Siang,2015,89,9338,2062,1977,548
Arunachal Pradesh,Upper Siang,2016,28,11972,4247,1619,1622
Arunachal Pradesh,Upper Siang,2017,56,17735,3465,270,1473
Arunachal Pradesh,Upper Siang,2018,76,2283,1599,1751,359
Arunachal Pradesh,Upper Siang,2019,30,13955,1388,66,1118
Arunachal Pradesh,Upper Siang,2020,24,9419,1830,924,1914
