state,district,year,aqi,pm2_5,pm10,no2,so2,co
Andhra Pradesh,Anantapur,2016,108,138.54,226.03,59.36,47.31,0.57
Andhra Pradesh,Anantapur,2017,93,94.13,283.69,16.89,63.14,1.85
Andhra Pradesh,Anantapur,2018,253,120.72,113.57,40.96,18.11,3.35
Andhra Pradesh,Anantapur,2019,307,47.59,107.86,89.68,40.52,0.66
Andhra Pradesh,Anantapur,2020,244,27.04,124.35,77.11,18.25,3.56
Andhra Pradesh,Anantapur,2021,164,168.75,176.71,37.97,9.3,0.63
Andhra Pradesh,Anantapur,2022,305,179.63,211.93,89.64,9.46,3.01
Andhra Pradesh,Anantapur,2023,184,31.64,143.47,54.0,45.26,3.68
Andhra Pradesh,Anantapur,2024,213,189.56,148.16,28.73,15.86,4.99
Andhra Pradesh,Anantapur,2025,232,73.02,184.4,21.43,11.83,0.42
Andhra Pradesh,Annamayya,2015,280,105.46,218.26,71.07,71.23,4.1
Andhra Pradesh,Annamayya,2016,139,111.7,38.19,21.95,74.9,4.48
Andhra Pradesh,Annamayya,2017,281,183.08,136.09,62.0,19.44,4.44
Andhra Pradesh,Annamayya,2018,324,47.7,58.6,15.47,13.76,1.49
Andhra Pradesh,Annamayya,2019,347,120.47,28.34,43.45,57.61,4.15
Andhra Pradesh,Annamayya,2020,87,154.72,140.78,83.41,61.39,2.85
Andhra Pradesh,Annamayya,2021,53,190.42,183.04,47.22,34.49,3.33
Andhra Pradesh,Annamayya,2022,51,175.07,199.91,52.39,53.63,1.29
Andhra Pradesh,Annamayya,2023,171,33.95,261.43,103.36,41.33,2.59
Andhra Pradesh,Annamayya,2024,346,18.02,124.47,26.32,15.86,0.82
Andhra Pradesh,Annamayya,2025,303,176.49,180.98,63.4,10.43,3.9
Andhra Pradesh,Bapatla,2015,79,80.32,193.1,83.69,19.62,2.72
Andhra Pradesh,Bapatla,2016,214,196.99,255.47,61.92,32.24,2.24
Andhra Pradesh,Bapatla,2017,163,54.16,58.35,65.35,24.2,3.56
Andhra Pradesh,Bapatla,2018,338,38.54,238.46,109.27,45.01,4.73
Andhra Pradesh,Bapatla,2019,238,90.2,149.64,100.48,26.94,1.71
Andhra Pradesh,Bapatla,2020,219,195.55,159.96,53.82,42.29,2.02
Andhra Pradesh,Bapatla,2021,286,13.51,282.35,35.42,32.84,4.5
Andhra Pradesh,Bapatla,2022,79,51.26,242.53,96.83,28.21,0.69
Andhra Pradesh,Bapatla,2023,82,77.84,168.36,82.09,30.15,3.58
Andhra Pradesh,Bapatla,2024,198,53.41,270.68,14.85,53.94,1.9
Andhra Pradesh,Bapatla,2025,237,142.74,142.17,42.04,33.53,4.78
Andhra Pradesh,Chittoor,2015,262,32.85,93.48,116.25,9.03,2.72
Andhra Pradesh,Chittoor,2016,338,30.83,299.32,52.45,47.38,1.92
Andhra Pradesh,Chittoor,2017,183,97.04,42.92,68.47,48.86,3.5
Andhra Pradesh,Chittoor,2018,329,145.79,163.24,97.57,17.59,0.96
Andhra Pradesh,Chittoor,2019,255,45.23,86.04,14.97,8.21,2.14
Andhra Pradesh,Chittoor,2020,204,167.31,231.21,62.27,36.63,1.14
Andhra Pradesh,Chittoor,2021,175,98.21,171.63,74.5,68.03,0.6
Andhra Pradesh,Chittoor,2022,325,104.96,232.93,97.76,53.3,3.31
Andhra Pradesh,Chittoor,2023,168,164.96,49.98,57.48,28.67,4.56
Andhra Pradesh,Chittoor,2024,93,23.47,31.04,93.0,63.49,3.97
Andhra Pradesh,Chittoor,2025,216,104.15,266.14,77.18,21.32,1.05
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,190,158.22,84.19,53.18,33.68,1.32
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2016,221,105.51,182.31,12.28,54.9,4.51
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2017,291,52.57,108.44,47.45,7.25,4.88
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2018,112,113.58,245.84,75.55,64.38,2.92
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2019,97,159.55,132.14,38.29,14.65,3.42
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2020,144,150.3,127.17,58.81,22.06,4.61
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2021,268,147.72,73.06,66.79,32.37,1.95
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,47,105.45,188.0,74.06,41.83,3.83
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2023,191,41.18,275.69,42.93,7.41,1.92
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2024,89,54.62,283.32,107.5,77.49,0.31
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2025,345,36.34,129.41,48.34,57.52,1.63
Andhra Pradesh,East Godavari,2015,346,87.72,172.1,67.0,77.26,1.32
Andhra Pradesh,East Godavari,2016,283,127.51,157.62,108.29,11.63,1.51
Andhra Pradesh,East Godavari,2017,76,111.25,267.35,41.71,59.86,0.45
Andhra Pradesh,East Godavari,2018,311,96.53,86.01,114.21,62.25,1.77
Andhra Pradesh,East Godavari,2019,86,187.45,185.97,113.39,7.54,1.66
Andhra Pradesh,East Godavari,2020,55,13.83,146.72,87.3,41.36,1.35
Andhra Pradesh,East Godavari,2021,98,165.34,62.28,70.02,14.29,1.4
Andhra Pradesh,East Godavari,2022,301,37.95,259.91,89.08,10.61,4.79
Andhra Pradesh,East Godavari,2023,103,158.41,38.81,86.84,66.62,2.65
Andhra Pradesh,East Godavari,2024,312,100.08,127.3,97.27,9.59,3.46
Andhra Pradesh,East Godavari,2025,84,74.12,117.14,101.29,66.43,4.79
Andhra Pradesh,Eluru,2015,321,106.15,287.14,114.78,5.54,4.06
Andhra Pradesh,Eluru,2016,84,58.56,29.76,50.09,18.91,4.84
Andhra Pradesh,Eluru,2017,131,168.97,148.24,98.11,76.39,1.27
Andhra Pradesh,Eluru,2018,118,165.08,121.24,92.33,25.08,1.26
Andhra Pradesh,Eluru,2019,156,144.15,179.97,76.79,34.35,4.91
Andhra Pradesh,Eluru,2020,134,31.2,253.27,55.58,38.6,1.87
Andhra Pradesh,Eluru,2021,89,173.96,150.43,53.22,29.27,1.09
Andhra Pradesh,Eluru,2022,333,105.72,78.19,5.55,51.76,0.79
Andhra Pradesh,Eluru,2023,237,102.69,34.43,60.07,20.75,2.65
Andhra Pradesh,Eluru,2024,220,96.78,183.75,74.94,20.11,4.03
Andhra Pradesh,Eluru,2025,72,59.61,186.28,102.75,66.62,3.64
Andhra Pradesh,Guntur,2015,107,142.55,134.8,52.72,78.45,1.49
Andhra Pradesh,Guntur,2016,49,71.38,229.98,44.84,79.28,3.72
Andhra Pradesh,Guntur,2017,73,28.02,26.24,69.08,9.78,3.26
Andhra Pradesh,Guntur,2018,127,117.12,218.94,45.46,59.27,0.55
Andhra Pradesh,Guntur,2019,219,132.99,97.17,44.64,64.75,4.92
Andhra Pradesh,Guntur,2020,231,181.69,78.4,8.82,76.36,2.08
Andhra Pradesh,Guntur,2021,240,170.59,84.35,47.49,50.53,3.86
Andhra Pradesh,Guntur,2022,301,27.28,282.94,16.03,4.75,4.88
Andhra Pradesh,Guntur,2023,269,189.94,160.93,39.72,3.54,4.63
Andhra Pradesh,Guntur,2024,331,154.51,280.36,57.39,62.57,0.36
Andhra Pradesh,Guntur,2025,173,40.14,136.8,98.03,33.47,4.28
Andhra Pradesh,Kakinada,2015,149,94.73,162.42,15.2,67.92,2.09
Andhra Pradesh,Kakinada,2016,308,120.03,257.97,27.35,33.74,4.53
Andhra Pradesh,Kakinada,2017,349,175.63,151.39,10.29,18.08,4.95
Andhra Pradesh,Kakinada,2018,78,156.14,89.99,59.55,6.02,1.22
Andhra Pradesh,Kakinada,2019,58,62.17,96.62,78.64,45.89,2.67
Andhra Pradesh,Kakinada,2020,146,48.88,61.37,11.8,9.71,0.6
Andhra Pradesh,Kakinada,2021,308,96.45,183.5,78.55,8.15,2.36
Andhra Pradesh,Kakinada,2022,50,156.46,64.68,110.54,66.29,2.71
Andhra Pradesh,Kakinada,2023,298,46.86,40.94,58.56,3.18,4.99
Andhra Pradesh,Kakinada,2024,172,96.27,47.36,25.54,17.26,3.16
Andhra Pradesh,Kakinada,2025,53,63.32,201.16,46.18,14.15,4.82
Andhra Pradesh,Krishna,2015,69,13.49,156.13,95.85,20.03,4.94
Andhra Pradesh,Krishna,2016,237,74.64,142.02,112.39,20.86,1.39
Andhra Pradesh,Krishna,2017,343,183.27,127.84,48.95,21.41,0.26
Andhra Pradesh,Krishna,2018,56,196.72,115.28,60.41,41.7,4.08
Andhra Pradesh,Krishna,2019,118,134.46,124.58,45.09,79.94,3.92
Andhra Pradesh,Krishna,2020,237,47.79,194.98,46.65,47.98,0.31
Andhra Pradesh,Krishna,2021,280,29.44,27.93,24.28,38.81,3.41
Andhra Pradesh,Krishna,2022,154,66.24,235.41,34.02,68.74,2.16
Andhra Pradesh,Krishna,2023,158,146.89,193.74,24.23,41.33,1.6
Andhra Pradesh,Krishna,2024,165,134.65,147.52,57.72,77.94,4.73
Andhra Pradesh,Krishna,2025,251,175.52,166.37,5.75,17.07,2.05
Andhra Pradesh,Kurnool,2015,268,57.35,35.71,10.06,7.88,2.9
Andhra Pradesh,Kurnool,2016,219,173.32,175.28,9.47,27.06,4.37
Andhra Pradesh,Kurnool,2017,190,97.12,280.9,65.12,34.14,2.2
Andhra Pradesh,Kurnool,2018,321,48.41,163.47,35.49,42.53,4.0
Andhra Pradesh,Kurnool,2019,208,127.48,189.5,49.37,56.4,3.42
Andhra Pradesh,Kurnool,2020,125,180.99,131.21,23.9,35.02,3.87
Andhra Pradesh,Kurnool,2021,294,101.16,174.44,25.79,79.77,4.9
Andhra Pradesh,Kurnool,2022,348,153.38,113.06,41.93,66.43,2.83
Andhra Pradesh,Kurnool,2023,166,105.75,286.85,91.43,23.72,0.7
Andhra Pradesh,Kurnool,2024,320,51.32,187.17,27.48,2.68,4.75
Andhra Pradesh,Kurnool,2025,247,158.3,22.99,86.78,2.23,2.55
Andhra Pradesh,Nandyal,2015,127,111.61,288.95,68.83,63.69,4.94
Andhra Pradesh,Nandyal,2016,305,101.17,65.07,91.12,23.92,4.6
Andhra Pradesh,Nandyal,2017,157,181.26,88.6,85.26,70.16,4.44
Andhra Pradesh,Nandyal,2018,181,103.01,102.62,106.37,21.74,1.63
Andhra Pradesh,Nandyal,2019,93,160.31,147.0,29.95,49.04,4.78
Andhra Pradesh,Nandyal,2020,283,161.43,260.2,57.58,20.36,3.26
Andhra Pradesh,Nandyal,2021,325,157.31,130.86,27.27,6.39,0.87
Andhra Pradesh,Nandyal,2022,115,61.18,236.63,96.14,4.92,0.93
Andhra Pradesh,Nandyal,2023,345,52.32,133.14,95.11,7.78,2.26
Andhra Pradesh,Nandyal,2024,189,157.99,272.56,39.17,17.56,4.81
Andhra Pradesh,Nandyal,2025,50,168.23,210.73,53.28,64.4,0.46
Andhra Pradesh,NTR,2015,139,60.47,242.98,59.34,51.85,3.51
Andhra Pradesh,NTR,2016,201,28.48,168.53,92.24,74.65,2.96
Andhra Pradesh,NTR,2017,256,71.1,65.4,37.16,64.93,2.71
Andhra Pradesh,NTR,2018,184,105.85,290.47,38.53,21.27,2.34
Andhra Pradesh,NTR,2019,216,39.89,34.92,57.22,76.88,1.09
Andhra Pradesh,NTR,2020,68,16.35,255.66,102.9,30.71,2.82
Andhra Pradesh,NTR,2021,298,140.58,112.08,73.94,11.76,1.44
Andhra Pradesh,NTR,2022,130,146.69,280.14,31.78,18.46,1.89
Andhra Pradesh,NTR,2023,331,188.36,109.14,102.29,3.95,3.77
Andhra Pradesh,NTR,2024,341,169.6,263.64,38.78,77.73,4.65
Andhra Pradesh,NTR,2025,192,197.32,151.84,32.65,52.68,2.64
Andhra Pradesh,Palnadu,2015,236,186.51,226.67,5.91,51.78,3.58
Andhra Pradesh,Palnadu,2016,307,50.81,217.23,13.29,68.82,1.12
Andhra Pradesh,Palnadu,2017,262,43.6,86.62,116.99,75.24,3.43
Andhra Pradesh,Palnadu,2018,271,185.87,244.52,55.0,66.81,1.82
Andhra Pradesh,Palnadu,2019,215,190.13,53.11,76.98,36.73,4.04
Andhra Pradesh,Palnadu,2020,139,11.51,268.76,90.69,11.17,1.55
Andhra Pradesh,Palnadu,2021,136,15.73,294.49,9.96,12.61,2.77
Andhra Pradesh,Palnadu,2022,340,44.09,69.69,90.67,10.5,2.15
Andhra Pradesh,Palnadu,2023,166,94.97,94.28,70.94,76.79,0.8
Andhra Pradesh,Palnadu,2024,75,92.09,153.31,7.85,21.26,4.22
Andhra Pradesh,Palnadu,2025,148,174.07,138.61,93.14,16.25,0.72
Andhra Pradesh,Parvathipuram Manyam,2015,106,30.0,294.13,51.15,65.7,1.95
Andhra Pradesh,Parvathipuram Manyam,2016,47,66.0,152.6,56.18,14.12,3.72
Andhra Pradesh,Parvathipuram Manyam,2017,40,52.37,277.24,91.62,46.55,4.38
Andhra Pradesh,Parvathipuram Manyam,2018,102,141.55,128.24,104.34,3.18,3.96
Andhra Pradesh,Parvathipuram Manyam,2019,340,25.05,103.11,48.36,2.49,2.57
Andhra Pradesh,Parvathipuram Manyam,2020,342,27.16,252.62,118.18,31.56,2.24
Andhra Pradesh,Parvathipuram Manyam,2021,303,96.53,79.86,98.12,6.77,3.05
Andhra Pradesh,Parvathipuram Manyam,2022,267,84.16,134.63,63.34,20.24,3.8
Andhra Pradesh,Parvathipuram Manyam,2023,288,149.72,285.79,73.11,15.44,1.34
Andhra Pradesh,Parvathipuram Manyam,2024,138,87.06,67.19,21.62,6.21,2.14
Andhra Pradesh,Parvathipuram Manyam,2025,178,105.4,281.16,58.95,79.85,2.38
Andhra Pradesh,Prakasam,2015,253,13.96,228.28,100.0,58.45,2.89
Andhra Pradesh,Prakasam,2016,313,18.82,241.7,72.95,39.25,2.48
Andhra Pradesh,Prakasam,2017,82,131.54,144.7,43.26,41.8,3.26
Andhra Pradesh,Prakasam,2018,162,80.86,188.82,87.12,19.57,1.65
Andhra Pradesh,Prakasam,2019,309,61.8,238.98,85.96,11.28,4.07
Andhra Pradesh,Prakasam,2020,62,119.5,47.13,84.42,61.14,4.05
Andhra Pradesh,Prakasam,2021,208,153.43,88.12,78.93,13.36,1.51
Andhra Pradesh,Prakasam,2022,321,74.37,194.64,53.07,54.51,3.36
Andhra Pradesh,Prakasam,2023,103,45.52,94.2,22.12,11.57,2.31
Andhra Pradesh,Prakasam,2024,80,140.05,232.61,13.22,23.37,3.66
Andhra Pradesh,Prakasam,2025,336,16.07,53.42,98.03,34.79,0.57
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,177,51.39,76.62,9.97,8.97,0.22
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,58,70.61,42.18,29.03,62.58,0.97
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,151,50.48,148.54,94.21,55.81,2.25
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,134,35.89,54.16,15.48,5.37,4.04
Andhra Pradesh,Sri Potti Sriramulu Nellore,2019,291,83.02,23.86,26.57,38.55,4.12
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,108,114.77,34.83,29.82,77.36,1.09
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,129,144.34,132.34,114.24,20.43,0.75
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,201,146.76,131.16,50.7,26.89,3.22
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,58,37.43,50.11,94.75,32.59,2.19
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,129,72.7,109.51,60.32,55.54,4.73
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,202,105.0,262.24,46.48,26.67,4.08
Andhra Pradesh,Sri Sathya Sai,2015,90,141.73,217.59,33.89,11.53,3.16
Andhra Pradesh,Sri Sathya Sai,2016,217,21.89,34.65,81.03,22.13,2.97
Andhra Pradesh,Sri Sathya Sai,2017,132,41.92,183.47,9.44,46.71,2.47
Andhra Pradesh,Sri Sathya Sai,2018,88,15.02,80.88,80.64,14.63,0.86
Andhra Pradesh,Sri Sathya Sai,2019,46,133.93,228.88,83.6,39.68,3.59
Andhra Pradesh,Sri Sathya Sai,2020,74,85.45,48.37,117.53,69.26,3.5
Andhra Pradesh,Sri Sathya Sai,2021,225,92.43,121.0,63.23,21.76,1.11
Andhra Pradesh,Sri Sathya Sai,2022,288,122.95,294.34,71.29,38.92,2.33
Andhra Pradesh,Sri Sathya Sai,2023,212,118.99,105.08,13.9,11.43,1.01
Andhra Pradesh,Sri Sathya Sai,2024,171,111.23,77.17,39.91,43.09,4.35
Andhra Pradesh,Sri Sathya Sai,2025,338,49.28,155.74,94.54,18.42,0.53
Andhra Pradesh,Srikakulam,2015,92,31.8,64.48,77.78,18.8,2.83
Andhra Pradesh,Srikakulam,2016,185,11.35,232.56,47.03,53.24,3.28
Andhra Pradesh,Srikakulam,2017,248,145.9,138.18,85.07,53.07,2.61
Andhra Pradesh,Srikakulam,2018,348,44.25,155.11,24.65,23.54,2.73
Andhra Pradesh,Srikakulam,2019,247,88.42,238.27,50.38,77.74,1.43
Andhra Pradesh,Srikakulam,2020,347,80.32,293.81,62.9,65.48,3.61
Andhra Pradesh,Srikakulam,2021,348,117.18,114.77,31.47,3.9,3.83
Andhra Pradesh,Srikakulam,2022,46,186.52,232.55,105.67,55.77,2.55
Andhra Pradesh,Srikakulam,2023,217,160.12,69.93,33.32,47.44,3.9
Andhra Pradesh,Srikakulam,2024,109,153.8,176.91,77.2,50.85,0.49
Andhra Pradesh,Srikakulam,2025,70,65.33,239.04,41.46,27.05,1.65
Andhra Pradesh,Tirupati,2015,340,41.39,82.21,88.47,64.4,4.86
Andhra Pradesh,Tirupati,2016,262,69.61,239.68,86.21,29.41,3.8
Andhra Pradesh,Tirupati,2017,229,60.69,93.0,18.66,55.79,1.98
Andhra Pradesh,Tirupati,2018,295,74.85,224.9,8.95,62.91,4.06
Andhra Pradesh,Tirupati,2019,72,186.87,132.66,92.68,34.59,3.57
Andhra Pradesh,Tirupati,2020,226,77.02,107.32,34.64,63.82,4.68
Andhra Pradesh,Tirupati,2021,146,20.51,123.59,19.63,27.47,3.96
Andhra Pradesh,Tirupati,2022,279,118.82,27.95,73.0,29.0,1.5
Andhra Pradesh,Tirupati,2023,129,29.15,192.97,107.38,25.14,0.38
Andhra Pradesh,Tirupati,2024,55,20.4,85.37,117.66,47.15,2.39
Andhra Pradesh,Tirupati,2025,83,27.83,80.84,82.8,32.24,2.74
Andhra Pradesh,Visakhapatnam,2015,152,184.73,66.5,97.97,7.35,4.95
Andhra Pradesh,Visakhapatnam,2016,258,117.18,104.23,8.22,72.94,0.96
Andhra Pradesh,Visakhapatnam,2017,63,174.24,270.23,69.2,75.21,3.05
Andhra Pradesh,Visakhapatnam,2018,51,52.46,35.75,33.72,12.37,4.3
Andhra Pradesh,Visakhapatnam,2019,136,150.4,129.13,59.11,53.31,1.63
Andhra Pradesh,Visakhapatnam,2020,225,51.62,103.35,104.48,16.1,1.92
Andhra Pradesh,Visakhapatnam,2021,51,25.38,271.85,55.53,48.6,4.6
Andhra Pradesh,Visakhapatnam,2022,43,21.51,183.79,57.1,8.89,1.23
Andhra Pradesh,Visakhapatnam,2023,335,83.01,203.3,39.02,52.99,4.88
Andhra Pradesh,Visakhapatnam,2024,151,97.34,45.01,22.33,36.69,2.01
Andhra Pradesh,Visakhapatnam,2025,52,29.96,171.65,10.98,62.6,4.09
Andhra Pradesh,Vizianagaram,2015,179,83.01,290.97,36.6,3.36,4.96
Andhra Pradesh,Vizianagaram,2016,221,138.19,295.82,78.91,28.24,4.29
Andhra Pradesh,Vizianagaram,2017,84,180.63,291.74,45.02,23.61,0.32
Andhra Pradesh,Vizianagaram,2018,79,102.4,119.55,42.19,26.74,3.98
Andhra Pradesh,Vizianagaram,2019,250,68.46,54.61,69.19,66.35,1.85
Andhra Pradesh,Vizianagaram,2020,64,30.29,109.14,78.13,12.45,4.56
Andhra Pradesh,Vizianagaram,2021,256,126.68,252.03,45.57,16.84,3.17
Andhra Pradesh,Vizianagaram,2022,164,153.88,193.74,14.08,34.34,0.41
Andhra Pradesh,Vizianagaram,2023,221,11.46,175.77,88.96,61.74,3.28
Andhra Pradesh,Vizianagaram,2024,77,93.88,105.54,89.79,65.46,0.25
Andhra Pradesh,Vizianagaram,2025,88,119.57,137.4,84.82,66.41,2.67
Andhra Pradesh,West Godavari,2015,118,15.09,258.61,78.24,2.73,3.71
Andhra Pradesh,West Godavari,2016,242,142.37,245.14,98.72,28.24,0.69
Andhra Pradesh,West Godavari,2017,296,29.63,273.14,105.7,69.97,3.26
Andhra Pradesh,West Godavari,2018,300,122.08,258.77,30.28,9.3,4.03
Andhra Pradesh,West Godavari,2019,220,136.94,26.71,44.67,49.37,4.7
Andhra Pradesh,West Godavari,2020,220,83.11,225.44,112.58,35.62,2.88
Andhra Pradesh,West Godavari,2021,82,182.51,62.14,48.81,20.21,4.67
Andhra Pradesh,West Godavari,2022,195,137.66,50.4,37.57,78.07,1.92
Andhra Pradesh,West Godavari,2023,183,166.95,106.03,45.63,7.02,3.48
Andhra Pradesh,West Godavari,2024,100,182.09,136.02,98.1,58.88,1.05
Andhra Pradesh,West Godavari,2025,340,10.39,125.12,13.99,76.66,2.11
Andhra Pradesh,YSR Kadapa,2015,142,146.28,103.42,103.43,41.34,0.68
Andhra Pradesh,YSR Kadapa,2016,199,33.82,235.42,75.65,12.67,0.46
Andhra Pradesh,YSR Kadapa,2017,325,105.35,123.38,40.64,68.37,4.47
Andhra Pradesh,YSR Kadapa,2018,290,22.07,141.02,109.76,51.32,2.04
Andhra Pradesh,YSR Kadapa,2019,131,19.65,68.23,60.15,71.04,3.09
Andhra Pradesh,YSR Kadapa,2020,335,111.33,262.52,119.94,78.44,2.26
Andhra Pradesh,YSR Kadapa,2021,281,72.6,199.83,40.56,45.62,1.13
Andhra Pradesh,YSR Kadapa,2022,42,91.7,145.9,17.14,58.72,2.08
Andhra Pradesh,YSR Kadapa,2023,282,140.5,75.82,57.64,37.68,1.35
Andhra Pradesh,YSR Kadapa,2024,288,23.72,241.15,23.67,36.42,2.67
Andhra Pradesh,YSR Kadapa,2025,84,44.05,235.42,119.92,24.82,4.22
Arunachal Pradesh,Tawang,2015,72,37.03,186.72,98.48,70.92,0.86
Arunachal Pradesh,Tawang,2016,273,179.59,131.02,64.79,59.72,0.57
Arunachal Pradesh,Tawang,2017,331,120.85,136.46,40.24,34.77,4.7
Arunachal Pradesh,Tawang,2018,257,150.18,202.65,55.74,60.49,1.37
Arunachal Pradesh,Tawang,2019,263,199.41,221.73,23.81,4.17,4.33
Arunachal Pradesh,Tawang,2020,128,188.86,245.77,33.73,16.15,1.87
Arunachal Pradesh,Tawang,2021,131,151.84,122.11,5.82,7.71,2.2
Arunachal Pradesh,Tawang,2022,210,115.62,204.43,31.47,29.21,4.59
Arunachal Pradesh,Tawang,2023,267,89.7,285.08,95.8,32.72,2.44
Arunachal Pradesh,Tawang,2024,98,21.27,149.67,46.27,65.81,2.61
Arunachal Pradesh,Tawang,2025,110,103.49,109.58,53.42,29.91,4.16
Arunachal Pradesh,West Kameng,2015,160,128.12,96.45,86.43,27.21,2.51
Arunachal Pradesh,West Kameng,2016,217,63.33,223.86,110.35,51.93,3.41
Arunachal Pradesh,West Kameng,2017,127,69.28,130.78,17.65,32.95,0.45
Arunachal Pradesh,West Kameng,2018,194,51.88,291.37,12.44,35.73,4.9
Arunachal Pradesh,West Kameng,2019,256,69.34,188.73,97.46,24.44,4.31
Arunachal Pradesh,West Kameng,2020,118,180.93,246.77,39.42,47.32,1.38
Arunachal Pradesh,West Kameng,2021,179,47.46,283.21,39.31,11.93,0.84
Arunachal Pradesh,West Kameng,2022,267,10.65,192.26,104.85,71.5,2.64
Arunachal Pradesh,West Kameng,2023,312,180.3,195.87,60.82,2.94,2.39
Arunachal Pradesh,West Kameng,2024,267,50.32,28.77,20.35,19.52,2.27
Arunachal Pradesh,West Kameng,2025,252,74.72,89.55,95.83,75.83,0.6
Arunachal Pradesh,East Kameng,2015,210,85.36,219.61,84.01,67.67,2.68
Arunachal Pradesh,East Kameng,2016,221,71.64,142.31,10.28,74.78,1.88
Arunachal Pradesh,East Kameng,2017,187,159.11,29.03,106.85,52.27,2.83
Arunachal Pradesh,East Kameng,2018,49,103.91,81.18,80.15,16.67,1.41
Arunachal Pradesh,East Kameng,2019,130,38.58,218.32,91.33,25.91,3.25
Arunachal Pradesh,East Kameng,2020,302,57.81,68.54,12.26,48.39,1.08
Arunachal Pradesh,East Kameng,2021,84,53.08,248.91,17.29,63.36,0.88
Arunachal Pradesh,East Kameng,2022,221,135.78,173.01,50.94,65.68,0.79
Arunachal Pradesh,East Kameng,2023,76,37.67,253.77,33.47,61.82,1.1
Arunachal Pradesh,East Kameng,2024,45,193.27,178.37,44.61,38.09,3.02
Arunachal Pradesh,East Kameng,2025,80,117.93,293.84,36.34,34.56,0.6
Arunachal Pradesh,Papum Pare,2015,269,146.37,90.09,99.46,70.54,1.23
Arunachal Pradesh,Papum Pare,2016,179,43.18,208.51,20.79,64.46,4.76
Arunachal Pradesh,Papum Pare,2017,213,147.8,47.19,14.66,68.31,4.49
Arunachal Pradesh,Papum Pare,2018,140,180.55,35.49,109.7,37.73,0.51
Arunachal Pradesh,Papum Pare,2019,195,50.29,85.62,104.37,79.82,3.08
Arunachal Pradesh,Papum Pare,2020,60,92.68,235.81,55.8,32.81,2.6
Arunachal Pradesh,Papum Pare,2021,321,100.22,258.64,99.09,59.35,0.23
