state,district,year,rainfall,groundwater_level,water_supply,irrigation_area,reservoir_capacity,water_quality,drinking_water_access
Uttar Pradesh,Bahraich,2019,12.02,30.83,83.75,81.86,89.43,97.06,77.9
Uttar Pradesh,Kaushambi,2024,36.3,60.92,85.51,83.15,88.33,59.1,89.79
Assam,Dhubri,2018,23.71,39.27,25.97,71.61,39.44,68.18,74.67
Jharkhand,Jamtara,2018,60.22,38.13,56.74,78.7,33.25,30.06,86.51
Arunachal Pradesh,Anjaw,2021,70.69,24.63,78.61,57.86,89.79,12.67,11.08
Uttar Pradesh,Mathura,2025,81.76,77.04,86.76,19.81,65.23,15.89,57.66
West Bengal,Hooghly,2025,51.18,20.41,47.91,24.68,22.73,65.79,62.68
Maharashtra,Latur,2016,99.89,11.29,36.53,26.56,60.5,52.12,83.27
Madhya Pradesh,Singrauli,2016,60.38,81.87,97.77,16.09,89.24,48.82,34.99
Uttar Pradesh,Jaunpur,2025,46.57,46.22,55.65,79.96,66.98,61.1,62.25
Rajasthan,Jodhpur,2023,54.07,81.51,60.0,65.24,47.19,77.68,21.94
Sikkim,Namchi,2018,77.29,93.55,91.54,29.2,37.48,68.55,14.15
Uttarakhand,Nainital,2017,24.91,30.08,52.54,55.01,74.74,77.57,79.05
Maharashtra,Satara,2023,14.24,50.24,88.83,79.18,95.23,52.47,43.55
Andhra Pradesh,Sri Sathya Sai,2017,47.69,58.37,66.72,82.12,10.39,11.88,56.92
Uttar Pradesh,Kanpur Dehat,2022,95.24,22.15,85.12,32.59,36.18,53.26,41.27
Uttar Pradesh,Pratapgarh,2019,66.79,52.28,23.55,32.92,92.96,18.59,86.59
Arunachal Pradesh,Tawang,2024,20.25,93.51,93.54,88.45,89.16,54.08,17.79
Uttar Pradesh,Saharanpur,2022,42.75,25.72,50.08,27.57,52.92,58.78,29.25
Nagaland,Mokokchung,2015,21.49,65.78,21.17,99.79,22.13,31.5,54.51
Rajasthan,Sawai Madhopur,2020,95.34,68.65,11.26,90.44,36.0,39.87,29.99
Uttar Pradesh,Gonda,2019,11.37,11.7,10.93,75.99,59.77,81.04,22.85
Tamil Nadu,Sivaganga,2015,56.35,16.76,26.53,84.53,93.44,22.2,71.77
Chhattisgarh,Korba,2015,25.05,27.07,53.37,33.71,17.15,99.48,47.97
Haryana,Jhajjar,2019,60.85,77.46,60.23,87.4,26.7,90.79,33.37
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,36.27,67.47,24.03,96.52,26.3,43.56,12.88
Andhra Pradesh,Parvathipuram Manyam,2023,97.6,84.67,29.38,64.45,56.2,33.79,77.52
Uttar Pradesh,Etah,2025,10.74,35.72,80.36,88.76,73.59,94.08,72.36
Punjab,Fatehgarh Sahib,2025,46.57,74.65,45.24,80.67,29.06,78.22,32.89
Andhra Pradesh,Sri Sathya Sai,2015,34.19,90.43,13.48,90.14,62.16,82.8,23.99
Tripura,Gomati,2021,30.6,43.22,49.75,85.72,31.8,84.74,11.02
Nagaland,Shamator,2021,83.91,75.18,30.44,15.84,69.59,68.45,79.72
Madhya Pradesh,Jabalpur,2025,85.23,87.61,24.66,11.85,62.07,97.27,20.98
Rajasthan,Jhunjhunu,2024,66.25,20.46,16.79,32.11,54.63,73.07,83.35
Assam,Dima Hasao,2019,56.03,62.97,59.76,50.41,37.92,28.39,91.78
West Bengal,Paschim Bardhaman,2015,84.75,58.68,48.25,49.76,95.41,17.55,77.1
Bihar,Nawada,2018,26.19,40.02,55.73,98.05,21.1,71.25,22.31
Nagaland,Dimapur,2021,94.85,37.3,62.75,87.8,33.85,22.1,25.04
Haryana,Kaithal,2023,82.88,90.67,81.07,68.72,84.04,22.8,37.0
Karnataka,Bengaluru Urban,2019,92.65,50.07,96.84,58.39,73.73,24.2,73.94
Rajasthan,Alwar,2024,63.62,94.98,95.33,38.09,59.9,69.55,89.8
Haryana,Bhiwani,2016,17.67,57.1,16.79,13.86,94.73,33.75,92.29
Punjab,Barnala,2019,80.61,97.31,61.68,76.58,53.82,21.2,84.49
Kerala,Palakkad,2020,77.4,29.0,71.58,21.68,94.02,16.44,62.23
West Bengal,Purba Bardhaman,2022,37.55,45.87,59.79,23.04,84.63,95.62,21.04
Kerala,Idukki,2023,68.26,22.86,43.88,35.7,65.35,33.54,90.21
Uttarakhand,Rudraprayag,2018,47.36,59.76,91.38,63.46,99.56,91.41,91.81
West Bengal,Jalpaiguri,2015,42.78,93.71,49.38,42.19,93.78,46.91,99.62
Haryana,Jhajjar,2017,79.16,45.99,80.69,37.74,99.75,93.15,64.97
Punjab,Barnala,2022,73.94,29.99,45.72,66.69,67.25,43.94,72.8
Rajasthan,Khairthal-Tijara,2016,18.56,55.38,32.74,52.5,47.47,87.35,94.43
Haryana,Panipat,2018,90.07,25.24,35.12,77.1,13.84,18.41,76.55
Bihar,Gopalganj,2017,60.87,37.19,25.01,54.24,21.98,60.02,60.82
Telangana,Jayashankar Bhupalpally,2015,76.65,21.81,90.72,52.27,42.29,64.5,13.05
Tamil Nadu,Tirupathur,2019,93.24,85.37,78.53,45.34,86.0,39.25,56.39
Telangana,Adilabad,2025,24.8,33.61,31.12,12.81,53.22,10.98,29.22
Jharkhand,Sahebganj,2018,77.58,88.79,41.41,20.48,12.77,88.88,72.49
West Bengal,Kolkata,2025,53.28,64.11,60.83,94.95,19.64,28.97,64.82
Rajasthan,Neem Ka Thana,2022,67.65,69.78,13.59,74.48,23.04,81.28,24.7
Uttar Pradesh,Amroha,2025,32.38,86.59,11.51,31.02,24.55,32.52,17.28
Andhra Pradesh,Guntur,2020,37.53,72.12,80.81,95.15,43.37,46.4,44.63
Uttar Pradesh,Fatehpur,2019,32.54,94.0,46.43,11.99,11.9,70.4,60.22
Madhya Pradesh,Rewa,2024,79.54,42.03,34.82,23.03,77.61,37.65,53.7
Telangana,Mahabubabad,2023,28.37,32.64,17.19,10.03,61.22,51.44,75.26
Tripura,Dhalai,2024,56.64,72.71,10.55,27.26,66.0,56.79,14.94
Rajasthan,Pali,2023,36.21,12.3,36.88,50.37,87.18,73.4,22.49
Karnataka,Hassan,2025,62.73,81.39,20.58,77.69,51.77,20.85,34.13
Tamil Nadu,Thanjavur,2016,84.97,17.37,85.78,52.04,47.85,11.71,85.82
Assam,Karbi Anglong,2015,36.0,70.57,49.92,71.79,83.54,89.71,16.68
Uttar Pradesh,Barabanki,2022,20.21,14.08,82.08,64.07,27.78,48.1,21.69
Meghalaya,East Khasi Hills,2023,21.91,97.05,50.89,39.89,88.91,25.32,77.39
Gujarat,Kheda,2021,96.39,24.24,27.36,20.93,52.34,48.53,32.76
Odisha,Sundargarh,2021,53.06,10.92,89.69,10.22,59.99,77.66,85.81
Gujarat,Kheda,2016,11.74,86.85,87.53,68.3,17.48,30.55,19.18
Maharashtra,Nashik,2020,22.55,53.64,34.28,21.86,60.66,59.3,86.96
Nagaland,Zunheboto,2020,92.08,47.24,88.71,68.65,47.81,88.4,33.81
Rajasthan,Bharatpur,2024,46.88,20.03,55.97,83.61,46.03,60.83,74.49
Odisha,Gajapati,2024,75.47,15.42,38.41,32.37,85.16,64.64,61.77
Assam,Baksa,2021,59.95,81.6,36.64,85.89,60.57,11.08,12.22
Manipur,Thoubal,2022,57.91,90.67,83.47,48.3,36.5,60.47,61.17
Uttarakhand,Pauri Garhwal,2015,10.11,47.67,16.91,98.26,66.0,43.57,18.01
Maharashtra,Gadchiroli,2024,63.13,25.87,88.02,26.91,25.81,36.12,57.22
Bihar,Supaul,2016,50.88,18.45,26.08,76.49,37.3,47.35,65.09
Kerala,Ernakulam,2017,12.02,93.18,76.85,92.31,25.83,71.94,76.47
Haryana,Fatehabad,2016,37.62,42.02,50.1,47.07,13.62,60.4,25.13
Uttar Pradesh,Rae Bareli,2020,30.06,19.15,54.55,46.41,82.39,78.1,49.14
Chhattisgarh,Bastar,2015,58.73,73.36,52.99,43.21,81.44,53.71,19.26
Arunachal Pradesh,Lower Dibang Valley,2022,46.25,57.29,14.32,66.79,74.09,21.78,98.04
Rajasthan,Rajsamand,2015,36.33,16.02,83.76,26.33,18.59,91.72,34.61
Assam,West Karbi Anglong,2015,23.01,82.05,83.93,56.91,96.74,28.1,55.96
Rajasthan,Deeg,2016,60.79,83.14,83.1,96.3,66.61,15.41,60.85
Goa,North Goa,2023,68.28,15.43,19.08,89.03,72.57,91.36,11.43
Bihar,Khagaria,2022,64.52,34.76,85.45,93.91,51.6,95.99,97.46
Madhya Pradesh,Jabalpur,2017,25.63,78.41,38.5,57.8,89.65,31.29,46.45
Meghalaya,South Garo Hills,2022,83.64,41.51,83.6,20.17,28.39,65.79,79.55
Tamil Nadu,Namakkal,2015,55.94,91.04,58.59,56.73,99.66,74.6,43.34
Tripura,South Tripura,2020,13.59,63.66,97.22,71.05,14.45,39.6,48.3
Jharkhand,Seraikela-Kharsawan,2024,82.27,30.32,14.59,91.36,56.44,92.04,63.77
Manipur,Jiribam,2020,26.04,87.75,25.53,48.51,95.79,55.83,31.02
Rajasthan,Dholpur,2025,78.54,32.97,29.25,70.41,67.39,58.82,74.44
Madhya Pradesh,Khandwa,2016,48.23,32.32,18.33,87.65,73.92,32.59,42.71
Tamil Nadu,Dindigul,2021,84.88,26.51,92.29,85.98,26.94,26.64,73.17
Tripura,Khowai,2025,88.26,50.18,30.34,81.86,88.2,85.5,93.69
Tamil Nadu,Chengalpattu,2017,77.01,24.16,45.66,29.4,67.09,34.92,89.88
Odisha,Jajpur,2024,61.91,63.82,45.66,42.3,23.92,69.77,30.92
Gujarat,Amreli,2021,31.98,74.13,42.93,87.99,87.72,93.63,59.62
Tripura,Gomati,2022,27.85,97.46,49.14,90.96,68.64,31.14,77.26
Arunachal Pradesh,Tawang,2022,58.11,18.64,11.59,68.92,64.24,81.24,25.44
Jharkhand,Ramgarh,2022,77.77,36.3,47.3,82.17,16.98,28.78,98.05
Assam,Nalbari,2022,74.62,17.38,26.66,12.61,94.21,24.88,10.17
Karnataka,Vijayapura,2024,70.34,83.48,73.01,52.98,96.92,58.17,59.84
Jharkhand,Deoghar,2022,37.76,64.38,41.3,33.13,98.3,18.13,61.44
Jharkhand,Giridih,2016,21.05,98.09,38.9,34.75,51.27,39.47,84.22
Assam,Golaghat,2025,70.4,56.53,71.86,76.62,55.21,44.31,58.91
Gujarat,Surat,2020,15.86,51.21,21.76,86.27,62.28,36.34,18.56
Uttar Pradesh,Shamli,2022,79.19,88.73,27.8,78.47,67.36,84.19,50.9
Karnataka,Ramanagara,2017,56.64,51.25,35.48,76.89,62.71,88.55,90.74
Punjab,Amritsar,2017,38.53,20.66,44.91,84.02,88.91,94.34,72.3
Uttarakhand,Pauri Garhwal,2020,75.26,36.64,85.09,17.85,93.99,72.95,15.63
Manipur,Senapati,2016,59.44,63.62,18.99,76.67,58.07,88.57,40.85
Andhra Pradesh,Krishna,2023,81.16,30.1,97.49,52.64,11.47,24.28,85.26
Madhya Pradesh,Neemuch,2015,75.94,82.74,41.85,37.05,29.62,59.64,25.67
Odisha,Malkangiri,2025,16.17,82.97,64.41,10.61,33.36,61.29,88.15
Arunachal Pradesh,Lepa Rada,2017,14.65,88.93,91.98,82.6,66.24,73.34,65.62
Odisha,Malkangiri,2021,69.24,38.99,35.79,98.8,32.14,66.04,25.26
Kerala,Idukki,2024,34.32,62.21,44.89,90.28,44.78,30.25,21.22
Haryana,Gurugram,2018,94.88,57.1,12.84,44.59,92.87,70.44,28.0
Bihar,Saran,2017,38.75,45.93,83.67,31.3,84.97,59.55,79.32
Kerala,Thiruvananthapuram,2023,93.64,43.5,45.78,77.37,89.82,37.85,11.42
Uttar Pradesh,Bahraich,2018,78.18,93.56,72.15,17.16,19.33,37.6,58.75
Assam,Nagaon,2015,90.09,49.45,80.27,42.66,98.51,56.65,62.9
Jharkhand,Khunti,2021,50.62,29.7,13.03,52.3,22.19,63.18,70.48
Jharkhand,Garhwa,2018,38.44,97.07,61.1,52.18,70.48,29.51,28.25
Odisha,Puri,2018,88.16,43.01,98.69,10.95,69.13,55.49,97.44
Mizoram,Lunglei,2018,63.92,18.45,18.99,77.7,62.08,40.41,80.34
Rajasthan,Balotra,2020,37.95,51.96,40.8,98.19,97.89,32.99,71.9
Uttar Pradesh,Mainpuri,2020,42.06,12.29,31.18,82.43,28.73,58.65,16.56
Karnataka,Dakshina Kannada,2018,93.47,98.3,82.57,40.52,76.88,94.8,47.18
Uttar Pradesh,Saharanpur,2020,19.93,69.19,40.56,59.1,78.49,56.45,22.56
Chhattisgarh,Gaurela-Pendra-Marwahi,2015,64.12,36.62,23.09,64.74,17.75,18.72,20.12
West Bengal,Kalimpong,2022,37.58,16.16,55.14,39.85,61.65,39.12,29.07
Madhya Pradesh,Katni,2015,18.85,65.55,93.61,76.57,32.28,25.85,76.75
Assam,Sonitpur,2022,49.32,57.28,75.16,82.28,30.15,91.6,57.02
Telangana,Mahabubnagar,2016,34.57,70.59,14.53,32.86,71.95,94.84,30.72
Punjab,Fatehgarh Sahib,2019,18.5,42.42,48.76,56.85,66.85,24.96,76.28
Punjab,Rupnagar,2015,38.22,87.66,59.53,81.44,86.49,94.33,92.36
Karnataka,Mandya,2020,34.19,17.67,69.97,84.57,32.12,70.23,75.99
Haryana,Ambala,2020,84.84,54.83,92.3,19.29,79.08,65.19,77.58
Chhattisgarh,Sakti,2025,93.95,74.65,52.21,75.75,62.98,24.52,46.1
Andhra Pradesh,Sri Sathya Sai,2016,49.78,10.8,27.19,65.21,43.3,22.18,46.88
Chhattisgarh,Bilaspur,2024,34.66,17.7,32.88,85.52,54.55,91.14,39.66
Odisha,Jagatsinghpur,2017,88.0,88.49,51.32,25.68,96.12,32.87,11.22
Odisha,Nayagarh,2017,20.16,69.97,60.86,78.54,96.6,53.62,42.55
Andhra Pradesh,East Godavari,2015,92.94,79.64,80.37,73.29,82.52,62.47,45.07
Uttar Pradesh,Bhadohi,2018,97.45,48.38,23.49,79.37,24.58,59.28,72.82
Bihar,Sheikhpura,2023,59.02,30.23,38.29,37.15,53.27,54.3,55.97
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2016,57.83,65.33,65.97,66.55,53.84,56.67,44.58
Uttar Pradesh,Bhadohi,2022,40.45,35.27,60.64,64.05,85.23,83.08,44.67
West Bengal,Uttar Dinajpur,2018,50.9,12.03,86.63,47.3,65.58,99.8,46.54
Tamil Nadu,Thiruvallur,2020,68.05,52.23,58.22,71.62,22.47,19.99,65.77
West Bengal,Kalimpong,2022,42.23,23.66,22.47,83.01,64.0,27.09,96.48
Chhattisgarh,Gaurela-Pendra-Marwahi,2016,25.99,71.01,40.93,23.09,10.81,32.91,29.45
Jharkhand,East Singhbhum,2015,35.93,57.22,67.98,98.62,16.33,45.55,34.2
Chhattisgarh,Bastar,2024,50.12,80.51,24.55,44.44,48.04,84.75,81.71
Odisha,Gajapati,2019,95.64,85.34,92.79,79.24,80.73,99.31,46.51
Manipur,Tamenglong,2015,45.37,95.7,79.65,57.98,46.2,70.84,21.67
Tamil Nadu,Virudhunagar,2017,33.62,46.45,60.22,62.02,17.3,39.65,83.51
Assam,Kamrup Metropolitan,2017,14.13,52.73,91.81,50.67,53.49,26.18,46.4
Gujarat,Ahmedabad,2020,87.21,72.76,89.58,20.97,55.23,69.78,31.89
Haryana,Rewari,2016,83.22,80.42,76.87,78.36,32.98,24.77,96.62
Uttar Pradesh,Shravasti,2024,16.8,25.86,51.14,24.45,40.59,15.01,55.97
Kerala,Pathanamthitta,2024,19.28,45.25,36.8,79.71,43.52,32.56,78.28
Tripura,Gomati,2021,55.93,15.37,87.79,43.66,68.49,23.42,79.38
Gujarat,Amreli,2021,58.26,74.92,58.85,12.82,74.27,37.53,32.78
Jharkhand,Palamu,2021,58.92,72.88,55.75,68.01,31.75,84.45,60.43
Assam,Tinsukia,2018,31.34,61.86,10.33,59.33,66.52,50.14,60.87
Rajasthan,Barmer,2024,13.03,18.56,43.86,62.88,53.96,25.84,94.32
Rajasthan,Dausa,2022,96.62,38.57,38.52,18.18,67.67,67.84,55.47
Tripura,Khowai,2017,78.03,98.74,23.43,93.04,99.22,63.16,28.35
Manipur,Kakching,2025,29.79,26.0,50.71,85.94,33.32,31.2,45.6
West Bengal,Howrah,2021,37.89,88.51,14.13,36.98,90.13,40.83,27.0
Karnataka,Hassan,2025,86.42,18.28,22.46,58.36,78.4,41.91,48.92
Telangana,Jangaon,2019,99.33,76.92,94.59,94.88,99.59,24.46,95.49
Telangana,Adilabad,2022,54.31,24.37,31.44,83.55,56.3,27.93,89.36
Uttarakhand,Pithoragarh,2022,13.04,48.2,50.82,75.16,90.42,54.48,25.68
West Bengal,North 24 Parganas,2019,59.06,58.71,66.84,47.3,32.29,81.4,14.81
Uttar Pradesh,Jalaun,2020,27.97,55.75,15.19,19.19,31.54,66.42,27.09
Arunachal Pradesh,Lower Subansiri,2024,79.54,77.65,99.36,19.52,77.43,66.43,37.48
Odisha,Kalahandi,2023,23.14,45.21,96.44,29.28,55.95,49.04,70.12
Gujarat,Bharuch,2018,71.35,32.91,74.25,64.53,53.2,29.73,34.17
Uttar Pradesh,Kanpur Nagar,2023,84.13,30.67,42.91,21.37,59.11,29.43,87.7
Manipur,Kamjong,2020,73.76,75.1,26.11,71.71,61.65,54.02,53.6
Maharashtra,Buldhana,2018,45.49,75.91,48.25,50.29,58.54,69.75,96.48
Uttar Pradesh,Ambedkar Nagar,2025,99.67,37.23,89.93,34.39,97.56,72.92,77.02
Manipur,Kangpokpi,2022,31.79,90.46,19.81,25.13,70.68,99.05,31.23
Bihar,Kaimur,2017,80.52,78.55,76.34,67.67,75.58,83.88,99.34
Rajasthan,Churu,2022,37.13,92.59,59.65,14.06,36.03,56.37,41.15
Tripura,Gomati,2019,50.96,51.79,81.08,44.85,55.22,96.27,86.13
Tamil Nadu,Tiruppur,2021,38.8,67.07,17.01,55.04,65.72,65.2,42.74
Tamil Nadu,Namakkal,2018,75.14,61.1,72.63,21.09,42.54,40.38,24.91
Maharashtra,Nagpur,2024,63.41,14.25,23.38,26.8,40.3,19.83,62.02
Rajasthan,Rajsamand,2021,75.36,61.48,81.76,96.06,90.93,63.43,58.63
Rajasthan,Sanchore,2018,17.87,66.95,12.26,54.79,15.43,12.27,20.56
Uttar Pradesh,Deoria,2016,61.17,30.27,63.21,59.5,40.56,45.13,34.84
Punjab,Pathankot,2021,87.21,62.37,42.98,42.64,70.91,83.21,33.61
Uttarakhand,Nainital,2023,81.57,80.29,56.19,15.76,22.28,13.48,70.69
Uttar Pradesh,Shravasti,2023,15.98,28.79,11.34,45.61,81.73,95.0,40.86
Mizoram,Lunglei,2015,78.0,26.65,83.6,23.26,72.55,10.3,44.14
Rajasthan,Churu,2022,51.65,42.75,48.4,69.25,55.93,84.81,52.87
Telangana,Nirmal,2021,59.73,45.55,72.91,79.24,33.5,13.7,24.03
Nagaland,Mon,2016,92.56,71.63,56.57,53.03,25.42,71.25,95.16
West Bengal,South 24 Parganas,2021,98.47,17.55,33.91,88.86,11.88,53.53,12.85
Odisha,Malkangiri,2017,12.17,57.23,64.22,44.9,10.69,76.6,19.32
Manipur,Kamjong,2016,16.25,67.88,21.95,85.35,57.25,89.67,19.32
Tamil Nadu,Viluppuram,2017,39.93,89.99,74.25,99.59,26.85,59.86,37.6
West Bengal,Malda,2015,82.49,21.02,50.2,95.78,87.4,60.37,92.56
Uttarakhand,Haridwar,2022,47.15,83.43,71.77,56.1,21.19,62.19,21.7
Madhya Pradesh,Balaghat,2021,95.53,55.35,56.89,28.99,31.14,27.08,52.97
Madhya Pradesh,Satna,2016,16.18,72.42,93.24,58.16,89.14,88.49,39.98
Bihar,Saharsa,2021,53.9,79.4,76.8,79.39,29.93,73.71,19.8
Uttar Pradesh,Mainpuri,2015,84.84,75.1,65.25,31.71,64.05,81.98,75.89
Chhattisgarh,Korea,2016,42.77,44.66,62.81,96.6,99.34,91.03,39.93
Madhya Pradesh,Burhanpur,2022,32.79,67.34,47.94,98.41,16.93,42.32,30.79
Gujarat,Junagadh,2015,12.48,83.47,92.44,27.1,71.27,91.15,19.75
West Bengal,Kalimpong,2023,63.04,75.8,50.78,64.04,28.91,63.44,21.73
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2020,16.96,70.65,14.49,93.6,54.53,25.63,74.78
Tamil Nadu,Ranipet,2016,64.36,47.99,45.24,76.87,81.51,30.79,14.76
Bihar,Purnia,2015,53.45,76.57,20.13,75.24,74.02,52.47,73.62
Uttar Pradesh,Kasganj,2024,10.1,88.93,20.61,88.9,71.61,33.69,20.71
Tamil Nadu,Dindigul,2016,24.24,49.64,97.98,26.33,84.8,33.27,84.57
West Bengal,Nadia,2023,57.93,50.19,10.7,61.56,11.37,23.41,88.76
Madhya Pradesh,Maihar,2018,98.3,41.07,60.63,17.53,61.51,31.29,60.16
Arunachal Pradesh,Longding,2024,36.71,32.86,76.88,63.92,49.98,51.34,39.13
Madhya Pradesh,Gwalior,2019,84.35,66.81,91.33,91.83,68.77,14.61,27.75
Maharashtra,Wardha,2020,91.05,22.42,38.19,71.11,65.52,15.73,82.96
Rajasthan,Barmer,2017,74.75,28.29,50.42,75.71,55.9,13.67,64.07
Madhya Pradesh,Shivpuri,2022,60.24,62.32,30.64,97.78,64.13,52.56,50.1
