state,district,year,hospital_beds,doctors,nurses,health_index,life_expectancy,vaccination_rate,disease_cases
Maharashtra,Mumbai Suburban,2023,13.74,41.44,46.49,77.67,52.76,92.27,73.83
Rajasthan,Karauli,2020,41.1,73.1,52.06,15.1,75.64,60.63,76.48
Gujarat,Junagadh,2016,15.35,74.86,52.35,99.39,68.54,79.78,34.92
Odisha,Kandhamal,2017,43.94,64.55,22.18,87.82,11.38,56.49,98.64
Uttar Pradesh,Ghazipur,2017,64.2,91.0,18.01,37.73,15.07,71.5,78.47
Gujarat,Morbi,2015,78.31,78.31,74.74,64.81,38.79,11.82,95.31
Telangana,Komaram Bheem Asifabad,2025,48.35,18.73,66.81,18.9,15.47,93.11,87.48
Nagaland,Wokha,2016,86.71,29.47,88.03,90.71,24.15,59.06,84.94
Telangana,Jangaon,2019,84.74,22.95,85.18,78.9,84.86,48.41,33.09
Rajasthan,Didwana-Kuchaman,2021,99.55,55.59,91.85,71.45,29.09,98.76,81.08
Odisha,Bargarh,2020,71.94,99.73,64.56,49.03,39.91,48.89,16.18
Assam,Dibrugarh,2018,49.77,84.15,67.65,83.43,10.73,55.48,79.9
Telangana,Medak,2017,57.09,96.09,54.8,72.18,41.38,86.33,71.51
Punjab,Faridkot,2021,54.15,62.76,83.06,28.12,65.11,68.59,54.61
Tamil Nadu,Dindigul,2016,18.72,82.91,85.12,85.4,32.31,22.35,89.76
Telangana,Nizamabad,2020,83.06,22.66,26.57,87.72,34.96,30.27,38.59
Karnataka,Gadag,2020,17.77,81.51,33.97,68.07,53.37,42.67,18.15
Madhya Pradesh,Sidhi,2023,27.47,80.5,36.42,51.81,48.06,76.07,72.69
Andhra Pradesh,Chittoor,2019,15.64,75.34,51.3,22.48,35.42,60.82,26.17
Telangana,Medak,2023,81.86,56.61,65.8,92.85,51.53,69.99,37.88
Arunachal Pradesh,Anjaw,2024,70.49,57.28,64.67,24.07,71.19,19.81,34.72
Maharashtra,Sangli,2015,88.22,38.9,60.23,38.58,23.61,12.68,97.01
Kerala,Idukki,2021,20.87,16.25,98.58,22.11,22.33,81.47,91.84
Chhattisgarh,Durg,2022,10.07,69.63,70.13,91.36,83.59,29.23,53.02
Odisha,Nabarangpur,2024,22.05,34.06,37.42,47.38,64.58,67.31,74.53
Uttar Pradesh,Rae Bareli,2021,86.07,56.69,63.42,15.48,59.16,64.9,17.09
West Bengal,Bankura,2018,12.77,86.9,24.32,32.11,66.97,37.11,12.47
Chhattisgarh,Sakti,2021,99.23,15.19,50.73,21.97,10.39,47.79,93.59
Uttar Pradesh,Mirzapur,2018,53.55,48.23,25.39,90.29,49.91,43.77,27.61
Madhya Pradesh,Ratlam,2025,46.85,42.41,88.23,20.54,89.86,40.96,19.88
Bihar,Lakhisarai,2020,51.48,23.16,32.94,90.89,15.49,85.91,14.6
West Bengal,Bankura,2023,13.14,39.32,67.27,41.21,75.01,14.22,89.31
West Bengal,Purulia,2025,54.03,43.45,62.3,74.81,59.42,35.33,98.15
Sikkim,Pakyong,2015,17.07,80.66,42.19,64.18,76.72,15.02,76.5
Chhattisgarh,Mahasamund,2020,18.42,96.58,14.84,40.61,98.73,63.44,75.91
Haryana,Ambala,2018,82.59,29.61,27.5,79.95,80.24,17.57,27.89
Andhra Pradesh,Vizianagaram,2025,33.49,75.34,42.99,29.86,17.14,46.05,41.49
Madhya Pradesh,Mandla,2018,22.89,28.88,14.49,29.47,17.72,65.44,12.85
Tamil Nadu,Mayiladuthurai,2024,32.79,46.72,29.38,44.49,29.54,23.25,20.58
Haryana,Gurugram,2017,88.71,33.29,88.85,82.06,59.76,72.02,71.75
Gujarat,Narmada,2025,45.42,62.14,59.08,18.63,48.17,50.21,79.54
Bihar,Begusarai,2021,91.56,91.07,31.77,30.5,10.22,37.58,99.75
Tamil Nadu,Tirupathur,2017,76.88,99.26,65.94,43.49,35.2,89.54,90.89
Assam,Baksa,2018,11.3,92.45,44.35,86.63,31.37,13.98,27.76
Madhya Pradesh,Seoni,2015,46.18,28.91,23.04,83.51,74.46,83.35,64.11
Odisha,Bhadrak,2019,58.42,24.9,79.31,17.65,11.98,69.48,24.8
Odisha,Rayagada,2015,63.24,15.79,49.62,60.83,42.38,38.17,69.61
Chhattisgarh,Korea,2015,17.01,63.47,18.34,98.54,41.95,24.73,65.51
Haryana,Fatehabad,2021,93.58,45.72,75.1,40.94,25.25,28.29,39.44
Uttar Pradesh,Etawah,2023,21.8,83.56,22.28,45.82,79.86,29.47,22.66
Telangana,Hanamkonda,2022,52.09,61.74,57.99,93.8,47.55,48.24,16.46
Rajasthan,Dholpur,2024,41.16,86.13,83.71,40.57,45.65,50.11,68.9
Chhattisgarh,Korea,2024,82.9,99.47,68.95,52.93,83.08,49.24,41.09
Tamil Nadu,Chengalpattu,2023,76.41,79.73,28.2,51.07,99.18,14.84,95.62
Arunachal Pradesh,Pakke-Kessang,2017,74.44,94.25,42.87,34.86,19.72,10.22,99.33
Telangana,Nagarkurnool,2021,76.22,74.05,83.91,89.52,59.96,30.34,60.6
Jharkhand,Dhanbad,2021,83.51,16.0,85.64,39.03,43.46,61.38,13.48
Arunachal Pradesh,Changlang,2020,71.32,10.93,90.3,93.57,82.75,99.97,69.92
Karnataka,Bagalkot,2017,75.45,65.72,54.38,16.76,18.57,99.61,62.68
Bihar,Buxar,2019,90.67,64.09,68.05,97.39,73.16,79.66,36.68
Telangana,Warangal,2015,80.68,27.39,93.48,72.35,38.42,53.23,88.44
Uttar Pradesh,Ayodhya,2016,14.92,80.18,50.85,65.15,35.21,71.56,99.66
Punjab,Ludhiana,2024,46.7,33.79,42.53,74.6,98.51,56.46,91.31
Uttar Pradesh,Jalaun,2020,29.75,88.42,68.01,32.16,62.92,77.22,35.6
Assam,Kokrajhar,2020,49.97,67.6,12.04,53.46,67.0,59.93,69.88
Manipur,Tengnoupal,2016,96.44,98.2,92.66,71.14,22.47,39.95,46.33
Gujarat,Aravalli,2018,72.66,72.89,64.65,51.79,38.87,16.34,98.7
Uttar Pradesh,Sambhal,2018,95.22,15.02,13.32,52.45,16.05,10.61,50.34
Kerala,Wayanad,2019,37.5,97.02,51.31,84.77,15.66,62.62,53.16
Andhra Pradesh,Nandyal,2024,75.49,53.13,99.64,60.27,38.43,96.18,79.91
Himachal Pradesh,Kullu,2017,71.53,38.94,60.65,10.61,63.91,78.65,80.51
Haryana,Sonipat,2022,55.36,36.65,60.91,92.7,84.09,45.37,24.99
Rajasthan,Jodhpur,2023,44.2,90.09,68.51,59.34,69.92,97.83,14.59
Assam,Baksa,2015,67.81,68.02,70.85,72.5,25.74,99.31,53.54
Chhattisgarh,Korba,2018,15.65,33.62,30.22,38.98,52.52,76.52,46.96
Uttar Pradesh,Bhadohi,2019,67.91,90.38,41.79,20.54,12.79,48.11,14.32
Maharashtra,Thane,2024,76.23,97.13,69.2,75.41,26.18,30.43,57.37
Andhra Pradesh,NTR,2025,41.76,27.16,79.2,27.23,34.57,84.82,71.98
Arunachal Pradesh,Namsai,2022,66.36,90.56,83.4,55.36,74.47,11.45,47.63
Madhya Pradesh,Dewas,2021,86.69,12.86,70.9,40.21,84.2,40.73,37.94
Chhattisgarh,Dhamtari,2019,66.1,96.4,24.52,35.17,69.85,93.7,17.33
Chhattisgarh,Mungeli,2016,41.62,95.98,80.8,90.83,30.34,78.29,34.62
Bihar,Begusarai,2021,38.95,80.23,46.93,73.86,22.04,90.48,87.25
Maharashtra,Sindhudurg,2021,41.1,54.78,40.58,13.96,45.63,45.84,37.23
Rajasthan,Bikaner,2021,52.27,98.04,11.95,62.84,75.28,40.3,12.88
Telangana,Nizamabad,2019,78.04,10.29,27.0,10.75,63.31,90.44,78.72
Uttarakhand,Champawat,2015,78.49,96.29,43.93,66.51,63.88,89.16,14.68
Maharashtra,Washim,2016,38.76,87.22,42.69,36.84,66.36,30.7,71.32
Assam,Chirang,2021,67.11,39.52,67.75,17.2,69.62,37.49,89.67
Jharkhand,Koderma,2025,71.14,16.57,83.22,81.81,11.39,11.09,44.82
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2016,79.29,66.03,27.75,46.43,32.83,36.82,66.12
Assam,Charaideo,2019,87.27,20.44,25.76,69.75,96.21,50.81,93.44
Rajasthan,Bhilwara,2025,40.03,52.64,51.29,94.41,94.64,28.17,31.16
Madhya Pradesh,Tikamgarh,2015,50.28,32.74,72.07,27.65,48.92,61.59,48.35
Uttar Pradesh,Lalitpur,2022,89.45,79.2,78.96,66.47,42.36,89.35,35.41
Himachal Pradesh,Lahaul & Spiti,2017,89.4,27.63,61.55,87.65,23.31,58.28,47.62
Rajasthan,Jaisalmer,2019,20.39,35.29,38.31,52.88,39.96,74.27,87.47
Jharkhand,Khunti,2015,14.85,30.15,16.74,32.86,79.27,38.29,42.94
Bihar,Madhepura,2024,61.28,18.87,19.44,20.63,90.71,82.54,23.84
Assam,Dibrugarh,2019,79.66,13.07,14.64,39.74,87.55,30.4,79.18
Andhra Pradesh,Anantapur,2022,12.36,38.8,97.54,78.65,61.84,90.57,51.15
Rajasthan,Barmer,2023,25.63,46.09,55.21,16.2,34.51,54.39,63.54
Madhya Pradesh,Dindori,2021,30.88,49.91,92.54,92.48,87.36,52.74,59.11
Goa,South Goa,2019,30.65,72.94,88.22,86.81,54.71,82.26,87.02
Himachal Pradesh,Sirmaur,2017,13.44,20.04,68.36,51.43,48.45,88.74,24.39
Bihar,Bhojpur,2015,37.55,91.94,61.12,73.11,81.76,68.04,95.59
Mizoram,Aizawl,2024,70.81,73.89,52.27,20.83,37.3,86.46,33.73
Mizoram,Kolasib,2022,59.61,22.78,77.26,48.32,56.58,61.46,90.7
Maharashtra,Nashik,2020,83.67,37.85,10.6,17.05,96.32,21.51,97.84
Andhra Pradesh,Tirupati,2015,73.55,81.24,65.16,88.08,49.96,45.71,37.61
Assam,Dhemaji,2022,27.87,26.28,40.33,48.71,37.76,12.36,82.26
Bihar,Patna,2020,12.33,71.31,31.76,47.15,55.29,60.79,46.82
Tamil Nadu,Theni,2019,29.58,52.42,91.53,73.03,34.22,95.81,15.44
Manipur,Tamenglong,2017,18.72,29.44,88.78,96.1,25.39,95.22,70.59
Maharashtra,Dhule,2015,47.35,49.6,23.19,10.4,27.68,38.02,59.57
Maharashtra,Nandurbar,2017,78.74,70.08,98.93,90.57,82.69,82.97,88.71
Bihar,Muzaffarpur,2019,23.98,94.43,76.5,68.58,57.27,68.2,51.56
Bihar,Katihar,2018,71.37,70.89,78.5,76.32,67.17,35.34,40.93
Jharkhand,Lohardaga,2018,72.45,54.01,12.73,69.93,59.89,53.8,34.09
Odisha,Khordha,2021,67.63,27.81,30.12,24.77,52.42,77.24,97.37
Madhya Pradesh,Ashoknagar,2019,48.45,42.47,55.31,45.48,84.97,58.37,25.97
Gujarat,Gandhinagar,2018,89.9,22.4,54.34,82.73,30.74,68.54,86.07
Chhattisgarh,Dhamtari,2016,99.57,67.2,25.03,48.9,84.06,28.69,73.67
Uttar Pradesh,Chitrakoot,2020,34.72,15.64,37.64,58.73,40.82,15.57,33.18
Uttar Pradesh,Chitrakoot,2022,61.67,45.59,67.86,20.2,64.82,50.28,41.06
Andhra Pradesh,Nandyal,2024,24.53,51.68,76.91,86.79,44.55,63.04,37.11
Telangana,Sangareddy,2022,74.42,54.06,98.41,25.77,95.99,20.63,11.36
Karnataka,Udupi,2015,64.44,28.05,52.91,25.7,33.66,74.47,79.01
Maharashtra,Washim,2021,47.48,60.45,13.29,26.12,23.69,99.44,15.85
Punjab,Patiala,2023,77.66,88.57,69.71,10.37,92.23,97.18,50.83
Arunachal Pradesh,Lepa Rada,2023,59.98,71.02,50.03,92.67,68.88,42.52,72.56
Punjab,Sri Muktsar Sahib,2022,41.43,39.82,21.54,49.79,27.48,36.56,57.09
Bihar,Kishanganj,2023,42.58,90.38,39.6,22.88,21.62,42.58,36.58
Assam,West Karbi Anglong,2025,93.26,22.58,86.04,62.07,11.85,40.85,77.91
West Bengal,North 24 Parganas,2019,46.04,67.26,19.61,90.28,26.29,74.0,84.96
Bihar,Madhubani,2022,67.57,94.2,92.49,14.71,43.04,33.64,22.68
Uttar Pradesh,Mahoba,2018,27.57,23.75,95.62,88.04,18.68,34.63,34.66
Madhya Pradesh,Mandsaur,2020,50.96,41.69,41.19,52.09,75.53,42.94,86.88
Chhattisgarh,Surguja,2019,71.92,13.63,44.46,77.15,61.72,46.8,66.31
Himachal Pradesh,Shimla,2015,74.01,63.82,35.73,91.74,18.52,84.67,90.43
Punjab,Rupnagar,2025,85.23,61.62,32.76,45.6,16.86,60.83,29.4
Gujarat,Bharuch,2017,71.25,78.76,34.94,71.59,37.07,44.48,29.4
Uttar Pradesh,Sambhal,2022,15.03,19.79,19.7,86.89,22.42,48.42,49.53
Gujarat,Bharuch,2021,82.78,77.61,15.26,94.29,37.35,44.88,92.28
Gujarat,Surendranagar,2015,73.31,48.84,12.45,43.15,13.9,60.68,90.26
Assam,Nagaon,2025,65.76,92.27,94.98,35.39,78.49,86.78,84.51
Chhattisgarh,Gariaband,2021,87.5,31.9,12.23,34.23,81.03,77.16,66.12
Madhya Pradesh,Sagar,2016,58.63,99.73,96.15,33.45,68.97,61.6,10.98
Arunachal Pradesh,Upper Subansiri,2018,60.7,87.39,96.51,92.0,70.86,64.69,18.26
Maharashtra,Sangli,2017,28.89,33.35,97.97,85.51,38.55,87.93,86.45
West Bengal,Purulia,2015,82.06,12.89,78.46,82.26,76.84,31.84,43.33
Karnataka,Bidar,2019,60.15,53.3,57.71,55.26,55.62,45.2,75.44
Tamil Nadu,Sivaganga,2024,14.65,54.39,47.49,22.08,26.48,16.99,12.9
Rajasthan,Nagaur,2016,14.81,16.35,18.7,57.75,57.58,31.25,50.49
Uttar Pradesh,Bijnor,2024,92.95,94.81,30.64,66.23,85.44,69.86,33.25
Bihar,Siwan,2024,39.44,45.9,88.75,82.65,93.35,67.08,33.39
Assam,Nalbari,2022,22.73,22.76,70.78,52.93,13.54,65.7,41.08
Telangana,Jagtial,2018,17.69,70.17,90.22,16.38,95.87,67.71,76.91
Kerala,Alappuzha,2018,44.58,65.1,68.89,53.77,79.61,28.1,92.99
Andhra Pradesh,Parvathipuram Manyam,2017,54.59,21.78,20.31,46.8,24.4,60.91,16.33
Maharashtra,Beed,2017,97.71,67.47,37.7,92.1,67.12,48.04,97.92
Bihar,Aurangabad,2018,87.36,49.75,56.19,21.95,21.08,84.92,32.87
Gujarat,Narmada,2017,62.99,39.83,82.67,29.99,54.9,61.29,84.55
Madhya Pradesh,Singrauli,2021,27.58,99.17,78.2,48.29,15.82,47.55,84.56
Bihar,Araria,2016,39.03,93.62,48.81,23.52,63.97,54.06,75.02
Tamil Nadu,Theni,2024,41.43,52.27,91.92,12.67,32.69,10.35,86.38
Gujarat,Bhavnagar,2018,43.09,13.31,91.44,77.09,21.25,46.83,34.88
Bihar,Khagaria,2023,41.33,99.86,37.88,88.45,35.03,42.82,66.29
Tamil Nadu,Madurai,2025,90.02,76.48,66.97,36.65,35.74,13.11,77.18
Karnataka,Bengaluru Urban,2023,36.23,66.41,97.58,24.49,93.64,84.98,83.49
Uttar Pradesh,Kushinagar,2015,86.71,55.29,44.43,11.69,56.56,88.75,12.21
Tamil Nadu,Tiruvannamalai,2019,12.01,26.52,42.56,52.56,22.48,17.21,69.3
Bihar,Siwan,2017,91.46,53.58,76.29,56.38,10.82,18.86,75.65
Himachal Pradesh,Mandi,2025,24.02,83.31,55.18,16.72,62.21,93.49,65.95
Bihar,Sheikhpura,2020,20.37,84.87,33.96,40.52,24.36,14.94,89.62
Arunachal Pradesh,Namsai,2019,55.96,59.24,99.51,35.81,81.45,68.73,49.01
Mizoram,Lawngtlai,2024,57.28,38.12,90.0,24.41,64.95,83.9,69.85
Gujarat,Sabarkantha,2016,57.09,43.98,54.2,23.5,57.41,77.35,79.07
Assam,Darrang,2023,93.86,11.43,46.06,75.56,61.03,50.07,53.44
Nagaland,Kohima,2024,31.95,39.63,43.84,30.01,74.23,97.48,90.56
Telangana,Yadadri Bhuvanagiri,2018,96.36,60.32,14.62,35.94,40.3,71.55,97.63
Arunachal Pradesh,Tawang,2019,27.26,32.76,21.33,99.82,32.46,78.11,84.81
Rajasthan,Tonk,2018,62.78,60.4,61.65,49.95,39.89,51.65,39.61
Madhya Pradesh,Mandla,2015,51.19,43.98,28.75,72.76,51.49,14.83,45.69
Madhya Pradesh,Vidisha,2019,60.63,30.33,42.59,24.31,15.93,17.22,24.96
Madhya Pradesh,Shajapur,2024,17.82,34.89,21.69,87.05,78.09,97.14,72.02
Assam,Kokrajhar,2021,40.55,32.05,14.61,70.75,20.22,44.28,20.88
Kerala,Idukki,2017,48.06,71.61,84.08,80.94,82.77,76.75,90.36
Rajasthan,Rajsamand,2017,95.99,14.31,79.8,81.81,65.87,53.6,63.72
Rajasthan,Bikaner,2016,49.68,57.42,17.15,22.89,96.9,87.09,38.39
Uttar Pradesh,Prayagraj,2016,77.12,14.72,20.89,46.34,60.6,14.03,94.18
Gujarat,Vadodara,2021,54.44,91.66,41.93,95.37,68.91,17.77,30.75
Jharkhand,East Singhbhum,2025,63.21,21.22,34.72,31.41,17.53,54.17,42.22
Meghalaya,South Garo Hills,2024,88.98,51.07,88.71,60.65,83.78,24.14,65.08
Odisha,Gajapati,2021,75.65,46.58,32.8,52.88,59.2,11.41,95.07
Nagaland,Kohima,2015,85.99,55.16,58.79,22.12,81.9,37.98,42.61
Uttarakhand,Udham Singh Nagar,2015,62.52,19.03,35.37,29.22,23.91,54.94,21.56
Tamil Nadu,Tiruvannamalai,2022,44.76,41.19,68.02,83.54,23.58,61.71,50.62
Jharkhand,Simdega,2019,64.92,46.11,63.25,98.09,69.1,52.68,85.12
Bihar,Gopalganj,2025,37.09,22.4,89.96,16.45,27.85,85.13,45.61
Uttarakhand,Almora,2024,72.65,32.54,16.8,35.17,33.73,75.16,48.27
Madhya Pradesh,Damoh,2018,77.51,19.04,41.53,21.08,62.64,19.16,54.05
Andhra Pradesh,East Godavari,2025,20.02,70.03,38.57,71.77,22.76,15.13,62.93
Nagaland,Longleng,2024,46.49,57.62,43.76,86.72,19.01,24.74,29.96
Telangana,Jogulamba Gadwal,2019,22.53,31.46,25.65,17.74,88.25,24.77,73.4
Telangana,Wanaparthy,2022,86.33,63.82,43.63,87.86,63.21,49.65,16.98
Chhattisgarh,Narayanpur,2018,77.69,18.34,98.88,31.01,67.14,51.93,50.06
Maharashtra,Amravati,2020,87.0,25.66,79.29,26.46,98.17,58.04,15.0
Karnataka,Ramanagara,2022,37.02,99.23,82.29,55.47,67.29,18.22,32.54
Arunachal Pradesh,Kra Daadi,2015,27.02,63.62,67.74,69.8,68.82,52.22,44.06
Madhya Pradesh,Jabalpur,2021,79.09,39.62,59.29,47.76,51.43,80.37,96.67
Madhya Pradesh,Guna,2021,22.05,58.19,73.98,84.77,74.28,49.16,27.95
Manipur,Imphal West,2020,53.34,39.9,20.61,71.37,43.1,62.27,42.74
Uttar Pradesh,Shamli,2020,30.24,12.12,23.55,80.61,67.6,49.13,55.93
Uttar Pradesh,Kasganj,2020,80.51,27.51,61.43,42.5,87.17,43.87,71.62
Uttar Pradesh,Kanpur Dehat,2016,37.59,81.25,40.34,41.75,89.62,44.08,95.87
Gujarat,Aravalli,2024,68.71,32.95,36.19,59.39,68.31,83.68,53.39
Chhattisgarh,Janjgir-Champa,2017,79.75,16.68,89.16,74.93,41.82,22.27,30.14
Meghalaya,East Garo Hills,2025,50.75,34.91,83.19,52.34,90.57,72.12,64.72
Madhya Pradesh,Sheopur,2025,58.26,98.68,18.02,89.44,70.85,97.41,38.68
Sikkim,Namchi,2021,28.39,44.6,58.71,73.9,12.15,50.18,47.41
Tripura,West Tripura,2020,11.39,96.19,61.44,87.35,45.57,55.94,55.17
Tamil Nadu,Virudhunagar,2020,36.49,14.27,81.44,82.06,86.35,75.71,35.05
Odisha,Cuttack,2016,22.99,38.53,29.49,54.67,31.45,50.63,82.84
Odisha,Puri,2016,13.11,65.24,18.99,96.44,53.0,68.63,35.23
Uttar Pradesh,Gonda,2024,50.6,62.31,40.79,54.42,67.1,20.55,98.77
Punjab,Fatehgarh Sahib,2022,39.78,47.46,41.07,14.1,30.89,95.72,54.2
Assam,Nalbari,2024,38.54,34.48,47.33,47.0,32.69,83.18,16.29
Bihar,Kaimur,2016,90.63,73.51,46.68,79.3,75.77,69.2,52.57
Madhya Pradesh,Burhanpur,2025,23.64,63.94,60.09,33.73,86.05,88.54,62.04
Rajasthan,Jhunjhunu,2018,85.25,46.97,76.53,14.51,35.31,68.43,16.68
Madhya Pradesh,Dindori,2016,13.16,25.92,61.21,20.66,66.16,52.76,45.08
West Bengal,Paschim Bardhaman,2022,37.8,78.21,92.19,49.5,39.69,17.26,82.62
Karnataka,Kolar,2019,57.38,59.01,63.89,60.47,30.65,91.44,55.9
Maharashtra,Bhandara,2020,63.31,68.45,46.09,37.88,94.78,63.98,49.78
Andhra Pradesh,Sri Sathya Sai,2023,86.6,10.29,11.67,79.23,14.01,54.98,73.7
Punjab,Moga,2025,41.13,45.0,20.7,19.97,87.5,53.56,25.84
Gujarat,Kheda,2017,35.42,27.83,77.19,17.52,93.83,97.11,43.2
Haryana,Ambala,2025,91.12,20.35,49.28,40.89,90.8,15.86,60.38
Rajasthan,Sri Ganganagar,2021,84.84,72.91,45.17,46.18,73.83,27.17,96.2
Odisha,Kalahandi,2017,77.14,65.35,15.39,40.4,50.91,51.94,22.68
Meghalaya,West Jaintia Hills,2020,25.85,65.76,62.54,41.9,39.14,76.24,47.81
Himachal Pradesh,Sirmaur,2021,88.02,43.58,64.13,20.56,13.87,90.59,68.02
Assam,Bongaigaon,2024,33.02,41.29,69.98,67.45,40.57,69.94,20.46
Mizoram,Lawngtlai,2019,77.9,33.43,93.15,44.15,51.11,22.71,40.45
Tripura,North Tripura,2019,17.25,72.87,30.86,38.27,26.23,82.52,95.42
Tripura,Dhalai,2019,74.15,94.17,57.77,42.08,72.71,85.41,45.72
West Bengal,Murshidabad,2015,78.52,38.38,41.28,19.36,29.87,77.96,86.08
Uttar Pradesh,Fatehpur,2024,41.86,80.16,41.08,66.88,67.88,50.59,65.58
Telangana,Adilabad,2019,51.0,23.82,13.06,15.56,89.45,46.95,68.08
Haryana,Jhajjar,2019,97.43,22.7,21.59,83.66,48.17,28.65,89.98
Odisha,Deogarh,2022,87.58,97.79,24.33,36.55,44.37,41.45,34.12
Nagaland,Mon,2024,42.97,71.54,47.6,71.98,23.75,24.1,48.03
Odisha,Sambalpur,2017,28.08,32.34,83.18,62.59,51.08,94.36,97.24
Uttar Pradesh,Kushinagar,2023,22.79,41.38,97.83,43.21,89.04,23.5,64.1
Jharkhand,Ramgarh,2023,12.58,91.03,26.99,74.36,56.72,31.48,69.46
Telangana,Warangal,2019,13.13,97.76,58.24,16.43,85.95,19.4,75.72
Tamil Nadu,Coimbatore,2019,27.83,49.47,81.0,20.55,71.02,20.68,14.76
Assam,Hojai,2024,42.96,93.6,82.53,87.63,93.56,43.54,14.75
Bihar,Kishanganj,2023,84.33,10.78,27.25,60.24,65.46,97.75,14.44
Nagaland,Phek,2021,73.44,63.25,91.88,28.29,54.56,57.54,19.66
Mizoram,Lunglei,2018,75.14,14.42,42.55,64.54,35.78,26.22,80.71
Kerala,Kottayam,2018,43.45,54.0,86.68,95.95,51.4,56.78,72.14
Assam,Hailakandi,2015,31.55,53.06,11.13,87.27,23.94,89.26,51.09
Telangana,Peddapalli,2025,15.22,91.5,95.3,81.77,16.63,95.73,75.44
Himachal Pradesh,Mandi,2019,50.34,90.16,11.35,77.71,31.84,52.7,44.35
Haryana,Sirsa,2024,68.33,41.66,36.37,10.28,66.95,93.71,25.26
Gujarat,Vadodara,2021,69.3,81.91,56.51,92.92,27.55,93.72,11.16
Punjab,Rupnagar,2017,13.17,57.36,80.31,71.13,94.65,62.72,20.67
Madhya Pradesh,Narsinghpur,2017,24.28,14.42,89.58,88.46,80.18,52.49,36.59
Bihar,Katihar,2022,45.48,95.87,18.36,70.99,20.5,76.04,85.03
Punjab,Gurdaspur,2025,87.48,24.48,43.74,74.2,68.88,60.51,47.91
West Bengal,Nadia,2024,38.69,15.78,58.03,56.59,35.92,92.46,33.24
Tamil Nadu,Tenkasi,2015,96.05,24.74,41.35,14.61,52.06,62.95,91.08
Meghalaya,East Jaintia Hills,2025,26.91,16.8,80.86,55.11,76.52,22.99,20.87
Madhya Pradesh,Seoni,2021,22.32,18.26,39.45,82.32,26.02,96.88,23.87
Kerala,Kasaragod,2020,88.81,70.79,55.93,58.53,72.27,33.76,13.12
Tamil Nadu,Erode,2016,85.44,66.23,51.89,61.58,72.5,28.5,28.3
Gujarat,Mahisagar,2025,90.98,63.92,17.5,76.41,92.71,53.43,54.73
Mizoram,Hnahthial,2019,90.02,71.43,34.08,38.43,44.63,45.12,84.71
Sikkim,Namchi,2021,39.28,36.03,74.44,84.76,69.64,39.69,60.77
Haryana,Nuh,2025,16.95,55.51,50.55,71.34,36.56,80.42,64.28
Uttar Pradesh,Kanpur Nagar,2022,91.92,59.39,27.35,11.76,69.02,22.26,21.7
