state,district,year,malnutrition_rate,undernourishment,child_stunting,child_wasting,vitamin_deficiency,obesity_rate,nutrition_programs
Gujarat,Bharuch,2022,80.71,38.82,64.76,64.93,67.1,90.51,63.27
Jharkhand,Simdega,2023,24.96,78.67,63.04,20.77,65.2,61.71,91.85
Tamil Nadu,Viluppuram,2025,10.86,35.55,50.9,11.09,69.85,17.34,11.94
Karnataka,Davanagere,2017,10.04,13.65,91.1,65.28,26.3,54.89,57.15
Sikkim,Gangtok,2019,37.92,32.32,50.45,37.07,43.22,57.18,43.29
Maharashtra,Washim,2018,90.69,15.11,12.1,95.46,73.9,93.31,69.2
Madhya Pradesh,Ujjain,2017,71.03,33.07,38.28,84.93,15.7,54.88,96.53
Andhra Pradesh,Kakinada,2024,23.25,32.58,81.84,94.79,29.46,92.03,22.84
Uttar Pradesh,Rae Bareli,2019,62.48,80.22,90.16,24.91,53.89,63.82,86.56
Madhya Pradesh,Panna,2020,68.06,13.93,96.84,67.24,33.03,58.72,19.13
Madhya Pradesh,Burhanpur,2024,74.23,12.45,57.74,15.74,29.79,61.57,64.95
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,41.96,79.85,78.2,28.2,14.15,94.36,86.68
Telangana,Wanaparthy,2025,29.53,44.28,65.01,17.87,57.18,11.35,19.0
Jharkhand,East Singhbhum,2024,54.83,41.03,98.03,46.29,27.56,50.88,87.9
Chhattisgarh,Balod,2015,67.96,39.24,86.03,60.02,64.09,69.35,84.28
Assam,Darrang,2020,82.73,91.31,77.25,91.23,14.1,52.09,51.59
Sikkim,Gyalshing,2022,19.84,13.97,86.11,83.53,50.06,52.26,45.73
Uttar Pradesh,Meerut,2021,25.79,46.88,33.67,71.45,63.04,76.83,15.61
Madhya Pradesh,Hoshangabad (Narmadapuram),2019,25.38,23.9,81.14,36.9,99.93,41.48,12.15
Uttarakhand,Tehri Garhwal,2016,24.99,97.06,28.19,25.39,70.41,36.07,44.75
Haryana,Gurugram,2023,88.98,42.48,59.34,89.64,60.89,40.57,27.73
Assam,Kamrup,2023,74.58,52.48,61.22,39.5,47.89,58.32,28.57
Bihar,Darbhanga,2023,75.98,20.55,49.07,60.41,23.32,72.82,27.3
Madhya Pradesh,Barwani,2023,72.14,77.64,20.7,29.12,86.46,77.99,10.88
Andhra Pradesh,Visakhapatnam,2021,61.92,82.2,87.81,56.05,47.86,13.42,81.17
Uttarakhand,Dehradun,2016,85.01,71.12,67.07,89.48,80.9,46.99,80.93
Tamil Nadu,Thiruvallur,2017,49.58,62.73,11.71,38.8,91.35,11.96,42.68
Uttarakhand,Champawat,2022,39.73,51.7,50.84,67.89,74.88,32.18,60.81
Jharkhand,Giridih,2017,91.23,38.05,66.87,31.5,70.63,38.53,73.45
Haryana,Sonipat,2020,82.22,15.88,95.5,15.69,89.59,41.46,76.32
Madhya Pradesh,Balaghat,2015,98.2,24.5,17.87,19.73,24.51,44.62,75.88
Nagaland,Mokokchung,2020,68.93,55.46,32.13,18.76,29.22,46.31,14.39
Gujarat,Vadodara,2023,88.49,96.01,78.55,10.49,83.53,44.17,24.66
Bihar,Jehanabad,2018,78.01,77.02,97.91,29.64,59.74,94.1,11.63
Punjab,Rupnagar,2015,77.29,53.74,45.44,33.37,67.93,88.02,49.95
Arunachal Pradesh,Longding,2025,34.82,80.77,79.92,24.03,11.94,86.31,11.48
Odisha,Bhadrak,2021,49.38,80.37,54.39,95.84,23.91,64.7,11.5
Odisha,Bhadrak,2017,65.61,84.24,40.97,55.68,98.02,19.04,33.85
Arunachal Pradesh,Lower Siang,2016,45.71,31.92,82.3,79.49,51.79,20.21,74.99
Uttar Pradesh,Jhansi,2025,91.79,19.36,83.49,15.75,17.68,70.86,76.31
Chhattisgarh,Baloda Bazar,2020,42.48,48.15,31.49,57.69,13.05,94.25,58.24
Telangana,Jogulamba Gadwal,2025,87.44,72.32,24.95,98.63,16.51,29.89,90.47
Nagaland,Tseminyu,2022,22.74,56.06,79.55,51.67,68.93,69.5,64.58
Punjab,Ferozepur,2020,87.71,54.93,45.61,22.88,89.14,76.52,79.79
Maharashtra,Chandrapur,2019,28.37,17.6,46.56,38.83,65.88,24.21,69.08
West Bengal,Paschim Bardhaman,2018,37.3,60.95,96.36,53.62,99.77,24.81,28.78
Chhattisgarh,Janjgir-Champa,2019,12.2,51.68,61.09,90.32,55.12,67.65,86.36
Andhra Pradesh,Annamayya,2022,94.97,25.11,53.04,97.07,88.93,90.87,75.45
Gujarat,Sabarkantha,2019,54.49,69.18,78.01,46.56,65.42,34.63,11.4
Nagaland,Mokokchung,2020,26.47,61.14,10.96,51.08,81.08,24.57,69.37
Gujarat,Anand,2018,39.1,65.05,98.14,87.49,40.14,44.88,59.65
Uttar Pradesh,Gorakhpur,2021,31.49,56.87,35.11,90.93,85.0,50.13,50.77
Chhattisgarh,Kabirdham,2019,62.53,12.12,56.56,21.93,67.6,71.81,36.67
West Bengal,Bankura,2019,71.58,67.94,96.96,81.52,31.93,14.8,92.95
Manipur,Chandel,2025,82.33,85.24,44.11,17.91,93.65,45.34,97.44
Uttar Pradesh,Sant Kabir Nagar,2023,45.66,51.78,47.32,63.67,40.53,20.82,38.74
Madhya Pradesh,Shahdol,2025,39.12,95.44,67.37,26.8,65.11,50.27,31.08
Bihar,Saran,2019,74.96,39.82,79.87,74.91,43.37,79.69,60.16
Madhya Pradesh,Indore,2015,93.23,49.84,13.53,36.33,63.85,93.4,58.38
Rajasthan,Sikar,2022,28.03,17.78,35.79,49.43,55.87,12.26,13.24
Telangana,Jagtial,2017,47.39,31.01,45.52,47.44,94.6,96.73,54.21
Chhattisgarh,Baloda Bazar,2023,82.3,39.09,60.56,59.1,32.93,79.66,48.41
Maharashtra,Gadchiroli,2021,42.65,68.37,68.88,68.41,86.03,30.71,35.2
Manipur,Bishnupur,2022,63.43,75.87,14.24,26.72,18.25,63.93,74.44
Madhya Pradesh,Guna,2023,50.79,68.43,85.42,44.99,51.6,61.56,28.05
Maharashtra,Latur,2016,30.75,83.02,59.24,13.11,97.8,35.48,88.3
Punjab,Sri Muktsar Sahib,2018,69.35,59.68,12.47,56.05,21.55,29.97,45.56
Madhya Pradesh,Vidisha,2021,83.95,87.04,97.7,31.02,71.22,91.48,17.44
Assam,South Salmara-Mankachar,2019,82.34,77.46,54.88,29.54,51.04,72.66,45.8
Madhya Pradesh,Ratlam,2017,84.64,71.72,92.29,45.82,94.56,12.33,49.59
Maharashtra,Sindhudurg,2024,55.41,88.77,58.82,71.35,58.58,58.65,52.06
Kerala,Kasaragod,2016,67.02,16.58,27.79,63.51,58.4,14.23,67.06
Chhattisgarh,Mahasamund,2017,94.91,33.72,68.52,56.43,24.82,77.68,22.69
Assam,Udalguri,2024,75.8,57.13,81.02,58.53,46.58,27.36,95.44
Bihar,Khagaria,2020,10.71,80.42,27.09,79.35,23.09,80.91,59.79
Uttarakhand,Nainital,2017,49.3,67.71,66.1,90.65,24.99,44.44,23.7
Manipur,Chandel,2023,40.3,33.08,59.7,70.72,38.94,76.19,86.1
Madhya Pradesh,Chhindwara,2019,15.26,65.77,39.95,14.51,11.93,55.61,65.89
Nagaland,Wokha,2018,63.89,82.31,62.37,47.5,19.67,27.65,66.56
Assam,Kamrup Metropolitan,2017,91.63,24.52,29.33,77.03,18.62,38.03,24.65
Uttarakhand,Haridwar,2016,51.94,67.19,81.01,25.34,60.77,39.44,22.49
Uttar Pradesh,Etawah,2020,82.75,88.94,18.66,44.27,52.67,98.59,34.7
Karnataka,Ballari,2019,10.15,59.58,81.27,23.86,26.86,49.2,91.34
Punjab,Patiala,2023,34.5,31.08,95.0,15.31,20.5,80.8,79.78
Gujarat,Gandhinagar,2016,93.99,77.58,74.43,76.21,42.31,85.52,53.07
Himachal Pradesh,Chamba,2017,46.82,66.46,35.99,11.34,78.19,86.32,61.42
Uttar Pradesh,Etah,2025,30.53,87.07,53.64,85.22,67.3,39.86,87.64
Uttar Pradesh,Moradabad,2023,82.5,61.64,16.81,26.09,68.4,62.1,17.52
Odisha,Gajapati,2020,80.16,75.01,11.52,80.61,19.13,34.5,30.84
Haryana,Nuh,2017,73.07,50.53,25.32,74.14,76.64,96.64,19.48
Assam,Hojai,2024,63.36,79.99,18.75,61.64,52.71,91.1,64.54
Punjab,Gurdaspur,2019,86.54,18.41,50.24,41.07,88.65,26.77,81.34
Madhya Pradesh,Singrauli,2023,72.79,91.5,14.88,50.17,40.24,84.23,43.98
Chhattisgarh,Surguja,2022,76.02,75.63,80.22,83.95,79.43,50.89,17.77
Gujarat,Gir Somnath,2023,44.73,10.58,70.32,99.81,88.73,15.65,42.6
Odisha,Puri,2015,95.28,11.9,25.08,97.1,75.15,72.32,20.37
Telangana,Suryapet,2022,20.18,43.99,72.7,94.07,91.6,36.77,47.05
Chhattisgarh,Balod,2018,44.78,65.4,90.22,99.49,74.3,86.59,14.92
Arunachal Pradesh,Longding,2017,64.66,59.47,37.97,93.47,12.48,33.39,69.78
Rajasthan,Hanumangarh,2016,73.24,96.37,60.64,91.59,79.71,86.46,16.34
Rajasthan,Shahpura,2018,12.35,67.05,41.25,49.92,66.34,25.57,85.65
Rajasthan,Beawar,2020,26.83,53.32,49.64,81.33,57.3,49.35,61.59
Nagaland,Longleng,2017,47.89,72.2,28.84,75.91,26.0,83.02,17.61
Nagaland,Zunheboto,2021,13.3,30.39,74.26,68.01,47.72,22.57,33.02
Manipur,Imphal East,2017,84.11,19.21,49.18,16.25,51.49,90.99,55.08
Odisha,Jagatsinghpur,2024,72.42,86.52,33.62,23.91,16.21,99.97,86.36
Rajasthan,Gangapur City,2015,21.89,17.8,26.74,16.58,30.66,72.04,11.32
Uttar Pradesh,Kaushambi,2023,42.17,46.4,18.8,82.85,62.92,11.27,86.92
Jharkhand,Jamtara,2019,19.4,18.22,63.62,58.77,90.62,29.6,26.92
Punjab,Jalandhar,2017,65.08,93.67,78.83,63.84,14.49,39.84,67.27
Madhya Pradesh,Gwalior,2019,40.52,73.27,35.99,30.04,88.98,19.53,40.57
Uttar Pradesh,Mathura,2023,93.14,15.31,70.6,59.57,36.06,83.56,51.82
