state,district,year,it_companies,tech_startups,internet_users,mobile_users,data_centers
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2021,897,161,927733,862812,7
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,1924,389,1729260,1044077,16
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2023,544,369,1137054,1353169,6
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2024,1219,742,134502,2941361,6
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2025,1604,939,1844980,1389904,0
Andhra Pradesh,East Godavari,2015,1657,499,23267,2345998,6
Andhra Pradesh,East Godavari,2016,1791,585,336053,1894409,0
Andhra Pradesh,East Godavari,2017,1797,467,823380,2996174,2
Andhra Pradesh,East Godavari,2018,460,898,19206,1404241,20
Andhra Pradesh,East Godavari,2019,985,470,1580933,41761,16
Andhra Pradesh,East Godavari,2020,1983,732,310333,621054,20
Andhra Pradesh,East Godavari,2021,758,673,1868921,668986,5
Andhra Pradesh,East Godavari,2022,1164,754,18955,2261424,14
Andhra Pradesh,East Godavari,2023,1425,960,1115790,581230,11
Andhra Pradesh,East Godavari,2024,1912,883,1474441,1516703,16
Andhra Pradesh,East Godavari,2025,1205,944,611909,972505,12
Andhra Pradesh,Eluru,2015,1276,153,442166,1461805,15
Andhra Pradesh,Eluru,2016,397,932,653051,1948956,5
Andhra Pradesh,Eluru,2017,1816,522,85816,705156,4
Andhra Pradesh,Eluru,2018,660,65,809799,2720514,20
Andhra Pradesh,Eluru,2019,1662,801,130683,2513231,15
Andhra Pradesh,Eluru,2020,203,758,593486,2681246,7
Andhra Pradesh,Eluru,2021,997,953,1596668,2233919,3
Andhra Pradesh,Eluru,2022,109,154,127384,1013039,9
Andhra Pradesh,Eluru,2023,813,570,1497105,2323140,14
Andhra Pradesh,Eluru,2024,1421,590,615381,2409611,13
Andhra Pradesh,Eluru,2025,1482,738,997121,2121261,19
Andhra Pradesh,Guntur,2015,866,875,969802,453010,4
Andhra Pradesh,Guntur,2016,761,296,1091758,2512991,8
Andhra Pradesh,Guntur,2017,234,364,278135,241340,13
Andhra Pradesh,Guntur,2018,984,362,15121,320883,11
Andhra Pradesh,Guntur,2019,346,703,388619,792387,20
Andhra Pradesh,Guntur,2020,1757,907,569905,1909201,9
Andhra Pradesh,Guntur,2021,1636,288,1729853,1181941,2
Andhra Pradesh,Guntur,2022,905,685,1616458,2391943,17
Andhra Pradesh,Guntur,2023,752,1000,1270487,123017,19
Andhra Pradesh,Guntur,2024,1221,830,1818001,560329,1
Andhra Pradesh,Guntur,2025,1243,451,1765922,1430834,6
Andhra Pradesh,Kakinada,2015,1336,779,343841,957437,14
Andhra Pradesh,Kakinada,2016,564,610,1894682,142887,15
Andhra Pradesh,Kakinada,2017,1008,148,863582,1984140,1
Andhra Pradesh,Kakinada,2018,1492,828,1464232,2792266,7
Andhra Pradesh,Kakinada,2019,1189,72,115980,298187,10
Andhra Pradesh,Kakinada,2020,464,305,943758,1836344,3
Andhra Pradesh,Kakinada,2021,13,815,1489665,645130,0
Andhra Pradesh,Kakinada,2022,59,292,962053,1905880,19
Andhra Pradesh,Kakinada,2023,1403,669,948641,913576,8
Andhra Pradesh,Kakinada,2024,1525,49,281838,1584249,7
Andhra Pradesh,Kakinada,2025,1233,100,120881,1552937,5
Andhra Pradesh,Krishna,2015,777,963,409979,2003398,0
Andhra Pradesh,Krishna,2016,740,213,228270,1717211,17
Andhra Pradesh,Krishna,2017,1085,857,984558,2031931,12
Andhra Pradesh,Krishna,2018,1289,575,373352,1645384,8
Andhra Pradesh,Krishna,2019,1375,956,1341603,340391,4
Andhra Pradesh,Krishna,2020,974,563,377460,2399077,17
Andhra Pradesh,Krishna,2021,1664,856,1120272,564940,18
Andhra Pradesh,Krishna,2022,732,579,1565157,432491,20
Andhra Pradesh,Krishna,2023,197,11,1643327,583369,12
Andhra Pradesh,Krishna,2024,225,377,597992,2245107,11
Andhra Pradesh,Krishna,2025,1517,619,403795,1057113,1
Andhra Pradesh,Kurnool,2015,566,729,1894166,2250982,12
Andhra Pradesh,Kurnool,2016,58,378,1589035,2208458,18
Andhra Pradesh,Kurnool,2017,615,157,976904,671470,18
Andhra Pradesh,Kurnool,2018,1964,255,974682,2159525,15
Andhra Pradesh,Kurnool,2019,1634,244,649158,2944686,5
Andhra Pradesh,Kurnool,2020,1271,155,1460327,330888,9
Andhra Pradesh,Kurnool,2021,417,215,456024,337677,3
Andhra Pradesh,Kurnool,2022,938,477,181959,2341369,13
Andhra Pradesh,Kurnool,2023,1666,368,1425211,2314418,12
Andhra Pradesh,Kurnool,2024,1922,866,382161,2143804,6
Andhra Pradesh,Kurnool,2025,1272,86,746406,724553,12
Andhra Pradesh,Nandyal,2015,1257,419,1360585,576202,10
Andhra Pradesh,Nandyal,2016,416,133,128110,196356,4
Andhra Pradesh,Nandyal,2017,1751,471,776101,1120662,4
Andhra Pradesh,Nandyal,2018,465,168,1858395,1968021,18
Andhra Pradesh,Nandyal,2019,1123,724,1043752,347429,14
Andhra Pradesh,Nandyal,2020,1069,420,595919,1609027,12
Andhra Pradesh,Nandyal,2021,1829,116,23405,2877664,15
Andhra Pradesh,Nandyal,2022,698,105,264484,1771095,9
Andhra Pradesh,Nandyal,2023,1414,836,949323,2266280,13
Andhra Pradesh,Nandyal,2024,1009,608,1718102,673331,10
Andhra Pradesh,Nandyal,2025,1894,437,1044500,2514852,14
Andhra Pradesh,NTR,2015,47,206,1202367,72452,0
Andhra Pradesh,NTR,2016,1802,143,171542,30369,14
Andhra Pradesh,NTR,2017,626,377,1293584,2987073,13
Andhra Pradesh,NTR,2018,739,697,744477,1215046,1
Andhra Pradesh,NTR,2019,1251,316,917280,1393567,0
Andhra Pradesh,NTR,2020,1348,276,1535354,2626261,20
Andhra Pradesh,NTR,2021,1030,196,1792244,1122117,13
Andhra Pradesh,NTR,2022,1777,754,788003,2752262,20
Andhra Pradesh,NTR,2023,1064,797,139869,2701032,0
Andhra Pradesh,NTR,2024,135,707,312051,1667544,9
Andhra Pradesh,NTR,2025,1624,894,1488334,26084,0
Andhra Pradesh,Palnadu,2015,1299,717,757232,1247883,14
Andhra Pradesh,Palnadu,2016,633,719,772840,2761787,17
Andhra Pradesh,Palnadu,2017,684,22,404395,318801,3
Andhra Pradesh,Palnadu,2018,239,905,1757459,1125426,14
Andhra Pradesh,Palnadu,2019,1029,898,1708698,289898,5
Andhra Pradesh,Palnadu,2020,726,629,886406,1351546,11
Andhra Pradesh,Palnadu,2021,323,295,694693,396170,7
Andhra Pradesh,Palnadu,2022,1040,525,500339,42393,3
Andhra Pradesh,Palnadu,2023,1314,709,437395,99526,17
Andhra Pradesh,Palnadu,2024,509,82,1001147,1632837,0
Andhra Pradesh,Palnadu,2025,312,161,1051590,607050,7
Andhra Pradesh,Parvathipuram Manyam,2015,548,59,855145,928393,6
Andhra Pradesh,Parvathipuram Manyam,2016,276,361,1541245,2740781,17
Andhra Pradesh,Parvathipuram Manyam,2017,33,767,1318833,2055625,0
Andhra Pradesh,Parvathipuram Manyam,2018,703,256,459204,407002,12
Andhra Pradesh,Parvathipuram Manyam,2019,1204,598,1562934,796233,9
Andhra Pradesh,Parvathipuram Manyam,2020,1019,102,1820676,529763,6
Andhra Pradesh,Parvathipuram Manyam,2021,554,739,768066,2870136,0
Andhra Pradesh,Parvathipuram Manyam,2022,1269,974,299153,1900192,19
Andhra Pradesh,Parvathipuram Manyam,2023,1879,974,770102,2406329,15
Andhra Pradesh,Parvathipuram Manyam,2024,909,480,570191,237876,0
Andhra Pradesh,Parvathipuram Manyam,2025,1062,486,1774512,628402,16
Andhra Pradesh,Prakasam,2015,786,907,450171,519176,1
Andhra Pradesh,Prakasam,2016,1513,656,640468,1434557,15
Andhra Pradesh,Prakasam,2017,546,837,1281605,2368674,19
Andhra Pradesh,Prakasam,2018,1198,538,669100,1449513,19
Andhra Pradesh,Prakasam,2019,1562,109,1805573,2108348,19
Andhra Pradesh,Prakasam,2020,684,69,810300,2087651,19
Andhra Pradesh,Prakasam,2021,548,919,87072,2678728,3
Andhra Pradesh,Prakasam,2022,277,80,202299,2357138,18
Andhra Pradesh,Prakasam,2023,1922,935,497511,912047,5
Andhra Pradesh,Prakasam,2024,1169,273,982069,2352948,7
Andhra Pradesh,Prakasam,2025,871,63,956421,1280286,5
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,601,581,1658594,564544,7
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,1717,981,885403,958186,12
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,199,252,866707,707676,1
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,1365,701,878732,408939,9
Andhra Pradesh,Sri Potti Sriramulu Nellore,2019,864,739,412517,450902,5
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,1818,347,105392,1013667,2
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,1995,307,1919734,2612954,2
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,493,652,46840,2252465,16
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,1338,722,535527,1719333,2
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,1388,914,167121,1150680,3
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,1445,441,1436674,462794,8
Andhra Pradesh,Sri Sathya Sai,2015,160,629,1707966,1226076,6
Andhra Pradesh,Sri Sathya Sai,2016,292,872,1487637,156152,7
Andhra Pradesh,Sri Sathya Sai,2017,799,846,458377,1809419,15
Andhra Pradesh,Sri Sathya Sai,2018,1501,289,1917360,198407,5
Andhra Pradesh,Sri Sathya Sai,2019,330,704,1614554,1349665,5
Andhra Pradesh,Sri Sathya Sai,2020,1637,816,953648,63722,5
Andhra Pradesh,Sri Sathya Sai,2021,416,538,657406,2586543,5
Andhra Pradesh,Sri Sathya Sai,2022,1737,375,308233,2126217,11
Andhra Pradesh,Sri Sathya Sai,2023,542,547,48611,439744,9
Andhra Pradesh,Sri Sathya Sai,2024,751,484,87175,2638276,13
Andhra Pradesh,Sri Sathya Sai,2025,1802,45,414845,2603907,5
Andhra Pradesh,Srikakulam,2015,166,264,701354,2118081,19
Andhra Pradesh,Srikakulam,2016,756,45,1935885,180043,4
Andhra Pradesh,Srikakulam,2017,391,281,70474,2122306,16
Andhra Pradesh,Srikakulam,2018,656,476,1149312,1970620,6
Andhra Pradesh,Srikakulam,2019,830,196,919760,1886066,15
Andhra Pradesh,Srikakulam,2020,1447,500,193732,2057267,20
Andhra Pradesh,Srikakulam,2021,741,330,816507,592307,2
Andhra Pradesh,Srikakulam,2022,853,4,870674,40875,13
Andhra Pradesh,Srikakulam,2023,683,890,994080,804603,6
Andhra Pradesh,Srikakulam,2024,108,458,1597778,495691,13
Andhra Pradesh,Srikakulam,2025,322,740,1882293,993774,0
Andhra Pradesh,Tirupati,2015,1057,824,881197,590272,16
Andhra Pradesh,Tirupati,2016,1482,150,1175122,334037,9
Andhra Pradesh,Tirupati,2017,1886,516,815114,838090,14
Andhra Pradesh,Tirupati,2018,72,562,145847,2188165,10
Andhra Pradesh,Tirupati,2019,651,923,256096,629350,14
Andhra Pradesh,Tirupati,2020,1272,955,850444,880903,7
Andhra Pradesh,Tirupati,2021,1769,306,1914594,2695117,14
Andhra Pradesh,Tirupati,2022,1383,820,1732359,1248985,14
Andhra Pradesh,Tirupati,2023,1049,922,764063,2865112,20
Andhra Pradesh,Tirupati,2024,1953,965,442438,2445343,11
Andhra Pradesh,Tirupati,2025,1628,440,75353,624964,14
Andhra Pradesh,Visakhapatnam,2015,1074,140,1730471,2238359,2
Andhra Pradesh,Visakhapatnam,2016,841,766,538407,2340323,17
Andhra Pradesh,Visakhapatnam,2017,897,878,1366125,1947671,10
Andhra Pradesh,Visakhapatnam,2018,723,519,191047,891854,14
Andhra Pradesh,Visakhapatnam,2019,1211,76,1539207,1441477,9
Andhra Pradesh,Visakhapatnam,2020,402,762,1153784,80061,7
Andhra Pradesh,Visakhapatnam,2021,1005,476,1306628,1075482,2
Andhra Pradesh,Visakhapatnam,2022,1119,688,694151,2352051,12
Andhra Pradesh,Visakhapatnam,2023,1568,968,1082890,1342901,6
Andhra Pradesh,Visakhapatnam,2024,609,374,1782888,1590323,13
Andhra Pradesh,Visakhapatnam,2025,585,60,552591,1186925,14
Andhra Pradesh,Vizianagaram,2015,770,52,1524991,2038292,2
Andhra Pradesh,Vizianagaram,2016,78,296,1446976,2490507,7
Andhra Pradesh,Vizianagaram,2017,1304,163,1471777,1730414,16
Andhra Pradesh,Vizianagaram,2018,1176,830,163554,2081314,19
Andhra Pradesh,Vizianagaram,2019,232,272,24506,2991770,12
Andhra Pradesh,Vizianagaram,2020,1321,725,895090,1613386,3
Andhra Pradesh,Vizianagaram,2021,1028,203,1843555,505446,5
Andhra Pradesh,Vizianagaram,2022,1798,962,1355802,1926723,18
Andhra Pradesh,Vizianagaram,2023,325,2,227408,1208810,17
Andhra Pradesh,Vizianagaram,2024,1750,110,147765,1560075,15
Andhra Pradesh,Vizianagaram,2025,606,823,1843502,1281603,8
Andhra Pradesh,West Godavari,2015,1442,453,1800846,552334,7
Andhra Pradesh,West Godavari,2016,276,929,1193287,2259547,13
Andhra Pradesh,West Godavari,2017,81,307,1441983,2095235,20
Andhra Pradesh,West Godavari,2018,1550,586,1426221,782233,14
Andhra Pradesh,West Godavari,2019,572,472,26419,1259283,5
Andhra Pradesh,West Godavari,2020,1799,102,33193,156354,20
Andhra Pradesh,West Godavari,2021,1574,214,28934,269846,11
Andhra Pradesh,West Godavari,2022,1596,879,472206,2395367,2
Andhra Pradesh,West Godavari,2023,1790,446,1173873,960967,3
Andhra Pradesh,West Godavari,2024,610,204,888256,2754790,8
Andhra Pradesh,West Godavari,2025,494,679,572415,2892947,19
Andhra Pradesh,YSR Kadapa,2015,680,644,31517,1998395,6
Andhra Pradesh,YSR Kadapa,2016,1967,879,489518,1241790,7
Andhra Pradesh,YSR Kadapa,2017,755,854,1590975,2530997,16
Andhra Pradesh,YSR Kadapa,2018,167,396,402465,512934,6
Andhra Pradesh,YSR Kadapa,2019,956,337,1801310,2542495,13
Andhra Pradesh,YSR Kadapa,2020,206,62,1539872,1154403,17
Andhra Pradesh,YSR Kadapa,2021,1061,635,1445798,1314778,2
Andhra Pradesh,YSR Kadapa,2022,1317,160,387787,158648,1
Andhra Pradesh,YSR Kadapa,2023,1901,414,1029742,1449077,4
Andhra Pradesh,YSR Kadapa,2024,1569,803,1175051,2708889,14
Andhra Pradesh,YSR Kadapa,2025,155,206,765893,1908196,15
Arunachal Pradesh,Tawang,2015,1757,877,392390,2241928,12
Arunachal Pradesh,Tawang,2016,591,873,229411,1895060,0
Arunachal Pradesh,Tawang,2017,1703,42,15886,2837076,20
Arunachal Pradesh,Tawang,2018,490,117,1903768,1477692,16
Arunachal Pradesh,Tawang,2019,170,194,59402,1219171,17
Arunachal Pradesh,Tawang,2020,1074,37,1435182,2639813,0
Arunachal Pradesh,Tawang,2021,1330,184,1338160,201957,6
Arunachal Pradesh,Tawang,2022,678,427,1656900,687900,1
Arunachal Pradesh,Tawang,2023,338,935,1054285,1490337,3
Arunachal Pradesh,Tawang,2024,1827,605,1352099,1506539,6
Arunachal Pradesh,Tawang,2025,448,468,1942297,829358,11
Arunachal Pradesh,West Kameng,2015,1864,690,1922464,135182,15
Arunachal Pradesh,West Kameng,2016,247,479,177130,892833,3
Arunachal Pradesh,West Kameng,2017,106,322,133055,2848629,10
Arunachal Pradesh,West Kameng,2018,1514,193,1540161,2033443,9
Arunachal Pradesh,West Kameng,2019,1637,933,202290,1445593,0
Arunachal Pradesh,West Kameng,2020,895,932,283436,2557683,7
Arunachal Pradesh,West Kameng,2021,1517,869,1436800,1831852,19
Arunachal Pradesh,West Kameng,2022,516,384,411431,2603788,0
Arunachal Pradesh,West Kameng,2023,163,61,512923,2314907,7
Arunachal Pradesh,West Kameng,2024,704,677,508255,1447641,7
Arunachal Pradesh,West Kameng,2025,250,429,631717,2866386,5
Arunachal Pradesh,East Kameng,2015,860,587,1552924,599538,5
Arunachal Pradesh,East Kameng,2016,1804,31,1952958,432150,20
Arunachal Pradesh,East Kameng,2017,1870,131,1699844,2520434,18
Arunachal Pradesh,East Kameng,2018,779,377,1003631,2733974,13
Arunachal Pradesh,East Kameng,2019,362,792,1146369,375070,3
Arunachal Pradesh,East Kameng,2020,1010,665,1769194,1744278,14
Arunachal Pradesh,East Kameng,2021,281,659,891193,2067304,12
Arunachal Pradesh,East Kameng,2022,216,504,460612,1994766,10
Arunachal Pradesh,East Kameng,2023,57,422,1733995,1866326,5
Arunachal Pradesh,East Kameng,2024,1137,736,1894526,2882352,20
Arunachal Pradesh,East Kameng,2025,313,975,320735,2210169,10
Arunachal Pradesh,Papum Pare,2015,1306,73,77365,2147137,4
Arunachal Pradesh,Papum Pare,2016,358,929,379791,1673946,1
Arunachal Pradesh,Papum Pare,2017,1241,58,1934820,130992,6
Arunachal Pradesh,Papum Pare,2018,1981,547,96145,873776,4
Arunachal Pradesh,Papum Pare,2019,688,177,1262136,2921722,20
Arunachal Pradesh,Papum Pare,2020,1184,20,1846491,1480481,15
Arunachal Pradesh,Papum Pare,2021,1503,843,556722,1572569,15
Arunachal Pradesh,Papum Pare,2022,1722,233,544990,2294946,13
Arunachal Pradesh,Papum Pare,2023,110,306,1224626,567631,6
Arunachal Pradesh,Papum Pare,2024,802,878,572235,895728,4
Arunachal Pradesh,Papum Pare,2025,1408,720,1839102,851928,18
Arunachal Pradesh,Kurung Kumey,2015,1370,981,1212055,1520287,5
Arunachal Pradesh,Kurung Kumey,2016,1044,110,537388,1235033,9
Arunachal Pradesh,Kurung Kumey,2017,1104,312,185913,2663827,2
Arunachal Pradesh,Kurung Kumey,2018,1527,42,62641,2011501,2
Arunachal Pradesh,Kurung Kumey,2019,1864,169,1342754,813967,13
Arunachal Pradesh,Kurung Kumey,2020,292,925,1639487,2941901,6
Arunachal Pradesh,Kurung Kumey,2021,1850,239,719934,2628180,17
Arunachal Pradesh,Kurung Kumey,2022,21,745,1995077,793670,11
Arunachal Pradesh,Kurung Kumey,2023,1469,953,1546751,140400,20
Arunachal Pradesh,Kurung Kumey,2024,259,912,1472999,2414574,13
Arunachal Pradesh,Kurung Kumey,2025,1952,535,1797279,2852994,19
Arunachal Pradesh,Kra Daadi,2015,1006,859,1434960,2286597,0
Arunachal Pradesh,Kra Daadi,2016,1195,369,1540386,2099840,5
Arunachal Pradesh,Kra Daadi,2017,1687,500,1578213,719155,20
Arunachal Pradesh,Kra Daadi,2018,1279,989,694623,1959228,3
Arunachal Pradesh,Kra Daadi,2019,299,803,392905,1006299,8
Arunachal Pradesh,Kra Daadi,2020,1201,254,1660722,414629,15
Arunachal Pradesh,Kra Daadi,2021,177,19,1963446,2584155,7
Arunachal Pradesh,Kra Daadi,2022,938,115,869661,695087,12
Arunachal Pradesh,Kra Daadi,2023,851,578,713208,2981061,1
Arunachal Pradesh,Kra Daadi,2024,1861,581,1379593,628913,9
Arunachal Pradesh,Kra Daadi,2025,1194,63,1239233,2213086,3
Arunachal Pradesh,Lower Subansiri,2015,1188,871,1138284,468148,5
Arunachal Pradesh,Lower Subansiri,2016,1657,741,214872,2974573,14
Arunachal Pradesh,Lower Subansiri,2017,1987,520,500314,2135676,16
Arunachal Pradesh,Lower Subansiri,2018,1734,313,1906137,2373020,8
Arunachal Pradesh,Lower Subansiri,2019,1935,420,95607,778053,8
Arunachal Pradesh,Lower Subansiri,2020,496,94,905675,1747269,12
Arunachal Pradesh,Lower Subansiri,2021,1463,582,170010,2088322,4
Arunachal Pradesh,Lower Subansiri,2022,564,540,1248200,2495898,17
Arunachal Pradesh,Lower Subansiri,2023,957,122,1993908,1869029,7
Arunachal Pradesh,Lower Subansiri,2024,851,661,1383244,2680652,1
Arunachal Pradesh,Lower Subansiri,2025,1558,389,954244,1323636,15
Arunachal Pradesh,Upper Subansiri,2015,1685,188,1242772,2185998,6
Arunachal Pradesh,Upper Subansiri,2016,535,644,1544006,1340210,9
Arunachal Pradesh,Upper Subansiri,2017,1491,74,1040554,326788,14
Arunachal Pradesh,Upper Subansiri,2018,1799,686,120210,1941862,14
Arunachal Pradesh,Upper Subansiri,2019,756,733,1917879,519708,2
Arunachal Pradesh,Upper Subansiri,2020,164,68,421314,2242013,5
Arunachal Pradesh,Upper Subansiri,2021,1440,716,1327182,2538801,5
Arunachal Pradesh,Upper Subansiri,2022,1932,287,1023789,2893511,4
Arunachal Pradesh,Upper Subansiri,2023,1040,327,1192802,272053,3
Arunachal Pradesh,Upper Subansiri,2024,1474,806,1361890,2445223,16
Arunachal Pradesh,Upper Subansiri,2025,332,705,248131,1845349,17
Arunachal Pradesh,West Siang,2015,777,534,390402,462220,18
Arunachal Pradesh,West Siang,2016,6,823,1456006,2602736,19
Arunachal Pradesh,West Siang,2017,892,911,1927245,595856,6
Arunachal Pradesh,West Siang,2018,1256,988,681485,2454292,17
Arunachal Pradesh,West Siang,2019,1722,563,1267343,2874867,16
Arunachal Pradesh,West Siang,2020,198,282,247649,404343,11
Arunachal Pradesh,West Siang,2021,840,650,810321,1873940,9
Arunachal Pradesh,West Siang,2022,863,709,419901,2862088,4
Arunachal Pradesh,West Siang,2023,1707,83,842432,1992228,9
Arunachal Pradesh,West Siang,2024,1628,884,1479987,2817174,8
Arunachal Pradesh,West Siang,2025,1666,999,791871,2901561,16
Arunachal Pradesh,East Siang,2015,224,143,577792,1235355,6
Arunachal Pradesh,East Siang,2016,173,563,821262,811442,10
Arunachal Pradesh,East Siang,2017,562,936,1220649,1067543,13
Arunachal Pradesh,East Siang,2018,1471,401,1918751,2538314,0
Arunachal Pradesh,East Siang,2019,1646,144,1462786,1642189,16
Arunachal Pradesh,East Siang,2020,613,610,21086,2725043,15
Arunachal Pradesh,East Siang,2021,987,205,478037,1884463,16
Arunachal Pradesh,East Siang,2022,1667,161,164980,724255,3
Arunachal Pradesh,East Siang,2023,882,914,1202208,2025772,18
Arunachal Pradesh,East Siang,2024,1872,953,753679,268076,12
Arunachal Pradesh,East Siang,2025,1656,852,551157,1757190,15
Arunachal Pradesh,Siang,2015,369,74,568308,1891185,16
Arunachal Pradesh,Siang,2016,1938,488,1794897,1412027,2
Arunachal Pradesh,Siang,2017,885,791,1841456,253608,14
Arunachal Pradesh,Siang,2018,631,819,776579,2576125,6
Arunachal Pradesh,Siang,2019,439,48,1370109,808904,8
Arunachal Pradesh,Siang,2020,822,369,1984087,445239,9
Arunachal Pradesh,Siang,2021,883,131,1135939,122612,3
Arunachal Pradesh,Siang,2022,400,223,1905289,2572620,19
