state,district,year,district_gdp,per_capita_income,industrial_output,agriculture_output,service_sector_output
Andhra Pradesh,Guntur,2021,168921,266857,77930,33185,35916
Andhra Pradesh,Guntur,2022,19003,131395,10642,45415,89068
Andhra Pradesh,Guntur,2023,58471,90379,65022,26003,13199
Andhra Pradesh,Guntur,2024,56607,120356,25897,12668,35943
Andhra Pradesh,Guntur,2025,30678,214534,44006,31954,47213
Andhra Pradesh,Kakinada,2015,49306,271089,71398,11759,23514
Andhra Pradesh,Kakinada,2016,54192,253002,52127,14144,28440
Andhra Pradesh,Kakinada,2017,98867,211921,42132,9552,45294
Andhra Pradesh,Kakinada,2018,195104,293391,30016,42613,20231
Andhra Pradesh,Kakinada,2019,167894,171868,42616,16977,42163
Andhra Pradesh,Kakinada,2020,138069,224500,20638,47614,67418
Andhra Pradesh,Kakinada,2021,198146,267569,29671,27132,35847
Andhra Pradesh,Kakinada,2022,82781,211242,47482,6369,55742
Andhra Pradesh,Kakinada,2023,72997,130964,1705,43644,27130
Andhra Pradesh,Kakinada,2024,76843,165056,52262,49964,65582
Andhra Pradesh,Kakinada,2025,51240,154189,13385,24031,40551
Andhra Pradesh,Krishna,2015,135493,104689,2176,39178,89169
Andhra Pradesh,Krishna,2016,76154,136277,55526,59431,71383
Andhra Pradesh,Krishna,2017,144745,127628,54919,15862,81772
Andhra Pradesh,Krishna,2018,50830,140413,1369,57341,49691
Andhra Pradesh,Krishna,2019,27484,112786,79125,25726,7623
Andhra Pradesh,Krishna,2020,126104,241595,42855,8300,23579
Andhra Pradesh,Krishna,2021,155340,80779,61926,35522,42806
Andhra Pradesh,Krishna,2022,86769,156985,12546,35000,80841
Andhra Pradesh,Krishna,2023,69502,170578,61666,33575,77391
Andhra Pradesh,Krishna,2024,34599,246455,73242,25143,35971
Andhra Pradesh,Krishna,2025,45860,282604,72808,11899,29097
Andhra Pradesh,Kurnool,2015,155308,173929,77963,23614,56806
Andhra Pradesh,Kurnool,2016,117523,138224,56779,42296,85146
Andhra Pradesh,Kurnool,2017,40805,106449,15810,18833,78549
Andhra Pradesh,Kurnool,2018,90622,164633,65230,28094,6324
Andhra Pradesh,Kurnool,2019,116495,120026,6982,18552,48394
Andhra Pradesh,Kurnool,2020,30791,127257,43284,20489,32576
Andhra Pradesh,Kurnool,2021,16158,191788,16720,25608,23631
Andhra Pradesh,Kurnool,2022,98347,157206,21344,57134,6361
Andhra Pradesh,Kurnool,2023,11482,84110,24582,37464,48689
Andhra Pradesh,Kurnool,2024,102777,244609,25247,48108,5813
Andhra Pradesh,Kurnool,2025,112237,107320,13348,1442,38662
Andhra Pradesh,Nandyal,2015,156301,197154,64419,8856,2630
Andhra Pradesh,Nandyal,2016,164313,267193,23105,59086,67560
Andhra Pradesh,Nandyal,2017,66937,235270,62517,36816,49160
Andhra Pradesh,Nandyal,2018,98597,233532,13064,21149,5747
Andhra Pradesh,Nandyal,2019,22607,297468,32717,12732,45834
Andhra Pradesh,Nandyal,2020,48971,240838,6900,52166,19844
Andhra Pradesh,Nandyal,2021,47877,168617,37952,16883,74550
Andhra Pradesh,Nandyal,2022,84807,226981,52896,19229,47966
Andhra Pradesh,Nandyal,2023,37321,136267,38149,27170,65944
Andhra Pradesh,Nandyal,2024,100030,278200,62162,1688,85302
Andhra Pradesh,Nandyal,2025,182654,133435,73669,28694,66367
Andhra Pradesh,NTR,2015,77341,60241,34010,25982,42288
Andhra Pradesh,NTR,2016,137403,133238,23570,29670,65891
Andhra Pradesh,NTR,2017,108553,238684,23308,24246,38660
Andhra Pradesh,NTR,2018,137157,185713,65924,9655,65182
Andhra Pradesh,NTR,2019,174456,110040,9919,1484,85115
Andhra Pradesh,NTR,2020,164859,53146,39932,50939,88858
Andhra Pradesh,NTR,2021,7242,59136,19302,46865,43447
Andhra Pradesh,NTR,2022,144325,250444,14868,25728,54786
Andhra Pradesh,NTR,2023,68190,88404,73080,14121,84815
Andhra Pradesh,NTR,2024,21015,270309,1141,58928,57903
Andhra Pradesh,NTR,2025,46982,152204,1165,50963,25424
Andhra Pradesh,Palnadu,2015,185215,297452,13808,30220,41061
Andhra Pradesh,Palnadu,2016,53926,119413,56597,2234,36074
Andhra Pradesh,Palnadu,2017,187256,252725,36135,38799,71554
Andhra Pradesh,Palnadu,2018,41043,254960,68472,31753,18383
Andhra Pradesh,Palnadu,2019,95976,189568,79991,5078,43264
Andhra Pradesh,Palnadu,2020,110033,199355,33865,22309,3789
Andhra Pradesh,Palnadu,2021,112640,56215,31256,57382,73014
Andhra Pradesh,Palnadu,2022,137659,285431,73220,57673,61264
Andhra Pradesh,Palnadu,2023,57281,118727,75123,48976,20578
Andhra Pradesh,Palnadu,2024,175085,90177,78821,55033,28650
Andhra Pradesh,Palnadu,2025,173654,59410,1240,21917,65476
Andhra Pradesh,Parvathipuram Manyam,2015,183204,99715,43674,27008,35687
Andhra Pradesh,Parvathipuram Manyam,2016,156952,90304,12861,45637,27895
Andhra Pradesh,Parvathipuram Manyam,2017,12505,221519,43712,31364,79450
Andhra Pradesh,Parvathipuram Manyam,2018,115981,138611,25955,45719,48502
Andhra Pradesh,Parvathipuram Manyam,2019,195593,221022,77438,48674,9303
Andhra Pradesh,Parvathipuram Manyam,2020,20224,240586,75819,1854,23176
Andhra Pradesh,Parvathipuram Manyam,2021,107451,71578,61418,50120,62695
Andhra Pradesh,Parvathipuram Manyam,2022,101754,158152,51670,41721,34149
Andhra Pradesh,Parvathipuram Manyam,2023,29946,276427,41780,10993,24309
Andhra Pradesh,Parvathipuram Manyam,2024,194423,211455,3660,29572,83936
Andhra Pradesh,Parvathipuram Manyam,2025,21846,155138,70437,30299,11732
Andhra Pradesh,Prakasam,2015,148703,112156,55125,30040,40102
Andhra Pradesh,Prakasam,2016,52727,242791,54807,25397,7985
Andhra Pradesh,Prakasam,2017,101071,88872,9398,25230,2481
Andhra Pradesh,Prakasam,2018,179940,251561,50695,10365,24137
Andhra Pradesh,Prakasam,2019,162768,75081,39387,30136,54298
Andhra Pradesh,Prakasam,2020,161485,172079,59164,20920,13290
Andhra Pradesh,Prakasam,2021,67168,164527,12178,16172,10669
Andhra Pradesh,Prakasam,2022,30950,187662,12224,41955,46288
Andhra Pradesh,Prakasam,2023,156184,299632,54001,20405,19206
Andhra Pradesh,Prakasam,2024,7799,76918,46706,50140,71502
Andhra Pradesh,Prakasam,2025,79238,74254,72482,52941,33346
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,79644,267088,4308,19162,76766
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,36900,158512,26399,17784,59800
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,63071,167201,69628,52622,23955
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,174751,252325,24103,34734,85505
Andhra Pradesh,Sri Potti Sriramulu Nellore,2019,27706,159597,32486,52643,8927
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,122307,98011,4380,41359,77453
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,192780,112360,3926,59994,59758
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,147991,97097,43079,36474,24411
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,80948,178939,61451,51408,15678
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,39216,267491,13536,33158,89345
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,85288,236896,17719,39095,46511
Andhra Pradesh,Sri Sathya Sai,2015,43938,65881,30068,35613,44476
Andhra Pradesh,Sri Sathya Sai,2016,20412,130047,2956,3568,51504
Andhra Pradesh,Sri Sathya Sai,2017,41303,219921,16655,52751,73614
Andhra Pradesh,Sri Sathya Sai,2018,118840,297047,17270,55163,86126
Andhra Pradesh,Sri Sathya Sai,2019,20407,211106,62225,59018,50738
Andhra Pradesh,Sri Sathya Sai,2020,13259,56208,40782,41863,51522
Andhra Pradesh,Sri Sathya Sai,2021,26392,217821,4516,12764,45470
Andhra Pradesh,Sri Sathya Sai,2022,83137,97548,63801,35553,35301
Andhra Pradesh,Sri Sathya Sai,2023,59804,220058,35178,22947,37925
Andhra Pradesh,Sri Sathya Sai,2024,183349,287266,11283,17220,67356
Andhra Pradesh,Sri Sathya Sai,2025,122658,139002,54626,13386,13014
Andhra Pradesh,Srikakulam,2015,163002,215012,55230,37268,26616
Andhra Pradesh,Srikakulam,2016,14157,116902,38887,45856,60569
Andhra Pradesh,Srikakulam,2017,146233,94952,59904,8384,63712
Andhra Pradesh,Srikakulam,2018,11819,285500,75645,56362,61762
Andhra Pradesh,Srikakulam,2019,65387,168381,3800,34026,82520
Andhra Pradesh,Srikakulam,2020,184841,247345,3253,37039,66433
Andhra Pradesh,Srikakulam,2021,184301,55654,17531,15157,57887
Andhra Pradesh,Srikakulam,2022,88043,140635,46761,21074,13611
Andhra Pradesh,Srikakulam,2023,78248,122077,46451,5751,59081
Andhra Pradesh,Srikakulam,2024,18230,255508,14301,15444,12616
Andhra Pradesh,Srikakulam,2025,9143,116167,64799,42791,79301
Andhra Pradesh,Tirupati,2015,145344,226824,4981,23743,80900
Andhra Pradesh,Tirupati,2016,77152,213144,49509,44213,71149
Andhra Pradesh,Tirupati,2017,90001,136869,46547,9689,32149
Andhra Pradesh,Tirupati,2018,195721,167518,79684,56949,78353
Andhra Pradesh,Tirupati,2019,71721,125273,38075,1435,84098
Andhra Pradesh,Tirupati,2020,51225,286648,16697,34260,27110
Andhra Pradesh,Tirupati,2021,48324,225819,69784,53407,50444
Andhra Pradesh,Tirupati,2022,53108,139420,56793,17089,32979
Andhra Pradesh,Tirupati,2023,11331,158040,1299,19115,74806
Andhra Pradesh,Tirupati,2024,118730,228381,1487,15874,64959
Andhra Pradesh,Tirupati,2025,104416,256751,9098,13648,49822
Andhra Pradesh,Visakhapatnam,2015,90399,150146,57485,53007,7908
Andhra Pradesh,Visakhapatnam,2016,106345,235087,69305,51560,19652
Andhra Pradesh,Visakhapatnam,2017,24994,205111,43452,15374,88365
Andhra Pradesh,Visakhapatnam,2018,42794,197286,3089,19004,84318
Andhra Pradesh,Visakhapatnam,2019,137074,262417,33466,3235,24520
Andhra Pradesh,Visakhapatnam,2020,17131,168438,34532,49130,52227
Andhra Pradesh,Visakhapatnam,2021,128842,218995,30850,29125,58861
Andhra Pradesh,Visakhapatnam,2022,58287,188479,70952,36435,68418
Andhra Pradesh,Visakhapatnam,2023,109522,204294,29344,41467,68461
Andhra Pradesh,Visakhapatnam,2024,92385,148132,40143,14961,55598
Andhra Pradesh,Visakhapatnam,2025,46213,296944,41458,12748,50967
Andhra Pradesh,Vizianagaram,2015,53618,90785,60296,52706,29944
Andhra Pradesh,Vizianagaram,2016,118603,115330,45766,30321,67988
Andhra Pradesh,Vizianagaram,2017,107134,78586,19224,7406,85990
Andhra Pradesh,Vizianagaram,2018,157854,212001,39847,15570,13116
Andhra Pradesh,Vizianagaram,2019,55918,74488,4085,43191,69108
Andhra Pradesh,Vizianagaram,2020,152794,274255,17370,31710,88600
Andhra Pradesh,Vizianagaram,2021,83771,269257,74104,54714,3467
Andhra Pradesh,Vizianagaram,2022,59763,237173,22578,6662,77294
Andhra Pradesh,Vizianagaram,2023,67491,133659,76797,16561,74112
Andhra Pradesh,Vizianagaram,2024,112723,82540,9270,13611,25298
Andhra Pradesh,Vizianagaram,2025,56976,204995,63485,49771,19025
Andhra Pradesh,West Godavari,2015,123942,165945,69173,4935,19727
Andhra Pradesh,West Godavari,2016,47850,260392,6741,34122,85636
Andhra Pradesh,West Godavari,2017,75420,142413,60005,15537,69295
Andhra Pradesh,West Godavari,2018,15810,86744,34404,54492,64758
Andhra Pradesh,West Godavari,2019,196249,278645,59368,49923,78070
Andhra Pradesh,West Godavari,2020,128436,199851,58354,7717,44131
Andhra Pradesh,West Godavari,2021,161614,211646,20082,7337,59569
Andhra Pradesh,West Godavari,2022,64680,282297,52801,6561,7357
Andhra Pradesh,West Godavari,2023,90860,184445,38648,14628,61035
Andhra Pradesh,West Godavari,2024,170217,274854,59678,41285,55599
Andhra Pradesh,West Godavari,2025,171901,291449,4539,36934,50906
Andhra Pradesh,YSR Kadapa,2015,117812,101670,12327,57091,40435
Andhra Pradesh,YSR Kadapa,2016,194934,208680,23612,23952,8023
Andhra Pradesh,YSR Kadapa,2017,130567,293347,44706,23261,63139
Andhra Pradesh,YSR Kadapa,2018,125059,226354,11557,31402,24015
Andhra Pradesh,YSR Kadapa,2019,138502,164888,56882,36767,44377
Andhra Pradesh,YSR Kadapa,2020,5144,96297,34500,15896,64485
Andhra Pradesh,YSR Kadapa,2021,46216,250034,72597,19597,18129
Andhra Pradesh,YSR Kadapa,2022,140003,271208,65905,1931,59783
Andhra Pradesh,YSR Kadapa,2023,73012,227724,25145,31000,24313
Andhra Pradesh,YSR Kadapa,2024,27091,144841,9534,36456,16064
Andhra Pradesh,YSR Kadapa,2025,126001,208929,54327,30269,23999
Arunachal Pradesh,Tawang,2015,119585,197519,69723,56530,4082
Arunachal Pradesh,Tawang,2016,115499,162738,55216,3148,12555
Arunachal Pradesh,Tawang,2017,11485,100018,18336,55898,58645
Arunachal Pradesh,Tawang,2018,141078,68719,6851,52995,27622
Arunachal Pradesh,Tawang,2019,21809,107816,61547,16873,81333
Arunachal Pradesh,Tawang,2020,5942,61910,14018,50262,80306
Arunachal Pradesh,Tawang,2021,58736,250175,10255,46023,60175
Arunachal Pradesh,Tawang,2022,129458,299979,74446,49332,6750
Arunachal Pradesh,Tawang,2023,100740,57939,53749,40805,49125
Arunachal Pradesh,Tawang,2024,68552,178401,50073,21545,73064
Arunachal Pradesh,Tawang,2025,171886,126868,13004,24040,5572
Arunachal Pradesh,West Kameng,2015,173552,94809,17894,54406,35122
Arunachal Pradesh,West Kameng,2016,145620,217791,62587,44886,43788
Arunachal Pradesh,West Kameng,2017,50218,180434,53410,52885,6202
Arunachal Pradesh,West Kameng,2018,119939,175399,41828,37034,51758
Arunachal Pradesh,West Kameng,2019,36020,261546,1984,16667,55290
Arunachal Pradesh,West Kameng,2020,108416,226246,3623,16213,10498
Arunachal Pradesh,West Kameng,2021,167945,266961,67053,31546,2527
Arunachal Pradesh,West Kameng,2022,156187,135070,65600,17369,44699
Arunachal Pradesh,West Kameng,2023,94138,114415,19322,10051,54848
Arunachal Pradesh,West Kameng,2024,194640,289530,70414,49863,13741
Arunachal Pradesh,West Kameng,2025,148413,231400,53220,28695,66874
Arunachal Pradesh,East Kameng,2015,17694,161104,4640,29016,64211
Arunachal Pradesh,East Kameng,2016,80221,199783,65206,45732,23771
Arunachal Pradesh,East Kameng,2017,190314,94907,3661,43550,14410
Arunachal Pradesh,East Kameng,2018,44762,241007,71493,31862,39154
Arunachal Pradesh,East Kameng,2019,55251,294026,26423,50678,74005
Arunachal Pradesh,East Kameng,2020,180230,71077,77286,10477,80746
Arunachal Pradesh,East Kameng,2021,137230,75874,76721,57622,62715
Arunachal Pradesh,East Kameng,2022,16351,261679,62511,58261,11629
Arunachal Pradesh,East Kameng,2023,167315,161449,65404,58951,60476
Arunachal Pradesh,East Kameng,2024,168927,186734,69252,6503,56222
Arunachal Pradesh,East Kameng,2025,117142,299922,77981,6084,25463
Arunachal Pradesh,Papum Pare,2015,93790,116794,64928,17843,33964
Arunachal Pradesh,Papum Pare,2016,7866,133459,2934,41176,62679
Arunachal Pradesh,Papum Pare,2017,177907,100962,35993,40486,76666
Arunachal Pradesh,Papum Pare,2018,102904,290204,72591,17979,20242
Arunachal Pradesh,Papum Pare,2019,45261,54275,79457,13489,58549
Arunachal Pradesh,Papum Pare,2020,170375,186586,15911,1240,11107
Arunachal Pradesh,Papum Pare,2021,111567,51024,60612,2282,19499
Arunachal Pradesh,Papum Pare,2022,29292,210089,41474,32341,12886
Arunachal Pradesh,Papum Pare,2023,165124,289877,68416,29102,73909
Arunachal Pradesh,Papum Pare,2024,89563,76071,60100,12218,77872
Arunachal Pradesh,Papum Pare,2025,121206,110344,20836,34260,88285
Arunachal Pradesh,Kurung Kumey,2015,199760,114783,72027,59207,54346
Arunachal Pradesh,Kurung Kumey,2016,86926,119235,32985,46521,27374
Arunachal Pradesh,Kurung Kumey,2017,70381,193290,42197,25290,72416
Arunachal Pradesh,Kurung Kumey,2018,32931,151664,28496,51252,22391
Arunachal Pradesh,Kurung Kumey,2019,7631,163352,40772,4874,31102
Arunachal Pradesh,Kurung Kumey,2020,191599,253675,49721,6267,28356
Arunachal Pradesh,Kurung Kumey,2021,156051,119919,30859,47122,73532
Arunachal Pradesh,Kurung Kumey,2022,138668,297157,62931,18611,29142
Arunachal Pradesh,Kurung Kumey,2023,49104,192277,63641,59382,22082
Arunachal Pradesh,Kurung Kumey,2024,143991,114173,55934,34960,76746
Arunachal Pradesh,Kurung Kumey,2025,50045,149156,45343,28434,77142
Arunachal Pradesh,Kra Daadi,2015,161667,268905,17067,50273,10356
Arunachal Pradesh,Kra Daadi,2016,164274,275129,67302,56842,76583
Arunachal Pradesh,Kra Daadi,2017,176667,84494,24072,12572,66490
Arunachal Pradesh,Kra Daadi,2018,42361,228400,34105,58522,23984
Arunachal Pradesh,Kra Daadi,2019,76891,203483,7634,3667,63049
Arunachal Pradesh,Kra Daadi,2020,123138,292877,48645,22524,22067
Arunachal Pradesh,Kra Daadi,2021,177955,290844,23697,21029,20288
Arunachal Pradesh,Kra Daadi,2022,166920,88643,36264,22194,57508
Arunachal Pradesh,Kra Daadi,2023,14567,259783,28957,46366,54627
Arunachal Pradesh,Kra Daadi,2024,44254,261214,17091,26421,35473
Arunachal Pradesh,Kra Daadi,2025,192127,263306,37604,27017,75895
Arunachal Pradesh,Lower Subansiri,2015,124033,153659,3179,54174,51188
Arunachal Pradesh,Lower Subansiri,2016,14072,118096,59853,10949,64529
Arunachal Pradesh,Lower Subansiri,2017,86246,90325,25038,4261,28792
Arunachal Pradesh,Lower Subansiri,2018,165590,158878,37917,49094,41445
Arunachal Pradesh,Lower Subansiri,2019,165759,113500,77498,12571,30507
Arunachal Pradesh,Lower Subansiri,2020,173085,255528,16930,45643,58024
Arunachal Pradesh,Lower Subansiri,2021,35750,140046,73488,42624,7018
Arunachal Pradesh,Lower Subansiri,2022,93875,154355,20863,6685,42596
Arunachal Pradesh,Lower Subansiri,2023,26186,55675,24406,40047,8725
Arunachal Pradesh,Lower Subansiri,2024,157752,198550,36630,15125,65270
Arunachal Pradesh,Lower Subansiri,2025,111995,165323,63852,41933,71155
Arunachal Pradesh,Upper Subansiri,2015,48491,172744,39966,3558,11504
Arunachal Pradesh,Upper Subansiri,2016,160324,183655,8739,55363,77565
Arunachal Pradesh,Upper Subansiri,2017,170346,50683,53888,5396,78794
Arunachal Pradesh,Upper Subansiri,2018,173422,259432,64492,49028,52102
Arunachal Pradesh,Upper Subansiri,2019,121761,235894,64434,34112,21951
Arunachal Pradesh,Upper Subansiri,2020,120762,167701,63009,1554,18984
Arunachal Pradesh,Upper Subansiri,2021,48355,72728,53474,28992,28886
Arunachal Pradesh,Upper Subansiri,2022,153169,205892,49234,18220,34549
Arunachal Pradesh,Upper Subansiri,2023,36034,106292,58312,10585,79814
Arunachal Pradesh,Upper Subansiri,2024,66975,208639,7363,12082,10166
Arunachal Pradesh,Upper Subansiri,2025,23627,287868,39990,27796,19987
Arunachal Pradesh,West Siang,2015,184946,293975,70220,15265,61723
Arunachal Pradesh,West Siang,2016,179097,240232,11941,13067,16582
Arunachal Pradesh,West Siang,2017,124916,256767,21487,23273,79707
Arunachal Pradesh,West Siang,2018,61593,187276,49491,31943,33283
Arunachal Pradesh,West Siang,2019,173220,81622,79711,33128,3323
Arunachal Pradesh,West Siang,2020,122790,252798,6103,53733,17862
Arunachal Pradesh,West Siang,2021,19334,245597,20487,9832,18202
Arunachal Pradesh,West Siang,2022,156302,171896,73518,6002,75098
Arunachal Pradesh,West Siang,2023,116229,110265,18018,17121,77560
Arunachal Pradesh,West Siang,2024,117692,262491,24138,49762,22562
Arunachal Pradesh,West Siang,2025,23634,114728,73116,57810,55969
Arunachal Pradesh,East Siang,2015,79264,59581,4826,30662,56979
Arunachal Pradesh,East Siang,2016,176558,67625,34476,52555,79462
