state,district,year,metro_length,urban_projects,smart_city_score,traffic_index,public_transport_score,road_development,urban_population
West Bengal,Dakshin Dinajpur,2015,51.77,56.29,62.94,58.81,22.73,87.69,18.89
Haryana,Rewari,2019,47.29,86.79,69.83,65.59,37.33,17.57,57.39
Karnataka,Gadag,2019,44.66,46.89,55.39,23.11,11.49,26.16,40.78
Andhra Pradesh,Annamayya,2025,32.77,53.76,36.17,44.14,60.17,35.64,92.22
Gujarat,Ahmedabad,2023,18.5,13.86,24.04,24.14,91.94,72.45,84.34
Rajasthan,Tonk,2018,25.06,55.42,65.96,94.14,46.87,10.87,19.48
Madhya Pradesh,Burhanpur,2020,67.37,42.47,95.49,42.43,81.58,32.23,27.2
Andhra Pradesh,Bapatla,2022,57.51,86.98,95.45,76.4,13.57,26.67,52.46
West Bengal,Hooghly,2018,79.66,69.55,63.31,62.75,69.73,55.98,91.37
Haryana,Panchkula,2023,58.41,34.24,78.43,58.02,50.78,91.58,20.1
Chhattisgarh,Gaurela-Pendra-Marwahi,2023,97.06,55.16,47.73,54.72,25.89,85.0,94.54
Tamil Nadu,Thanjavur,2018,50.38,61.8,70.25,53.96,69.61,62.11,13.55
Odisha,Mayurbhanj,2019,97.08,15.13,41.19,80.97,37.96,33.99,68.2
Assam,Dhemaji,2018,52.6,12.98,50.7,22.1,26.17,94.09,79.48
Andhra Pradesh,YSR Kadapa,2021,83.24,96.65,89.14,59.21,79.1,19.6,40.99
Tamil Nadu,Virudhunagar,2018,12.46,29.96,90.12,76.05,26.21,33.16,89.44
Tamil Nadu,Cuddalore,2023,43.38,25.91,13.02,71.39,87.1,79.71,74.02
Assam,Karbi Anglong,2016,70.25,21.12,75.66,45.66,38.24,56.67,63.78
Meghalaya,East Garo Hills,2022,34.13,23.23,83.68,83.55,53.53,59.11,73.58
Rajasthan,Udaipur,2022,19.78,13.01,70.31,88.45,12.9,97.29,79.89
Maharashtra,Nandurbar,2023,63.8,56.5,88.96,45.38,43.42,82.7,86.48
Rajasthan,Phalodi,2023,51.31,69.12,96.28,77.66,38.0,20.34,41.83
Bihar,Gaya,2025,28.12,87.37,64.41,14.34,37.36,46.79,43.32
Goa,South Goa,2023,26.59,11.38,32.08,73.98,69.85,68.35,92.6
Rajasthan,Bharatpur,2019,54.32,81.95,41.21,58.03,19.28,71.58,60.99
Uttar Pradesh,Varanasi,2018,26.91,42.21,86.56,54.45,79.56,23.19,93.76
Maharashtra,Nandurbar,2015,31.56,84.71,22.14,20.47,43.94,80.33,51.01
Maharashtra,Solapur,2024,76.59,76.54,59.64,77.76,33.55,70.25,53.93
Andhra Pradesh,Anakapalli,2023,53.94,63.1,52.03,64.69,88.96,67.08,67.15
Andhra Pradesh,East Godavari,2019,51.46,13.35,39.03,69.48,65.47,85.94,16.07
Madhya Pradesh,Niwari,2019,71.7,58.57,86.68,77.01,56.79,45.65,79.64
Uttar Pradesh,Shahjahanpur,2017,46.39,98.85,24.64,51.5,46.75,30.22,56.9
Tamil Nadu,Vellore,2025,81.9,72.73,62.18,65.97,36.88,53.46,39.65
Tamil Nadu,Tiruchirappalli,2017,28.78,35.33,86.93,35.28,82.63,87.21,23.24
Rajasthan,Pali,2018,35.54,96.71,86.18,24.46,82.04,21.49,23.18
Meghalaya,Ri Bhoi,2015,69.16,89.09,26.17,48.56,96.27,20.82,68.06
Telangana,Sangareddy,2016,17.78,43.98,14.17,36.43,61.48,38.95,90.56
Odisha,Jagatsinghpur,2025,52.76,64.12,98.06,68.78,10.55,97.06,83.89
Telangana,Jangaon,2017,25.64,23.56,87.31,33.16,23.13,29.98,70.43
Tamil Nadu,Thanjavur,2016,40.0,14.54,70.46,67.85,44.3,33.86,56.17
Uttarakhand,Pithoragarh,2025,23.38,69.34,88.26,79.18,20.94,32.85,21.0
Rajasthan,Pali,2024,12.64,31.33,32.85,27.04,72.91,11.81,48.15
Uttar Pradesh,Shravasti,2025,26.12,95.62,15.32,54.6,72.69,65.59,38.43
Bihar,Supaul,2020,79.78,84.46,92.29,98.94,75.91,81.78,82.92
Kerala,Malappuram,2016,21.18,18.8,34.08,69.98,59.88,21.79,36.9
Himachal Pradesh,Sirmaur,2019,80.1,50.48,94.11,71.09,68.03,81.99,93.67
Rajasthan,Karauli,2015,85.85,28.8,61.74,25.27,58.78,92.76,39.98
Kerala,Ernakulam,2019,95.4,68.81,64.09,96.57,43.86,29.41,85.93
Meghalaya,West Jaintia Hills,2017,98.21,10.1,13.46,96.47,70.31,85.02,38.74
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2018,63.04,85.79,34.31,95.01,30.74,70.35,34.22
Manipur,Senapati,2018,52.07,12.1,99.09,33.84,49.18,74.86,88.59
Chhattisgarh,Sakti,2023,69.02,19.67,85.51,41.26,27.8,42.58,73.26
Bihar,Saran,2025,99.92,19.77,33.9,18.17,80.79,69.85,77.82
Chhattisgarh,Raigarh,2016,20.06,11.64,94.14,16.09,34.29,90.69,24.94
Uttarakhand,Nainital,2024,21.89,70.28,72.05,74.11,15.52,78.96,98.48
Madhya Pradesh,Dhar,2022,90.53,90.76,95.62,15.44,63.07,91.96,80.23
Bihar,Samastipur,2022,97.81,46.37,68.18,30.89,71.58,76.42,93.3
Arunachal Pradesh,Namsai,2025,29.49,83.29,69.22,20.56,89.15,25.57,80.57
Uttar Pradesh,Fatehpur,2017,27.14,76.32,10.56,43.8,61.31,52.61,14.62
Telangana,Suryapet,2016,22.34,61.84,68.9,59.2,72.56,89.4,63.54
Assam,Dhemaji,2025,47.95,95.16,88.33,47.5,96.87,42.13,91.88
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2020,39.62,27.38,58.6,85.07,82.84,24.8,25.32
Karnataka,Uttara Kannada,2024,67.41,83.68,65.66,32.98,60.8,66.9,24.56
Tamil Nadu,Thoothukudi,2025,92.22,56.65,55.72,92.04,50.32,49.86,20.67
Andhra Pradesh,East Godavari,2021,43.55,53.13,35.32,76.3,34.71,77.44,48.09
Maharashtra,Nandurbar,2016,11.11,64.51,36.03,46.14,53.7,60.9,33.66
Gujarat,Bhavnagar,2022,91.77,59.71,57.85,67.24,24.46,91.1,10.75
Madhya Pradesh,Sidhi,2025,92.7,49.78,69.52,56.92,73.62,99.84,21.73
Punjab,Bathinda,2019,71.75,42.58,70.08,79.9,81.79,81.76,98.01
Madhya Pradesh,Hoshangabad (Narmadapuram),2017,21.34,75.02,65.43,78.09,47.57,76.5,87.72
Karnataka,Mandya,2021,73.74,69.31,76.07,91.59,49.78,13.38,51.72
Madhya Pradesh,Dindori,2017,93.11,49.25,96.76,75.22,51.87,50.9,22.86
Odisha,Sambalpur,2025,58.25,62.81,87.69,75.69,35.74,14.06,16.75
Tamil Nadu,Kallakurichi,2024,22.71,11.79,89.69,84.93,77.07,96.06,38.31
Rajasthan,Jhunjhunu,2018,44.62,98.63,98.23,88.93,26.42,46.75,40.73
Manipur,Tamenglong,2019,36.28,77.28,76.15,58.77,13.26,10.63,71.55
Assam,Hojai,2024,58.85,13.6,99.53,93.8,35.69,99.15,20.88
Haryana,Mahendragarh,2022,12.14,10.12,31.86,54.29,34.66,23.13,82.58
Jharkhand,Dumka,2016,59.11,63.27,90.74,15.27,46.6,94.78,10.63
Kerala,Thiruvananthapuram,2022,80.44,45.48,22.93,38.2,72.23,40.23,67.63
Manipur,Imphal East,2021,70.62,22.67,50.2,82.61,91.04,87.26,78.76
Andhra Pradesh,Alluri Sitharama Raju,2021,47.59,75.14,25.48,44.84,70.99,73.03,43.95
Kerala,Idukki,2015,22.95,35.2,69.15,75.76,80.9,28.7,25.73
Uttarakhand,Udham Singh Nagar,2016,98.42,32.56,48.12,14.49,29.13,83.86,23.57
Chhattisgarh,Jashpur,2024,10.05,11.3,77.75,62.39,18.01,99.53,35.66
Karnataka,Hassan,2016,24.4,53.74,86.26,45.32,80.3,43.75,47.36
Bihar,Madhubani,2019,85.73,73.86,64.43,19.82,23.11,36.39,55.71
Nagaland,Mon,2025,55.34,51.92,17.13,97.44,37.91,81.89,24.81
Mizoram,Hnahthial,2023,33.08,67.47,45.38,25.16,92.38,38.63,52.68
Rajasthan,Sri Ganganagar,2020,62.17,83.82,83.59,33.06,59.95,42.44,56.65
Telangana,Vikarabad,2019,61.31,61.22,43.21,47.05,61.48,68.9,39.92
Bihar,Katihar,2015,40.81,97.26,56.29,32.86,42.3,34.98,75.63
Assam,Darrang,2025,21.95,75.27,27.56,25.39,23.54,25.71,11.16
Jharkhand,Sahebganj,2017,26.39,11.5,63.8,81.83,81.76,64.05,11.52
Chhattisgarh,Surguja,2022,48.94,87.39,53.84,30.84,90.71,18.22,83.11
Assam,Dima Hasao,2015,62.91,74.81,70.32,21.91,99.47,82.72,10.87
Telangana,Suryapet,2018,65.06,80.43,29.45,30.53,88.87,35.72,22.39
Kerala,Thiruvananthapuram,2023,51.38,70.81,60.22,14.22,27.97,27.53,85.83
Uttar Pradesh,Moradabad,2018,79.58,66.54,85.36,12.92,37.99,63.64,82.75
Telangana,Nirmal,2016,82.01,79.26,92.27,76.61,29.61,89.18,49.03
Uttar Pradesh,Gonda,2021,24.34,98.36,85.9,95.72,96.89,89.76,14.83
Madhya Pradesh,Katni,2024,20.78,43.62,17.56,86.82,23.09,76.63,47.99
Uttar Pradesh,Amethi,2018,48.26,76.91,54.72,86.52,64.49,51.43,89.69
Himachal Pradesh,Bilaspur,2018,51.13,38.84,31.81,95.24,12.56,35.25,54.04
Karnataka,Yadgir,2020,78.46,21.67,32.11,79.04,77.33,74.12,20.42
Tamil Nadu,Tirupathur,2015,41.51,63.12,27.43,14.32,56.1,73.64,68.34
Gujarat,Junagadh,2015,95.48,37.83,49.53,46.64,35.89,50.33,50.07
Uttar Pradesh,Azamgarh,2016,27.61,16.6,67.75,75.03,92.36,37.46,62.24
West Bengal,Malda,2025,75.85,57.95,81.61,97.19,19.0,71.99,26.75
Rajasthan,Karauli,2022,55.68,86.94,73.95,95.6,52.38,17.09,50.82
Arunachal Pradesh,Lower Dibang Valley,2021,30.09,10.21,87.36,54.19,33.22,92.81,12.98
Gujarat,Valsad,2025,23.03,61.12,36.87,96.22,77.75,55.33,62.81
Mizoram,Serchhip,2021,89.57,27.85,71.35,48.01,73.09,35.73,45.55
Telangana,Jogulamba Gadwal,2018,41.91,15.05,58.88,73.55,67.08,51.02,19.81
Uttar Pradesh,Rampur,2025,84.84,16.83,33.86,81.56,70.19,48.38,77.14
Uttar Pradesh,Lakhimpur Kheri,2020,75.44,83.14,54.82,58.55,54.37,11.32,74.34
Odisha,Sundargarh,2016,95.17,37.41,91.08,82.5,56.78,73.21,73.48
Rajasthan,Churu,2018,89.93,53.58,70.49,80.39,39.13,41.74,27.33
Uttar Pradesh,Lalitpur,2019,19.34,78.16,21.96,26.44,20.36,31.19,13.8
Madhya Pradesh,Neemuch,2021,81.82,68.98,72.9,85.91,66.13,66.48,12.1
Meghalaya,East Garo Hills,2015,21.56,58.46,28.58,83.04,60.81,97.3,55.96
Uttar Pradesh,Moradabad,2019,36.18,60.34,67.29,14.42,71.7,95.8,11.36
Arunachal Pradesh,Lohit,2016,38.78,12.99,22.4,19.56,46.53,28.98,59.65
Gujarat,Patan,2025,97.07,26.37,43.91,35.79,21.82,19.56,31.35
Chhattisgarh,Balrampur,2019,80.39,90.21,28.2,70.42,35.68,64.84,97.87
Kerala,Pathanamthitta,2018,67.78,78.4,25.81,80.92,20.88,39.7,51.5
Gujarat,Patan,2020,45.08,45.13,75.43,20.5,39.85,96.04,72.84
Tripura,Dhalai,2017,84.97,75.09,27.99,92.98,78.32,30.08,37.16
Madhya Pradesh,Vidisha,2017,73.16,56.3,39.82,89.45,92.59,91.77,36.66
Jharkhand,East Singhbhum,2016,50.0,93.8,89.69,79.93,65.25,61.98,79.85
Uttar Pradesh,Gautam Buddha Nagar,2025,93.32,42.2,29.42,51.51,21.65,34.47,26.91
Madhya Pradesh,Seoni,2015,87.87,94.78,97.6,23.83,60.23,45.7,17.23
West Bengal,Uttar Dinajpur,2024,69.72,43.12,23.29,63.26,11.32,12.65,76.63
Rajasthan,Khairthal-Tijara,2022,73.99,20.4,57.07,33.58,68.27,31.23,92.76
Andhra Pradesh,Palnadu,2016,46.56,91.96,38.76,63.84,63.32,52.19,80.92
Assam,Morigaon,2022,19.63,94.64,85.48,60.55,18.84,39.26,21.2
Rajasthan,Khairthal-Tijara,2017,19.09,50.59,57.78,36.55,54.27,14.33,23.22
Tamil Nadu,Pudukkottai,2021,64.38,51.09,90.19,17.59,17.4,57.08,84.28
West Bengal,Jalpaiguri,2017,86.68,59.32,69.73,23.97,23.97,29.04,14.54
Sikkim,Pakyong,2021,35.74,44.05,32.49,64.59,83.11,47.04,13.95
Tamil Nadu,Mayiladuthurai,2018,75.99,62.07,42.54,89.02,39.87,90.67,77.13
Bihar,Supaul,2024,77.11,56.96,32.24,83.76,12.38,11.06,66.35
Mizoram,Serchhip,2021,75.95,55.5,53.52,54.9,66.3,73.75,38.45
Madhya Pradesh,Ratlam,2017,25.2,41.13,74.74,99.16,97.97,28.3,27.28
Nagaland,Wokha,2019,73.62,61.36,21.31,80.98,28.72,19.7,41.08
Bihar,Aurangabad,2017,47.18,31.49,38.58,60.9,70.31,50.74,97.56
Meghalaya,East Khasi Hills,2019,18.56,54.08,27.83,88.75,53.07,92.71,33.63
Arunachal Pradesh,Changlang,2016,89.86,61.89,44.05,91.42,88.03,38.18,70.17
Haryana,Hisar,2019,19.89,55.44,54.84,43.87,82.02,49.1,32.39
Uttar Pradesh,Jaunpur,2017,67.98,18.31,44.84,98.93,77.0,65.1,23.71
Punjab,Patiala,2015,43.33,99.22,45.4,20.15,13.04,54.84,16.65
Uttar Pradesh,Gonda,2021,25.95,66.98,75.76,71.82,50.85,44.25,36.48
Madhya Pradesh,Sehore,2022,25.61,15.29,12.33,52.78,29.31,98.55,64.58
Tamil Nadu,Dindigul,2021,80.25,49.26,52.87,67.89,21.39,36.45,84.22
Jharkhand,Dumka,2016,12.23,55.36,22.31,87.9,74.45,46.45,38.28
West Bengal,Purulia,2016,27.59,55.81,33.59,11.11,85.92,16.36,78.39
Bihar,Rohtas,2021,94.58,34.96,29.32,14.32,94.85,44.91,13.46
Chhattisgarh,Narayanpur,2021,58.98,55.22,24.91,42.58,75.13,99.53,41.94
Madhya Pradesh,Panna,2024,81.96,23.97,12.69,86.67,79.57,54.48,66.21
Telangana,Kamareddy,2022,46.57,94.67,70.67,64.2,89.79,82.37,14.77
Telangana,Jayashankar Bhupalpally,2024,77.99,34.25,67.39,57.69,92.89,17.28,67.65
Telangana,Vikarabad,2017,27.27,93.5,37.08,74.86,90.61,11.29,78.9
Nagaland,Phek,2017,89.99,47.18,54.77,56.37,51.49,96.61,61.69
Andhra Pradesh,Parvathipuram Manyam,2017,60.46,47.91,89.62,84.33,94.18,41.95,51.98
Gujarat,Sabarkantha,2024,89.36,75.97,36.72,14.55,38.87,52.71,53.65
Odisha,Sonepur,2021,12.62,12.27,38.98,74.57,59.76,94.85,66.78
Arunachal Pradesh,Lepa Rada,2024,42.49,29.78,77.27,28.14,50.41,96.67,38.05
Meghalaya,South West Khasi Hills,2021,56.09,59.76,48.9,64.49,34.47,69.31,96.2
Gujarat,Panchmahal,2016,79.34,63.12,84.03,69.72,25.12,15.59,98.53
Karnataka,Davanagere,2023,94.78,68.19,23.72,11.98,25.87,49.55,62.93
Tamil Nadu,Dindigul,2023,65.38,71.21,81.22,85.48,88.07,55.28,90.75
Madhya Pradesh,Betul,2024,43.65,86.48,27.59,89.17,32.23,17.23,44.07
Telangana,Mahabubnagar,2024,11.53,28.43,20.63,31.04,91.75,36.24,51.08
West Bengal,Purba Bardhaman,2023,64.78,49.21,76.62,97.83,71.0,40.4,12.46
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2017,71.68,93.7,24.74,24.54,30.45,53.42,64.39
Rajasthan,Bhilwara,2024,69.76,60.24,28.41,14.83,91.66,73.52,34.69
Rajasthan,Udaipur,2024,30.31,12.91,19.17,77.34,54.18,25.71,51.48
Uttar Pradesh,Ballia,2016,74.39,59.5,16.22,20.82,84.89,96.93,43.12
Jharkhand,Sahebganj,2017,69.31,81.09,52.42,49.93,78.77,71.52,52.74
Gujarat,Banaskantha,2025,63.73,55.04,62.07,68.3,54.06,77.97,85.45
Gujarat,Surat,2021,17.77,29.41,32.1,15.34,77.49,67.17,56.67
Assam,Kamrup,2023,55.72,74.7,38.28,46.37,25.61,52.74,42.48
Rajasthan,Jalore,2020,48.99,91.02,54.82,92.54,47.17,25.98,77.68
Chhattisgarh,Durg,2019,46.69,71.8,98.55,18.52,39.79,39.08,33.8
Uttar Pradesh,Jaunpur,2015,45.4,49.37,86.63,29.17,50.83,62.16,97.32
Assam,Jorhat,2016,23.21,79.02,55.85,23.16,46.41,34.87,66.45
Arunachal Pradesh,Lohit,2017,42.01,46.14,22.74,37.31,22.07,67.47,70.39
Gujarat,Surendranagar,2025,53.72,72.99,66.47,32.77,98.44,33.19,11.24
Jharkhand,Giridih,2015,86.03,68.1,74.98,70.41,40.58,85.64,19.9
Bihar,Lakhisarai,2018,20.24,86.47,93.02,13.28,92.77,82.06,74.07
Uttar Pradesh,Bahraich,2018,17.18,78.37,63.99,23.42,31.37,33.2,33.68
Madhya Pradesh,Anuppur,2019,45.63,84.1,88.22,18.54,21.51,60.71,46.5
Haryana,Panipat,2021,26.58,41.75,86.74,62.83,50.5,32.37,93.22
Nagaland,Tuensang,2025,45.86,29.54,59.35,54.35,38.25,51.28,65.42
Kerala,Pathanamthitta,2019,74.04,27.01,78.72,22.07,54.07,75.77,34.55
Arunachal Pradesh,Lepa Rada,2024,15.94,20.2,64.34,43.33,99.93,93.9,30.42
Bihar,Saharsa,2024,15.67,95.5,10.93,15.77,53.47,54.18,95.47
Telangana,Jangaon,2022,12.5,70.45,36.32,16.65,61.48,15.88,95.45
Nagaland,Mokokchung,2022,31.43,78.83,40.91,14.35,55.44,68.39,48.64
Telangana,Jagtial,2018,20.84,59.7,30.05,38.02,63.03,98.49,99.18
Rajasthan,Bhilwara,2015,61.71,61.68,16.94,84.79,81.68,45.39,15.02
Gujarat,Amreli,2024,85.14,41.97,86.0,96.08,56.48,29.4,10.84
Odisha,Mayurbhanj,2023,24.57,61.24,64.61,53.49,47.52,20.63,86.02
Gujarat,Botad,2023,11.54,53.51,21.04,98.98,74.91,59.63,87.85
Maharashtra,Ahmednagar,2019,50.94,28.85,78.41,21.01,90.09,70.15,48.44
Rajasthan,Tonk,2016,57.21,37.89,24.67,19.73,41.83,57.91,20.17
Chhattisgarh,Narayanpur,2019,71.4,63.53,30.96,85.15,35.24,57.85,62.28
Arunachal Pradesh,Lower Dibang Valley,2025,72.02,24.38,34.2,15.94,64.76,35.31,35.85
Uttar Pradesh,Mainpuri,2024,61.93,18.57,62.76,80.08,21.59,43.67,92.55
Rajasthan,Karauli,2021,81.51,94.39,44.47,10.34,65.76,43.33,78.36
Madhya Pradesh,Dhar,2022,15.12,62.7,62.98,32.71,22.96,11.12,88.34
Rajasthan,Udaipur,2022,66.4,85.33,29.87,92.83,98.3,59.81,82.83
Jharkhand,Deoghar,2024,86.39,86.55,93.05,53.66,47.76,34.68,80.03
Uttar Pradesh,Azamgarh,2017,63.52,24.64,70.39,25.96,11.0,87.2,82.7
Uttar Pradesh,Gorakhpur,2025,16.87,99.0,45.74,89.87,65.93,34.97,41.34
Tamil Nadu,Tirunelveli,2022,64.02,80.73,54.77,54.65,83.95,66.76,86.83
Arunachal Pradesh,East Siang,2025,96.22,55.67,61.56,27.36,99.58,13.98,52.09
Odisha,Bargarh,2020,69.77,63.91,40.2,47.91,63.29,74.38,31.75
Assam,Dhubri,2019,94.04,23.07,38.77,34.62,72.58,75.39,20.34
Uttar Pradesh,Azamgarh,2019,22.18,78.1,57.15,33.06,94.38,24.58,35.88
Bihar,Sheohar,2015,75.65,75.05,81.92,63.51,54.71,44.05,55.48
Rajasthan,Neem Ka Thana,2025,64.4,81.11,38.28,54.89,67.8,54.6,68.41
Haryana,Mahendragarh,2018,13.23,85.17,52.76,80.62,79.51,95.46,23.43
Uttar Pradesh,Sitapur,2017,11.17,62.09,45.32,88.6,68.61,20.02,75.09
Odisha,Kendujhar (Keonjhar),2015,92.45,62.08,13.99,57.43,89.9,96.35,60.55
Madhya Pradesh,Hoshangabad (Narmadapuram),2022,11.25,93.42,83.41,44.81,64.63,71.81,30.52
Gujarat,Navsari,2017,29.76,59.15,60.68,87.13,94.29,27.25,78.03
Bihar,Kaimur,2019,43.17,11.25,64.6,58.38,22.03,23.04,52.51
Telangana,Mahabubnagar,2023,26.08,28.02,87.72,80.02,64.47,14.85,97.85
Haryana,Bhiwani,2019,60.25,58.67,32.08,21.37,91.81,21.45,69.31
Uttar Pradesh,Bahraich,2021,50.24,43.61,89.49,89.58,85.85,14.47,61.09
Rajasthan,Jhunjhunu,2024,54.47,45.02,33.31,26.64,90.69,16.98,72.84
Maharashtra,Solapur,2024,95.78,48.78,88.03,62.02,45.95,48.65,75.21
Rajasthan,Jodhpur,2022,39.39,43.8,60.36,63.96,87.73,79.76,55.83
Rajasthan,Neem Ka Thana,2018,30.81,43.86,62.09,84.98,31.96,12.73,54.16
West Bengal,Kalimpong,2017,96.69,45.29,53.03,84.12,11.22,90.62,45.67
Rajasthan,Sanchore,2017,99.06,50.94,71.73,40.06,12.32,38.71,77.25
Chhattisgarh,Baloda Bazar,2017,10.84,91.32,76.76,30.61,38.7,33.3,56.44
Gujarat,Gandhinagar,2018,21.02,81.08,22.42,51.19,45.18,89.22,51.13
Uttar Pradesh,Aligarh,2016,65.63,96.78,57.33,86.79,62.45,68.45,82.32
Telangana,Komaram Bheem Asifabad,2023,27.75,23.62,54.91,69.13,40.4,82.77,52.77
Andhra Pradesh,Guntur,2023,59.7,99.63,74.68,36.45,92.81,98.95,92.73
Uttar Pradesh,Firozabad,2023,79.53,43.08,47.47,62.13,97.77,95.62,75.35
Gujarat,Surat,2016,47.21,21.99,70.43,64.59,26.15,31.25,80.28
Maharashtra,Dhule,2024,68.41,35.55,18.7,80.4,98.44,99.0,27.01
Gujarat,Aravalli,2017,48.29,84.3,10.83,70.94,52.91,50.16,15.51
Chhattisgarh,Mungeli,2016,31.6,68.62,40.82,48.0,86.49,99.2,99.38
