state,district,year,total_crimes,theft_cases,assault_cases,cyber_crime,fraud_cases
Andhra Pradesh,Annamayya,2019,9230,2188,335,152,767
Andhra Pradesh,Annamayya,2020,2518,1314,1130,303,81
Andhra Pradesh,Annamayya,2021,9529,1018,948,404,999
Andhra Pradesh,Annamayya,2022,8794,626,794,174,454
Andhra Pradesh,Annamayya,2023,3859,1676,1015,495,40
Andhra Pradesh,Annamayya,2024,6454,888,1055,85,197
Andhra Pradesh,Annamayya,2025,6744,669,1855,303,261
Andhra Pradesh,Bapatla,2015,4879,2477,1857,302,958
Andhra Pradesh,Bapatla,2016,7844,2279,1803,339,958
Andhra Pradesh,Bapatla,2017,8185,1508,799,85,253
Andhra Pradesh,Bapatla,2018,7748,2512,1206,401,890
Andhra Pradesh,Bapatla,2019,6387,1384,225,210,70
Andhra Pradesh,Bapatla,2020,4848,2744,1744,216,837
Andhra Pradesh,Bapatla,2021,251,1687,470,333,562
Andhra Pradesh,Bapatla,2022,855,642,1928,473,405
Andhra Pradesh,Bapatla,2023,4285,604,1670,13,13
Andhra Pradesh,Bapatla,2024,4517,2603,1772,348,317
Andhra Pradesh,Bapatla,2025,7606,1063,1615,287,886
Andhra Pradesh,Chittoor,2015,4109,94,36,196,426
Andhra Pradesh,Chittoor,2016,3455,2291,653,212,941
Andhra Pradesh,Chittoor,2017,3524,2897,1728,257,315
Andhra Pradesh,Chittoor,2018,8239,2381,1233,216,657
Andhra Pradesh,Chittoor,2019,4115,2391,673,498,45
Andhra Pradesh,Chittoor,2020,8767,2112,516,252,96
Andhra Pradesh,Chittoor,2021,1625,1202,839,373,672
Andhra Pradesh,Chittoor,2022,1179,44,438,194,106
Andhra Pradesh,Chittoor,2023,9127,1437,1740,246,781
Andhra Pradesh,Chittoor,2024,968,1581,1120,146,477
Andhra Pradesh,Chittoor,2025,9247,1678,1021,29,888
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,6730,527,1981,453,431
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2016,9323,1366,905,494,766
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2017,5217,106,529,366,714
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2018,7596,1118,425,35,745
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2019,1315,2036,964,49,729
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2020,8885,1076,643,312,33
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2021,5370,2058,230,188,423
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,8597,2155,683,369,968
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2023,4348,1050,1363,210,243
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2024,2434,480,1456,93,327
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2025,4760,629,1470,297,905
Andhra Pradesh,East Godavari,2015,8947,1676,1468,303,547
Andhra Pradesh,East Godavari,2016,458,2120,553,222,590
Andhra Pradesh,East Godavari,2017,8392,2741,677,458,955
Andhra Pradesh,East Godavari,2018,3697,652,1273,182,968
Andhra Pradesh,East Godavari,2019,6868,598,1675,281,173
Andhra Pradesh,East Godavari,2020,2082,518,1742,14,850
Andhra Pradesh,East Godavari,2021,771,357,1524,230,600
Andhra Pradesh,East Godavari,2022,4659,2901,1178,106,924
Andhra Pradesh,East Godavari,2023,2118,363,460,218,387
Andhra Pradesh,East Godavari,2024,8455,572,1383,374,146
Andhra Pradesh,East Godavari,2025,515,2236,1544,464,326
Andhra Pradesh,Eluru,2015,8235,101,1116,90,956
Andhra Pradesh,Eluru,2016,4802,1010,750,97,730
Andhra Pradesh,Eluru,2017,2823,2966,1201,491,308
Andhra Pradesh,Eluru,2018,5742,121,1380,24,481
Andhra Pradesh,Eluru,2019,7090,2102,1542,435,710
Andhra Pradesh,Eluru,2020,6840,708,619,225,155
Andhra Pradesh,Eluru,2021,4739,2201,826,447,784
Andhra Pradesh,Eluru,2022,7340,2711,129,96,432
Andhra Pradesh,Eluru,2023,8372,2272,570,305,518
Andhra Pradesh,Eluru,2024,3321,2383,949,365,108
Andhra Pradesh,Eluru,2025,9370,2304,1370,337,637
Andhra Pradesh,Guntur,2015,7181,820,416,107,694
Andhra Pradesh,Guntur,2016,7979,1543,721,404,792
Andhra Pradesh,Guntur,2017,1879,720,903,187,403
Andhra Pradesh,Guntur,2018,7618,710,841,329,647
Andhra Pradesh,Guntur,2019,5098,340,1914,238,522
Andhra Pradesh,Guntur,2020,1032,1112,1827,447,406
Andhra Pradesh,Guntur,2021,6269,611,528,356,740
Andhra Pradesh,Guntur,2022,5044,2946,1742,142,235
Andhra Pradesh,Guntur,2023,7609,159,1567,286,55
Andhra Pradesh,Guntur,2024,1348,82,1786,56,174
Andhra Pradesh,Guntur,2025,1102,2136,246,227,802
Andhra Pradesh,Kakinada,2015,4141,2832,1343,206,539
Andhra Pradesh,Kakinada,2016,2282,522,183,259,85
Andhra Pradesh,Kakinada,2017,4063,313,1124,492,757
Andhra Pradesh,Kakinada,2018,4029,1562,108,242,468
Andhra Pradesh,Kakinada,2019,6312,809,212,310,833
Andhra Pradesh,Kakinada,2020,4427,996,1291,324,366
Andhra Pradesh,Kakinada,2021,5508,621,1447,304,384
Andhra Pradesh,Kakinada,2022,5310,2666,1089,247,260
Andhra Pradesh,Kakinada,2023,2779,1368,1729,306,468
Andhra Pradesh,Kakinada,2024,5802,2273,853,48,277
Andhra Pradesh,Kakinada,2025,5626,1363,1369,301,36
Andhra Pradesh,Krishna,2015,4090,1203,1883,229,909
Andhra Pradesh,Krishna,2016,4771,1515,1402,342,64
Andhra Pradesh,Krishna,2017,4668,148,1655,197,462
Andhra Pradesh,Krishna,2018,1006,852,1770,252,881
Andhra Pradesh,Krishna,2019,4147,809,213,250,557
Andhra Pradesh,Krishna,2020,5971,2423,104,417,592
Andhra Pradesh,Krishna,2021,4321,2007,1503,360,440
Andhra Pradesh,Krishna,2022,9897,900,1892,396,21
Andhra Pradesh,Krishna,2023,5102,2800,738,135,696
Andhra Pradesh,Krishna,2024,9688,187,1427,348,988
Andhra Pradesh,Krishna,2025,9238,1406,1837,481,767
Andhra Pradesh,Kurnool,2015,1393,1695,463,391,262
Andhra Pradesh,Kurnool,2016,2020,868,1374,123,525
Andhra Pradesh,Kurnool,2017,2731,612,196,311,319
Andhra Pradesh,Kurnool,2018,7667,1858,1209,464,140
Andhra Pradesh,Kurnool,2019,5455,562,1649,339,486
Andhra Pradesh,Kurnool,2020,1381,1394,771,226,676
Andhra Pradesh,Kurnool,2021,4303,1437,1698,494,953
Andhra Pradesh,Kurnool,2022,1327,217,1185,46,851
Andhra Pradesh,Kurnool,2023,6193,2574,1078,76,760
Andhra Pradesh,Kurnool,2024,1883,2383,1456,128,942
Andhra Pradesh,Kurnool,2025,8981,210,398,59,905
Andhra Pradesh,Nandyal,2015,8136,2820,262,141,581
Andhra Pradesh,Nandyal,2016,7784,2419,1632,375,632
Andhra Pradesh,Nandyal,2017,5737,2600,433,141,554
Andhra Pradesh,Nandyal,2018,215,2207,1793,439,661
Andhra Pradesh,Nandyal,2019,1779,1844,1263,208,145
Andhra Pradesh,Nandyal,2020,2288,1614,1607,329,506
Andhra Pradesh,Nandyal,2021,9228,2871,1963,86,787
Andhra Pradesh,Nandyal,2022,6793,1727,622,255,235
Andhra Pradesh,Nandyal,2023,9475,2622,530,332,296
Andhra Pradesh,Nandyal,2024,391,1211,1108,76,956
Andhra Pradesh,Nandyal,2025,5296,822,1517,493,698
Andhra Pradesh,NTR,2015,8466,593,260,261,660
Andhra Pradesh,NTR,2016,2802,2653,1314,373,397
Andhra Pradesh,NTR,2017,3510,2890,318,82,668
Andhra Pradesh,NTR,2018,4599,2480,1841,166,629
Andhra Pradesh,NTR,2019,2596,2829,512,254,925
Andhra Pradesh,NTR,2020,3811,2475,496,219,923
Andhra Pradesh,NTR,2021,7006,2334,209,402,379
Andhra Pradesh,NTR,2022,8110,208,590,241,576
Andhra Pradesh,NTR,2023,4173,933,1299,285,878
Andhra Pradesh,NTR,2024,5976,2611,1241,62,588
Andhra Pradesh,NTR,2025,4700,2563,1939,79,939
Andhra Pradesh,Palnadu,2015,745,1380,23,418,636
Andhra Pradesh,Palnadu,2016,9794,2869,309,347,921
Andhra Pradesh,Palnadu,2017,2847,2998,1893,239,212
Andhra Pradesh,Palnadu,2018,5319,566,1655,456,164
Andhra Pradesh,Palnadu,2019,2665,1642,1591,439,585
Andhra Pradesh,Palnadu,2020,3710,2988,534,289,92
Andhra Pradesh,Palnadu,2021,564,1718,1740,496,105
Andhra Pradesh,Palnadu,2022,4723,1899,993,451,681
Andhra Pradesh,Palnadu,2023,4815,2176,1615,83,630
Andhra Pradesh,Palnadu,2024,3257,2613,522,37,401
Andhra Pradesh,Palnadu,2025,2480,602,1663,270,18
Andhra Pradesh,Parvathipuram Manyam,2015,2115,1198,1448,285,831
Andhra Pradesh,Parvathipuram Manyam,2016,2206,1835,1640,281,909
Andhra Pradesh,Parvathipuram Manyam,2017,745,2399,1754,204,1000
Andhra Pradesh,Parvathipuram Manyam,2018,6651,2786,745,322,343
Andhra Pradesh,Parvathipuram Manyam,2019,4654,62,1900,221,461
Andhra Pradesh,Parvathipuram Manyam,2020,2889,329,385,316,458
Andhra Pradesh,Parvathipuram Manyam,2021,3666,1555,676,335,957
Andhra Pradesh,Parvathipuram Manyam,2022,2410,2400,1287,200,596
Andhra Pradesh,Parvathipuram Manyam,2023,4429,2802,1787,380,845
Andhra Pradesh,Parvathipuram Manyam,2024,9909,1792,1170,226,643
Andhra Pradesh,Parvathipuram Manyam,2025,4980,2220,1771,99,287
Andhra Pradesh,Prakasam,2015,3237,260,586,358,267
Andhra Pradesh,Prakasam,2016,8734,363,197,275,574
Andhra Pradesh,Prakasam,2017,4630,931,1117,420,378
Andhra Pradesh,Prakasam,2018,1097,1717,380,392,280
Andhra Pradesh,Prakasam,2019,5048,2628,1632,101,526
Andhra Pradesh,Prakasam,2020,637,2009,1305,184,21
Andhra Pradesh,Prakasam,2021,4316,1434,1028,383,405
Andhra Pradesh,Prakasam,2022,8060,1589,691,464,809
Andhra Pradesh,Prakasam,2023,9459,1548,596,67,827
Andhra Pradesh,Prakasam,2024,7463,1654,197,473,190
Andhra Pradesh,Prakasam,2025,9970,573,294,103,541
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,706,2106,1660,80,493
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,2594,147,1800,263,889
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,4072,2589,1824,285,250
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,6055,2796,385,22,68
Andhra Pradesh,Sri Potti Sriramulu Nellore,2019,139,2608,774,246,734
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,8090,1081,1766,186,156
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,7512,2948,1083,258,507
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,2667,1554,1873,252,734
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,284,1241,75,448,811
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,4030,883,41,339,103
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,2667,1739,520,305,388
Andhra Pradesh,Sri Sathya Sai,2015,7521,2773,415,236,335
Andhra Pradesh,Sri Sathya Sai,2016,2647,64,1254,73,525
Andhra Pradesh,Sri Sathya Sai,2017,3615,71,572,207,62
Andhra Pradesh,Sri Sathya Sai,2018,7304,582,516,279,252
Andhra Pradesh,Sri Sathya Sai,2019,8854,1726,818,336,323
Andhra Pradesh,Sri Sathya Sai,2020,8816,1323,1348,124,146
Andhra Pradesh,Sri Sathya Sai,2021,3471,2486,1583,258,581
Andhra Pradesh,Sri Sathya Sai,2022,2102,1437,17,304,533
Andhra Pradesh,Sri Sathya Sai,2023,1779,2873,1880,266,389
Andhra Pradesh,Sri Sathya Sai,2024,1710,2782,1833,440,251
Andhra Pradesh,Sri Sathya Sai,2025,9125,700,1307,44,668
Andhra Pradesh,Srikakulam,2015,3092,1092,1437,241,559
Andhra Pradesh,Srikakulam,2016,5078,993,629,262,266
Andhra Pradesh,Srikakulam,2017,3742,591,1193,361,576
Andhra Pradesh,Srikakulam,2018,7383,2445,863,295,885
Andhra Pradesh,Srikakulam,2019,2237,2158,1619,91,989
Andhra Pradesh,Srikakulam,2020,2665,1189,1689,114,384
Andhra Pradesh,Srikakulam,2021,7578,2213,539,232,47
Andhra Pradesh,Srikakulam,2022,1953,2210,1299,38,896
Andhra Pradesh,Srikakulam,2023,5441,900,466,318,773
Andhra Pradesh,Srikakulam,2024,4782,1766,1445,460,352
Andhra Pradesh,Srikakulam,2025,8968,216,73,223,346
Andhra Pradesh,Tirupati,2015,9448,299,484,150,440
Andhra Pradesh,Tirupati,2016,9043,1769,31,465,981
Andhra Pradesh,Tirupati,2017,5066,406,387,378,993
Andhra Pradesh,Tirupati,2018,8985,142,342,70,220
Andhra Pradesh,Tirupati,2019,4109,1067,45,32,832
Andhra Pradesh,Tirupati,2020,8686,126,39,432,718
Andhra Pradesh,Tirupati,2021,8024,892,1820,42,849
Andhra Pradesh,Tirupati,2022,4644,1891,1663,87,31
Andhra Pradesh,Tirupati,2023,8705,1821,1762,260,927
Andhra Pradesh,Tirupati,2024,9965,87,834,261,660
Andhra Pradesh,Tirupati,2025,7656,64,1760,332,146
Andhra Pradesh,Visakhapatnam,2015,8692,2155,743,261,467
Andhra Pradesh,Visakhapatnam,2016,528,2478,304,327,689
Andhra Pradesh,Visakhapatnam,2017,2010,910,765,140,340
Andhra Pradesh,Visakhapatnam,2018,7746,1398,1272,202,446
Andhra Pradesh,Visakhapatnam,2019,9062,2755,1729,399,400
Andhra Pradesh,Visakhapatnam,2020,6920,2484,725,135,16
Andhra Pradesh,Visakhapatnam,2021,9887,937,1764,154,741
Andhra Pradesh,Visakhapatnam,2022,2343,334,1824,453,926
Andhra Pradesh,Visakhapatnam,2023,906,79,1905,26,520
Andhra Pradesh,Visakhapatnam,2024,116,2622,1497,401,788
Andhra Pradesh,Visakhapatnam,2025,877,2683,1679,361,627
Andhra Pradesh,Vizianagaram,2015,345,2989,1917,309,804
Andhra Pradesh,Vizianagaram,2016,6629,2142,845,443,394
Andhra Pradesh,Vizianagaram,2017,866,332,1519,401,16
Andhra Pradesh,Vizianagaram,2018,7174,1024,200,142,643
Andhra Pradesh,Vizianagaram,2019,5951,55,1273,337,19
Andhra Pradesh,Vizianagaram,2020,5534,2465,1259,16,699
Andhra Pradesh,Vizianagaram,2021,9844,1304,260,26,612
Andhra Pradesh,Vizianagaram,2022,6986,2472,1119,107,268
Andhra Pradesh,Vizianagaram,2023,4018,2546,429,481,805
Andhra Pradesh,Vizianagaram,2024,5337,674,1621,137,459
Andhra Pradesh,Vizianagaram,2025,5006,214,1402,72,10
Andhra Pradesh,West Godavari,2015,6902,2750,1244,490,227
Andhra Pradesh,West Godavari,2016,7336,176,1055,51,199
Andhra Pradesh,West Godavari,2017,6277,1667,138,181,901
Andhra Pradesh,West Godavari,2018,9594,2478,408,26,809
Andhra Pradesh,West Godavari,2019,9555,169,1980,223,458
Andhra Pradesh,West Godavari,2020,5166,1215,862,343,414
Andhra Pradesh,West Godavari,2021,7916,181,687,189,345
Andhra Pradesh,West Godavari,2022,5449,1686,81,48,641
Andhra Pradesh,West Godavari,2023,9827,326,687,287,349
Andhra Pradesh,West Godavari,2024,8706,2380,686,176,557
Andhra Pradesh,West Godavari,2025,3935,528,839,473,40
Andhra Pradesh,YSR Kadapa,2015,5263,344,1996,145,743
Andhra Pradesh,YSR Kadapa,2016,5898,2925,433,417,797
Andhra Pradesh,YSR Kadapa,2017,1146,2718,277,376,24
Andhra Pradesh,YSR Kadapa,2018,8193,559,537,304,244
Andhra Pradesh,YSR Kadapa,2019,9661,2643,817,484,286
Andhra Pradesh,YSR Kadapa,2020,1101,1419,1594,142,983
Andhra Pradesh,YSR Kadapa,2021,4747,2718,49,389,603
Andhra Pradesh,YSR Kadapa,2022,374,1693,1845,196,802
Andhra Pradesh,YSR Kadapa,2023,6576,2560,576,291,837
Andhra Pradesh,YSR Kadapa,2024,9144,1517,1666,265,196
Andhra Pradesh,YSR Kadapa,2025,869,2637,1054,444,786
Arunachal Pradesh,Tawang,2015,5200,1555,556,481,942
Arunachal Pradesh,Tawang,2016,3434,2704,709,82,136
Arunachal Pradesh,Tawang,2017,3100,1619,313,139,547
Arunachal Pradesh,Tawang,2018,605,1653,1454,237,604
Arunachal Pradesh,Tawang,2019,6938,698,1565,178,621
Arunachal Pradesh,Tawang,2020,1441,2915,308,263,122
Arunachal Pradesh,Tawang,2021,1754,1196,571,83,695
Arunachal Pradesh,Tawang,2022,5298,1994,278,92,67
Arunachal Pradesh,Tawang,2023,5319,1838,1454,110,847
Arunachal Pradesh,Tawang,2024,4236,1498,1136,59,946
Arunachal Pradesh,Tawang,2025,6889,87,959,62,54
Arunachal Pradesh,West Kameng,2015,1668,1317,479,476,365
Arunachal Pradesh,West Kameng,2016,5191,2134,1821,147,745
Arunachal Pradesh,West Kameng,2017,8381,2442,1182,255,201
Arunachal Pradesh,West Kameng,2018,4127,1394,1095,233,152
Arunachal Pradesh,West Kameng,2019,422,1204,373,190,839
Arunachal Pradesh,West Kameng,2020,7882,316,1958,331,962
Arunachal Pradesh,West Kameng,2021,6961,1652,1582,162,853
Arunachal Pradesh,West Kameng,2022,4002,2151,1675,429,372
Arunachal Pradesh,West Kameng,2023,2909,1095,1666,388,289
Arunachal Pradesh,West Kameng,2024,6445,1112,526,284,58
Arunachal Pradesh,West Kameng,2025,4218,2708,748,143,238
Arunachal Pradesh,East Kameng,2015,2992,1802,422,492,628
Arunachal Pradesh,East Kameng,2016,3829,222,664,340,405
Arunachal Pradesh,East Kameng,2017,3164,1390,1454,433,164
Arunachal Pradesh,East Kameng,2018,4218,1042,1623,34,258
Arunachal Pradesh,East Kameng,2019,3617,603,1606,112,247
Arunachal Pradesh,East Kameng,2020,3931,711,1088,214,701
Arunachal Pradesh,East Kameng,2021,3110,2691,33,362,989
Arunachal Pradesh,East Kameng,2022,9455,1562,113,469,649
Arunachal Pradesh,East Kameng,2023,6214,1811,378,377,791
Arunachal Pradesh,East Kameng,2024,3501,222,104,397,265
Arunachal Pradesh,East Kameng,2025,9904,1415,1851,317,393
Arunachal Pradesh,Papum Pare,2015,3425,2423,1727,438,968
Arunachal Pradesh,Papum Pare,2016,6720,2929,1391,365,961
Arunachal Pradesh,Papum Pare,2017,3206,2710,1986,297,74
Arunachal Pradesh,Papum Pare,2018,2112,2692,1339,392,59
Arunachal Pradesh,Papum Pare,2019,2808,2729,1333,368,677
Arunachal Pradesh,Papum Pare,2020,9972,2484,1391,95,666
Arunachal Pradesh,Papum Pare,2021,8496,2803,1944,162,358
Arunachal Pradesh,Papum Pare,2022,529,120,422,468,746
Arunachal Pradesh,Papum Pare,2023,7896,1989,1869,29,74
Arunachal Pradesh,Papum Pare,2024,8076,908,1293,160,946
Arunachal Pradesh,Papum Pare,2025,4542,129,1329,438,811
Arunachal Pradesh,Kurung Kumey,2015,8482,2251,1755,112,366
Arunachal Pradesh,Kurung Kumey,2016,8128,2493,532,126,320
Arunachal Pradesh,Kurung Kumey,2017,5467,402,1199,348,896
Arunachal Pradesh,Kurung Kumey,2018,1635,919,1216,384,210
Arunachal Pradesh,Kurung Kumey,2019,2292,2945,566,306,832
Arunachal Pradesh,Kurung Kumey,2020,7662,790,1123,278,296
Arunachal Pradesh,Kurung Kumey,2021,2224,2431,1371,212,476
Arunachal Pradesh,Kurung Kumey,2022,3369,2010,1173,383,277
Arunachal Pradesh,Kurung Kumey,2023,6411,2860,540,449,336
Arunachal Pradesh,Kurung Kumey,2024,2188,2380,1623,146,46
Arunachal Pradesh,Kurung Kumey,2025,9004,1599,1972,405,325
Arunachal Pradesh,Kra Daadi,2015,6777,2868,58,100,113
Arunachal Pradesh,Kra Daadi,2016,3363,175,1824,246,811
Arunachal Pradesh,Kra Daadi,2017,7687,1620,393,356,308
Arunachal Pradesh,Kra Daadi,2018,8884,1207,955,244,885
Arunachal Pradesh,Kra Daadi,2019,2999,2447,404,381,827
Arunachal Pradesh,Kra Daadi,2020,1359,1357,1154,217,711
Arunachal Pradesh,Kra Daadi,2021,7830,2809,1644,268,445
Arunachal Pradesh,Kra Daadi,2022,8442,268,213,488,249
Arunachal Pradesh,Kra Daadi,2023,6784,1657,1313,27,858
Arunachal Pradesh,Kra Daadi,2024,8114,874,1574,113,982
Arunachal Pradesh,Kra Daadi,2025,9605,2725,68,193,641
Arunachal Pradesh,Lower Subansiri,2015,7057,1946,1422,180,342
Arunachal Pradesh,Lower Subansiri,2016,8250,288,1671,205,54
Arunachal Pradesh,Lower Subansiri,2017,9088,2762,1687,308,379
Arunachal Pradesh,Lower Subansiri,2018,1375,1332,1317,82,987
Arunachal Pradesh,Lower Subansiri,2019,5351,2623,310,461,157
Arunachal Pradesh,Lower Subansiri,2020,7785,2580,1655,190,941
Arunachal Pradesh,Lower Subansiri,2021,1897,1293,1582,466,805
Arunachal Pradesh,Lower Subansiri,2022,2536,2533,1133,147,649
Arunachal Pradesh,Lower Subansiri,2023,9220,370,1382,80,228
Arunachal Pradesh,Lower Subansiri,2024,8279,2167,1604,187,694
Arunachal Pradesh,Lower Subansiri,2025,7809,385,1575,272,846
Arunachal Pradesh,Upper Subansiri,2015,9621,2963,1150,123,794
Arunachal Pradesh,Upper Subansiri,2016,5342,2465,1853,328,735
Arunachal Pradesh,Upper Subansiri,2017,8654,1818,353,496,511
Arunachal Pradesh,Upper Subansiri,2018,4693,1170,1526,367,523
Arunachal Pradesh,Upper Subansiri,2019,1515,1771,541,411,781
Arunachal Pradesh,Upper Subansiri,2020,7551,544,497,18,336
Arunachal Pradesh,Upper Subansiri,2021,415,2007,342,489,587
Arunachal Pradesh,Upper Subansiri,2022,8956,2720,1997,236,656
Arunachal Pradesh,Upper Subansiri,2023,6764,2077,1550,244,400
Arunachal Pradesh,Upper Subansiri,2024,1470,218,31,185,816
Arunachal Pradesh,Upper Subansiri,2025,7080,2776,915,167,48
Arunachal Pradesh,West Siang,2015,3693,707,1896,340,935
Arunachal Pradesh,West Siang,2016,8694,2370,1710,416,863
Arunachal Pradesh,West Siang,2017,1945,731,11,405,997
Arunachal Pradesh,West Siang,2018,7563,2437,302,490,622
Arunachal Pradesh,West Siang,2019,2512,2770,1372,401,459
Arunachal Pradesh,West Siang,2020,2900,1833,1875,310,670
Arunachal Pradesh,West Siang,2021,2941,2550,816,267,749
Arunachal Pradesh,West Siang,2022,7696,1088,331,287,448
Arunachal Pradesh,West Siang,2023,6621,1716,338,219,40
Arunachal Pradesh,West Siang,2024,2314,467,786,93,411
Arunachal Pradesh,West Siang,2025,9888,1863,392,472,586
Arunachal Pradesh,East Siang,2015,3645,2027,1820,424,220
Arunachal Pradesh,East Siang,2016,8214,969,656,393,870
Arunachal Pradesh,East Siang,2017,9937,1546,312,270,476
Arunachal Pradesh,East Siang,2018,268,1704,738,413,359
Arunachal Pradesh,East Siang,2019,9785,2917,119,418,383
Arunachal Pradesh,East Siang,2020,6724,2521,1003,364,332
Arunachal Pradesh,East Siang,2021,4291,611,1375,125,286
Arunachal Pradesh,East Siang,2022,7894,575,1210,256,97
Arunachal Pradesh,East Siang,2023,8271,2624,1962,155,234
Arunachal Pradesh,East Siang,2024,981,2183,1368,100,29
Arunachal Pradesh,East Siang,2025,8304,2946,1177,102,284
Arunachal Pradesh,Siang,2015,2276,2710,1746,463,942
Arunachal Pradesh,Siang,2016,9815,1390,1437,78,663
Arunachal Pradesh,Siang,2017,9681,1778,566,56,169
Arunachal Pradesh,Siang,2018,9510,707,141,72,375
Arunachal Pradesh,Siang,2019,4761,855,1232,171,426
Arunachal Pradesh,Siang,2020,3991,1939,1503,297,280
Arunachal Pradesh,Siang,2021,8057,1386,127,487,562
Arunachal Pradesh,Siang,2022,1299,540,780,430,959
Arunachal Pradesh,Siang,2023,1926,1386,579,302,746
Arunachal Pradesh,Siang,2024,7667,205,1584,198,882
Arunachal Pradesh,Siang,2025,9664,2156,1051,7,86
Arunachal Pradesh,Upper Siang,2015,8180,2014,120,412,60
Arunachal Pradesh,Upper Siang,2016,5833,445,1443,76,526
Arunachal Pradesh,Upper Siang,2017,4585,1140,48,284,617
Arunachal Pradesh,Upper Siang,2018,1147,2154,392,467,179
Arunachal Pradesh,Upper Siang,2019,9939,1680,410,62,506
Arunachal Pradesh,Upper Siang,2020,6260,891,71,498,62
Arunachal Pradesh,Upper Siang,2021,9415,1766,12,38,99
Arunachal Pradesh,Upper Siang,2022,4938,431,505,337,897
Arunachal Pradesh,Upper Siang,2023,9146,1634,1308,202,56
Arunachal Pradesh,Upper Siang,2024,9901,2204,370,392,422
Arunachal Pradesh,Upper Siang,2025,683,2572,389,50,755
Arunachal Pradesh,Lower Siang,2015,8912,710,1671,117,881
Arunachal Pradesh,Lower Siang,2016,129,1711,826,366,198
Arunachal Pradesh,Lower Siang,2017,415,700,969,193,755
Arunachal Pradesh,Lower Siang,2018,4758,2028,1698,225,686
