state,district,year,houses_built,smart_city_projects,water_supply_coverage,internet_penetration_percent,public_transport_projects
Andhra Pradesh,Annamayya,2020,95252,45,68.39,32.03,20
Andhra Pradesh,Annamayya,2021,108746,19,67.63,43.88,16
Andhra Pradesh,Annamayya,2022,133106,48,66.5,74.53,27
Andhra Pradesh,Annamayya,2023,31395,50,61.14,73.42,13
Andhra Pradesh,Annamayya,2024,164317,48,88.51,79.36,26
Andhra Pradesh,Annamayya,2025,104088,6,80.29,93.85,6
Andhra Pradesh,Bapatla,2015,170390,39,65.26,80.91,19
Andhra Pradesh,Bapatla,2016,56084,4,81.66,83.42,23
Andhra Pradesh,Bapatla,2017,161900,12,83.83,90.11,30
Andhra Pradesh,Bapatla,2018,76223,12,55.37,75.63,9
Andhra Pradesh,Bapatla,2019,159736,49,47.9,74.71,10
Andhra Pradesh,Bapatla,2020,98312,17,62.02,88.21,24
Andhra Pradesh,Bapatla,2021,150879,0,81.7,48.4,25
Andhra Pradesh,Bapatla,2022,133729,9,45.78,69.73,25
Andhra Pradesh,Bapatla,2023,143207,37,71.59,41.8,19
Andhra Pradesh,Bapatla,2024,137743,47,64.13,55.61,5
Andhra Pradesh,Bapatla,2025,108662,27,52.74,89.81,29
Andhra Pradesh,Chittoor,2015,183373,27,73.19,58.06,4
Andhra Pradesh,Chittoor,2016,75407,6,45.9,81.72,28
Andhra Pradesh,Chittoor,2017,97259,13,71.31,65.66,23
Andhra Pradesh,Chittoor,2018,18868,21,45.5,34.62,14
Andhra Pradesh,Chittoor,2019,195468,22,63.71,88.14,20
Andhra Pradesh,Chittoor,2020,83080,38,87.85,31.17,23
Andhra Pradesh,Chittoor,2021,59623,19,41.65,84.94,14
Andhra Pradesh,Chittoor,2022,20339,36,97.57,33.47,27
Andhra Pradesh,Chittoor,2023,36412,3,78.03,48.41,20
Andhra Pradesh,Chittoor,2024,36356,31,98.99,46.38,21
Andhra Pradesh,Chittoor,2025,25660,4,63.24,68.77,4
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,4190,24,41.1,87.34,17
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2016,15984,45,58.44,62.87,6
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2017,198320,34,63.17,47.78,22
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2018,68814,31,97.8,34.39,16
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2019,95640,38,87.85,68.76,0
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2020,30088,8,66.71,85.62,7
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2021,180963,15,43.17,79.2,5
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,152631,42,75.48,67.94,1
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2023,55331,33,90.62,41.14,29
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2024,8699,21,41.41,89.02,3
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2025,181171,25,51.98,74.59,9
Andhra Pradesh,East Godavari,2015,121332,48,42.92,72.2,25
Andhra Pradesh,East Godavari,2016,44845,29,75.29,62.43,8
Andhra Pradesh,East Godavari,2017,10556,16,89.89,71.95,23
Andhra Pradesh,East Godavari,2018,730,12,66.6,69.43,1
Andhra Pradesh,East Godavari,2019,185239,26,57.87,63.52,25
Andhra Pradesh,East Godavari,2020,46767,42,73.89,55.13,10
Andhra Pradesh,East Godavari,2021,69461,25,87.3,89.3,11
Andhra Pradesh,East Godavari,2022,137568,48,52.47,79.49,17
Andhra Pradesh,East Godavari,2023,103889,27,88.5,32.44,28
Andhra Pradesh,East Godavari,2024,151638,9,68.65,54.55,3
Andhra Pradesh,East Godavari,2025,43515,23,99.36,61.2,12
Andhra Pradesh,Eluru,2015,181987,34,78.87,77.33,3
Andhra Pradesh,Eluru,2016,141003,39,48.56,42.03,23
Andhra Pradesh,Eluru,2017,198377,1,81.08,38.59,15
Andhra Pradesh,Eluru,2018,118849,25,66.45,91.14,0
Andhra Pradesh,Eluru,2019,91938,34,42.89,39.79,23
Andhra Pradesh,Eluru,2020,158188,17,52.85,81.07,2
Andhra Pradesh,Eluru,2021,44254,37,89.39,82.19,16
Andhra Pradesh,Eluru,2022,96520,48,51.13,33.31,28
Andhra Pradesh,Eluru,2023,194836,5,69.98,85.17,24
Andhra Pradesh,Eluru,2024,29744,9,65.63,82.14,25
Andhra Pradesh,Eluru,2025,8295,42,78.95,51.56,22
Andhra Pradesh,Guntur,2015,190646,13,98.81,36.16,27
Andhra Pradesh,Guntur,2016,190034,8,77.17,46.58,22
Andhra Pradesh,Guntur,2017,16599,8,86.16,82.18,11
Andhra Pradesh,Guntur,2018,26568,19,56.54,35.45,18
Andhra Pradesh,Guntur,2019,82632,37,66.08,69.45,15
Andhra Pradesh,Guntur,2020,68199,31,42.32,46.95,19
Andhra Pradesh,Guntur,2021,169348,44,88.83,50.36,10
Andhra Pradesh,Guntur,2022,183213,41,52.49,64.59,2
Andhra Pradesh,Guntur,2023,183948,40,57.38,58.9,26
Andhra Pradesh,Guntur,2024,129477,9,49.07,73.8,24
Andhra Pradesh,Guntur,2025,79059,30,74.52,92.12,7
Andhra Pradesh,Kakinada,2015,97227,33,91.36,63.77,19
Andhra Pradesh,Kakinada,2016,171469,15,96.11,38.34,6
Andhra Pradesh,Kakinada,2017,166954,20,93.45,69.6,21
Andhra Pradesh,Kakinada,2018,67567,37,56.79,86.0,16
Andhra Pradesh,Kakinada,2019,72634,40,90.81,75.66,5
Andhra Pradesh,Kakinada,2020,160289,23,61.77,53.81,15
Andhra Pradesh,Kakinada,2021,132125,1,78.58,43.04,29
Andhra Pradesh,Kakinada,2022,149265,4,48.56,70.23,2
Andhra Pradesh,Kakinada,2023,171990,19,70.92,66.64,12
Andhra Pradesh,Kakinada,2024,146509,2,79.61,65.42,20
Andhra Pradesh,Kakinada,2025,68889,32,89.8,89.62,23
Andhra Pradesh,Krishna,2015,111264,16,52.65,44.97,3
Andhra Pradesh,Krishna,2016,57534,33,60.85,47.13,13
Andhra Pradesh,Krishna,2017,69215,23,64.88,74.6,11
Andhra Pradesh,Krishna,2018,185832,48,67.36,58.35,20
Andhra Pradesh,Krishna,2019,72838,17,59.16,82.35,12
Andhra Pradesh,Krishna,2020,190026,49,68.26,83.78,16
Andhra Pradesh,Krishna,2021,136391,6,77.48,56.66,28
Andhra Pradesh,Krishna,2022,146853,19,78.68,46.69,4
Andhra Pradesh,Krishna,2023,124237,46,82.35,47.73,20
Andhra Pradesh,Krishna,2024,76068,11,43.21,75.67,1
Andhra Pradesh,Krishna,2025,149515,12,99.91,83.01,4
Andhra Pradesh,Kurnool,2015,197472,19,89.99,49.7,18
Andhra Pradesh,Kurnool,2016,17713,29,81.06,81.82,21
Andhra Pradesh,Kurnool,2017,49839,47,86.7,65.94,28
Andhra Pradesh,Kurnool,2018,95488,15,91.63,57.01,7
Andhra Pradesh,Kurnool,2019,1399,6,92.93,72.85,6
Andhra Pradesh,Kurnool,2020,150622,2,84.24,90.76,6
Andhra Pradesh,Kurnool,2021,74055,41,85.88,43.53,0
Andhra Pradesh,Kurnool,2022,30219,25,86.9,93.48,11
Andhra Pradesh,Kurnool,2023,21804,33,98.54,54.13,14
Andhra Pradesh,Kurnool,2024,185473,12,79.44,31.0,22
Andhra Pradesh,Kurnool,2025,181644,36,77.72,79.91,11
Andhra Pradesh,Nandyal,2015,36500,3,49.89,82.8,20
Andhra Pradesh,Nandyal,2016,197005,4,49.22,64.76,29
Andhra Pradesh,Nandyal,2017,115674,28,50.64,43.15,19
Andhra Pradesh,Nandyal,2018,66529,2,69.1,48.01,3
Andhra Pradesh,Nandyal,2019,103381,48,68.92,69.34,7
Andhra Pradesh,Nandyal,2020,26258,28,85.62,77.7,18
Andhra Pradesh,Nandyal,2021,118013,24,83.32,72.24,1
Andhra Pradesh,Nandyal,2022,90522,8,43.96,58.3,8
Andhra Pradesh,Nandyal,2023,13582,30,52.3,38.1,16
Andhra Pradesh,Nandyal,2024,46202,36,90.62,85.44,4
Andhra Pradesh,Nandyal,2025,76064,21,53.87,66.0,24
Andhra Pradesh,NTR,2015,65148,2,49.95,42.84,21
Andhra Pradesh,NTR,2016,77337,42,92.58,91.08,16
Andhra Pradesh,NTR,2017,75463,33,98.67,84.24,12
Andhra Pradesh,NTR,2018,2370,37,49.92,66.56,10
Andhra Pradesh,NTR,2019,26907,32,94.13,41.68,1
Andhra Pradesh,NTR,2020,153704,10,89.43,50.61,15
Andhra Pradesh,NTR,2021,143823,45,79.21,30.48,7
Andhra Pradesh,NTR,2022,36070,12,92.69,55.39,6
Andhra Pradesh,NTR,2023,152493,47,77.7,89.87,4
Andhra Pradesh,NTR,2024,74955,41,92.68,64.83,5
Andhra Pradesh,NTR,2025,95136,48,40.26,44.36,14
Andhra Pradesh,Palnadu,2015,112191,42,86.15,35.47,25
Andhra Pradesh,Palnadu,2016,87187,17,71.78,72.55,8
Andhra Pradesh,Palnadu,2017,131305,34,99.65,83.8,8
Andhra Pradesh,Palnadu,2018,24502,50,76.86,33.72,0
Andhra Pradesh,Palnadu,2019,30452,0,93.5,89.49,26
Andhra Pradesh,Palnadu,2020,101862,12,75.52,58.47,22
Andhra Pradesh,Palnadu,2021,169750,26,61.38,68.15,19
Andhra Pradesh,Palnadu,2022,151915,19,45.89,43.39,28
Andhra Pradesh,Palnadu,2023,96073,20,85.83,75.82,28
Andhra Pradesh,Palnadu,2024,50264,43,54.24,58.42,22
Andhra Pradesh,Palnadu,2025,72007,12,43.78,90.04,5
Andhra Pradesh,Parvathipuram Manyam,2015,196773,36,42.69,52.91,17
Andhra Pradesh,Parvathipuram Manyam,2016,188504,46,52.96,88.41,6
Andhra Pradesh,Parvathipuram Manyam,2017,68853,40,94.34,51.65,26
Andhra Pradesh,Parvathipuram Manyam,2018,43622,44,70.41,76.0,2
Andhra Pradesh,Parvathipuram Manyam,2019,131652,30,54.57,36.05,28
Andhra Pradesh,Parvathipuram Manyam,2020,73528,8,83.83,65.52,6
Andhra Pradesh,Parvathipuram Manyam,2021,192264,46,93.06,78.56,21
Andhra Pradesh,Parvathipuram Manyam,2022,120209,29,63.82,50.99,9
Andhra Pradesh,Parvathipuram Manyam,2023,66503,21,40.19,54.52,14
Andhra Pradesh,Parvathipuram Manyam,2024,91810,46,86.38,31.01,11
Andhra Pradesh,Parvathipuram Manyam,2025,16604,22,52.44,69.89,4
Andhra Pradesh,Prakasam,2015,105018,6,51.35,56.51,4
Andhra Pradesh,Prakasam,2016,92976,35,67.89,62.3,12
Andhra Pradesh,Prakasam,2017,40856,30,89.29,30.46,7
Andhra Pradesh,Prakasam,2018,172477,14,86.86,71.93,17
Andhra Pradesh,Prakasam,2019,137978,22,56.18,68.25,20
Andhra Pradesh,Prakasam,2020,59005,23,65.29,44.14,2
Andhra Pradesh,Prakasam,2021,147721,28,70.04,64.62,1
Andhra Pradesh,Prakasam,2022,98770,0,46.38,73.17,2
Andhra Pradesh,Prakasam,2023,129919,39,56.01,81.33,2
Andhra Pradesh,Prakasam,2024,110700,42,53.27,44.94,30
Andhra Pradesh,Prakasam,2025,100374,20,65.51,48.41,10
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,9571,6,77.71,34.49,23
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,7586,19,41.77,66.3,17
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,44946,16,47.01,41.11,14
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,170158,24,68.67,87.77,18
Andhra Pradesh,Sri Potti Sriramulu Nellore,2019,179819,6,59.16,58.06,24
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,162659,45,67.65,44.6,26
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,185805,1,68.4,76.33,10
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,190773,47,97.45,33.27,30
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,128473,22,83.73,88.92,6
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,71053,43,47.35,49.87,5
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,100951,24,69.79,47.21,19
Andhra Pradesh,Sri Sathya Sai,2015,141133,15,54.09,65.11,24
Andhra Pradesh,Sri Sathya Sai,2016,155616,34,69.64,67.48,30
Andhra Pradesh,Sri Sathya Sai,2017,90790,27,60.95,46.94,8
Andhra Pradesh,Sri Sathya Sai,2018,99852,11,88.65,92.43,27
Andhra Pradesh,Sri Sathya Sai,2019,81084,14,75.57,83.52,30
Andhra Pradesh,Sri Sathya Sai,2020,182998,6,58.62,57.85,11
Andhra Pradesh,Sri Sathya Sai,2021,97226,37,73.74,32.7,14
Andhra Pradesh,Sri Sathya Sai,2022,133080,2,82.99,64.93,24
Andhra Pradesh,Sri Sathya Sai,2023,166861,20,81.94,36.64,4
Andhra Pradesh,Sri Sathya Sai,2024,156934,25,50.87,94.94,6
Andhra Pradesh,Sri Sathya Sai,2025,168655,15,75.15,57.48,1
Andhra Pradesh,Srikakulam,2015,58179,39,84.62,64.89,10
Andhra Pradesh,Srikakulam,2016,108317,14,63.44,69.65,3
Andhra Pradesh,Srikakulam,2017,43121,49,56.72,81.48,1
Andhra Pradesh,Srikakulam,2018,10091,39,50.83,43.67,9
Andhra Pradesh,Srikakulam,2019,143570,22,79.71,75.74,4
Andhra Pradesh,Srikakulam,2020,104286,32,76.33,84.09,7
Andhra Pradesh,Srikakulam,2021,59347,36,47.49,61.59,21
Andhra Pradesh,Srikakulam,2022,162847,49,91.13,55.78,5
Andhra Pradesh,Srikakulam,2023,99343,6,98.3,34.08,2
Andhra Pradesh,Srikakulam,2024,160746,10,60.47,50.81,24
Andhra Pradesh,Srikakulam,2025,35780,27,60.1,87.77,19
Andhra Pradesh,Tirupati,2015,9012,46,88.2,65.7,2
Andhra Pradesh,Tirupati,2016,109841,50,93.28,31.63,2
Andhra Pradesh,Tirupati,2017,86416,7,88.8,84.77,2
Andhra Pradesh,Tirupati,2018,89180,18,54.08,30.8,3
Andhra Pradesh,Tirupati,2019,197725,6,90.41,76.9,30
Andhra Pradesh,Tirupati,2020,117806,42,75.13,32.75,1
Andhra Pradesh,Tirupati,2021,10571,0,83.97,31.78,21
Andhra Pradesh,Tirupati,2022,165929,22,59.87,65.02,23
Andhra Pradesh,Tirupati,2023,58767,16,85.04,66.44,4
Andhra Pradesh,Tirupati,2024,43199,48,87.24,89.07,24
Andhra Pradesh,Tirupati,2025,177658,19,48.21,49.74,7
Andhra Pradesh,Visakhapatnam,2015,110942,13,85.98,68.8,12
Andhra Pradesh,Visakhapatnam,2016,78112,43,91.75,53.32,15
Andhra Pradesh,Visakhapatnam,2017,34786,16,62.06,79.64,15
Andhra Pradesh,Visakhapatnam,2018,97043,32,83.3,32.36,26
Andhra Pradesh,Visakhapatnam,2019,188167,16,91.52,69.2,10
Andhra Pradesh,Visakhapatnam,2020,56993,13,89.93,46.44,10
Andhra Pradesh,Visakhapatnam,2021,86492,6,67.31,62.03,29
Andhra Pradesh,Visakhapatnam,2022,1603,31,52.08,76.52,15
Andhra Pradesh,Visakhapatnam,2023,69874,45,94.66,62.34,0
Andhra Pradesh,Visakhapatnam,2024,19996,35,69.37,30.68,0
Andhra Pradesh,Visakhapatnam,2025,65920,13,87.25,90.55,29
Andhra Pradesh,Vizianagaram,2015,83528,7,78.79,79.07,22
Andhra Pradesh,Vizianagaram,2016,92728,2,73.12,34.73,12
Andhra Pradesh,Vizianagaram,2017,116198,41,81.22,87.36,1
Andhra Pradesh,Vizianagaram,2018,39654,45,93.05,85.07,17
Andhra Pradesh,Vizianagaram,2019,33068,10,93.02,94.88,29
Andhra Pradesh,Vizianagaram,2020,112059,1,52.73,84.03,24
Andhra Pradesh,Vizianagaram,2021,136751,23,97.72,69.86,13
Andhra Pradesh,Vizianagaram,2022,138464,23,54.22,57.29,13
Andhra Pradesh,Vizianagaram,2023,180121,37,89.04,53.08,17
Andhra Pradesh,Vizianagaram,2024,102558,46,47.25,76.62,15
Andhra Pradesh,Vizianagaram,2025,84957,26,91.49,83.33,24
Andhra Pradesh,West Godavari,2015,199762,23,91.79,48.34,7
Andhra Pradesh,West Godavari,2016,141394,34,68.31,69.97,24
Andhra Pradesh,West Godavari,2017,83311,25,76.08,65.69,28
Andhra Pradesh,West Godavari,2018,91069,50,47.96,63.07,7
Andhra Pradesh,West Godavari,2019,20662,6,55.42,67.9,29
Andhra Pradesh,West Godavari,2020,127747,40,92.79,59.68,15
Andhra Pradesh,West Godavari,2021,95055,19,53.73,63.13,2
Andhra Pradesh,West Godavari,2022,182481,2,99.33,92.5,18
Andhra Pradesh,West Godavari,2023,135392,14,47.41,58.3,6
Andhra Pradesh,West Godavari,2024,161145,20,98.18,81.25,12
Andhra Pradesh,West Godavari,2025,198076,4,49.75,73.27,24
Andhra Pradesh,YSR Kadapa,2015,52510,9,97.64,92.33,1
Andhra Pradesh,YSR Kadapa,2016,45659,29,77.53,36.44,7
Andhra Pradesh,YSR Kadapa,2017,188263,34,78.63,63.97,21
Andhra Pradesh,YSR Kadapa,2018,91295,49,67.9,70.6,26
Andhra Pradesh,YSR Kadapa,2019,142558,42,86.07,31.46,0
Andhra Pradesh,YSR Kadapa,2020,29269,18,99.79,48.69,27
Andhra Pradesh,YSR Kadapa,2021,14518,23,92.19,70.45,6
Andhra Pradesh,YSR Kadapa,2022,55929,38,41.37,79.83,14
Andhra Pradesh,YSR Kadapa,2023,125596,39,89.5,71.9,18
Andhra Pradesh,YSR Kadapa,2024,137687,32,74.68,60.72,0
Andhra Pradesh,YSR Kadapa,2025,110545,37,88.03,64.35,0
Arunachal Pradesh,Tawang,2015,103489,45,54.86,75.18,28
Arunachal Pradesh,Tawang,2016,70765,10,63.55,32.82,19
Arunachal Pradesh,Tawang,2017,1870,14,93.22,40.44,17
Arunachal Pradesh,Tawang,2018,47678,14,63.89,70.54,25
Arunachal Pradesh,Tawang,2019,55866,16,92.99,58.81,1
Arunachal Pradesh,Tawang,2020,128934,36,68.03,81.36,25
Arunachal Pradesh,Tawang,2021,84693,48,46.37,30.38,4
Arunachal Pradesh,Tawang,2022,192567,25,59.58,78.04,22
Arunachal Pradesh,Tawang,2023,191349,12,92.87,47.26,10
Arunachal Pradesh,Tawang,2024,62529,34,68.73,61.1,17
Arunachal Pradesh,Tawang,2025,135126,14,44.69,74.21,22
Arunachal Pradesh,West Kameng,2015,2403,26,80.24,75.06,21
Arunachal Pradesh,West Kameng,2016,181545,4,40.22,90.51,23
Arunachal Pradesh,West Kameng,2017,135091,37,64.36,45.43,6
Arunachal Pradesh,West Kameng,2018,110728,30,83.3,62.52,8
Arunachal Pradesh,West Kameng,2019,40537,50,90.6,94.6,6
Arunachal Pradesh,West Kameng,2020,131822,20,99.6,62.51,19
Arunachal Pradesh,West Kameng,2021,126830,17,42.81,32.27,1
Arunachal Pradesh,West Kameng,2022,196005,11,62.56,30.43,18
Arunachal Pradesh,West Kameng,2023,181758,26,95.12,68.33,19
Arunachal Pradesh,West Kameng,2024,41245,29,97.31,32.29,28
Arunachal Pradesh,West Kameng,2025,49486,25,77.54,50.57,13
Arunachal Pradesh,East Kameng,2015,99673,45,99.33,41.5,25
Arunachal Pradesh,East Kameng,2016,41048,46,56.05,66.87,4
Arunachal Pradesh,East Kameng,2017,164981,24,40.11,88.29,8
Arunachal Pradesh,East Kameng,2018,51049,38,77.51,74.3,5
Arunachal Pradesh,East Kameng,2019,92436,34,73.1,64.41,12
Arunachal Pradesh,East Kameng,2020,35925,21,68.75,51.65,3
Arunachal Pradesh,East Kameng,2021,99261,29,44.23,59.65,30
Arunachal Pradesh,East Kameng,2022,126480,41,75.83,67.09,6
Arunachal Pradesh,East Kameng,2023,176068,40,81.38,53.41,11
Arunachal Pradesh,East Kameng,2024,49745,29,78.3,45.29,12
Arunachal Pradesh,East Kameng,2025,64119,29,65.04,49.55,24
Arunachal Pradesh,Papum Pare,2015,62029,12,80.53,55.86,15
Arunachal Pradesh,Papum Pare,2016,175314,23,79.34,39.07,20
Arunachal Pradesh,Papum Pare,2017,151123,33,53.56,74.38,14
Arunachal Pradesh,Papum Pare,2018,131928,21,63.08,47.37,3
Arunachal Pradesh,Papum Pare,2019,160603,41,68.58,92.87,13
Arunachal Pradesh,Papum Pare,2020,156294,26,44.23,52.81,15
Arunachal Pradesh,Papum Pare,2021,9711,19,50.73,93.48,29
Arunachal Pradesh,Papum Pare,2022,98262,3,51.49,89.65,28
Arunachal Pradesh,Papum Pare,2023,1251,33,86.8,41.13,18
Arunachal Pradesh,Papum Pare,2024,121700,14,84.45,90.69,5
Arunachal Pradesh,Papum Pare,2025,192179,20,79.19,34.53,23
Arunachal Pradesh,Kurung Kumey,2015,53497,17,74.92,44.8,10
Arunachal Pradesh,Kurung Kumey,2016,143250,2,42.37,59.51,26
Arunachal Pradesh,Kurung Kumey,2017,80593,18,50.23,58.48,30
Arunachal Pradesh,Kurung Kumey,2018,122292,38,56.73,79.32,10
Arunachal Pradesh,Kurung Kumey,2019,54039,28,60.24,34.27,11
Arunachal Pradesh,Kurung Kumey,2020,42783,50,41.38,50.79,30
Arunachal Pradesh,Kurung Kumey,2021,78983,40,48.21,33.11,4
Arunachal Pradesh,Kurung Kumey,2022,32818,40,82.97,48.89,20
Arunachal Pradesh,Kurung Kumey,2023,159429,29,84.5,78.18,13
Arunachal Pradesh,Kurung Kumey,2024,152369,4,84.79,76.84,20
Arunachal Pradesh,Kurung Kumey,2025,129723,39,82.47,36.18,4
Arunachal Pradesh,Kra Daadi,2015,58883,33,59.31,48.56,8
Arunachal Pradesh,Kra Daadi,2016,50925,33,85.17,94.7,2
Arunachal Pradesh,Kra Daadi,2017,54707,3,64.5,83.07,4
Arunachal Pradesh,Kra Daadi,2018,49455,34,96.46,43.85,7
Arunachal Pradesh,Kra Daadi,2019,174499,35,40.38,87.79,10
Arunachal Pradesh,Kra Daadi,2020,122938,18,71.72,37.65,24
Arunachal Pradesh,Kra Daadi,2021,195649,44,83.41,63.5,11
Arunachal Pradesh,Kra Daadi,2022,45877,48,41.5,65.44,6
Arunachal Pradesh,Kra Daadi,2023,149414,19,79.35,94.29,18
Arunachal Pradesh,Kra Daadi,2024,134159,43,96.27,69.95,19
Arunachal Pradesh,Kra Daadi,2025,102446,9,64.43,76.19,11
Arunachal Pradesh,Lower Subansiri,2015,2647,50,98.91,56.54,8
Arunachal Pradesh,Lower Subansiri,2016,170444,14,43.93,54.82,27
Arunachal Pradesh,Lower Subansiri,2017,64447,12,52.21,82.01,26
Arunachal Pradesh,Lower Subansiri,2018,60494,45,98.0,65.59,26
Arunachal Pradesh,Lower Subansiri,2019,94827,46,63.15,77.29,8
Arunachal Pradesh,Lower Subansiri,2020,51277,7,66.42,92.68,19
Arunachal Pradesh,Lower Subansiri,2021,142005,1,42.41,74.2,5
Arunachal Pradesh,Lower Subansiri,2022,64418,0,63.97,93.74,5
Arunachal Pradesh,Lower Subansiri,2023,158929,9,88.5,59.17,29
Arunachal Pradesh,Lower Subansiri,2024,67083,8,77.11,77.71,25
Arunachal Pradesh,Lower Subansiri,2025,192827,8,44.77,43.07,17
Arunachal Pradesh,Upper Subansiri,2015,179556,15,79.45,80.97,19
Arunachal Pradesh,Upper Subansiri,2016,183642,36,50.1,67.11,7
Arunachal Pradesh,Upper Subansiri,2017,7266,12,98.15,56.25,20
Arunachal Pradesh,Upper Subansiri,2018,148086,50,54.72,61.24,15
Arunachal Pradesh,Upper Subansiri,2019,168962,33,91.03,40.99,0
Arunachal Pradesh,Upper Subansiri,2020,104507,48,46.7,59.64,9
Arunachal Pradesh,Upper Subansiri,2021,19449,23,94.4,82.3,7
Arunachal Pradesh,Upper Subansiri,2022,77866,36,98.88,65.51,23
Arunachal Pradesh,Upper Subansiri,2023,60398,25,82.18,39.19,8
Arunachal Pradesh,Upper Subansiri,2024,57519,30,86.13,62.23,14
Arunachal Pradesh,Upper Subansiri,2025,50502,25,65.88,42.32,4
Arunachal Pradesh,West Siang,2015,47436,4,65.68,47.27,0
Arunachal Pradesh,West Siang,2016,117074,12,98.78,85.38,7
Arunachal Pradesh,West Siang,2017,70257,23,51.27,77.88,21
Arunachal Pradesh,West Siang,2018,21487,16,93.21,52.01,26
Arunachal Pradesh,West Siang,2019,75120,21,76.22,30.53,20
Arunachal Pradesh,West Siang,2020,53687,35,78.11,76.47,3
Arunachal Pradesh,West Siang,2021,116859,40,88.02,59.01,15
Arunachal Pradesh,West Siang,2022,6144,22,53.74,91.51,19
Arunachal Pradesh,West Siang,2023,156742,29,62.29,51.2,24
Arunachal Pradesh,West Siang,2024,105725,36,57.4,33.99,17
Arunachal Pradesh,West Siang,2025,114216,48,96.26,46.25,14
Arunachal Pradesh,East Siang,2015,2919,9,70.79,60.71,29
Arunachal Pradesh,East Siang,2016,42411,15,56.04,79.99,22
