state,district,year,exports,imports,trade_balance,foreign_investment,tariff_rate,trade_partners,export_growth
Chhattisgarh,Korea,2025,78.19,98.48,46.16,88.02,60.35,80.68,55.61
Chhattisgarh,Kondagaon,2018,80.22,69.59,67.91,24.96,14.34,69.89,89.2
Himachal Pradesh,Sirmaur,2025,56.3,23.13,29.17,94.71,48.21,36.25,87.79
Odisha,Sundargarh,2018,25.92,48.53,30.3,23.25,41.01,13.15,71.82
Assam,Sonitpur,2019,79.78,52.49,74.52,93.05,20.25,22.63,86.18
Madhya Pradesh,Balaghat,2018,15.16,83.1,15.39,25.78,41.64,71.16,47.93
Gujarat,Morbi,2024,21.07,36.04,48.14,27.14,30.97,80.5,76.3
Uttar Pradesh,Agra,2021,28.34,60.55,25.23,56.72,86.34,71.68,92.87
Mizoram,Serchhip,2021,87.23,93.94,52.68,22.3,64.16,79.43,75.93
Tamil Nadu,Karur,2019,35.37,69.89,83.07,99.94,83.81,96.63,84.98
Bihar,Saran,2017,62.89,76.43,11.3,89.9,14.74,48.96,47.52
Bihar,Samastipur,2016,78.64,53.87,89.45,98.16,86.04,45.9,17.58
Odisha,Cuttack,2022,36.8,30.79,60.5,78.49,90.82,36.27,99.42
Bihar,Supaul,2025,61.99,31.59,34.08,69.06,40.87,87.79,72.26
Telangana,Warangal,2024,54.03,29.79,76.2,14.82,22.83,42.22,49.54
Jharkhand,Khunti,2015,87.4,72.84,18.95,11.77,87.08,80.33,86.48
Kerala,Thrissur,2022,78.16,69.29,97.12,74.98,83.78,72.55,96.85
Uttar Pradesh,Pratapgarh,2024,25.57,42.66,75.1,71.31,81.77,40.37,48.93
Madhya Pradesh,Neemuch,2020,15.2,14.43,96.05,87.71,33.5,26.83,47.77
Madhya Pradesh,Burhanpur,2021,52.07,70.8,59.0,28.77,51.19,23.68,41.86
Nagaland,Noklak,2016,52.84,11.7,32.16,99.23,71.98,98.44,25.16
Uttar Pradesh,Jaunpur,2023,64.35,12.8,77.17,69.73,35.7,28.81,88.66
Uttar Pradesh,Sitapur,2021,58.47,14.14,41.12,15.2,75.94,71.37,92.06
Karnataka,Gadag,2016,41.34,97.14,91.62,79.62,95.38,98.43,90.08
Madhya Pradesh,Satna,2016,83.81,78.83,83.86,37.98,69.83,91.72,14.55
Rajasthan,Bharatpur,2015,26.92,37.47,90.92,54.37,41.04,45.77,18.3
Uttarakhand,Udham Singh Nagar,2018,59.01,83.0,33.38,22.96,88.84,53.9,44.19
Maharashtra,Bhandara,2015,26.54,37.21,46.64,88.2,40.41,60.51,88.54
Rajasthan,Sirohi,2018,77.35,59.96,35.9,22.46,98.23,72.04,52.18
Maharashtra,Dhule,2021,97.0,29.07,55.13,29.22,79.85,38.11,51.51
Jharkhand,Gumla,2025,51.32,60.68,10.5,59.77,36.86,20.16,60.26
Assam,Dima Hasao,2022,32.99,73.45,95.33,95.21,21.71,91.66,66.3
Madhya Pradesh,Khandwa,2021,73.47,57.97,60.61,30.87,81.37,67.9,23.69
Nagaland,Noklak,2023,73.96,99.76,50.48,32.69,22.44,18.16,78.71
Telangana,Narayanpet,2022,19.72,70.06,94.93,48.28,99.23,33.72,15.64
Nagaland,Kiphire,2018,46.96,57.36,16.06,19.25,80.33,41.04,43.26
Madhya Pradesh,Bhopal,2018,34.95,40.03,31.52,40.74,50.82,49.49,80.25
Arunachal Pradesh,Lepa Rada,2019,98.52,53.58,68.18,34.13,68.81,96.97,26.27
Uttar Pradesh,Jhansi,2017,15.88,28.83,25.53,53.13,50.64,43.13,77.69
Tamil Nadu,Dharmapuri,2023,93.23,97.03,26.51,73.0,51.88,82.83,47.71
Arunachal Pradesh,Papum Pare,2020,34.98,64.05,80.5,12.29,80.98,53.97,62.98
Jharkhand,Dumka,2021,47.05,99.29,91.09,65.48,54.62,97.79,83.79
Madhya Pradesh,Harda,2016,61.23,73.07,97.91,88.72,60.63,62.87,52.49
Assam,Baksa,2023,27.43,91.39,84.68,31.64,25.54,76.71,91.16
Maharashtra,Kolhapur,2021,59.53,76.34,64.19,22.1,67.05,97.58,82.46
Punjab,Gurdaspur,2021,20.11,96.39,24.75,62.52,29.26,88.34,92.68
Haryana,Fatehabad,2017,16.93,56.01,91.34,24.22,58.95,64.59,90.77
Kerala,Ernakulam,2016,35.28,91.63,96.44,44.75,40.76,42.36,81.76
Madhya Pradesh,Sheopur,2015,84.59,90.61,55.06,39.03,69.11,65.34,67.34
Punjab,Malerkotla,2017,81.81,69.88,43.81,90.68,65.98,80.84,15.15
Rajasthan,Baran,2020,96.12,53.56,29.38,66.06,16.45,46.67,79.34
Haryana,Kaithal,2016,67.43,50.31,38.13,36.86,30.81,27.86,87.53
Uttar Pradesh,Bareilly,2025,24.65,84.23,44.74,63.33,40.74,46.6,50.31
Madhya Pradesh,Damoh,2020,37.24,23.86,96.13,23.65,29.21,11.76,77.08
Uttar Pradesh,Ambedkar Nagar,2015,40.56,11.56,32.53,52.57,14.69,66.86,57.25
Tamil Nadu,Tirupathur,2015,84.09,67.86,58.91,91.79,15.62,60.64,20.79
Rajasthan,Hanumangarh,2017,36.22,72.61,70.77,57.65,47.01,22.78,78.07
Mizoram,Serchhip,2016,91.03,47.88,49.91,30.67,33.5,92.15,33.68
Uttar Pradesh,Mathura,2025,35.1,22.94,94.59,37.51,96.04,55.01,48.13
Maharashtra,Osmanabad (Dharashiv),2015,46.17,60.43,84.09,34.82,50.28,48.53,27.81
Manipur,Noney,2024,15.76,49.79,92.77,73.46,49.97,15.73,94.55
Madhya Pradesh,Katni,2019,29.13,79.58,62.43,27.51,47.39,91.84,45.48
Uttar Pradesh,Hathras,2015,24.19,64.11,76.46,28.64,95.33,95.66,43.58
Meghalaya,West Khasi Hills,2023,39.43,99.11,53.12,66.3,97.58,50.05,57.34
Uttar Pradesh,Kaushambi,2024,36.81,18.48,43.7,36.62,36.12,33.26,28.42
Nagaland,Zunheboto,2017,98.68,79.1,74.36,58.89,15.49,80.96,42.66
Rajasthan,Rajsamand,2015,19.91,46.17,21.61,43.36,68.43,16.61,75.96
Madhya Pradesh,Jabalpur,2023,73.33,38.23,86.31,14.83,60.11,82.45,46.13
Assam,Chirang,2019,72.36,11.76,38.14,82.4,62.8,20.36,10.54
Tamil Nadu,Salem,2025,67.96,69.86,65.75,95.96,37.08,44.75,20.34
Bihar,Saran,2025,13.03,77.41,80.44,18.86,36.14,51.15,47.2
Odisha,Gajapati,2025,83.74,75.82,44.78,76.6,97.05,46.33,73.54
Tamil Nadu,Pudukkottai,2021,23.58,18.8,12.03,54.64,25.11,90.58,30.33
Jharkhand,Seraikela-Kharsawan,2016,50.63,35.09,12.32,54.53,18.23,22.67,69.13
Uttar Pradesh,Mau,2019,76.59,48.73,87.49,96.91,21.35,49.47,51.74
Bihar,Buxar,2015,62.08,45.82,75.59,11.29,52.74,62.11,34.72
West Bengal,Dakshin Dinajpur,2023,37.7,59.78,56.03,30.93,77.06,71.41,65.56
Uttar Pradesh,Kanpur Nagar,2020,59.62,89.58,63.5,96.09,33.88,64.42,27.47
Tripura,Dhalai,2019,69.99,32.02,98.79,79.43,60.37,59.48,96.99
Arunachal Pradesh,Anjaw,2017,59.56,69.89,15.18,93.57,85.84,35.59,74.9
Bihar,Munger,2020,39.05,51.37,68.13,78.56,48.88,43.28,28.55
Rajasthan,Bharatpur,2025,53.26,14.45,84.31,95.91,68.08,29.65,51.58
Arunachal Pradesh,Dibang Valley,2019,72.66,43.78,93.01,41.55,25.41,32.12,87.26
Rajasthan,Bundi,2015,79.0,75.8,89.54,51.02,72.16,63.98,94.05
Kerala,Kottayam,2022,20.31,53.72,62.31,39.3,72.75,19.08,14.7
Tamil Nadu,Thoothukudi,2017,83.57,89.48,88.29,37.16,63.7,72.14,64.89
Rajasthan,Alwar,2020,97.65,73.47,29.92,14.95,51.31,62.52,62.15
Rajasthan,Kota,2021,94.09,58.0,37.92,80.75,59.18,26.2,33.28
Maharashtra,Washim,2025,62.51,64.51,96.35,97.11,45.04,27.54,66.0
Gujarat,Junagadh,2016,88.41,42.57,42.24,98.72,28.81,60.1,88.1
Uttarakhand,Champawat,2015,34.43,82.54,80.39,29.47,91.37,18.58,80.16
Gujarat,Valsad,2023,80.63,63.81,60.33,29.01,16.01,65.33,17.19
Uttar Pradesh,Sitapur,2023,78.12,47.68,38.31,66.8,54.33,94.48,72.75
Nagaland,Kiphire,2017,63.6,22.9,53.46,56.85,41.62,59.73,11.27
Punjab,Bathinda,2017,41.49,27.23,30.77,83.29,14.38,72.21,42.41
Arunachal Pradesh,East Siang,2024,99.61,66.76,16.33,20.57,27.01,69.28,94.42
Odisha,Balasore,2016,10.7,17.81,58.4,93.17,69.67,14.94,53.45
Manipur,Kakching,2023,49.52,37.64,96.38,41.92,51.37,82.7,36.02
Chhattisgarh,Raigarh,2025,52.43,48.41,32.42,42.0,56.52,69.01,14.71
Arunachal Pradesh,Tirap,2021,89.35,57.89,31.61,22.36,62.28,71.26,30.02
Odisha,Sundargarh,2019,93.45,58.64,65.32,61.79,69.34,49.05,93.96
Rajasthan,Sikar,2019,70.97,25.92,10.13,49.09,18.66,97.95,65.58
Madhya Pradesh,Katni,2020,11.08,25.96,78.15,77.5,60.92,19.01,83.45
Rajasthan,Tonk,2025,48.07,88.55,79.63,66.89,39.54,17.38,17.59
Tamil Nadu,Chennai,2025,20.36,33.7,48.39,88.37,11.67,45.42,68.26
Rajasthan,Udaipur,2020,58.69,32.33,39.06,45.87,78.36,62.54,92.35
Arunachal Pradesh,Lower Siang,2025,86.19,13.33,97.84,61.06,55.43,26.92,33.14
Madhya Pradesh,Rajgarh,2021,80.61,49.4,21.49,30.54,75.13,27.37,36.6
Telangana,Narayanpet,2021,60.78,95.69,62.77,24.13,27.75,67.76,19.99
Telangana,Nizamabad,2021,19.99,38.91,97.55,41.89,18.16,74.06,43.78
Haryana,Jind,2023,46.66,24.07,41.03,99.56,29.85,69.07,46.05
Chhattisgarh,Jashpur,2025,21.14,37.44,17.76,62.0,53.12,49.87,66.66
Manipur,Kakching,2024,81.29,60.7,31.86,33.93,39.2,92.2,13.15
Goa,North Goa,2017,21.22,68.67,40.14,81.57,30.01,20.64,71.75
Gujarat,Botad,2020,79.63,31.0,27.39,55.78,99.18,73.82,25.35
Odisha,Khordha,2020,34.71,73.54,72.41,76.37,14.2,14.59,11.45
Telangana,Yadadri Bhuvanagiri,2023,80.65,63.72,88.25,61.84,12.32,66.34,96.74
Tamil Nadu,Chengalpattu,2023,84.85,65.37,14.84,30.02,54.34,41.0,91.63
Himachal Pradesh,Solan,2015,90.47,44.43,32.82,11.02,78.91,72.18,82.26
Jharkhand,Palamu,2022,27.68,55.31,23.37,50.7,80.99,13.86,91.03
Tamil Nadu,Thoothukudi,2022,36.61,32.68,31.31,22.38,11.64,71.89,62.5
Tamil Nadu,Tiruppur,2016,58.84,46.36,60.83,22.43,76.7,81.94,87.45
Gujarat,Gandhinagar,2022,87.58,59.76,80.93,38.81,63.13,23.61,57.03
Uttar Pradesh,Bhadohi,2020,10.35,49.25,22.58,14.24,84.4,61.03,47.3
West Bengal,North 24 Parganas,2024,74.73,19.52,84.51,59.49,73.97,24.08,16.6
Maharashtra,Palghar,2015,36.22,40.75,67.14,31.94,32.24,26.01,34.83
Nagaland,Tuensang,2025,50.47,58.45,66.57,60.09,19.61,36.87,31.29
Rajasthan,Sri Ganganagar,2023,58.13,28.13,23.29,45.5,45.19,63.02,22.46
Tamil Nadu,Perambalur,2025,52.56,97.61,71.45,34.98,33.0,96.66,25.85
Telangana,Jagtial,2022,25.89,67.99,49.04,13.51,44.31,50.79,72.84
Tamil Nadu,Chengalpattu,2017,58.33,70.82,75.81,25.0,62.99,96.89,96.52
Uttar Pradesh,Ghazipur,2020,49.59,75.39,88.27,84.82,27.25,98.98,17.35
Bihar,Darbhanga,2019,35.45,84.32,44.97,75.42,30.68,75.05,57.27
Tripura,Gomati,2025,81.86,61.81,10.62,60.43,45.01,79.28,91.64
West Bengal,Dakshin Dinajpur,2022,77.48,62.48,90.78,18.05,33.26,65.72,17.28
Maharashtra,Gadchiroli,2022,20.3,86.71,17.18,55.05,11.58,98.43,55.56
Mizoram,Khawzawl,2017,98.34,11.06,21.78,19.88,77.55,31.39,77.04
Madhya Pradesh,Bhind,2024,27.72,25.89,31.31,13.13,20.18,24.67,63.08
Karnataka,Raichur,2021,15.33,76.79,94.02,27.5,68.93,58.25,35.16
Chhattisgarh,Janjgir-Champa,2017,95.46,64.92,22.72,20.93,68.53,46.07,51.44
Bihar,Jamui,2019,96.45,82.56,66.14,49.17,81.94,36.01,21.04
Bihar,Muzaffarpur,2024,14.58,53.43,51.23,41.47,68.26,34.05,33.24
Odisha,Bargarh,2021,22.97,13.48,35.78,26.43,92.8,95.85,81.97
Goa,South Goa,2020,89.93,99.32,69.94,54.24,80.71,89.8,62.7
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2019,86.21,73.3,98.96,70.96,72.82,74.68,62.75
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2025,63.0,67.32,44.72,36.95,40.02,89.72,22.93
Himachal Pradesh,Kullu,2021,30.22,13.93,62.09,79.16,16.32,32.48,95.17
Rajasthan,Sri Ganganagar,2021,45.66,61.13,39.01,54.48,84.81,46.36,23.0
Assam,Dima Hasao,2016,41.66,19.26,30.98,61.27,41.71,70.84,10.55
Nagaland,Noklak,2019,85.24,38.7,69.46,35.55,42.78,31.74,75.79
Gujarat,Navsari,2021,74.35,13.49,28.68,71.81,55.26,94.12,46.17
Jharkhand,Dumka,2019,69.07,22.77,19.39,44.42,60.6,89.82,26.74
Karnataka,Kalaburagi,2016,70.73,35.9,70.7,18.7,56.85,13.13,87.13
Karnataka,Kodagu,2020,41.07,13.18,59.58,29.38,63.33,77.86,57.57
Madhya Pradesh,Indore,2022,28.73,55.43,57.81,53.33,28.88,83.3,35.7
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2024,31.75,85.95,40.65,12.02,81.31,70.25,52.28
Assam,Nagaon,2021,88.55,53.27,30.83,24.19,96.95,71.62,15.47
Jharkhand,Chatra,2020,63.46,18.81,76.37,68.51,81.75,67.91,95.8
Assam,Udalguri,2025,63.46,97.69,72.14,68.5,22.61,77.78,94.94
Punjab,Moga,2019,61.82,70.48,71.88,40.95,11.64,83.08,47.52
Rajasthan,Sikar,2024,44.44,52.42,90.58,49.54,66.96,86.72,32.38
Andhra Pradesh,NTR,2021,21.11,26.17,49.54,62.57,37.46,25.48,98.21
Odisha,Angul,2017,77.81,12.2,13.04,96.18,91.06,30.71,16.15
Gujarat,Amreli,2022,49.35,98.87,27.43,89.87,98.04,66.76,48.22
Tamil Nadu,Ranipet,2018,67.26,58.51,29.49,96.78,55.06,48.81,21.77
Punjab,Kapurthala,2020,46.94,54.29,22.41,42.54,60.12,40.53,49.25
Andhra Pradesh,Nandyal,2015,18.68,51.25,77.42,85.88,23.01,55.27,74.45
Bihar,Darbhanga,2017,81.13,98.73,83.35,36.37,25.07,64.95,54.14
Rajasthan,Khairthal-Tijara,2015,79.09,80.1,20.67,10.85,47.16,40.84,88.18
Arunachal Pradesh,Kra Daadi,2024,14.58,15.42,13.26,66.07,14.14,66.66,10.64
Maharashtra,Thane,2021,77.01,79.52,58.49,80.9,24.77,98.53,10.88
Assam,Cachar,2019,24.43,37.48,69.05,74.43,64.15,32.37,71.75
Uttar Pradesh,Ballia,2015,28.95,66.29,69.14,94.23,67.4,74.76,21.43
Chhattisgarh,Durg,2018,71.25,22.41,77.15,48.38,91.46,35.14,13.67
Madhya Pradesh,Seoni,2015,29.8,47.57,23.37,75.66,21.23,66.89,81.81
West Bengal,Birbhum,2021,38.2,69.68,56.37,19.54,56.16,39.45,66.41
Punjab,Pathankot,2017,70.33,64.68,45.96,32.01,53.85,92.53,88.77
Maharashtra,Nagpur,2019,20.0,88.9,77.58,63.85,63.03,94.23,80.21
Uttar Pradesh,Gautam Buddha Nagar,2023,47.22,94.15,67.16,66.02,36.35,34.47,85.36
Maharashtra,Akola,2021,98.97,72.36,29.67,37.97,22.7,34.79,92.71
Gujarat,Panchmahal,2017,79.52,46.85,14.07,78.7,41.78,16.14,56.08
Sikkim,Soreng,2021,93.48,98.62,70.0,28.9,79.34,78.67,50.12
Haryana,Sirsa,2015,41.19,40.09,85.3,20.52,47.76,82.19,95.75
Madhya Pradesh,Narsinghpur,2022,66.41,77.83,78.27,49.39,58.5,26.85,14.77
Assam,West Karbi Anglong,2025,46.83,12.5,66.97,85.61,42.3,20.38,60.95
Meghalaya,West Garo Hills,2016,10.73,72.28,95.17,11.54,18.15,46.94,88.61
Haryana,Gurugram,2015,67.63,64.68,90.85,98.96,76.8,20.22,73.9
Rajasthan,Banswara,2017,67.57,79.95,17.29,51.61,79.61,13.74,95.61
Himachal Pradesh,Lahaul & Spiti,2023,89.65,41.51,21.06,70.6,46.94,61.31,97.65
Karnataka,Ramanagara,2022,27.35,66.07,37.12,57.09,41.04,47.24,60.19
Madhya Pradesh,Tikamgarh,2023,73.89,18.65,83.91,57.29,76.91,46.18,10.77
Andhra Pradesh,Krishna,2017,79.5,41.79,83.49,11.26,25.24,29.01,36.71
Madhya Pradesh,Burhanpur,2015,10.88,22.53,70.93,36.21,19.49,95.66,55.01
Bihar,Darbhanga,2017,31.88,44.36,52.15,25.5,74.94,52.6,40.7
Tamil Nadu,Namakkal,2017,98.92,18.41,99.16,46.6,41.71,40.1,37.94
Karnataka,Chamarajanagar,2025,73.97,24.63,47.58,16.75,30.83,42.57,23.61
Madhya Pradesh,Indore,2019,61.08,84.26,39.5,84.46,71.83,67.01,66.5
Haryana,Mahendragarh,2022,20.04,90.44,83.84,27.23,29.81,63.86,95.25
Karnataka,Gadag,2025,55.37,84.22,74.78,83.05,82.46,48.43,18.6
Tamil Nadu,Salem,2018,25.41,19.71,50.05,85.47,17.02,72.71,24.97
Nagaland,Kiphire,2016,85.26,38.71,38.85,33.98,17.08,17.94,17.47
Karnataka,Kodagu,2023,63.01,50.68,17.67,99.54,63.12,31.41,98.88
Assam,Nagaon,2019,83.51,34.98,36.21,47.24,22.87,59.42,53.33
Punjab,Amritsar,2021,72.1,24.46,15.54,65.19,85.82,76.67,65.13
Mizoram,Mamit,2021,66.91,48.8,88.33,42.34,22.92,41.81,60.51
Rajasthan,Sawai Madhopur,2015,89.09,91.51,93.98,84.18,32.82,61.04,25.77
Odisha,Kendrapara,2022,48.57,94.24,41.2,95.44,44.54,93.96,74.52
Bihar,Nawada,2023,92.93,54.28,70.16,95.99,14.61,40.94,40.84
Uttar Pradesh,Sant Kabir Nagar,2020,80.86,83.63,24.2,41.41,53.45,43.63,53.77
Gujarat,Anand,2018,65.71,76.69,99.52,34.45,81.14,21.11,88.84
Rajasthan,Rajsamand,2023,55.95,10.62,97.23,13.01,74.51,28.02,36.6
Rajasthan,Dausa,2025,40.64,83.02,12.6,97.79,30.89,80.8,39.45
West Bengal,Uttar Dinajpur,2018,26.05,61.43,49.09,57.09,59.12,76.87,41.94
Kerala,Palakkad,2023,30.63,39.93,31.45,10.37,79.92,28.38,44.4
Madhya Pradesh,Khandwa,2025,24.77,88.68,46.98,45.47,19.01,31.82,92.79
Nagaland,Zunheboto,2023,51.16,27.12,44.02,43.39,55.58,26.78,14.2
West Bengal,North 24 Parganas,2023,91.44,36.68,93.17,42.45,99.96,29.77,62.1
Madhya Pradesh,Dindori,2024,56.58,74.64,70.51,54.09,73.74,10.6,19.52
Kerala,Malappuram,2019,66.92,86.97,40.55,35.65,69.85,61.47,37.27
Haryana,Sirsa,2024,10.5,58.36,24.65,55.76,29.37,50.84,42.36
Assam,Tinsukia,2024,21.98,85.23,46.26,74.3,21.89,36.75,80.47
Jharkhand,Garhwa,2023,83.95,12.24,47.41,63.0,62.85,21.46,14.33
Tamil Nadu,Thiruvarur,2020,76.32,72.1,51.68,24.1,18.0,59.65,98.38
Karnataka,Vijayanagara,2020,78.27,80.37,10.94,60.34,15.26,12.61,77.11
Odisha,Kandhamal,2018,54.04,33.06,60.25,27.14,72.41,61.45,76.96
Arunachal Pradesh,Tirap,2016,65.02,47.31,89.62,34.39,90.64,35.81,84.19
Uttar Pradesh,Hathras,2015,45.83,15.13,16.0,56.87,34.04,46.62,35.2
Uttar Pradesh,Ghazipur,2023,32.83,14.5,57.97,77.55,39.4,71.2,93.98
Maharashtra,Nandurbar,2019,98.68,59.13,86.84,20.04,44.86,18.42,70.03
Chhattisgarh,Kondagaon,2018,17.04,59.16,68.56,23.59,31.65,61.38,67.88
Uttar Pradesh,Sitapur,2015,12.87,71.0,73.94,94.23,28.33,10.97,79.24
Chhattisgarh,Balrampur,2018,54.46,72.47,81.48,15.45,91.12,11.62,56.07
Bihar,Banka,2019,55.33,97.63,27.14,95.87,44.99,77.78,36.41
Rajasthan,Nagaur,2018,93.43,44.87,23.2,29.25,72.24,91.93,30.34
Maharashtra,Gondia,2024,15.87,97.51,57.71,10.84,15.86,27.51,15.37
Odisha,Rayagada,2021,10.23,35.86,44.53,54.22,75.25,73.04,95.29
