state,district,year,houses_built,construction_cost,urban_housing_index,rural_housing_index,housing_demand,housing_supply,construction_growth
Madhya Pradesh,Hoshangabad (Narmadapuram),2015,55.07,20.45,71.8,31.76,39.35,28.18,11.53
Gujarat,Mahisagar,2015,32.72,53.7,65.7,18.4,95.71,19.67,45.26
Assam,South Salmara-Mankachar,2022,67.65,42.9,89.2,45.3,60.68,67.29,75.85
Assam,Bongaigaon,2018,43.35,62.17,11.21,84.04,66.96,85.5,74.35
Mizoram,Kolasib,2017,78.39,59.31,15.63,55.04,41.66,42.88,74.55
Karnataka,Uttara Kannada,2015,50.95,21.33,18.16,10.72,67.54,40.91,95.56
Rajasthan,Kekri,2022,62.31,10.17,58.32,97.45,13.14,95.45,41.62
Madhya Pradesh,Damoh,2023,42.73,54.71,20.97,36.73,94.98,92.29,66.55
Uttar Pradesh,Auraiya,2016,65.42,77.82,12.92,17.49,80.14,73.76,43.05
Maharashtra,Akola,2017,47.85,30.71,14.86,52.88,14.29,66.24,94.28
Punjab,Bathinda,2016,67.95,43.12,65.67,11.42,53.28,96.42,56.62
Madhya Pradesh,Damoh,2020,61.0,90.75,79.38,23.71,19.26,98.8,63.51
Andhra Pradesh,Nandyal,2024,36.15,49.08,78.11,66.26,30.7,84.93,24.8
Uttar Pradesh,Hamirpur,2020,26.42,86.65,25.86,87.08,23.0,33.24,30.32
Haryana,Faridabad,2016,54.24,60.88,59.93,15.57,71.25,50.2,85.44
Chhattisgarh,Bemetara,2025,46.22,49.41,78.14,72.19,13.58,93.34,49.9
Bihar,Buxar,2016,20.16,86.61,76.0,23.42,32.38,10.68,71.38
Uttar Pradesh,Ayodhya,2023,93.7,98.12,68.85,37.99,76.25,44.27,15.37
Gujarat,Banaskantha,2024,38.55,45.35,73.69,43.86,65.9,25.21,81.3
Madhya Pradesh,Jhabua,2024,46.8,61.23,98.45,77.43,69.5,54.99,89.78
Arunachal Pradesh,Changlang,2023,38.22,21.68,60.97,55.92,90.42,74.08,66.47
Madhya Pradesh,Damoh,2023,88.23,43.56,71.69,59.76,15.69,56.15,86.91
Gujarat,Rajkot,2024,93.42,65.24,68.65,38.14,53.35,52.73,32.4
Madhya Pradesh,Sagar,2025,92.54,27.24,61.33,57.13,70.41,71.6,96.89
Chhattisgarh,Korea,2020,34.41,87.7,95.49,96.36,64.26,25.19,68.21
Nagaland,Noklak,2018,33.97,33.54,28.6,78.81,99.04,73.91,96.02
Andhra Pradesh,Krishna,2025,32.91,66.09,52.72,52.9,16.64,78.05,85.06
Nagaland,Noklak,2017,30.3,17.28,16.27,48.21,79.98,94.82,89.97
Uttar Pradesh,Varanasi,2019,97.81,80.36,34.57,58.28,14.33,99.46,87.26
Jharkhand,Jamtara,2025,97.57,63.29,74.95,65.93,99.24,79.83,74.48
Gujarat,Dang,2016,66.6,15.44,28.58,25.34,45.6,12.42,94.45
Uttar Pradesh,Unnao,2024,46.09,13.52,99.64,81.31,50.07,12.43,56.01
Arunachal Pradesh,Tirap,2015,63.75,43.93,22.36,83.47,81.01,40.16,83.2
Haryana,Sirsa,2023,25.42,23.51,68.83,95.2,37.41,88.38,11.3
Meghalaya,East Jaintia Hills,2016,71.82,90.68,38.54,33.08,12.17,88.81,23.56
Andhra Pradesh,NTR,2017,89.37,86.01,23.83,70.01,77.69,30.51,54.51
Bihar,Munger,2019,79.15,57.22,12.73,18.98,24.44,58.04,32.99
Manipur,Noney,2020,55.97,73.88,60.32,17.68,43.32,64.96,74.12
Haryana,Rewari,2016,73.07,30.97,58.68,24.89,94.34,15.68,72.9
Assam,Chirang,2024,99.88,27.85,48.95,52.1,27.07,80.5,37.16
Madhya Pradesh,Datia,2017,16.93,25.53,83.56,52.73,93.15,62.39,10.47
Assam,South Salmara-Mankachar,2018,67.72,70.57,16.92,40.9,40.19,88.58,68.72
Meghalaya,South West Khasi Hills,2023,71.96,73.68,37.13,54.38,67.9,15.29,82.1
Jharkhand,Pakur,2025,21.62,67.61,27.79,29.14,31.17,77.5,29.69
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2019,17.81,63.51,44.76,78.35,14.5,53.92,11.94
Tamil Nadu,Tiruvannamalai,2021,72.59,42.73,20.45,65.16,16.82,10.74,34.47
Jharkhand,Palamu,2024,96.11,87.97,66.69,18.15,71.68,26.02,88.27
Karnataka,Chikkamagaluru,2021,28.61,60.89,39.93,41.71,82.1,41.64,17.96
Himachal Pradesh,Una,2017,99.6,72.84,37.22,25.24,27.68,73.22,62.53
Chhattisgarh,Bemetara,2018,69.91,69.6,92.53,50.38,26.83,30.74,66.37
Uttar Pradesh,Mirzapur,2023,85.52,85.46,34.25,27.57,43.79,28.63,48.4
Uttar Pradesh,Saharanpur,2021,47.37,83.24,46.53,24.64,80.21,68.17,96.38
Maharashtra,Mumbai Suburban,2023,24.54,73.6,70.52,21.08,95.12,36.81,43.11
Bihar,Nalanda,2018,62.19,10.3,51.2,82.03,47.75,85.47,79.87
Rajasthan,Jhalawar,2023,85.25,74.4,23.86,39.5,70.41,96.45,63.87
Arunachal Pradesh,Kamle,2016,85.22,25.12,31.68,69.73,40.98,61.89,71.54
Nagaland,Kohima,2025,48.92,10.98,88.0,45.29,55.38,92.16,14.48
Odisha,Puri,2017,36.76,75.22,93.99,70.97,49.87,85.4,70.97
Gujarat,Aravalli,2018,71.52,46.3,91.04,50.43,15.18,32.5,60.88
Uttarakhand,Rudraprayag,2015,74.05,92.33,93.31,37.75,21.93,60.4,93.56
Haryana,Charkhi Dadri,2023,93.77,54.35,91.33,83.27,84.04,33.25,22.81
Telangana,Khammam,2022,65.45,98.69,30.11,55.72,34.23,38.99,29.35
Himachal Pradesh,Bilaspur,2017,87.47,76.79,56.87,97.94,76.65,80.5,72.57
Uttar Pradesh,Chandauli,2021,77.93,93.71,78.31,76.35,54.04,30.77,63.28
Maharashtra,Beed,2025,98.53,87.32,52.93,49.58,89.28,79.99,59.66
Arunachal Pradesh,Papum Pare,2020,49.19,64.01,31.29,91.39,51.55,92.81,79.18
Manipur,Bishnupur,2023,59.39,63.12,71.1,51.82,84.31,65.23,94.38
Odisha,Kendrapara,2016,19.06,90.24,56.34,42.65,12.9,91.47,29.06
Telangana,Vikarabad,2015,59.24,80.21,70.59,95.28,26.79,76.34,77.91
Nagaland,Zunheboto,2022,29.34,54.14,90.36,70.51,27.75,64.48,57.8
Chhattisgarh,Bijapur,2021,14.77,86.29,24.53,58.45,12.24,57.45,20.09
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2021,43.57,25.04,60.16,82.67,39.81,45.7,24.93
Maharashtra,Jalgaon,2020,47.86,10.78,12.12,83.23,34.86,90.48,43.97
Uttar Pradesh,Lalitpur,2020,91.67,34.6,43.59,72.44,51.32,47.85,99.84
Maharashtra,Jalgaon,2023,75.53,76.23,92.92,34.55,92.11,63.65,61.5
Punjab,Fazilka,2025,62.63,96.94,23.8,18.86,76.47,81.76,52.62
Chhattisgarh,Bijapur,2025,93.22,64.92,96.4,59.0,28.32,82.98,90.2
Arunachal Pradesh,Leparada,2022,39.52,22.44,93.74,66.08,47.11,54.77,80.2
Kerala,Idukki,2021,65.68,25.41,24.84,60.09,55.91,42.3,47.65
Andhra Pradesh,Palnadu,2018,26.39,98.23,97.33,30.87,68.31,76.03,81.63
Uttarakhand,Uttarkashi,2025,44.86,81.47,69.61,67.14,71.42,96.71,51.58
Bihar,Supaul,2024,74.49,60.65,87.64,28.97,25.77,49.63,87.32
Tamil Nadu,Dharmapuri,2021,61.2,48.44,60.65,32.03,87.49,42.11,54.53
Maharashtra,Raigad,2023,11.57,11.42,98.83,16.64,66.2,19.28,48.47
Madhya Pradesh,Ratlam,2019,85.58,80.92,95.98,46.41,21.94,99.41,49.69
Rajasthan,Beawar,2017,14.93,76.01,10.05,45.87,78.36,62.15,47.26
Uttarakhand,Nainital,2018,66.41,81.02,77.31,73.8,26.48,24.29,97.45
Tamil Nadu,Nilgiris,2017,41.07,40.5,69.96,89.41,61.75,36.02,88.04
Jharkhand,Ranchi,2022,18.52,93.88,36.2,75.27,67.1,59.12,87.16
Telangana,Jogulamba Gadwal,2016,75.09,34.75,29.67,61.77,75.3,23.59,32.95
Tripura,South Tripura,2015,96.87,70.49,89.63,95.8,95.88,44.29,64.14
Punjab,Faridkot,2021,87.94,89.46,62.13,29.9,90.06,85.76,23.78
Odisha,Boudh,2018,20.08,71.11,66.73,38.07,86.62,43.06,69.24
Manipur,Kamjong,2022,86.67,75.22,41.24,92.39,90.21,25.41,43.66
Tamil Nadu,Pudukkottai,2016,45.88,55.78,99.75,55.06,82.74,10.77,99.17
Madhya Pradesh,Vidisha,2023,12.18,72.56,93.59,69.02,32.59,23.85,29.08
Assam,Udalguri,2015,23.09,84.99,10.52,21.04,75.54,14.42,50.16
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2018,65.94,52.32,35.4,58.07,86.67,29.75,13.15
Uttar Pradesh,Aligarh,2016,69.09,45.43,95.17,93.99,14.23,40.15,93.15
Assam,Dima Hasao,2020,49.05,64.44,85.14,92.88,60.6,55.23,15.66
Himachal Pradesh,Sirmaur,2019,50.3,90.82,84.24,33.62,24.73,73.73,98.97
Uttar Pradesh,Aligarh,2025,27.67,60.8,79.96,99.46,15.23,14.34,33.52
Karnataka,Bidar,2019,32.8,21.62,76.88,53.12,76.89,79.52,73.01
Assam,Sivasagar,2025,50.14,66.85,68.16,94.54,40.57,25.56,43.25
Chhattisgarh,Durg,2025,96.21,49.78,55.37,90.19,35.41,91.72,53.43
Odisha,Mayurbhanj,2017,56.72,84.98,84.1,35.19,21.32,84.36,42.88
Manipur,Chandel,2024,66.36,73.84,42.18,33.0,93.99,68.13,66.74
Maharashtra,Nanded,2022,79.76,41.85,97.17,95.41,98.97,49.7,41.6
Mizoram,Saiha,2015,86.42,37.81,64.0,56.33,88.29,25.87,15.09
Rajasthan,Rajsamand,2024,80.8,83.23,71.0,32.52,96.85,42.49,25.25
Uttarakhand,Rudraprayag,2018,94.12,18.45,96.92,71.47,84.74,80.84,34.99
Bihar,Nalanda,2019,48.55,32.11,31.81,98.01,42.66,21.01,39.65
Karnataka,Shivamogga,2022,29.79,97.07,67.51,42.86,32.73,84.21,64.95
Meghalaya,West Khasi Hills,2018,24.67,63.46,81.33,60.74,81.57,17.16,24.79
Tamil Nadu,Vellore,2024,78.84,99.51,89.79,55.52,87.66,48.33,25.34
Tamil Nadu,Krishnagiri,2016,31.77,61.14,62.86,71.67,93.14,86.03,63.0
West Bengal,Nadia,2020,54.16,35.97,38.92,55.19,65.59,69.87,15.72
Maharashtra,Yavatmal,2022,54.84,45.96,64.62,78.21,70.2,46.02,94.21
Madhya Pradesh,Jabalpur,2016,10.92,10.8,21.26,20.3,11.82,55.27,47.3
Rajasthan,Dausa,2016,22.93,34.62,83.63,20.79,87.65,80.67,15.26
Uttar Pradesh,Kasganj,2016,92.1,19.43,39.67,39.18,15.53,55.37,34.23
Himachal Pradesh,Kullu,2017,56.16,12.1,19.14,17.02,85.57,53.29,51.58
Arunachal Pradesh,Longding,2023,21.92,22.92,90.24,12.51,55.08,76.21,27.58
Karnataka,Haveri,2021,96.39,16.87,70.53,81.05,46.05,46.82,84.18
