state,district,year,crop_production_tons,cultivated_area_hectares,rice_production,wheat_production,maize_production,fertilizer_usage_tons,irrigated_area_hectares
Andhra Pradesh,Palnadu,2021,368882,85766,138283,55993,21880,13722,12395
Andhra Pradesh,Palnadu,2022,222286,134191,21753,111544,68265,18731,75871
Andhra Pradesh,Palnadu,2023,202624,30174,9351,51188,58794,256,67436
Andhra Pradesh,Palnadu,2024,247142,61864,97128,18205,35651,19593,11025
Andhra Pradesh,Palnadu,2025,116513,139288,7608,30277,26729,1970,60948
Andhra Pradesh,Parvathipuram Manyam,2015,337617,10918,87048,53320,39323,17846,63856
Andhra Pradesh,Parvathipuram Manyam,2016,6379,73627,141433,128687,23571,7452,9201
Andhra Pradesh,Parvathipuram Manyam,2017,276138,57188,48650,40639,62207,15515,15613
Andhra Pradesh,Parvathipuram Manyam,2018,404255,76729,138350,68909,68758,19517,89653
Andhra Pradesh,Parvathipuram Manyam,2019,153020,124755,118773,121370,71913,9736,52038
Andhra Pradesh,Parvathipuram Manyam,2020,126762,187743,12755,74841,34999,7693,96610
Andhra Pradesh,Parvathipuram Manyam,2021,206900,12601,34503,54961,2513,8123,77187
Andhra Pradesh,Parvathipuram Manyam,2022,374156,91937,118306,76648,18905,6806,54063
Andhra Pradesh,Parvathipuram Manyam,2023,299128,164713,108116,114857,58356,15963,31158
Andhra Pradesh,Parvathipuram Manyam,2024,113685,180146,70561,15142,10182,18630,5843
Andhra Pradesh,Parvathipuram Manyam,2025,95597,18834,47905,109293,27525,10183,5905
Andhra Pradesh,Prakasam,2015,386118,102909,38047,14324,10350,4396,81698
Andhra Pradesh,Prakasam,2016,212971,109672,86477,79288,16818,2359,61895
Andhra Pradesh,Prakasam,2017,6048,16284,20971,5304,39126,4134,85063
Andhra Pradesh,Prakasam,2018,65402,172693,84540,136441,37610,14511,37730
Andhra Pradesh,Prakasam,2019,491601,100115,30484,46754,13226,2415,23777
Andhra Pradesh,Prakasam,2020,482253,160719,21437,118063,66612,10757,27264
Andhra Pradesh,Prakasam,2021,14438,17159,23680,70341,24323,14586,32116
Andhra Pradesh,Prakasam,2022,192373,175313,34101,71623,669,18614,24631
Andhra Pradesh,Prakasam,2023,467180,166760,34171,140279,37094,11250,60289
Andhra Pradesh,Prakasam,2024,254234,179638,135998,128838,42903,12098,79733
Andhra Pradesh,Prakasam,2025,393419,67359,112638,121663,11628,1735,87442
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,143084,185502,49301,12622,67528,16597,87952
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,434775,136174,67984,18868,59973,15466,42128
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,486038,194661,136044,73530,79968,5654,63231
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,163757,14472,70142,129097,6918,3341,53803
Andhra Pradesh,Sri Potti Sriramulu Nellore,2019,343472,77646,12852,130051,79355,8512,29123
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,464931,90748,19124,18831,63898,15601,61004
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,276658,82342,125766,38817,79967,8115,14619
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,202931,125137,38008,25256,54754,18774,69746
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,152610,29232,46655,99356,74717,18031,84237
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,120045,41094,18276,110917,26412,10760,2957
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,29129,97612,79171,95305,59427,10692,48397
Andhra Pradesh,Sri Sathya Sai,2015,393556,134278,53577,76341,33679,12374,54344
Andhra Pradesh,Sri Sathya Sai,2016,320345,37618,56940,59067,40611,16482,22486
Andhra Pradesh,Sri Sathya Sai,2017,60598,173697,142489,49670,30695,11444,85986
Andhra Pradesh,Sri Sathya Sai,2018,324848,12171,134161,22545,2984,1469,41031
Andhra Pradesh,Sri Sathya Sai,2019,160095,166188,109008,18634,51690,15580,77252
Andhra Pradesh,Sri Sathya Sai,2020,103209,111154,126483,142482,49214,12617,12121
Andhra Pradesh,Sri Sathya Sai,2021,94283,191122,115850,67659,53487,10339,4386
Andhra Pradesh,Sri Sathya Sai,2022,201910,122082,96166,41786,30328,13439,30527
Andhra Pradesh,Sri Sathya Sai,2023,283224,81754,12634,39707,49644,9867,70395
Andhra Pradesh,Sri Sathya Sai,2024,17712,166592,82065,41315,48971,10271,80979
Andhra Pradesh,Sri Sathya Sai,2025,420653,73310,67091,71970,20086,14203,12653
Andhra Pradesh,Srikakulam,2015,311942,24726,61958,97906,18242,2277,95951
Andhra Pradesh,Srikakulam,2016,7809,132179,27031,31214,42170,2891,89439
Andhra Pradesh,Srikakulam,2017,250315,54400,103412,5559,43919,17381,69886
Andhra Pradesh,Srikakulam,2018,6061,161295,116563,139446,58152,19601,47314
Andhra Pradesh,Srikakulam,2019,207820,119410,123527,49789,23549,340,13155
Andhra Pradesh,Srikakulam,2020,486026,1156,57319,36878,62184,15482,50956
Andhra Pradesh,Srikakulam,2021,139200,87772,142164,129942,7193,18087,9558
Andhra Pradesh,Srikakulam,2022,399555,25995,96297,49351,24876,9817,3802
Andhra Pradesh,Srikakulam,2023,40039,4348,57807,70413,62041,11461,55853
Andhra Pradesh,Srikakulam,2024,324540,39261,67013,103707,71360,7735,50552
Andhra Pradesh,Srikakulam,2025,112528,139527,80501,87378,5264,17239,43915
Andhra Pradesh,Tirupati,2015,445297,148488,4070,89084,53905,11352,13610
Andhra Pradesh,Tirupati,2016,26027,65900,99809,104329,31884,1971,38788
Andhra Pradesh,Tirupati,2017,482284,77706,79879,47670,16575,3496,87796
Andhra Pradesh,Tirupati,2018,95110,49072,76466,15793,19066,6017,32928
Andhra Pradesh,Tirupati,2019,62373,9693,149646,66309,3466,5591,92890
Andhra Pradesh,Tirupati,2020,84468,45562,79260,123461,69998,14437,82831
Andhra Pradesh,Tirupati,2021,23688,121110,29878,41206,68909,1033,25128
Andhra Pradesh,Tirupati,2022,160804,111963,99794,5567,78102,3549,16745
Andhra Pradesh,Tirupati,2023,420992,89023,107738,90540,60339,17617,89962
Andhra Pradesh,Tirupati,2024,193032,131000,70546,113353,16870,2476,88139
Andhra Pradesh,Tirupati,2025,494906,94859,23102,10097,16024,14883,96646
Andhra Pradesh,Visakhapatnam,2015,22744,49098,63315,50615,9560,6320,9389
Andhra Pradesh,Visakhapatnam,2016,278107,189547,92261,37068,68984,14551,28919
Andhra Pradesh,Visakhapatnam,2017,278671,108423,51748,66545,73258,19933,37515
Andhra Pradesh,Visakhapatnam,2018,136888,94637,143598,149741,4774,1767,4681
Andhra Pradesh,Visakhapatnam,2019,47210,96899,114832,97327,26547,14154,84676
Andhra Pradesh,Visakhapatnam,2020,459420,80688,141390,67183,64175,5483,73743
Andhra Pradesh,Visakhapatnam,2021,229982,52276,89320,17492,39092,3229,85104
Andhra Pradesh,Visakhapatnam,2022,422551,194090,112991,88894,73860,15843,69608
Andhra Pradesh,Visakhapatnam,2023,241825,95417,37506,99475,63665,10149,44989
Andhra Pradesh,Visakhapatnam,2024,109598,19100,130045,125745,61057,16642,16311
Andhra Pradesh,Visakhapatnam,2025,190397,154176,96682,103308,6212,1897,66151
Andhra Pradesh,Vizianagaram,2015,181411,37699,19126,3782,36602,13641,49282
Andhra Pradesh,Vizianagaram,2016,452206,57185,85598,24765,63270,6391,7879
Andhra Pradesh,Vizianagaram,2017,369607,101277,9501,91481,32488,8986,37754
Andhra Pradesh,Vizianagaram,2018,444766,15480,38979,72849,40033,5909,28578
Andhra Pradesh,Vizianagaram,2019,110352,138571,69718,10119,42051,884,84834
Andhra Pradesh,Vizianagaram,2020,183023,127053,62318,23081,6877,8041,17943
Andhra Pradesh,Vizianagaram,2021,96166,189980,75639,132907,22329,7850,80765
Andhra Pradesh,Vizianagaram,2022,406079,52218,62580,69438,27015,5098,42177
Andhra Pradesh,Vizianagaram,2023,117297,79732,57511,27844,75187,14555,24503
Andhra Pradesh,Vizianagaram,2024,269430,58993,70956,147385,38039,18909,57782
Andhra Pradesh,Vizianagaram,2025,254467,114298,113154,24178,71296,9108,36836
Andhra Pradesh,West Godavari,2015,435938,82857,12245,11525,44897,1046,15057
Andhra Pradesh,West Godavari,2016,297359,160031,79869,26305,5373,14550,11904
Andhra Pradesh,West Godavari,2017,58556,168101,142601,146909,69446,10314,54796
Andhra Pradesh,West Godavari,2018,155143,187715,45965,114563,43109,16518,20976
Andhra Pradesh,West Godavari,2019,336756,26328,5704,69571,56396,16124,83857
Andhra Pradesh,West Godavari,2020,251348,141348,26442,98822,69207,10276,90334
Andhra Pradesh,West Godavari,2021,349801,30987,134386,43685,8981,17225,66652
Andhra Pradesh,West Godavari,2022,76850,12355,115350,106251,32738,15470,99752
Andhra Pradesh,West Godavari,2023,66010,159982,17449,97505,73218,2170,96463
Andhra Pradesh,West Godavari,2024,483886,197297,81817,118701,42794,12605,67799
Andhra Pradesh,West Godavari,2025,65920,63845,67361,139679,79090,4101,65364
Andhra Pradesh,YSR Kadapa,2015,128844,47077,14977,32590,29702,15359,47126
Andhra Pradesh,YSR Kadapa,2016,121006,183406,14608,117562,34709,18524,65076
Andhra Pradesh,YSR Kadapa,2017,294242,199056,114424,134057,27749,10727,7649
Andhra Pradesh,YSR Kadapa,2018,369410,84217,60384,86556,532,13404,18753
Andhra Pradesh,YSR Kadapa,2019,18754,92886,105302,96704,48647,17687,15651
Andhra Pradesh,YSR Kadapa,2020,322554,102006,21037,11550,41813,7305,38744
Andhra Pradesh,YSR Kadapa,2021,79181,52316,74912,101307,41169,1778,7809
Andhra Pradesh,YSR Kadapa,2022,372925,188496,114079,110230,64519,12026,44989
Andhra Pradesh,YSR Kadapa,2023,169877,133981,40714,145727,4873,2306,75374
Andhra Pradesh,YSR Kadapa,2024,96835,102176,82736,27696,19308,7707,46495
Andhra Pradesh,YSR Kadapa,2025,134970,13834,118251,48284,41633,10177,84679
Arunachal Pradesh,Tawang,2015,40496,86159,32931,97904,48242,4454,4278
Arunachal Pradesh,Tawang,2016,103247,175835,86216,5076,64065,13015,2423
Arunachal Pradesh,Tawang,2017,216425,156475,113302,49813,74252,5046,75919
Arunachal Pradesh,Tawang,2018,234477,35530,48210,58220,71004,8433,48686
Arunachal Pradesh,Tawang,2019,53526,95539,3357,126152,41362,12543,60535
Arunachal Pradesh,Tawang,2020,455500,34128,74934,36432,40487,9891,27934
Arunachal Pradesh,Tawang,2021,265390,114845,74930,20495,14020,17411,74961
Arunachal Pradesh,Tawang,2022,39911,194393,41523,3412,50091,2044,74484
Arunachal Pradesh,Tawang,2023,156881,78386,102432,94797,4122,1504,54537
Arunachal Pradesh,Tawang,2024,203105,98422,56410,114801,58881,1054,81589
Arunachal Pradesh,Tawang,2025,304361,160760,70266,79500,5840,16629,33625
Arunachal Pradesh,West Kameng,2015,469160,157641,62088,4242,17419,13043,31837
Arunachal Pradesh,West Kameng,2016,468650,80924,132970,30605,34638,12840,55003
Arunachal Pradesh,West Kameng,2017,469330,82884,4146,100353,23291,18750,88847
Arunachal Pradesh,West Kameng,2018,56053,173226,14893,84489,56382,887,36145
Arunachal Pradesh,West Kameng,2019,396807,134789,8713,148747,10494,17507,78568
Arunachal Pradesh,West Kameng,2020,411280,56432,68028,114881,34077,9284,5945
Arunachal Pradesh,West Kameng,2021,92980,26270,20220,120909,73148,12503,35007
Arunachal Pradesh,West Kameng,2022,19862,190780,63052,67013,9809,241,4252
Arunachal Pradesh,West Kameng,2023,212267,89978,133893,84475,38188,13401,9608
Arunachal Pradesh,West Kameng,2024,126264,154329,24537,105271,10450,15016,39556
Arunachal Pradesh,West Kameng,2025,499389,129284,142500,71803,71288,6920,680
Arunachal Pradesh,East Kameng,2015,281640,163154,15918,83223,65328,9902,41436
Arunachal Pradesh,East Kameng,2016,177580,120743,39226,44111,32383,16332,35008
Arunachal Pradesh,East Kameng,2017,170826,112362,74691,15363,43722,16203,95627
Arunachal Pradesh,East Kameng,2018,322002,95728,119623,15462,1273,11001,40189
Arunachal Pradesh,East Kameng,2019,338961,91023,76275,44924,60283,5405,63799
Arunachal Pradesh,East Kameng,2020,280452,41471,88872,101805,29650,17680,86035
Arunachal Pradesh,East Kameng,2021,445783,78744,100555,102872,78148,2310,88247
Arunachal Pradesh,East Kameng,2022,333965,76783,142975,86827,44957,14756,66861
Arunachal Pradesh,East Kameng,2023,206654,91439,94693,26216,41166,13662,57410
Arunachal Pradesh,East Kameng,2024,228186,65015,95427,142267,57770,18756,57539
Arunachal Pradesh,East Kameng,2025,304391,141940,109718,22685,10216,4648,77433
Arunachal Pradesh,Papum Pare,2015,449969,179961,77119,73639,23487,17128,34501
Arunachal Pradesh,Papum Pare,2016,128215,178558,43319,101220,65755,13452,74722
Arunachal Pradesh,Papum Pare,2017,97511,131850,9770,109872,48483,10183,70525
Arunachal Pradesh,Papum Pare,2018,269421,75365,105843,77485,5315,9834,45172
Arunachal Pradesh,Papum Pare,2019,307262,106490,36989,34259,31130,17183,19866
Arunachal Pradesh,Papum Pare,2020,131387,160990,133276,128783,25223,17742,92034
Arunachal Pradesh,Papum Pare,2021,474411,70852,146601,121915,12402,5475,75715
Arunachal Pradesh,Papum Pare,2022,186117,115387,42044,57574,4253,10014,71159
Arunachal Pradesh,Papum Pare,2023,141412,73161,145112,55002,66177,1375,77185
Arunachal Pradesh,Papum Pare,2024,152802,116896,46423,100564,33262,14916,73800
Arunachal Pradesh,Papum Pare,2025,344660,73749,14885,58461,39559,13061,84210
Arunachal Pradesh,Kurung Kumey,2015,157070,26868,57524,10461,34986,3713,80922
Arunachal Pradesh,Kurung Kumey,2016,38223,11684,10798,37847,8217,11056,68053
