state,district,year,total_hospitals,government_hospitals,private_hospitals,hospital_beds,icu_beds,ventilators,doctors,nurses,ambulances,primary_health_centers,community_health_centers,maternal_mortality_rate,infant_mortality_rate,life_expectancy,vaccination_rate,health_expenditure_per_capita,patients_per_day
Andhra Pradesh,Anakapalli,2024,198,88,21,1872,422,51,1389,1861,109,14,2,132.41,41.37,68.32,60.2,11491,1395
Andhra Pradesh,Anakapalli,2025,186,80,161,1977,395,159,1423,2446,87,59,28,182.79,30.02,72.06,61.75,8411,2515
Andhra Pradesh,Anantapur,2015,150,98,117,1541,275,191,1114,553,95,49,16,177.84,23.95,66.9,78.75,7265,3169
Andhra Pradesh,Anantapur,2016,228,21,10,4938,314,99,1416,115,30,20,20,166.57,32.97,68.89,94.35,8967,2780
Andhra Pradesh,Anantapur,2017,39,66,57,2524,417,37,607,2352,64,54,21,60.25,20.75,71.76,81.82,6889,2895
Andhra Pradesh,Anantapur,2018,81,86,72,4061,272,53,594,1479,62,33,30,86.36,19.28,70.3,65.37,11662,3507
Andhra Pradesh,Anantapur,2019,121,116,197,4408,180,72,1214,2866,94,34,23,105.44,16.66,73.57,83.3,8971,2562
Andhra Pradesh,Anantapur,2020,78,113,199,4864,132,174,1083,2863,73,13,21,103.12,15.02,71.88,79.74,5930,4432
Andhra Pradesh,Anantapur,2021,113,37,33,402,401,93,153,177,23,49,24,97.92,33.12,72.82,62.08,3704,3140
Andhra Pradesh,Anantapur,2022,62,54,153,2158,399,42,1321,653,115,33,3,193.11,32.9,69.53,84.56,4295,218
Andhra Pradesh,Anantapur,2023,132,86,113,1865,159,65,1280,612,79,70,11,102.67,21.24,65.68,69.94,7402,825
Andhra Pradesh,Anantapur,2024,231,88,109,1043,185,176,286,1908,72,6,2,192.15,10.04,70.01,70.79,8314,3453
Andhra Pradesh,Anantapur,2025,281,106,103,806,261,123,1415,2418,23,6,10,114.75,10.56,73.21,71.85,2212,769
Andhra Pradesh,Annamayya,2015,68,80,193,1203,483,145,651,2510,99,45,32,171.19,56.68,71.07,84.95,11692,2075
Andhra Pradesh,Annamayya,2016,82,60,12,1523,183,6,593,331,102,7,2,90.91,57.06,67.23,89.42,2895,4048
Andhra Pradesh,Annamayya,2017,176,70,171,3449,489,67,450,1241,108,55,27,149.13,35.27,66.77,87.08,3109,1648
Andhra Pradesh,Annamayya,2018,178,84,18,2500,379,105,128,2337,67,29,33,158.21,16.94,65.67,94.84,10375,2693
Andhra Pradesh,Annamayya,2019,290,113,165,2821,308,25,649,645,28,59,17,82.45,34.66,67.77,77.29,4362,602
Andhra Pradesh,Annamayya,2020,160,66,169,674,127,103,286,2834,44,24,27,107.31,46.06,67.76,92.8,11441,3183
Andhra Pradesh,Annamayya,2021,104,92,84,747,115,54,199,2164,13,26,21,161.82,11.09,74.39,78.42,3494,448
Andhra Pradesh,Annamayya,2022,146,115,88,3597,475,137,123,2658,24,53,39,81.92,15.1,67.62,67.35,8141,1446
Andhra Pradesh,Annamayya,2023,122,112,27,3921,41,68,609,1110,17,15,31,84.56,42.3,74.57,77.16,8614,2007
Andhra Pradesh,Annamayya,2024,154,47,192,4324,41,115,526,2943,5,57,4,130.01,23.38,67.59,74.61,2501,236
Andhra Pradesh,Annamayya,2025,187,36,28,1836,184,114,892,482,76,36,27,162.32,13.65,70.93,94.39,8939,909
Andhra Pradesh,Bapatla,2015,95,64,92,4180,260,150,116,1144,63,17,5,86.38,16.74,67.83,76.27,7806,1817
Andhra Pradesh,Bapatla,2016,118,32,150,2915,20,56,1179,2396,79,67,4,148.91,52.99,67.48,92.96,10624,1573
Andhra Pradesh,Bapatla,2017,284,71,120,3178,96,190,112,1446,114,18,17,176.28,12.47,71.42,96.93,11436,3771
Andhra Pradesh,Bapatla,2018,231,110,93,2283,469,69,175,2158,29,58,33,181.48,17.72,73.81,82.34,4225,4500
Andhra Pradesh,Bapatla,2019,191,111,28,649,236,192,887,2724,118,16,31,58.06,19.78,65.63,69.95,4387,639
Andhra Pradesh,Bapatla,2020,283,25,133,4485,75,183,820,2667,69,74,35,87.04,34.46,74.11,67.98,3639,2027
Andhra Pradesh,Bapatla,2021,48,101,82,1849,300,96,1158,2639,24,9,6,70.46,23.8,73.02,89.89,8594,2352
Andhra Pradesh,Bapatla,2022,260,22,19,1204,385,122,955,330,47,53,37,146.35,45.18,67.43,76.02,14740,565
Andhra Pradesh,Bapatla,2023,183,31,192,696,271,139,1455,302,36,29,35,94.64,23.65,66.16,61.09,11796,818
Andhra Pradesh,Bapatla,2024,156,43,125,2923,380,123,1430,2034,59,19,18,162.98,11.11,68.58,81.88,11737,2689
Andhra Pradesh,Bapatla,2025,223,28,29,4497,465,138,1073,411,39,73,17,66.8,50.43,70.36,77.3,14564,2000
Andhra Pradesh,Chittoor,2015,282,58,132,3492,109,123,146,103,94,71,39,72.34,53.74,69.59,84.25,11453,177
Andhra Pradesh,Chittoor,2016,120,45,18,2829,250,149,179,2981,111,56,35,190.32,33.17,65.51,83.76,7707,710
Andhra Pradesh,Chittoor,2017,104,11,147,2668,183,193,977,2180,58,75,38,168.24,33.79,70.19,75.83,9722,691
Andhra Pradesh,Chittoor,2018,138,119,110,683,336,120,327,255,90,41,3,193.35,41.21,70.75,74.72,12075,4784
Andhra Pradesh,Chittoor,2019,25,8,176,1086,445,87,617,2607,77,38,26,145.47,13.2,72.85,71.86,14704,2698
Andhra Pradesh,Chittoor,2020,70,24,49,4834,193,172,70,2800,62,50,35,144.1,57.3,66.26,74.38,12903,4316
Andhra Pradesh,Chittoor,2021,26,67,56,2158,265,37,330,217,29,17,35,75.95,49.14,66.48,81.02,14180,338
Andhra Pradesh,Chittoor,2022,223,70,145,446,486,48,267,2369,8,17,19,167.68,57.2,70.73,80.79,5531,1841
Andhra Pradesh,Chittoor,2023,125,77,130,4988,166,93,1010,331,11,18,19,52.06,21.17,65.83,72.95,13396,4054
Andhra Pradesh,Chittoor,2024,221,86,166,3203,328,149,1211,900,7,43,13,149.7,50.1,71.64,95.54,3748,4552
Andhra Pradesh,Chittoor,2025,61,71,191,4338,51,43,1207,2748,99,45,13,130.82,35.23,72.44,90.41,6153,2374
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,153,29,157,1066,157,74,1134,784,98,17,10,168.7,39.38,70.2,61.83,11711,4205
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2016,137,34,34,3082,60,65,1188,2484,38,75,38,153.29,55.56,69.13,92.5,3793,2594
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2017,41,65,68,289,211,45,1490,664,95,63,20,53.15,24.94,72.88,75.49,6521,3399
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2018,54,88,52,312,386,133,1327,2477,20,35,3,87.87,19.2,68.41,93.81,5375,4228
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2019,158,72,89,2843,235,75,627,2454,102,30,11,154.71,47.36,70.73,77.42,11598,4071
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2020,166,100,186,2770,53,170,172,1609,45,63,2,81.46,39.02,70.89,67.34,10860,248
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2021,26,79,188,4680,450,24,1088,1238,51,17,24,115.02,22.79,65.24,68.75,12648,2881
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,124,12,120,1434,65,159,449,1162,118,49,25,129.93,17.18,68.05,78.12,9159,349
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2023,298,75,62,2373,53,59,1317,2580,82,78,20,146.53,35.05,66.79,69.81,5705,4774
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2024,77,89,154,508,339,194,1331,599,106,61,16,161.0,40.46,71.61,70.08,9086,801
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2025,229,52,167,688,122,18,363,1805,18,40,34,148.74,43.76,65.52,77.74,12002,472
Andhra Pradesh,East Godavari,2015,164,116,108,1765,347,46,908,812,96,55,9,145.77,50.92,68.31,92.89,3870,3075
Andhra Pradesh,East Godavari,2016,201,18,12,484,282,95,1337,955,98,41,13,93.38,42.82,73.15,73.93,6788,1988
Andhra Pradesh,East Godavari,2017,247,55,68,867,100,19,1368,2291,59,17,12,190.36,42.24,73.94,69.04,2050,1040
Andhra Pradesh,East Godavari,2018,158,20,162,2870,469,152,622,2797,99,36,7,108.37,46.45,70.15,83.04,12871,749
Andhra Pradesh,East Godavari,2019,107,43,28,3297,375,66,924,192,84,56,18,183.71,52.63,68.93,96.0,8271,4758
Andhra Pradesh,East Godavari,2020,129,104,176,4128,253,89,1427,1163,47,69,22,192.71,56.26,73.95,62.94,10508,2633
Andhra Pradesh,East Godavari,2021,116,35,49,1915,200,84,974,644,104,9,5,137.48,15.15,67.0,96.97,8543,2075
Andhra Pradesh,East Godavari,2022,60,83,72,3245,188,127,511,1810,5,73,39,72.32,53.73,74.28,70.45,14014,555
Andhra Pradesh,East Godavari,2023,185,112,183,1090,437,5,690,2646,48,57,14,193.67,16.61,70.69,61.14,10634,4519
Andhra Pradesh,East Godavari,2024,280,64,136,1335,69,37,1442,2494,94,80,5,54.87,29.43,68.53,83.28,2778,4722
Andhra Pradesh,East Godavari,2025,180,53,47,1319,203,113,880,358,65,34,25,72.69,31.13,72.21,61.54,11389,2590
Andhra Pradesh,Eluru,2015,26,100,164,467,462,124,61,2280,88,61,40,100.24,25.75,65.11,72.64,2103,1234
Andhra Pradesh,Eluru,2016,244,92,71,1588,264,107,467,2548,113,16,40,174.32,41.19,66.84,96.17,12870,3148
Andhra Pradesh,Eluru,2017,43,52,113,2204,308,28,664,1221,55,56,32,192.7,14.21,70.82,79.14,4581,1103
Andhra Pradesh,Eluru,2018,160,24,173,3549,358,36,519,1248,107,19,38,54.7,16.44,71.18,91.54,4924,2842
Andhra Pradesh,Eluru,2019,110,33,53,3269,252,51,221,2133,115,50,16,168.35,45.91,65.97,81.99,11907,1159
Andhra Pradesh,Eluru,2020,222,114,200,972,190,80,959,382,97,54,5,61.47,53.7,71.76,64.37,14678,539
Andhra Pradesh,Eluru,2021,132,87,142,2484,466,156,391,775,74,21,35,126.49,35.71,74.42,93.2,6560,1798
Andhra Pradesh,Eluru,2022,197,72,112,2328,217,94,595,1622,37,60,6,156.13,55.48,68.44,72.47,4489,731
Andhra Pradesh,Eluru,2023,269,70,43,3291,364,119,56,1212,108,8,12,191.88,48.63,69.14,60.52,14310,4762
Andhra Pradesh,Eluru,2024,72,92,54,4396,295,125,735,1352,92,22,15,168.18,27.72,73.11,90.61,4396,1356
Andhra Pradesh,Eluru,2025,194,62,174,691,116,39,1418,1280,32,35,40,196.71,41.09,66.99,87.73,6028,3667
Andhra Pradesh,Guntur,2015,43,57,175,2127,261,41,1348,994,67,40,22,190.09,43.41,67.87,84.65,11431,2487
Andhra Pradesh,Guntur,2016,113,106,179,249,36,193,210,1498,41,47,12,149.49,36.56,74.85,67.4,12022,3788
Andhra Pradesh,Guntur,2017,178,33,175,3023,411,115,189,1239,9,44,40,138.61,29.9,65.88,85.7,11593,4345
Andhra Pradesh,Guntur,2018,265,63,7,1087,342,181,954,211,41,57,35,192.13,27.11,73.05,97.84,12255,1396
Andhra Pradesh,Guntur,2019,37,81,74,2853,64,76,842,2479,6,28,40,63.13,21.91,67.66,92.21,8232,1269
Andhra Pradesh,Guntur,2020,215,7,33,533,172,150,1064,1885,15,22,19,196.66,38.66,68.7,74.34,14595,4809
Andhra Pradesh,Guntur,2021,224,88,75,3828,117,165,872,968,48,32,7,163.39,54.29,72.79,97.53,9449,1864
Andhra Pradesh,Guntur,2022,258,79,29,4859,171,71,1112,1371,116,77,21,175.3,18.63,68.05,69.47,11435,1809
Andhra Pradesh,Guntur,2023,67,51,174,2228,322,81,1040,736,97,18,30,122.36,12.43,73.74,71.9,13565,3247
Andhra Pradesh,Guntur,2024,294,24,6,1805,484,64,798,1819,6,10,8,132.74,13.6,66.63,89.25,11208,3675
Andhra Pradesh,Guntur,2025,285,120,97,1753,219,151,1337,1526,36,40,20,174.44,56.51,70.57,71.99,13040,1209
Andhra Pradesh,Kakinada,2015,169,79,58,3063,296,195,1092,335,87,25,29,168.81,25.51,66.94,81.91,8354,2033
Andhra Pradesh,Kakinada,2016,59,62,109,277,80,116,744,460,94,7,2,82.02,21.26,74.38,93.3,14399,4256
Andhra Pradesh,Kakinada,2017,187,107,7,3981,318,15,532,1335,65,64,36,55.96,12.81,67.04,69.99,6613,3204
Andhra Pradesh,Kakinada,2018,193,116,69,712,454,8,504,2766,34,22,31,126.68,29.29,74.16,69.83,13921,3291
Andhra Pradesh,Kakinada,2019,155,112,58,4213,442,66,757,1279,37,58,29,94.38,25.93,70.91,70.86,9097,2935
Andhra Pradesh,Kakinada,2020,262,114,43,1750,149,163,1090,2420,105,70,36,167.37,24.09,67.08,72.25,12301,2560
Andhra Pradesh,Kakinada,2021,54,12,75,4350,112,198,356,671,118,72,5,141.52,44.58,68.74,79.73,14179,3621
Andhra Pradesh,Kakinada,2022,96,62,82,1203,403,34,1382,1306,95,31,2,118.48,30.57,66.23,72.79,8700,2451
Andhra Pradesh,Kakinada,2023,43,25,69,1383,468,198,368,423,80,26,30,165.92,20.19,65.56,86.93,10491,3517
Andhra Pradesh,Kakinada,2024,219,61,166,1868,130,95,1469,1796,12,21,20,133.75,58.33,73.2,91.31,5564,1345
Andhra Pradesh,Kakinada,2025,236,48,196,798,206,163,248,2009,70,37,31,186.75,38.93,70.56,95.24,4121,4429
Andhra Pradesh,Krishna,2015,52,109,14,3941,233,143,1041,2801,39,68,6,96.82,20.59,71.75,85.45,4627,2318
Andhra Pradesh,Krishna,2016,99,60,123,1720,72,150,580,896,104,46,39,114.4,52.84,69.37,76.55,13122,2638
Andhra Pradesh,Krishna,2017,265,6,68,4459,365,38,419,534,36,68,17,80.03,36.46,65.97,64.08,2920,1295
Andhra Pradesh,Krishna,2018,276,24,43,2523,202,192,971,2188,91,66,22,55.38,35.72,74.42,86.11,6615,1270
Andhra Pradesh,Krishna,2019,75,43,53,4189,399,89,1055,2897,29,16,39,163.91,20.39,71.72,91.3,12529,454
Andhra Pradesh,Krishna,2020,84,59,60,1433,158,160,826,1748,91,19,27,186.47,18.76,65.45,88.83,10106,3201
Andhra Pradesh,Krishna,2021,122,70,57,1215,428,78,325,1014,90,80,34,89.77,48.71,67.4,66.61,7052,417
Andhra Pradesh,Krishna,2022,249,65,55,2095,450,58,1439,1509,38,40,27,95.73,52.0,72.33,88.41,3901,996
Andhra Pradesh,Krishna,2023,123,104,161,2059,80,186,867,1674,83,24,12,91.02,17.77,70.71,72.57,13039,2027
Andhra Pradesh,Krishna,2024,277,107,189,1464,283,104,853,1771,91,44,16,196.46,47.52,72.5,90.27,12787,4219
Andhra Pradesh,Krishna,2025,67,49,106,1094,196,14,768,2981,48,38,34,139.21,36.15,67.04,77.78,10411,1550
Andhra Pradesh,Kurnool,2015,24,39,74,2014,78,65,1343,2681,49,57,34,86.08,40.23,67.94,73.17,8703,3730
Andhra Pradesh,Kurnool,2016,20,5,171,4230,362,166,1006,2736,26,49,24,167.29,12.44,70.03,77.45,13339,3850
Andhra Pradesh,Kurnool,2017,80,53,117,4927,272,17,1270,539,11,71,36,67.96,35.73,66.31,69.88,7111,3955
Andhra Pradesh,Kurnool,2018,109,105,149,2483,423,18,691,216,45,56,29,194.47,56.45,71.55,82.32,8667,1938
Andhra Pradesh,Kurnool,2019,163,16,88,1625,322,53,89,1504,71,47,16,105.64,13.59,68.35,76.33,5439,3752
Andhra Pradesh,Kurnool,2020,139,114,187,1440,140,165,191,2906,36,18,38,179.66,56.97,66.93,80.32,11469,3680
Andhra Pradesh,Kurnool,2021,246,21,138,979,301,76,521,2056,36,5,25,79.55,29.15,66.82,97.75,10842,3390
Andhra Pradesh,Kurnool,2022,74,104,22,1624,422,100,431,888,15,69,36,56.01,35.13,73.06,92.53,10381,4321
Andhra Pradesh,Kurnool,2023,251,70,124,2473,455,116,1378,2956,23,80,9,162.0,13.39,74.7,95.65,11704,1531
Andhra Pradesh,Kurnool,2024,221,38,30,962,381,169,601,1750,94,80,32,76.5,19.33,66.31,62.23,11137,958
Andhra Pradesh,Kurnool,2025,36,113,10,3935,423,69,966,2388,37,16,15,70.38,43.8,65.82,94.12,2121,2881
Andhra Pradesh,Nandyal,2015,47,17,30,1067,178,46,575,2108,46,69,30,74.75,52.23,68.71,77.27,11131,3276
Andhra Pradesh,Nandyal,2016,130,110,75,4247,412,61,1463,634,112,72,16,54.92,54.93,71.08,60.28,9444,1854
Andhra Pradesh,Nandyal,2017,138,83,200,436,48,63,207,616,92,36,14,146.18,22.72,68.69,75.69,4734,4597
Andhra Pradesh,Nandyal,2018,246,80,149,493,339,156,186,536,30,24,36,173.76,58.45,66.54,80.19,9282,3431
Andhra Pradesh,Nandyal,2019,150,93,115,984,424,117,113,1447,61,72,21,54.41,38.19,69.39,71.27,8372,3872
Andhra Pradesh,Nandyal,2020,167,100,192,2927,80,126,166,1544,48,69,25,50.2,16.19,72.24,95.59,12152,2548
Andhra Pradesh,Nandyal,2021,279,120,115,4232,323,88,808,810,80,16,12,89.33,13.42,73.23,66.32,9417,681
Andhra Pradesh,Nandyal,2022,295,37,142,1024,218,22,1438,656,5,52,36,78.57,55.68,72.35,62.71,14098,4390
Andhra Pradesh,Nandyal,2023,23,29,13,1377,89,136,171,2859,63,17,28,79.63,59.9,66.14,81.1,9126,2341
Andhra Pradesh,Nandyal,2024,142,19,145,4478,56,154,472,822,105,28,4,189.31,41.48,68.73,86.16,13886,657
Andhra Pradesh,Nandyal,2025,212,38,132,788,325,17,1189,2193,10,26,30,59.51,48.72,73.06,83.47,3714,730
Andhra Pradesh,NTR,2015,72,33,155,1098,97,104,197,2544,59,36,26,199.89,58.06,68.48,66.46,9549,205
Andhra Pradesh,NTR,2016,153,107,181,3235,71,171,956,689,111,71,33,116.79,20.56,70.4,81.86,12965,4994
Andhra Pradesh,NTR,2017,266,49,180,751,76,121,1267,2253,106,54,8,94.25,40.59,67.61,89.27,6117,944
Andhra Pradesh,NTR,2018,290,117,167,3383,464,157,267,1297,95,12,36,195.1,45.84,70.1,95.97,3589,1323
Andhra Pradesh,NTR,2019,178,39,190,4365,290,11,590,1294,82,74,40,68.61,47.73,68.3,77.07,5737,4428
Andhra Pradesh,NTR,2020,188,77,115,1829,471,89,275,2757,114,78,23,66.91,46.93,68.65,70.86,2636,2022
Andhra Pradesh,NTR,2021,77,28,83,985,307,86,490,1783,64,53,11,184.33,45.3,65.85,87.81,6312,4564
Andhra Pradesh,NTR,2022,270,77,108,2669,212,50,1058,1839,28,49,36,172.3,18.97,66.14,81.83,9088,3057
Andhra Pradesh,NTR,2023,184,102,41,1475,82,24,1128,1415,65,10,38,171.41,17.8,68.16,77.73,13252,3798
Andhra Pradesh,NTR,2024,64,118,152,3951,440,169,1099,1995,45,74,39,182.2,28.63,72.24,71.89,13244,3222
Andhra Pradesh,NTR,2025,281,12,154,1316,233,199,559,2357,101,65,17,139.84,17.2,71.18,85.81,2303,4385
Andhra Pradesh,Palnadu,2015,37,79,133,1889,340,27,1471,2370,45,9,17,129.53,50.91,68.77,82.94,10204,1664
Andhra Pradesh,Palnadu,2016,279,24,176,713,334,147,203,2802,97,72,25,137.97,21.46,65.54,79.17,12944,2650
Andhra Pradesh,Palnadu,2017,43,107,121,3704,182,77,353,2637,10,29,40,85.05,26.76,72.47,61.86,11959,3574
Andhra Pradesh,Palnadu,2018,48,29,92,3717,93,151,407,2011,46,34,11,144.45,19.75,66.9,71.56,8872,3538
Andhra Pradesh,Palnadu,2019,83,88,163,453,302,54,944,2455,105,71,31,50.63,19.73,68.67,84.89,14105,1911
Andhra Pradesh,Palnadu,2020,61,22,144,2808,98,135,1081,1876,50,41,3,140.12,57.57,70.01,63.91,6430,3273
Andhra Pradesh,Palnadu,2021,26,35,115,1404,305,161,257,1853,94,74,28,123.54,28.18,73.35,94.27,9734,1274
Andhra Pradesh,Palnadu,2022,168,59,147,380,424,192,546,1530,41,6,17,185.81,46.52,72.76,83.36,4090,2291
Andhra Pradesh,Palnadu,2023,291,118,22,1355,246,58,1128,1428,44,19,28,109.06,36.82,66.01,62.86,13588,4209
Andhra Pradesh,Palnadu,2024,217,22,11,812,182,169,143,1750,66,48,13,171.57,17.27,66.8,81.22,11159,1923
Andhra Pradesh,Palnadu,2025,171,31,165,819,51,40,1002,580,119,11,30,192.5,48.67,65.45,95.2,11242,1965
Andhra Pradesh,Parvathipuram Manyam,2015,107,15,5,897,229,94,1274,2384,113,28,30,163.57,44.96,73.01,64.09,9578,4407
Andhra Pradesh,Parvathipuram Manyam,2016,190,96,141,4622,471,171,1168,2913,108,14,4,193.16,15.03,74.73,74.26,6185,4800
Andhra Pradesh,Parvathipuram Manyam,2017,233,81,44,4618,299,80,745,2652,41,25,17,125.73,24.36,74.3,69.66,4207,3896
Andhra Pradesh,Parvathipuram Manyam,2018,196,76,175,3039,323,141,238,271,10,49,39,82.95,39.48,69.09,83.38,3092,3399
Andhra Pradesh,Parvathipuram Manyam,2019,284,76,195,4542,393,26,955,2207,37,37,12,161.61,11.21,65.69,91.35,11971,1675
Andhra Pradesh,Parvathipuram Manyam,2020,37,62,190,1572,495,101,560,1204,47,6,35,183.36,29.44,70.44,94.6,9386,4050
Andhra Pradesh,Parvathipuram Manyam,2021,267,25,43,250,83,82,134,127,107,32,30,52.87,52.16,67.3,76.95,10628,3599
Andhra Pradesh,Parvathipuram Manyam,2022,242,39,175,4825,474,34,918,1996,49,12,20,104.78,55.73,72.77,66.95,11989,2630
Andhra Pradesh,Parvathipuram Manyam,2023,185,91,36,366,280,131,624,2652,90,74,19,106.97,28.74,72.57,85.92,11919,1409
Andhra Pradesh,Parvathipuram Manyam,2024,267,119,143,1028,214,131,1205,1050,19,13,11,183.54,22.67,68.03,65.31,2917,3305
Andhra Pradesh,Parvathipuram Manyam,2025,275,104,49,1877,320,166,207,2877,37,54,22,192.46,32.51,72.37,81.81,13587,3936
Andhra Pradesh,Prakasam,2015,36,28,73,2214,134,58,628,1849,76,22,2,125.47,41.22,66.09,93.28,13383,3274
Andhra Pradesh,Prakasam,2016,117,101,99,4455,198,157,737,1686,82,29,29,134.19,15.09,73.74,76.39,4229,4760
Andhra Pradesh,Prakasam,2017,257,71,72,1695,221,87,380,452,59,60,18,88.72,49.84,68.41,88.45,11813,4658
Andhra Pradesh,Prakasam,2018,161,6,115,1945,126,53,637,2922,66,62,9,73.64,13.05,71.07,95.44,6873,1335
Andhra Pradesh,Prakasam,2019,55,110,66,3107,83,168,115,2675,66,33,36,182.84,29.17,67.15,86.48,14144,4574
Andhra Pradesh,Prakasam,2020,70,61,31,4047,378,84,509,1765,113,68,17,159.09,55.56,74.3,78.13,5746,1118
Andhra Pradesh,Prakasam,2021,271,108,75,2186,43,60,229,728,81,61,36,79.14,55.47,68.84,79.42,12562,1149
Andhra Pradesh,Prakasam,2022,151,72,183,2055,359,133,846,2427,90,13,2,176.77,58.1,71.71,84.01,12205,2953
Andhra Pradesh,Prakasam,2023,229,66,195,825,340,171,1099,2979,33,45,11,55.01,18.51,67.43,76.5,9318,4529
Andhra Pradesh,Prakasam,2024,44,36,109,4824,219,14,149,1051,17,77,16,96.96,23.26,74.88,91.79,14363,1625
Andhra Pradesh,Prakasam,2025,287,78,75,3632,474,176,579,471,72,45,36,117.27,11.15,74.6,64.41,11767,1993
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,117,109,197,3438,244,97,466,1405,111,78,13,105.1,41.45,66.35,75.76,13548,4850
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,254,78,178,4407,328,87,1200,2268,10,5,35,177.5,57.89,67.68,85.34,6727,2223
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,113,96,196,4322,165,151,742,2196,10,36,4,109.53,45.21,65.75,61.75,9887,1930
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,38,64,167,694,477,69,552,509,102,78,28,63.4,49.24,68.12,97.32,4376,3268
Andhra Pradesh,Sri Potti Sriramulu Nellore,2019,40,30,9,4535,373,189,546,2034,39,22,18,130.95,47.71,72.97,80.45,10549,2497
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,92,41,174,2880,315,19,61,1509,111,77,25,153.4,38.23,70.61,78.52,5481,4543
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,181,88,48,2371,302,84,84,2784,26,66,24,171.81,25.6,72.24,79.31,3845,4407
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,202,19,116,523,171,196,365,2205,56,13,18,90.68,55.38,73.63,64.8,3361,4544
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,69,102,71,4219,351,19,995,2300,5,60,4,102.12,29.93,72.33,78.64,11823,4470
