state,district,year,internet_users,broadband_users,mobile_subscribers,internet_penetration,5g_coverage,data_usage,digital_services
Andhra Pradesh,Srikakulam,2020,17.45,43.52,21.04,69.46,10.65,60.71,34.07
Maharashtra,Satara,2016,20.51,45.77,33.49,47.48,60.84,94.91,30.32
Jharkhand,Gumla,2020,16.5,31.95,61.05,40.31,66.14,39.08,63.42
Haryana,Kaithal,2015,13.36,57.88,98.47,89.8,57.27,35.15,97.42
Uttarakhand,Udham Singh Nagar,2017,43.18,98.41,87.51,20.9,26.31,98.25,20.97
Haryana,Hisar,2016,34.66,83.15,93.62,33.0,71.0,24.89,98.38
Andhra Pradesh,Chittoor,2019,62.11,84.39,29.82,90.16,30.4,64.22,67.28
Gujarat,Bharuch,2022,57.5,97.13,56.88,84.39,83.03,61.73,17.46
Nagaland,Longleng,2018,95.42,53.27,76.96,28.03,75.08,32.91,97.27
Madhya Pradesh,Katni,2020,36.91,89.45,32.76,93.19,20.22,48.19,98.02
Uttarakhand,Uttarkashi,2018,86.75,20.25,24.44,57.64,69.14,57.77,94.45
Madhya Pradesh,Dindori,2017,98.26,42.8,79.84,61.26,11.05,57.23,88.09
Andhra Pradesh,Visakhapatnam,2016,44.09,28.61,44.0,30.03,31.51,21.18,60.32
Uttar Pradesh,Chandauli,2023,72.88,54.83,83.06,57.17,87.86,17.97,73.63
Mizoram,Champhai,2018,64.05,79.09,55.89,86.46,62.52,20.76,17.04
Tamil Nadu,Namakkal,2015,64.9,32.1,17.42,61.92,59.33,44.44,84.87
Odisha,Koraput,2017,41.41,77.24,59.28,18.57,55.5,75.98,95.77
Haryana,Rohtak,2017,56.29,36.33,50.21,59.59,49.1,18.44,58.9
Madhya Pradesh,Hoshangabad (Narmadapuram),2022,84.35,97.71,47.25,74.06,18.15,48.7,80.19
Uttar Pradesh,Sambhal,2022,97.38,54.57,74.46,90.41,55.77,47.52,76.4
Odisha,Balasore,2017,43.42,97.87,55.5,55.57,13.37,46.36,35.95
Rajasthan,Sri Ganganagar,2020,70.96,22.22,83.2,12.05,68.62,12.14,55.49
Karnataka,Ramanagara,2020,96.59,47.07,38.2,94.66,79.22,15.96,19.21
Arunachal Pradesh,Tirap,2022,52.06,12.81,35.01,16.63,31.89,65.57,39.95
Andhra Pradesh,Bapatla,2022,72.32,71.35,60.14,69.53,88.07,50.21,32.15
Uttar Pradesh,Farrukhabad,2018,60.43,20.98,95.67,75.37,88.8,64.57,61.03
Arunachal Pradesh,West Siang,2016,63.08,73.66,23.0,36.19,76.35,81.5,51.49
Telangana,Narayanpet,2022,71.89,92.33,57.82,87.27,79.26,68.38,55.02
Uttar Pradesh,Etah,2018,57.68,78.57,66.12,11.45,55.33,49.07,12.1
Nagaland,Zunheboto,2021,53.76,95.81,86.82,67.54,26.8,85.93,50.27
Odisha,Kandhamal,2018,36.92,76.17,84.69,79.7,60.92,62.72,79.34
Madhya Pradesh,Hoshangabad (Narmadapuram),2018,84.79,92.4,27.8,11.71,10.95,27.6,35.48
Uttarakhand,Bageshwar,2019,26.24,89.35,54.78,56.34,98.93,22.25,74.81
Assam,Lakhimpur,2019,65.44,30.68,20.88,90.77,24.63,83.04,56.34
Odisha,Rayagada,2016,65.04,82.22,43.04,30.71,83.39,38.34,82.61
Karnataka,Davanagere,2021,22.04,46.23,76.35,46.97,66.93,76.95,96.53
Odisha,Nayagarh,2025,55.39,61.69,71.92,32.37,49.21,51.4,18.1
Uttar Pradesh,Budaun,2022,63.33,36.58,40.39,44.03,36.06,52.56,74.58
West Bengal,Purulia,2019,23.55,91.9,37.88,96.85,60.95,75.15,52.53
Meghalaya,South Garo Hills,2024,63.89,26.88,93.23,78.57,80.94,94.15,27.41
Telangana,Hanamkonda,2019,21.36,21.91,37.03,94.16,80.76,92.13,79.93
Maharashtra,Raigad,2024,45.98,45.39,55.03,22.39,71.43,62.61,58.96
Sikkim,Gyalshing,2019,10.35,12.47,48.57,39.37,56.02,69.65,93.54
Nagaland,Phek,2022,41.08,50.79,30.22,78.29,65.53,22.46,72.42
Tripura,North Tripura,2018,21.08,84.19,30.76,25.38,41.12,45.49,84.76
Karnataka,Dharwad,2015,47.58,14.65,83.17,99.06,59.91,29.3,83.21
Madhya Pradesh,Sidhi,2023,95.54,97.2,87.27,23.68,84.6,44.98,29.57
Andhra Pradesh,Tirupati,2020,31.57,98.28,49.6,38.16,14.11,78.15,24.89
Andhra Pradesh,Prakasam,2019,41.11,91.84,55.79,60.52,68.97,33.07,58.29
Odisha,Malkangiri,2016,73.69,51.38,24.39,26.98,98.94,72.51,68.71
Madhya Pradesh,Anuppur,2017,78.14,51.85,95.89,67.05,80.39,90.88,14.53
Gujarat,Bhavnagar,2024,10.68,74.49,55.05,54.67,81.1,76.25,65.16
Uttar Pradesh,Ghazipur,2025,93.76,16.68,11.16,27.86,63.5,47.93,95.54
Arunachal Pradesh,Papum Pare,2015,16.09,24.08,96.81,69.18,44.27,21.82,79.66
Madhya Pradesh,Maihar,2020,44.11,55.44,15.02,41.88,25.63,50.6,15.67
Bihar,Patna,2020,94.22,36.87,47.5,38.98,27.35,63.48,12.24
Madhya Pradesh,Niwari,2025,24.21,76.03,89.01,55.86,97.21,52.91,55.04
Madhya Pradesh,Vidisha,2022,27.18,77.52,44.05,79.65,41.34,31.25,68.01
Gujarat,Banaskantha,2016,57.66,22.7,94.59,73.49,33.75,35.33,67.45
Maharashtra,Mumbai Suburban,2018,85.68,94.28,40.86,70.21,31.58,43.11,95.82
Punjab,Sangrur,2020,51.0,28.91,34.74,80.81,36.37,49.6,16.67
Madhya Pradesh,Niwari,2020,14.43,57.11,96.41,67.82,86.55,85.5,28.51
Uttar Pradesh,Pilibhit,2023,44.42,91.77,46.75,74.92,55.33,79.2,78.88
Maharashtra,Washim,2018,57.08,49.55,24.25,60.19,80.75,11.71,51.34
Bihar,Jehanabad,2021,20.74,37.94,92.99,55.24,60.21,51.1,24.1
Arunachal Pradesh,Tawang,2019,41.86,44.89,82.59,89.9,70.64,34.97,63.27
Tamil Nadu,Thiruvallur,2018,68.38,84.79,10.73,44.51,32.7,89.91,80.76
Uttar Pradesh,Jalaun,2025,59.45,51.16,68.74,84.38,65.79,92.09,75.66
Arunachal Pradesh,Lower Siang,2018,89.11,90.27,11.58,15.82,92.73,38.58,19.16
Uttar Pradesh,Barabanki,2021,37.7,10.05,17.84,42.19,60.85,40.83,30.94
Chhattisgarh,Kondagaon,2018,15.9,60.45,57.99,66.96,53.13,85.84,97.51
Andhra Pradesh,Prakasam,2021,44.2,27.9,44.91,27.99,44.86,73.46,33.96
Karnataka,Bidar,2019,86.86,38.77,28.37,29.26,44.04,81.89,29.3
Arunachal Pradesh,Kamle,2020,86.46,76.5,81.26,24.82,82.97,17.62,76.66
Uttar Pradesh,Aligarh,2018,13.34,55.44,33.09,18.7,57.88,57.11,62.09
Karnataka,Dakshina Kannada,2024,90.26,70.77,91.92,62.59,15.93,77.29,71.4
Telangana,Jogulamba Gadwal,2018,64.47,18.96,24.73,47.06,99.77,24.07,21.53
Haryana,Hisar,2017,21.36,67.9,67.66,40.77,16.74,93.23,62.3
Uttar Pradesh,Kushinagar,2025,55.75,65.38,65.06,37.92,91.83,40.99,97.49
Gujarat,Mahisagar,2022,25.27,96.03,35.43,98.81,17.52,38.81,70.01
Manipur,Thoubal,2017,87.16,87.45,80.5,85.79,44.16,73.15,43.44
Bihar,Patna,2020,27.75,50.37,50.57,57.35,24.06,87.58,96.95
Arunachal Pradesh,Upper Siang,2020,68.35,23.51,91.11,59.74,39.68,29.96,75.49
Gujarat,Amreli,2024,40.55,45.19,57.16,84.84,51.43,34.37,73.61
Kerala,Kannur,2016,30.81,26.33,94.23,51.47,12.69,52.53,34.09
Gujarat,Amreli,2018,94.14,25.81,91.0,22.73,83.57,27.65,76.08
Uttar Pradesh,Gonda,2021,17.85,88.69,64.87,63.56,59.63,65.79,75.02
Haryana,Panchkula,2018,17.73,14.5,34.98,91.66,78.72,36.75,26.06
Chhattisgarh,Dantewada,2020,52.86,25.36,10.87,46.0,95.01,63.17,35.77
Rajasthan,Jaipur,2021,56.78,28.18,81.81,29.7,61.08,53.54,97.33
Assam,Nalbari,2017,62.89,58.76,88.49,36.48,60.11,21.42,39.32
Nagaland,Mon,2018,86.89,32.56,55.17,87.03,13.85,23.37,79.74
Maharashtra,Amravati,2024,55.58,46.61,82.53,48.57,84.24,33.77,60.94
Tamil Nadu,Erode,2016,16.57,51.84,83.99,53.49,20.19,80.59,32.97
Meghalaya,West Khasi Hills,2020,62.92,81.58,88.43,29.15,66.22,14.47,81.44
Tamil Nadu,Tiruchirappalli,2025,66.41,99.06,11.43,63.47,60.79,23.12,13.21
Gujarat,Tapi,2018,67.48,19.7,10.04,26.36,94.55,48.22,16.76
Tamil Nadu,Thiruvallur,2023,52.1,33.67,87.78,30.66,98.77,11.08,76.46
Andhra Pradesh,Guntur,2025,13.81,43.81,18.31,40.04,99.13,78.71,26.23
Rajasthan,Jhalawar,2015,85.66,27.25,84.23,42.15,18.72,96.07,20.86
Uttar Pradesh,Bareilly,2015,59.44,33.35,96.91,29.42,77.07,48.24,90.02
Tamil Nadu,Tirupathur,2017,96.2,15.99,29.37,70.46,39.57,31.0,65.62
Manipur,Chandel,2024,15.5,32.97,39.79,89.56,25.61,11.03,72.7
Uttar Pradesh,Bulandshahr,2021,87.72,95.79,98.6,21.67,30.67,64.52,90.61
Manipur,Tamenglong,2025,44.74,57.53,96.09,40.98,59.6,84.8,94.9
Bihar,Supaul,2017,11.32,19.95,62.25,91.12,37.38,27.62,12.62
Bihar,Aurangabad,2020,51.05,63.52,39.25,53.36,31.95,52.82,53.18
Haryana,Fatehabad,2018,47.09,65.26,77.11,63.32,93.01,22.64,19.26
Maharashtra,Buldhana,2020,26.5,56.58,21.21,77.19,25.26,55.76,43.13
Bihar,Patna,2018,81.87,86.77,31.42,86.08,97.51,60.63,11.83
Chhattisgarh,Surajpur,2025,25.37,17.5,22.52,86.55,60.72,35.49,52.78
Uttarakhand,Rudraprayag,2023,80.1,12.84,37.37,52.39,44.22,61.64,96.88
Jharkhand,Hazaribagh,2019,29.51,70.02,73.62,53.98,53.55,98.53,46.74
Assam,Nagaon,2015,19.81,41.79,69.87,82.94,83.47,97.7,97.81
Maharashtra,Hingoli,2025,87.83,80.72,43.82,40.86,34.83,76.02,20.25
Madhya Pradesh,Katni,2025,32.37,84.38,67.22,52.72,65.85,87.91,45.23
Bihar,Sheikhpura,2025,51.29,37.72,43.71,45.72,89.37,30.87,26.02
Andhra Pradesh,Vizianagaram,2016,91.65,16.66,75.58,41.98,45.16,95.2,66.78
Uttar Pradesh,Ghazipur,2021,50.04,12.95,79.78,55.96,59.38,94.04,59.6
Uttar Pradesh,Sitapur,2018,14.14,30.8,91.44,12.9,17.1,57.23,20.44
Madhya Pradesh,Dewas,2021,25.05,29.12,22.89,43.16,58.5,19.17,39.93
West Bengal,Dakshin Dinajpur,2015,55.4,80.04,66.23,91.68,94.73,88.41,56.02
Tamil Nadu,Sivaganga,2024,10.64,74.87,23.17,20.51,83.8,71.97,59.68
Karnataka,Bagalkot,2021,59.34,77.78,68.57,48.02,87.29,87.67,39.48
Tamil Nadu,Tirupathur,2018,74.99,60.25,83.08,61.62,82.16,73.47,62.08
Uttar Pradesh,Baghpat,2017,91.84,85.03,61.91,29.65,26.93,37.34,72.22
Chhattisgarh,Korba,2018,73.72,51.03,43.32,44.33,78.77,73.98,60.69
Assam,Cachar,2019,33.27,41.12,61.03,61.4,13.96,74.55,99.64
Maharashtra,Wardha,2025,67.65,77.13,31.28,61.74,23.75,51.09,75.06
Karnataka,Gadag,2017,77.41,88.09,51.84,21.21,54.77,27.35,45.39
Arunachal Pradesh,Kra Daadi,2022,30.76,50.29,33.2,64.08,37.35,90.67,98.36
Uttarakhand,Champawat,2020,40.85,96.42,66.47,36.2,23.33,88.82,19.99
Andhra Pradesh,Srikakulam,2021,15.6,66.36,45.45,11.12,61.58,46.32,41.24
Chhattisgarh,Durg,2018,18.85,18.25,74.09,89.36,42.21,30.69,54.0
Rajasthan,Jodhpur,2019,37.38,36.73,77.07,29.76,68.9,63.51,76.22
Tripura,Gomati,2017,30.11,58.17,26.94,92.76,20.56,14.18,54.48
Rajasthan,Tonk,2016,22.2,35.53,64.24,69.09,45.77,13.22,42.86
Himachal Pradesh,Kangra,2016,99.63,96.35,25.33,23.27,31.65,98.48,65.43
Kerala,Wayanad,2019,63.58,18.71,81.48,83.44,60.66,64.77,12.24
Odisha,Nayagarh,2017,48.43,18.48,13.51,29.37,16.43,63.3,34.02
Madhya Pradesh,Rajgarh,2022,70.14,54.62,96.92,22.96,68.37,15.97,28.67
Assam,Nagaon,2016,40.55,87.23,62.95,17.25,56.97,77.74,65.66
Rajasthan,Didwana-Kuchaman,2021,74.95,52.36,73.19,41.89,36.69,71.05,25.07
Assam,West Karbi Anglong,2024,67.72,48.96,19.67,12.38,71.55,41.41,13.16
Uttar Pradesh,Pilibhit,2020,79.23,91.28,95.44,33.54,91.05,62.92,16.89
Nagaland,Chümoukedima,2025,67.65,97.38,44.56,97.53,91.26,72.77,50.37
Rajasthan,Pali,2015,88.95,17.55,82.3,13.84,71.0,83.3,75.17
Rajasthan,Barmer,2016,43.68,95.07,18.88,89.13,35.36,70.12,86.4
Bihar,Sheohar,2015,46.56,51.83,92.24,77.19,15.17,90.53,28.1
Madhya Pradesh,Narsinghpur,2021,83.47,49.16,19.99,80.97,95.5,79.12,46.03
Haryana,Nuh,2020,92.64,33.94,63.45,43.19,30.98,39.35,48.41
Sikkim,Gangtok,2020,20.87,90.85,12.28,69.79,66.21,80.94,69.46
Madhya Pradesh,Singrauli,2025,70.18,16.93,96.33,36.29,75.53,58.72,17.07
Madhya Pradesh,Ujjain,2024,92.36,99.42,49.07,44.85,36.07,27.63,50.53
Arunachal Pradesh,Kra Daadi,2020,24.98,28.56,47.83,35.99,66.52,14.81,23.92
Nagaland,Phek,2018,64.68,33.26,66.96,90.88,83.92,69.9,40.87
Karnataka,Yadgir,2025,27.8,95.06,98.4,73.12,29.31,46.6,35.61
Jharkhand,Bokaro,2021,18.27,90.09,15.02,32.69,53.05,87.22,21.57
Bihar,West Champaran,2016,17.38,34.32,83.66,90.89,94.34,96.77,64.07
Bihar,Gaya,2021,79.11,67.71,64.15,97.75,59.24,10.45,21.94
Manipur,Kangpokpi,2022,22.94,88.9,27.67,75.0,60.64,24.82,73.28
Haryana,Yamunanagar,2016,81.06,48.66,20.72,57.54,43.93,79.74,23.0
Himachal Pradesh,Chamba,2015,84.18,62.07,46.99,55.43,67.32,68.88,57.45
Assam,Nalbari,2024,18.14,65.55,69.13,50.3,16.96,52.75,45.03
Uttar Pradesh,Amethi,2020,45.43,85.74,24.22,10.3,46.1,61.02,90.18
Bihar,Bhagalpur,2019,53.66,24.96,16.69,16.82,58.81,59.16,62.98
Rajasthan,Pratapgarh,2025,71.23,36.58,61.75,72.78,84.67,11.53,59.6
Chhattisgarh,Jashpur,2019,61.97,67.69,46.47,94.42,57.01,85.09,36.35
Telangana,Karimnagar,2019,92.1,74.07,80.34,83.73,54.57,51.3,99.41
Uttar Pradesh,Unnao,2016,18.04,17.14,69.53,34.69,34.6,51.56,86.9
Tamil Nadu,Chengalpattu,2015,11.31,87.49,71.94,92.8,77.05,16.26,74.97
Uttar Pradesh,Lucknow,2017,31.68,30.99,21.11,51.1,26.92,24.68,23.3
Punjab,Gurdaspur,2021,50.75,31.82,63.26,76.9,23.75,38.76,96.55
Bihar,Sheohar,2019,36.61,88.74,77.58,23.89,22.02,19.46,58.28
Tamil Nadu,Chennai,2020,99.97,96.41,63.44,35.94,55.1,49.06,42.9
Uttar Pradesh,Etah,2018,40.68,98.32,41.46,42.86,69.93,69.0,62.26
Odisha,Jajpur,2020,96.21,11.73,88.27,71.45,19.8,65.61,71.98
Sikkim,Namchi,2015,84.68,97.42,80.66,22.96,66.15,54.55,56.79
Uttar Pradesh,Firozabad,2018,42.14,77.87,50.76,87.55,42.34,30.26,66.03
Tripura,West Tripura,2022,22.19,90.75,25.47,20.46,25.83,52.88,55.24
Jharkhand,Ranchi,2024,54.08,29.01,46.35,13.05,27.37,64.49,37.13
Andhra Pradesh,Anantapur,2020,35.27,59.47,84.14,86.53,37.43,44.05,82.98
Bihar,Darbhanga,2021,19.74,41.65,72.99,49.69,40.16,32.64,91.77
Telangana,Rajanna Sircilla,2024,20.12,59.12,76.48,46.44,79.48,51.01,72.66
Karnataka,Davanagere,2017,48.92,56.49,60.07,72.78,34.65,10.53,89.77
Maharashtra,Ahmednagar,2025,74.4,39.9,37.2,88.76,14.1,96.57,27.08
Tamil Nadu,Sivaganga,2021,99.89,70.09,77.44,45.02,37.69,36.2,55.62
Bihar,Katihar,2016,44.04,98.84,28.63,55.29,21.82,99.56,75.77
Tamil Nadu,Ranipet,2021,12.17,56.28,50.35,18.74,60.47,63.73,48.27
Maharashtra,Yavatmal,2021,61.45,72.2,43.1,84.59,17.12,97.3,94.81
Assam,Baksa,2019,41.07,28.5,99.87,86.66,68.47,59.54,42.49
Madhya Pradesh,Shajapur,2018,20.81,94.93,75.77,21.44,10.91,23.34,78.58
Meghalaya,South Garo Hills,2024,62.53,52.67,63.34,32.84,46.29,92.12,31.91
Haryana,Faridabad,2023,12.28,34.44,42.56,31.99,96.08,68.23,43.22
Rajasthan,Jodhpur,2023,33.87,21.89,51.83,43.22,23.75,66.21,36.45
Uttar Pradesh,Sonbhadra,2015,47.11,26.82,32.84,48.0,97.66,95.42,83.0
Andhra Pradesh,Visakhapatnam,2025,28.41,39.62,88.84,74.54,54.06,87.25,78.23
Meghalaya,North Garo Hills,2016,46.57,72.05,34.4,83.77,52.92,86.19,34.97
Chhattisgarh,Kanker,2019,24.93,34.93,82.24,28.43,44.24,44.1,38.86
Chhattisgarh,Dhamtari,2021,68.13,48.19,25.15,40.13,20.42,89.16,66.01
Assam,Kamrup,2023,92.38,24.82,33.07,70.72,45.57,58.21,55.74
Arunachal Pradesh,Lohit,2017,50.7,37.99,62.28,68.8,88.03,65.15,79.65
Odisha,Sambalpur,2025,58.08,30.29,26.69,19.89,12.17,50.95,86.16
Uttar Pradesh,Fatehpur,2020,24.92,68.23,45.23,10.84,90.39,45.01,52.51
Arunachal Pradesh,Kra Daadi,2016,99.81,93.53,44.11,83.75,18.3,36.98,68.83
Rajasthan,Bhilwara,2015,30.15,33.5,31.81,96.8,62.84,75.27,18.34
Nagaland,Tseminyu,2022,40.19,70.76,86.22,61.12,56.91,94.14,41.28
Gujarat,Kheda,2017,46.28,69.83,39.89,82.07,92.4,17.62,20.99
Tamil Nadu,Perambalur,2016,43.84,40.66,35.32,84.38,80.24,46.33,62.02
Bihar,Arwal,2020,30.26,27.59,92.73,63.97,62.67,69.64,78.31
Arunachal Pradesh,Upper Subansiri,2023,73.36,70.86,28.22,20.0,43.59,41.05,24.57
Odisha,Balasore,2023,19.79,94.58,40.76,93.86,95.88,40.17,57.71
Uttarakhand,Uttarkashi,2024,64.96,62.81,68.29,75.68,84.97,20.17,20.85
West Bengal,Jalpaiguri,2024,60.0,63.65,36.61,82.53,90.88,24.4,75.71
Uttar Pradesh,Moradabad,2021,22.0,25.66,39.62,73.0,78.25,59.73,75.43
Karnataka,Hassan,2025,67.41,13.48,59.18,35.08,37.7,24.91,36.92
Manipur,Jiribam,2024,52.43,67.56,20.63,89.65,97.08,83.99,93.68
Tamil Nadu,Dindigul,2020,13.15,91.43,12.06,44.43,51.84,87.2,88.22
Odisha,Sonepur,2019,41.12,15.83,69.73,64.17,73.3,20.32,22.67
Karnataka,Bengaluru Rural,2021,28.53,34.95,84.42,57.87,46.07,14.65,70.13
Chhattisgarh,Sukma,2022,65.38,23.92,57.55,23.33,48.08,55.29,68.39
West Bengal,Kolkata,2021,96.38,78.45,18.08,34.06,74.99,86.91,16.82
Uttarakhand,Nainital,2021,95.81,35.03,42.71,29.25,75.2,90.52,92.15
Tamil Nadu,Cuddalore,2015,93.7,77.7,96.12,99.49,46.46,72.48,82.48
Andhra Pradesh,West Godavari,2022,45.02,83.1,83.44,73.94,21.6,40.61,98.15
Madhya Pradesh,Anuppur,2025,58.1,71.33,72.59,41.57,12.6,10.7,86.36
Punjab,Mansa,2019,39.94,49.64,89.49,18.19,16.16,38.35,90.7
Rajasthan,Bharatpur,2016,92.73,62.66,17.7,79.6,66.77,13.73,55.46
Chhattisgarh,Kondagaon,2017,93.42,65.13,25.48,35.48,41.67,90.85,62.66
Rajasthan,Hanumangarh,2024,41.31,73.87,63.65,12.49,39.28,70.4,14.83
Jharkhand,Dhanbad,2016,94.12,57.88,35.38,18.83,91.41,30.21,71.53
Chhattisgarh,Raigarh,2015,76.95,47.66,64.17,99.79,23.99,92.98,45.72
Mizoram,Saitual,2017,45.71,46.79,83.87,14.29,87.18,52.63,26.05
Chhattisgarh,Raigarh,2017,86.79,88.64,68.45,35.88,82.34,44.68,30.95
Maharashtra,Ahmednagar,2019,20.51,80.49,14.51,79.0,75.32,64.43,73.51
Arunachal Pradesh,Tirap,2024,95.96,72.67,14.77,34.84,62.16,63.16,56.93
Rajasthan,Udaipur,2019,91.44,39.77,59.02,36.72,77.13,96.75,50.25
Maharashtra,Dhule,2021,61.76,96.83,83.76,70.9,47.41,41.15,94.69
Tamil Nadu,Cuddalore,2017,17.99,39.53,36.15,12.94,55.93,74.99,23.05
Punjab,Barnala,2024,66.57,50.09,93.86,87.54,57.53,48.1,30.75
Rajasthan,Bikaner,2018,93.27,24.09,52.91,70.62,50.84,80.35,52.49
Gujarat,Surendranagar,2018,17.47,51.57,74.58,61.24,76.24,27.72,55.7
Nagaland,Phek,2023,10.81,10.92,95.73,28.87,37.21,62.2,55.55
Uttar Pradesh,Aligarh,2019,51.8,78.27,29.32,57.22,65.77,43.99,66.97
Mizoram,Kolasib,2022,36.45,30.98,67.25,45.5,31.35,91.52,64.74
Karnataka,Vijayapura,2022,60.19,25.45,87.53,48.47,88.76,86.42,46.79
Bihar,Rohtas,2023,76.59,89.65,33.03,78.4,69.89,65.13,37.31
Karnataka,Vijayanagara,2019,93.54,97.8,30.54,45.1,37.54,21.43,71.87
Madhya Pradesh,Maihar,2022,80.98,43.77,72.25,95.47,20.05,26.69,77.38
Uttar Pradesh,Jalaun,2016,85.47,40.51,55.32,62.14,83.71,35.79,15.72
Assam,Kokrajhar,2024,57.46,80.78,87.16,60.06,60.45,32.71,38.69
Uttar Pradesh,Shamli,2016,60.72,34.27,91.98,11.77,72.64,75.16,87.95
Uttar Pradesh,Moradabad,2024,74.14,79.01,51.32,68.3,83.78,90.13,98.41
Uttar Pradesh,Kannauj,2023,41.17,66.46,94.77,43.09,88.0,44.05,23.4
Manipur,Jiribam,2017,33.57,20.7,73.83,48.31,80.61,37.33,75.62
West Bengal,Purba Bardhaman,2025,18.14,20.26,61.11,22.5,82.81,21.28,19.14
Manipur,Bishnupur,2023,76.54,30.91,22.86,85.84,32.28,57.84,57.67
Uttar Pradesh,Sultanpur,2022,99.13,11.47,69.29,13.82,61.88,31.61,11.23
Uttarakhand,Dehradun,2020,67.51,57.92,78.49,15.53,51.48,73.71,20.64
Bihar,Vaishali,2017,40.9,68.15,89.53,18.09,99.88,55.29,15.3
Uttar Pradesh,Banda,2023,30.57,69.48,87.66,73.22,94.76,17.73,70.96
Tamil Nadu,Tiruppur,2022,27.26,31.9,88.78,63.53,46.83,81.66,66.23
Uttar Pradesh,Sonbhadra,2020,93.21,78.27,21.4,42.2,58.97,46.46,25.63
Maharashtra,Mumbai Suburban,2017,37.9,80.16,18.69,99.96,79.53,86.3,75.5
Arunachal Pradesh,Pakke-Kessang,2018,86.4,29.51,70.09,56.4,63.08,97.41,36.09
Madhya Pradesh,Damoh,2019,54.23,45.64,87.68,36.65,32.24,21.69,11.31
Rajasthan,Kota,2016,25.04,41.43,90.01,90.08,54.34,40.4,13.84
