state,district,year,athletes,sports_events,stadiums,sports_funding,medals_won,youth_participation,fitness_centers
Assam,Tinsukia,2025,20.32,79.02,21.15,10.71,97.39,27.92,66.28
Rajasthan,Jaisalmer,2019,18.82,65.17,49.15,92.18,36.63,33.69,82.59
Uttar Pradesh,Gautam Buddha Nagar,2017,99.2,40.39,20.48,92.36,39.16,90.34,37.79
Telangana,Mahabubnagar,2015,27.75,14.91,95.43,98.68,15.46,13.99,12.35
Nagaland,Noklak,2020,77.27,82.39,81.5,36.92,61.31,16.81,28.1
Arunachal Pradesh,Changlang,2025,81.43,33.59,87.99,22.33,71.49,16.16,78.89
Rajasthan,Shahpura,2023,24.54,56.53,47.43,78.06,64.25,49.58,94.32
Rajasthan,Neem Ka Thana,2020,37.73,90.25,23.46,34.45,40.31,48.6,68.8
Karnataka,Bagalkot,2021,70.29,15.15,93.73,80.2,27.76,16.04,38.66
Chhattisgarh,Bilaspur,2021,22.78,33.24,75.87,96.18,51.75,73.28,94.09
Uttarakhand,Tehri Garhwal,2024,54.21,15.39,91.55,99.71,64.45,73.55,81.42
Tamil Nadu,Perambalur,2017,35.15,61.15,33.94,66.14,58.52,42.37,19.93
Rajasthan,Churu,2015,54.91,72.01,34.49,37.14,62.45,13.34,83.3
Gujarat,Rajkot,2020,13.5,44.39,92.26,40.19,80.53,69.3,45.2
Arunachal Pradesh,East Siang,2015,31.08,15.39,49.26,46.58,68.82,72.19,72.05
Telangana,Jagtial,2025,24.08,95.82,35.63,96.29,91.91,74.49,43.27
Maharashtra,Satara,2023,45.9,70.17,64.19,52.6,98.12,49.68,61.84
Punjab,Pathankot,2015,48.07,24.79,39.93,75.14,53.81,66.63,44.2
Telangana,Mahabubnagar,2022,58.6,24.27,83.67,60.99,75.14,74.27,63.13
Manipur,Tamenglong,2020,74.26,86.71,98.18,98.95,14.1,64.31,56.19
Tamil Nadu,Tirupathur,2022,80.04,25.51,65.78,36.8,90.99,78.5,71.29
Assam,Karbi Anglong,2023,44.77,29.59,51.63,86.27,26.86,53.45,75.59
Bihar,Muzaffarpur,2021,94.61,26.07,46.26,62.16,47.55,92.81,29.09
Mizoram,Champhai,2022,45.22,33.19,22.82,13.28,99.06,20.98,70.04
Gujarat,Surat,2017,21.89,84.89,55.16,70.99,85.65,48.48,58.97
Assam,Majuli,2023,18.08,33.3,23.46,48.8,99.45,76.83,96.68
Manipur,Imphal East,2020,10.18,21.44,33.38,92.2,15.49,10.8,17.21
Tamil Nadu,Mayiladuthurai,2016,22.08,47.13,77.54,95.23,51.88,70.75,16.85
Uttar Pradesh,Jaunpur,2016,46.05,61.29,29.83,59.29,27.03,20.05,83.05
Manipur,Ukhrul,2024,71.92,26.37,73.46,56.99,46.38,93.46,65.14
Arunachal Pradesh,Lower Siang,2016,65.82,39.46,30.81,18.29,72.71,40.71,42.01
Tamil Nadu,Dharmapuri,2022,77.06,64.59,72.2,59.09,31.11,47.62,98.27
Mizoram,Saitual,2021,22.95,59.15,52.73,23.54,19.68,73.44,57.2
West Bengal,Malda,2021,93.67,36.24,22.23,49.94,58.3,60.45,93.13
Maharashtra,Gondia,2020,58.83,84.0,43.11,49.01,17.43,54.63,59.33
Maharashtra,Nagpur,2021,20.26,62.71,36.14,23.79,22.08,14.67,71.2
Bihar,Jehanabad,2017,46.58,55.08,68.2,30.89,96.77,84.11,83.43
Uttar Pradesh,Hapur,2018,38.94,95.23,41.6,41.38,44.86,92.54,75.57
Uttar Pradesh,Etah,2020,11.3,87.76,99.88,15.01,56.29,34.94,79.41
Karnataka,Bengaluru Rural,2022,36.55,38.38,59.99,13.89,78.69,99.63,81.86
Rajasthan,Jhalawar,2022,45.48,22.3,39.22,40.89,91.28,69.38,40.95
Uttar Pradesh,Sonbhadra,2022,18.99,34.49,84.66,47.05,11.87,44.49,63.54
Uttar Pradesh,Firozabad,2022,88.17,15.29,15.91,81.69,94.9,67.4,87.77
Andhra Pradesh,Srikakulam,2016,87.22,80.77,22.96,21.57,25.85,75.26,12.11
Tamil Nadu,Dindigul,2023,45.13,40.96,80.75,78.75,57.08,22.39,53.58
Rajasthan,Sirohi,2015,36.53,30.14,35.74,88.35,95.59,89.25,51.44
Karnataka,Koppal,2018,64.45,52.15,77.2,47.36,32.9,76.17,43.88
Tamil Nadu,Ariyalur,2023,97.88,78.55,34.88,70.02,46.85,46.47,40.74
West Bengal,South 24 Parganas,2020,13.39,69.21,28.01,31.67,51.49,71.26,94.22
Telangana,Bhadradri Kothagudem,2016,99.85,60.48,17.27,36.27,84.27,83.04,89.95
Odisha,Deogarh,2015,95.78,17.53,70.19,51.43,12.37,81.06,67.58
Karnataka,Yadgir,2017,33.26,24.57,80.06,19.19,17.96,28.2,50.46
Telangana,Yadadri Bhuvanagiri,2017,11.79,18.26,92.98,50.07,58.22,79.3,95.76
Manipur,Imphal West,2022,62.8,76.94,80.17,46.46,99.75,81.3,71.04
Karnataka,Chikkamagaluru,2020,91.84,64.62,88.31,94.85,25.96,12.22,65.21
Maharashtra,Mumbai City,2020,43.89,12.78,76.97,15.13,23.54,24.36,81.43
Maharashtra,Osmanabad (Dharashiv),2015,21.21,62.39,26.3,67.6,48.48,29.4,18.14
Gujarat,Botad,2022,51.4,52.56,63.74,63.79,18.09,82.74,15.45
Himachal Pradesh,Kullu,2016,84.47,21.07,59.38,40.75,89.92,77.2,29.74
Tamil Nadu,Sivaganga,2015,82.24,71.31,51.2,85.3,40.67,82.97,80.71
Madhya Pradesh,Seoni,2024,17.01,58.06,98.39,23.72,28.25,24.59,96.69
Madhya Pradesh,Seoni,2019,22.83,16.2,60.05,77.15,50.22,41.93,91.53
West Bengal,Paschim Bardhaman,2018,93.46,46.4,93.64,71.65,27.06,66.98,99.49
Andhra Pradesh,Anakapalli,2021,30.92,35.88,50.19,43.91,50.72,94.37,93.31
Bihar,Kaimur,2024,63.39,88.0,63.92,54.4,45.92,68.29,65.42
Telangana,Karimnagar,2021,63.11,68.2,43.75,31.1,14.32,77.76,62.14
Punjab,Malerkotla,2016,68.42,50.36,30.37,87.3,76.23,39.19,20.78
Jharkhand,Koderma,2018,51.81,13.7,25.04,73.46,14.99,74.6,34.68
West Bengal,North 24 Parganas,2018,71.34,88.05,58.59,16.55,15.18,17.41,14.46
Chhattisgarh,Balrampur,2017,29.34,68.12,74.7,47.58,46.39,53.95,70.4
Madhya Pradesh,Harda,2025,91.75,54.35,70.22,50.18,48.46,74.7,66.36
Arunachal Pradesh,West Kameng,2020,65.64,95.21,69.5,94.15,45.16,15.54,76.47
Assam,Dhemaji,2015,71.07,37.99,49.08,14.87,21.41,91.3,71.35
Karnataka,Bengaluru Rural,2016,86.86,20.66,58.06,98.11,46.34,11.74,78.55
Assam,Golaghat,2018,24.85,88.87,95.0,86.31,12.77,67.57,78.72
Tamil Nadu,Perambalur,2018,20.8,50.77,62.51,59.43,28.44,85.31,73.39
Chhattisgarh,Bastar,2015,23.22,24.74,42.67,32.16,47.03,22.86,45.26
Uttar Pradesh,Fatehpur,2024,36.15,67.84,79.77,38.63,15.21,39.74,12.77
Maharashtra,Osmanabad (Dharashiv),2024,54.71,36.39,99.65,11.22,33.51,81.15,88.2
Bihar,Jehanabad,2021,44.28,81.33,63.18,20.57,77.67,38.69,54.44
Uttar Pradesh,Etah,2015,97.3,87.36,80.29,20.34,73.08,91.8,11.1
Nagaland,Kohima,2015,11.5,28.6,21.18,22.11,32.31,43.82,10.77
Uttar Pradesh,Ghaziabad,2024,91.82,90.93,27.6,37.93,40.44,45.13,85.65
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,95.87,93.1,92.37,49.56,17.44,74.03,91.46
Maharashtra,Latur,2022,52.07,48.38,38.68,33.07,57.08,49.86,94.82
Arunachal Pradesh,Anjaw,2015,32.38,54.38,49.07,39.96,85.61,68.2,83.5
Bihar,Katihar,2023,82.94,79.84,39.98,38.83,83.1,47.92,73.6
Uttar Pradesh,Mathura,2021,52.18,49.96,21.67,10.64,29.05,59.48,48.66
Odisha,Cuttack,2025,17.62,34.26,65.39,83.63,19.97,58.75,89.8
Gujarat,Surendranagar,2023,44.29,39.87,20.05,82.7,34.25,84.7,77.67
Maharashtra,Akola,2019,68.9,69.0,54.72,11.28,97.31,88.6,77.02
Maharashtra,Nanded,2024,53.01,59.65,64.7,60.93,33.33,56.3,16.07
Madhya Pradesh,Burhanpur,2023,52.62,83.1,68.48,32.88,75.68,46.46,94.92
Rajasthan,Gangapur City,2023,17.78,96.83,68.51,14.57,76.45,98.15,70.87
Assam,Jorhat,2016,54.97,17.54,69.51,82.82,10.98,10.39,13.01
Jharkhand,Seraikela-Kharsawan,2017,47.73,26.21,25.94,46.06,23.01,20.8,38.93
Chhattisgarh,Jashpur,2020,12.94,88.89,38.53,37.89,74.82,68.26,55.11
West Bengal,Purulia,2024,15.87,78.22,29.7,32.98,89.39,14.05,92.05
Assam,Dibrugarh,2020,86.81,90.45,36.25,60.89,14.19,28.66,49.86
Odisha,Cuttack,2024,78.44,65.45,72.47,93.32,33.78,92.78,17.63
Manipur,Pherzawl,2022,26.89,23.9,91.06,86.09,58.39,88.83,15.45
Maharashtra,Akola,2017,72.89,19.41,58.99,29.68,81.87,51.9,94.7
Karnataka,Kodagu,2020,22.06,35.22,68.37,35.88,84.3,27.82,87.78
Tamil Nadu,Tiruchirappalli,2024,92.79,24.4,90.95,86.02,82.08,30.3,89.91
Nagaland,Noklak,2021,66.57,89.98,51.63,23.81,24.38,42.04,29.37
West Bengal,Nadia,2023,45.93,48.77,19.18,56.69,98.78,95.89,90.61
Andhra Pradesh,Palnadu,2018,37.19,31.24,69.53,19.13,54.71,13.11,13.69
Maharashtra,Solapur,2016,51.82,75.4,23.02,32.22,73.07,98.36,12.33
Manipur,Thoubal,2020,95.86,32.29,22.47,28.92,83.54,68.23,38.5
West Bengal,Malda,2019,78.83,62.48,59.18,72.0,15.28,72.66,95.89
Odisha,Cuttack,2018,73.7,55.13,57.11,27.18,70.25,23.66,13.01
Madhya Pradesh,Khargone,2023,36.06,13.64,60.9,92.23,77.68,13.27,84.25
Bihar,Sheohar,2015,65.04,31.39,37.37,20.35,64.13,11.67,63.66
Assam,Darrang,2017,55.36,97.62,96.82,94.86,79.74,99.16,90.32
Odisha,Kendujhar (Keonjhar),2025,32.87,76.17,64.75,64.49,17.81,37.33,19.64
West Bengal,South 24 Parganas,2025,23.38,65.75,97.24,20.76,52.95,16.62,88.89
Uttar Pradesh,Maharajganj,2019,27.12,99.09,15.13,12.76,90.93,70.76,29.28
Madhya Pradesh,Singrauli,2025,10.45,68.02,50.7,98.49,45.98,79.62,88.2
Gujarat,Valsad,2024,16.15,66.45,64.69,55.23,73.54,37.79,51.07
Punjab,Gurdaspur,2025,74.76,47.98,50.79,55.35,14.26,35.18,37.1
Maharashtra,Palghar,2016,30.17,64.07,29.8,98.19,65.17,87.53,19.46
Manipur,Pherzawl,2018,59.81,18.76,82.39,63.75,67.97,38.62,21.52
Andhra Pradesh,Chittoor,2020,60.62,16.06,58.13,21.42,43.52,37.6,62.36
Uttar Pradesh,Sitapur,2016,96.77,85.52,36.66,89.58,40.29,15.37,52.67
Haryana,Faridabad,2022,39.41,33.16,46.63,10.72,29.92,53.04,10.54
Arunachal Pradesh,Lepa Rada,2021,18.42,97.36,97.39,23.59,14.71,84.02,21.55
Telangana,Nirmal,2023,25.81,44.81,97.43,76.89,54.03,35.49,51.61
Rajasthan,Sanchore,2016,80.18,28.63,40.82,78.44,37.63,31.3,53.29
Rajasthan,Deeg,2023,64.64,41.53,17.24,34.0,88.95,24.05,44.62
Odisha,Rayagada,2024,48.71,58.54,55.53,12.61,44.55,59.62,85.27
Telangana,Yadadri Bhuvanagiri,2023,81.53,43.81,44.08,78.14,27.49,19.18,93.45
Uttar Pradesh,Kanpur Nagar,2025,24.02,51.97,25.49,63.77,22.93,98.98,34.48
Tamil Nadu,Chennai,2015,99.4,13.43,60.56,64.71,18.98,93.43,51.07
Uttarakhand,Bageshwar,2025,88.07,52.65,94.06,95.89,33.67,53.1,38.87
Assam,Dhubri,2022,17.98,51.62,75.13,44.83,54.22,95.12,66.65
Uttar Pradesh,Bareilly,2025,83.08,96.89,71.21,77.99,67.0,52.68,79.8
Uttar Pradesh,Barabanki,2022,63.87,80.76,68.52,59.65,89.98,84.78,61.79
Uttar Pradesh,Kaushambi,2020,49.53,58.15,82.51,19.28,18.9,29.02,79.27
Punjab,Tarn Taran,2019,53.52,70.94,20.19,15.21,22.95,20.15,49.87
Gujarat,Dang,2025,47.18,46.0,92.1,52.83,19.34,70.61,52.14
Kerala,Kasaragod,2020,35.82,73.86,89.46,14.14,99.03,76.82,28.38
Mizoram,Lunglei,2015,48.89,32.8,36.94,83.07,81.24,46.35,21.73
Karnataka,Chikkaballapur,2017,41.97,13.28,58.79,80.83,87.52,66.4,43.33
West Bengal,Darjeeling,2018,66.51,78.05,78.43,77.22,35.15,48.02,10.4
Madhya Pradesh,Rewa,2022,22.66,20.29,46.7,95.98,87.45,80.71,73.48
Uttar Pradesh,Gautam Buddha Nagar,2024,82.87,14.97,38.86,23.5,71.44,40.65,56.17
Odisha,Sundargarh,2015,43.42,50.64,34.11,32.67,62.88,82.38,65.99
Tamil Nadu,Ramanathapuram,2019,48.52,97.56,59.36,37.64,54.04,49.16,70.68
Nagaland,Kiphire,2015,23.73,47.54,66.96,55.89,43.07,17.61,98.22
Gujarat,Bhavnagar,2025,67.1,26.27,30.78,12.79,32.15,73.01,28.55
Uttar Pradesh,Firozabad,2021,29.18,65.2,89.06,83.28,11.45,66.51,33.38
Chhattisgarh,Dhamtari,2025,57.76,84.5,84.73,46.73,51.75,61.09,51.07
Punjab,Fazilka,2015,56.61,18.64,44.2,86.02,60.25,60.67,71.15
Jharkhand,Koderma,2025,14.78,91.35,18.62,88.21,46.37,87.67,88.22
Maharashtra,Osmanabad (Dharashiv),2017,47.75,69.81,44.73,24.5,21.17,29.62,37.64
Jharkhand,Palamu,2020,19.08,82.44,34.61,95.28,26.73,85.95,39.29
Uttar Pradesh,Sambhal,2018,64.53,35.43,24.59,69.58,94.68,87.38,39.33
Maharashtra,Osmanabad (Dharashiv),2022,48.27,61.62,57.87,19.38,20.32,46.85,75.1
Karnataka,Bengaluru Rural,2021,18.47,61.13,14.88,84.46,27.92,82.38,61.53
Uttar Pradesh,Ambedkar Nagar,2021,74.39,67.55,97.41,70.55,62.86,23.12,64.97
Assam,Charaideo,2021,56.44,31.84,37.83,17.09,39.95,54.05,69.8
Himachal Pradesh,Bilaspur,2022,43.27,44.37,59.75,69.39,81.67,48.75,75.39
Uttar Pradesh,Banda,2023,81.72,30.4,93.76,83.52,32.81,32.52,74.22
Maharashtra,Jalgaon,2021,25.43,59.35,58.67,91.23,43.04,88.11,83.29
Karnataka,Dharwad,2018,82.98,98.02,78.01,44.9,58.64,22.73,19.47
Manipur,Noney,2015,81.23,32.35,14.1,67.02,31.98,12.67,19.94
Karnataka,Dharwad,2023,24.08,73.61,59.76,47.98,68.57,41.07,77.12
Maharashtra,Buldhana,2024,53.94,29.04,50.21,25.91,14.3,48.23,41.46
Rajasthan,Rajsamand,2016,84.32,58.4,69.97,11.64,78.63,21.54,21.4
Uttar Pradesh,Chitrakoot,2021,33.44,95.69,97.35,24.51,19.5,96.79,42.47
Assam,Charaideo,2018,91.18,70.72,62.16,27.64,70.27,36.62,77.7
Karnataka,Chikkamagaluru,2022,77.78,87.35,31.86,76.9,34.21,95.65,17.24
Telangana,Mahabubabad,2021,29.84,84.68,97.34,12.86,94.01,19.83,53.27
Rajasthan,Jalore,2024,69.72,36.54,41.01,85.82,92.23,76.98,47.74
Rajasthan,Karauli,2018,67.44,50.88,97.79,64.48,76.85,87.82,77.89
Arunachal Pradesh,Dibang Valley,2020,18.07,47.03,13.84,67.5,17.84,87.29,55.39
Madhya Pradesh,Tikamgarh,2024,51.55,54.56,37.49,98.3,33.97,76.37,55.93
Nagaland,Mon,2018,85.17,10.9,29.26,56.44,98.7,73.82,69.35
Punjab,Moga,2016,82.82,25.02,23.09,20.02,89.88,18.94,60.34
Nagaland,Shamator,2016,22.63,30.37,79.84,94.94,67.23,41.03,20.0
Nagaland,Chümoukedima,2018,89.92,42.01,43.89,37.4,31.35,59.25,88.92
Uttar Pradesh,Banda,2015,47.92,39.4,66.52,48.64,83.81,85.42,26.01
Gujarat,Dahod,2024,83.7,21.71,27.51,17.25,36.6,91.6,20.03
Arunachal Pradesh,Tirap,2016,54.35,82.21,35.64,84.53,85.34,57.05,98.28
Chhattisgarh,Bijapur,2021,92.9,92.44,56.58,88.57,44.55,29.2,69.64
Uttar Pradesh,Jhansi,2016,55.49,34.12,42.2,53.96,60.51,43.86,89.89
Jharkhand,Bokaro,2017,14.48,65.44,64.44,76.32,46.32,13.71,91.06
Chhattisgarh,Surguja,2019,97.45,43.11,34.14,78.39,39.53,70.96,62.03
Rajasthan,Dungarpur,2017,72.09,47.61,80.24,97.38,78.81,72.78,59.42
Maharashtra,Nanded,2018,46.86,70.59,37.61,20.29,61.09,54.18,52.73
Jharkhand,East Singhbhum,2020,41.34,74.17,23.22,27.38,64.51,98.86,51.75
Bihar,Jamui,2016,94.26,28.45,63.38,19.56,98.8,39.75,35.88
Nagaland,Tuensang,2023,27.2,10.82,33.9,30.72,97.63,74.46,80.45
Bihar,Aurangabad,2024,49.03,92.89,73.95,31.33,87.14,28.91,44.96
Madhya Pradesh,Anuppur,2021,40.48,34.75,26.54,46.57,90.4,69.51,56.48
Himachal Pradesh,Sirmaur,2024,68.13,12.08,74.38,91.12,41.14,64.04,73.52
Uttar Pradesh,Unnao,2022,10.55,60.62,95.35,93.0,87.92,48.87,70.95
Arunachal Pradesh,Lohit,2021,38.57,35.45,64.24,90.27,67.22,70.23,35.84
Jharkhand,Bokaro,2019,89.8,61.43,35.44,36.57,32.79,96.11,51.41
Arunachal Pradesh,Leparada,2018,27.32,99.18,67.99,57.13,85.61,71.72,28.96
Tamil Nadu,Nagapattinam,2020,96.09,47.3,53.14,76.49,48.78,51.71,66.93
Arunachal Pradesh,Lower Dibang Valley,2021,61.0,60.94,23.78,67.31,50.82,96.23,78.78
Chhattisgarh,Mahasamund,2020,36.43,34.67,34.76,82.57,56.81,81.92,86.81
Himachal Pradesh,Shimla,2022,21.91,45.18,34.66,25.32,43.72,98.01,25.04
Tamil Nadu,Cuddalore,2019,28.03,80.46,30.26,96.49,47.36,31.58,88.18
Uttar Pradesh,Sitapur,2017,99.58,19.02,41.25,25.72,58.33,88.63,77.78
Rajasthan,Sri Ganganagar,2022,23.37,97.46,92.33,78.87,97.77,87.71,75.35
Uttar Pradesh,Lucknow,2017,31.83,78.25,74.37,99.81,55.52,70.79,69.65
Nagaland,Mon,2022,17.98,20.67,55.86,92.13,67.64,68.46,57.12
Madhya Pradesh,Anuppur,2022,13.68,79.64,36.18,53.31,15.69,86.2,36.27
Rajasthan,Anupgarh,2025,43.48,21.76,92.85,95.85,58.21,65.93,19.84
Karnataka,Mandya,2017,50.4,23.48,89.41,85.21,52.89,17.43,47.51
Uttarakhand,Almora,2023,63.15,44.61,27.91,14.77,80.23,93.5,99.45
Himachal Pradesh,Hamirpur,2020,97.06,85.19,26.61,57.6,53.62,18.45,71.56
Manipur,Tamenglong,2019,34.62,38.34,28.8,22.49,63.47,90.08,59.68
Tamil Nadu,Cuddalore,2025,97.46,74.22,10.36,65.29,11.46,60.46,45.22
Haryana,Panchkula,2018,58.99,50.24,23.87,41.23,58.54,12.59,18.52
Chhattisgarh,Sakti,2022,44.01,22.43,85.26,41.72,77.48,88.32,15.25
West Bengal,Alipurduar,2023,30.69,53.89,23.17,31.51,67.79,28.12,61.36
Telangana,Siddipet,2017,81.98,21.61,61.41,82.52,62.87,42.15,85.58
Punjab,Sri Muktsar Sahib,2021,60.52,17.8,57.19,53.59,46.76,16.86,27.86
Chhattisgarh,Narayanpur,2021,65.72,43.61,97.54,31.78,34.41,10.42,17.66
Uttarakhand,Champawat,2021,76.52,83.94,85.54,11.43,37.45,80.09,72.7
Telangana,Warangal,2020,21.3,74.05,38.27,99.83,30.67,60.28,49.49
Gujarat,Tapi,2025,23.83,72.27,54.41,39.55,53.89,43.2,45.37
Bihar,Munger,2017,17.77,68.98,16.88,91.17,21.9,10.14,94.65
Uttar Pradesh,Budaun,2018,80.51,77.33,76.6,49.8,24.33,23.91,82.25
Uttar Pradesh,Chitrakoot,2015,33.17,65.11,55.9,84.66,67.84,45.05,65.49
Uttarakhand,Pauri Garhwal,2016,66.0,37.67,18.13,94.71,72.2,64.13,29.66
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2016,93.81,92.72,20.48,19.6,25.31,30.97,43.86
Jharkhand,Deoghar,2018,95.97,78.09,62.11,63.15,72.35,64.81,89.57
Uttar Pradesh,Hapur,2015,46.81,17.5,44.84,16.64,86.41,82.24,24.03
Tamil Nadu,Cuddalore,2016,41.6,52.78,41.66,48.83,99.46,94.53,29.79
West Bengal,Purba Medinipur,2020,38.83,92.74,47.51,35.82,39.2,14.26,72.91
Uttar Pradesh,Moradabad,2017,42.35,96.53,50.22,70.44,43.05,84.72,45.79
Punjab,Amritsar,2017,97.21,50.94,91.82,87.46,33.56,51.35,89.28
Madhya Pradesh,Morena,2016,62.33,45.86,92.56,31.77,70.49,30.43,98.69
Rajasthan,Gangapur City,2017,71.93,37.43,66.9,20.47,38.13,50.0,31.88
Uttar Pradesh,Etah,2022,35.32,62.18,74.27,77.91,27.05,37.58,96.93
Andhra Pradesh,Tirupati,2019,95.63,63.81,93.22,82.09,32.85,13.35,98.8
Odisha,Nuapada,2019,38.25,75.47,59.37,34.89,88.27,39.93,17.9
Punjab,Jalandhar,2019,13.73,13.94,23.57,57.81,39.52,51.28,58.66
Nagaland,Noklak,2017,70.19,57.5,11.02,30.16,32.49,50.11,16.11
Punjab,Jalandhar,2021,48.9,70.6,20.12,84.56,46.67,95.36,71.8
Uttar Pradesh,Banda,2024,39.07,63.55,46.25,12.08,79.3,63.92,50.25
Odisha,Kalahandi,2015,33.42,16.41,56.03,98.17,11.21,87.18,95.4
Nagaland,Tuensang,2020,64.3,67.45,66.96,47.57,80.54,70.22,72.47
Meghalaya,South Garo Hills,2015,33.12,46.19,75.91,20.6,26.94,40.26,74.48
Madhya Pradesh,Burhanpur,2020,59.05,99.18,93.9,57.6,15.09,10.05,24.68
Madhya Pradesh,Sidhi,2022,97.92,75.77,98.34,72.84,15.92,56.19,60.88
Madhya Pradesh,Tikamgarh,2021,25.36,91.3,96.44,95.08,77.8,85.33,99.9
Maharashtra,Buldhana,2015,81.29,29.57,41.64,38.83,81.37,24.3,92.89
Uttar Pradesh,Prayagraj,2023,28.37,71.85,19.45,72.08,34.39,35.08,44.43
Odisha,Deogarh,2019,76.7,26.34,11.19,38.17,40.66,19.84,61.56
Rajasthan,Dungarpur,2025,71.11,93.38,98.18,97.72,56.37,27.93,74.59
Madhya Pradesh,Harda,2024,69.23,80.57,41.53,99.88,67.67,87.99,53.33
West Bengal,Cooch Behar,2017,90.64,98.21,43.18,39.98,23.09,61.69,99.94
Madhya Pradesh,Morena,2024,82.96,24.94,75.37,37.91,78.7,46.58,66.01
Uttar Pradesh,Gonda,2021,14.13,83.89,50.95,11.36,14.93,20.39,10.49
Haryana,Fatehabad,2016,41.31,49.17,73.82,19.99,18.08,34.67,24.21
Mizoram,Lunglei,2025,98.18,32.33,96.81,81.55,84.53,31.51,99.9
Kerala,Alappuzha,2016,92.0,82.56,73.7,31.06,94.44,65.16,75.06
