state,district,year,poverty_rate,below_poverty_line,unemployment_rate,income_per_capita,social_welfare_spending,food_insecurity,homelessness
Manipur,Churachandpur,2015,35.52,70.13,66.96,73.6,95.27,17.51,38.37
West Bengal,Howrah,2025,24.74,30.54,81.71,53.91,96.41,84.07,32.3
Jharkhand,Chatra,2019,93.65,26.2,71.06,77.44,56.25,77.47,90.37
Bihar,Jehanabad,2015,46.98,80.04,43.34,24.14,56.77,51.37,75.65
Maharashtra,Sindhudurg,2015,30.44,28.4,11.5,89.69,66.98,50.77,43.08
Madhya Pradesh,Sidhi,2024,79.01,96.82,58.24,63.33,73.72,43.76,85.8
Madhya Pradesh,Balaghat,2018,23.05,45.71,90.62,96.47,98.59,90.56,40.7
Madhya Pradesh,Raisen,2023,76.56,68.54,35.92,33.02,68.79,10.42,28.37
Odisha,Deogarh,2016,57.56,33.26,36.34,81.34,39.47,16.04,78.98
Bihar,Araria,2016,35.86,83.67,60.75,44.99,76.94,44.22,86.61
Uttar Pradesh,Shahjahanpur,2017,20.65,59.46,68.72,66.06,94.88,76.5,31.28
Madhya Pradesh,Anuppur,2020,60.0,59.57,60.01,95.7,63.42,49.79,27.27
Uttar Pradesh,Bahraich,2025,48.4,47.73,45.96,99.21,27.66,17.93,99.98
Madhya Pradesh,Panna,2020,65.14,80.27,23.2,21.96,32.75,20.58,86.08
West Bengal,Jhargram,2025,78.4,44.91,30.95,74.56,89.32,91.91,66.02
Tamil Nadu,Ranipet,2022,38.85,74.27,48.09,25.64,91.0,40.83,65.79
Uttar Pradesh,Moradabad,2024,90.85,80.45,75.44,33.62,82.07,58.52,21.76
Andhra Pradesh,Anantapur,2025,41.21,26.83,29.63,39.59,46.59,67.05,48.1
Assam,Darrang,2018,26.88,30.22,19.44,69.2,69.38,64.1,76.71
Assam,Sonitpur,2019,10.29,70.45,47.71,97.01,31.1,53.75,61.31
Mizoram,Lunglei,2020,55.28,25.66,63.31,74.31,72.04,56.14,36.05
Uttar Pradesh,Siddharthnagar,2015,77.04,54.54,43.16,69.78,75.86,98.03,87.91
Chhattisgarh,Baloda Bazar,2020,62.72,27.23,16.61,61.79,28.6,24.25,75.89
Gujarat,Morbi,2016,31.75,59.23,64.23,83.08,32.04,37.74,68.19
Manipur,Imphal East,2018,19.74,43.09,22.67,69.46,47.28,76.56,66.28
Nagaland,Shamator,2020,59.2,85.78,84.73,16.88,81.61,73.7,44.8
Chhattisgarh,Korba,2020,13.44,13.95,80.85,62.59,20.88,80.13,14.49
Madhya Pradesh,Jhabua,2022,53.41,84.3,84.38,12.33,46.91,96.43,53.08
Himachal Pradesh,Kinnaur,2025,25.57,13.1,63.39,75.64,34.21,66.11,47.34
Goa,South Goa,2024,46.7,98.74,64.31,78.06,71.61,52.17,47.64
Himachal Pradesh,Una,2015,84.54,38.54,78.86,22.86,43.01,13.81,39.66
Madhya Pradesh,Tikamgarh,2018,43.26,27.26,76.79,58.44,80.11,37.93,51.02
Himachal Pradesh,Kangra,2020,68.87,42.42,88.94,70.0,36.56,89.58,63.23
Tamil Nadu,Madurai,2018,17.46,74.25,95.92,65.96,42.94,98.01,54.91
Bihar,Aurangabad,2015,26.25,33.24,24.76,60.67,19.31,36.99,27.47
Uttar Pradesh,Maharajganj,2018,12.12,30.93,32.97,27.71,44.96,31.36,54.32
Jharkhand,Giridih,2024,49.2,53.66,78.54,88.21,80.09,79.32,48.19
Bihar,Buxar,2022,71.51,73.2,86.53,20.18,76.21,57.36,21.85
Maharashtra,Dhule,2020,50.2,49.87,42.93,50.49,92.95,96.34,95.18
Bihar,Madhubani,2019,41.95,82.49,10.47,46.5,77.81,24.89,71.66
Uttar Pradesh,Hathras,2015,87.29,61.13,85.77,29.01,20.07,31.61,20.7
Madhya Pradesh,Anuppur,2015,94.28,47.16,41.83,94.78,74.04,97.77,91.81
Chhattisgarh,Bijapur,2022,26.68,55.42,92.84,67.15,58.08,29.27,78.16
Gujarat,Botad,2022,63.43,64.29,37.87,25.13,79.01,25.58,48.64
West Bengal,South 24 Parganas,2022,17.74,42.78,56.96,56.11,80.31,95.88,73.44
Rajasthan,Sri Ganganagar,2016,42.47,81.27,23.3,10.92,54.11,29.54,85.61
Jharkhand,Khunti,2025,99.54,89.35,78.93,44.08,93.35,29.32,75.0
Gujarat,Sabarkantha,2023,58.44,61.83,13.21,65.99,86.05,36.98,80.22
Madhya Pradesh,Katni,2022,65.38,10.12,86.13,40.87,96.04,40.94,79.75
Bihar,Sitamarhi,2019,80.05,26.46,29.39,50.64,80.78,14.2,54.65
Uttar Pradesh,Sultanpur,2022,55.41,59.23,64.15,95.38,95.61,73.41,95.69
Rajasthan,Tonk,2018,49.28,73.9,30.92,40.77,75.04,74.82,79.11
Karnataka,Dharwad,2016,90.16,14.76,14.5,16.48,69.86,42.8,26.82
Haryana,Nuh,2021,11.21,28.62,48.09,24.7,25.5,60.95,96.81
Madhya Pradesh,Jabalpur,2021,10.11,66.29,84.28,36.07,59.7,82.12,36.63
Punjab,Hoshiarpur,2022,27.78,93.45,56.45,38.72,66.07,12.13,48.31
Nagaland,Chümoukedima,2018,46.1,61.36,19.53,49.84,60.18,60.37,54.83
Assam,Sivasagar,2017,59.25,60.16,95.89,67.78,11.15,99.28,88.31
Sikkim,Soreng,2017,31.46,48.06,65.83,28.85,15.69,46.42,77.02
Madhya Pradesh,Shivpuri,2023,33.3,16.44,47.88,77.9,65.39,34.33,73.25
Arunachal Pradesh,Longding,2023,51.65,16.55,71.67,44.85,37.18,96.67,82.84
Assam,Sivasagar,2018,81.04,89.4,87.82,80.76,87.88,53.31,93.04
Tamil Nadu,Ranipet,2020,44.78,70.97,42.6,75.98,78.79,45.13,14.67
Kerala,Kannur,2015,77.79,87.12,89.22,58.32,68.44,60.07,12.25
Tamil Nadu,Tirupathur,2022,76.65,34.93,18.49,25.47,87.13,66.32,75.27
Punjab,Hoshiarpur,2017,69.58,91.16,52.92,23.59,58.03,54.07,45.07
Jharkhand,Simdega,2020,95.39,56.52,55.59,11.14,17.9,11.91,91.22
Bihar,West Champaran,2023,50.28,71.71,69.76,82.39,42.24,98.33,38.85
Uttar Pradesh,Mathura,2017,13.59,55.53,63.47,87.67,41.82,39.98,49.31
Tripura,Unakoti,2016,26.53,84.49,13.32,83.18,51.78,49.37,58.72
Rajasthan,Bundi,2019,82.89,26.18,19.85,96.03,58.22,66.77,30.33
Assam,Sivasagar,2015,22.56,94.74,50.15,52.09,66.74,10.92,46.69
Rajasthan,Sanchore,2016,85.69,77.85,92.57,23.46,65.77,68.62,44.29
Gujarat,Dahod,2016,86.76,10.09,14.52,99.09,19.54,16.9,55.28
Odisha,Bhadrak,2019,55.28,96.63,18.72,94.22,94.42,87.64,50.01
Punjab,Tarn Taran,2015,48.45,76.01,62.09,43.89,93.55,79.46,55.99
Madhya Pradesh,Dindori,2022,86.57,30.7,53.99,89.36,10.33,55.2,91.29
Uttar Pradesh,Sitapur,2025,44.63,82.42,92.63,40.85,87.77,30.74,16.51
Tamil Nadu,Theni,2025,83.43,61.43,52.41,58.08,89.58,64.61,54.07
Haryana,Karnal,2017,92.19,64.54,47.6,67.09,55.49,23.27,51.98
Tamil Nadu,Karur,2019,24.61,16.46,20.17,39.3,94.07,21.71,20.46
Bihar,Saran,2015,70.45,48.1,25.84,62.78,58.6,88.72,87.88
Sikkim,Namchi,2016,47.63,10.94,78.43,81.55,48.74,15.91,20.56
Karnataka,Gadag,2019,61.65,68.13,73.01,29.46,48.84,49.43,17.7
Assam,Karimganj,2016,21.11,93.44,89.92,90.56,50.93,42.08,48.3
Tamil Nadu,Karur,2023,13.95,23.25,27.13,20.35,33.13,48.4,94.88
Tamil Nadu,Dharmapuri,2019,62.29,22.26,85.2,83.89,97.29,71.85,66.34
Rajasthan,Bundi,2021,62.68,28.92,67.29,61.16,88.41,34.97,84.93
Maharashtra,Beed,2017,33.8,51.11,96.41,31.76,95.54,85.92,51.55
Punjab,Rupnagar,2020,47.6,42.32,81.39,11.68,68.81,96.73,54.01
Uttar Pradesh,Mainpuri,2023,61.04,61.72,35.23,90.4,18.08,14.36,60.49
Rajasthan,Jaisalmer,2016,32.84,71.52,82.77,98.42,51.44,16.22,57.74
Uttar Pradesh,Jalaun,2022,25.56,97.69,44.98,46.8,88.8,15.7,92.88
Chhattisgarh,Gaurela-Pendra-Marwahi,2022,48.27,23.55,17.74,38.08,55.4,35.05,89.9
Uttar Pradesh,Sambhal,2025,88.4,66.35,44.31,65.2,50.68,16.03,57.75
Nagaland,Tseminyu,2020,63.09,57.77,64.58,26.63,10.86,27.09,26.05
Maharashtra,Thane,2023,35.65,51.56,75.03,24.13,72.0,68.41,30.94
Arunachal Pradesh,Changlang,2015,55.23,61.47,69.9,77.72,67.77,86.78,99.0
Tamil Nadu,Tirunelveli,2017,18.94,82.7,24.94,21.67,77.0,28.62,99.79
Assam,Bongaigaon,2018,76.82,64.0,85.83,57.87,94.73,87.47,65.94
Arunachal Pradesh,Siang,2025,99.8,83.87,70.54,52.53,65.98,90.16,28.3
Rajasthan,Udaipur,2024,34.64,35.6,25.4,57.45,20.91,35.77,57.57
West Bengal,Cooch Behar,2015,22.77,70.93,32.59,42.55,16.46,10.44,24.15
Andhra Pradesh,Prakasam,2023,48.62,77.42,46.2,33.24,30.62,67.99,73.2
Madhya Pradesh,Tikamgarh,2020,65.3,21.9,43.45,94.67,26.58,80.07,90.15
Himachal Pradesh,Hamirpur,2020,62.43,74.59,38.93,89.89,36.34,39.34,10.18
Karnataka,Koppal,2023,31.58,53.52,22.91,20.01,80.4,14.75,24.58
Gujarat,Gir Somnath,2019,67.71,21.67,40.61,51.24,58.86,55.54,77.7
Karnataka,Yadgir,2019,69.7,81.17,78.88,33.94,97.85,56.15,13.03
Tamil Nadu,Mayiladuthurai,2015,22.92,89.6,91.63,61.17,88.74,74.16,34.33
Rajasthan,Bharatpur,2021,78.66,31.85,14.39,23.34,85.02,84.66,62.43
Maharashtra,Chandrapur,2023,47.02,17.47,57.58,71.77,49.9,59.26,70.19
Maharashtra,Nashik,2023,36.65,46.87,50.14,50.39,31.04,59.67,11.11
Haryana,Rohtak,2022,85.06,38.89,56.37,37.91,67.27,34.61,21.74
Andhra Pradesh,Tirupati,2023,21.29,96.34,31.85,45.31,20.62,72.49,71.1
Arunachal Pradesh,East Siang,2025,83.81,71.05,36.05,57.14,73.03,10.47,20.33
Uttar Pradesh,Jaunpur,2022,37.6,32.2,64.79,35.03,84.31,90.41,84.11
Himachal Pradesh,Kangra,2016,37.19,85.92,15.72,88.71,83.56,80.55,31.75
West Bengal,South 24 Parganas,2020,67.94,73.54,48.02,48.24,63.02,85.72,82.53
Maharashtra,Satara,2019,88.09,72.82,69.7,22.42,59.74,70.72,64.41
Andhra Pradesh,YSR Kadapa,2024,37.95,45.57,21.82,71.24,96.37,11.42,30.86
Bihar,Darbhanga,2016,20.68,41.24,91.12,64.06,82.09,37.02,26.99
Karnataka,Gadag,2021,67.73,68.42,64.98,24.7,48.87,65.85,59.17
Manipur,Imphal West,2022,20.34,32.8,35.78,10.95,98.14,13.1,52.7
Mizoram,Saiha,2020,12.49,43.73,17.65,59.29,11.82,39.81,13.48
Manipur,Tamenglong,2018,62.64,17.38,79.37,61.08,62.61,21.6,83.46
Gujarat,Patan,2017,77.68,95.9,16.81,46.15,70.26,69.11,84.75
Telangana,Rajanna Sircilla,2024,33.85,92.43,21.8,73.51,19.49,31.76,74.13
Gujarat,Narmada,2022,42.11,73.95,24.6,57.76,99.58,88.29,41.92
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,57.46,85.66,46.36,73.27,31.22,94.94,92.73
Bihar,Nawada,2025,79.93,26.56,80.11,97.57,64.15,58.42,25.29
Kerala,Kozhikode,2025,11.49,92.63,76.41,69.02,36.73,67.4,42.89
Madhya Pradesh,Shajapur,2018,38.33,58.99,27.45,26.21,46.09,97.82,64.35
Madhya Pradesh,Harda,2023,45.75,86.0,18.82,23.15,94.81,35.05,15.2
Madhya Pradesh,Bhind,2024,83.31,72.77,81.69,46.8,32.9,40.63,11.24
Assam,Dima Hasao,2024,99.41,23.19,52.96,31.54,15.37,90.37,36.03
Madhya Pradesh,Khandwa,2016,50.7,67.92,42.29,70.51,98.03,51.99,31.7
Madhya Pradesh,Chhatarpur,2022,24.52,49.98,39.95,10.79,67.6,65.26,34.74
Kerala,Pathanamthitta,2015,15.27,77.7,22.99,70.22,15.43,50.92,10.44
Gujarat,Bhavnagar,2016,92.22,76.59,23.31,22.76,85.65,38.61,25.01
Karnataka,Kalaburagi,2015,69.67,63.99,63.82,40.18,11.75,92.24,34.96
Bihar,Rohtas,2015,50.23,97.71,82.01,85.74,97.14,95.72,78.16
Madhya Pradesh,Bhopal,2021,11.83,89.02,49.31,26.46,94.92,57.64,73.68
Assam,Kamrup Metropolitan,2020,57.95,30.47,32.61,49.23,21.85,21.05,92.53
Tamil Nadu,Viluppuram,2016,45.21,75.11,89.77,12.25,95.02,99.3,11.61
Arunachal Pradesh,Siang,2016,91.34,41.06,44.73,40.66,71.25,69.13,48.62
West Bengal,Kalimpong,2020,12.43,21.92,92.19,90.96,39.53,29.6,70.51
Maharashtra,Beed,2018,18.23,92.17,75.43,54.87,35.17,71.09,79.51
Tamil Nadu,Dindigul,2023,95.17,51.01,56.51,29.51,66.0,73.83,25.21
Madhya Pradesh,Betul,2019,10.81,52.8,75.19,17.87,84.96,63.07,45.72
Madhya Pradesh,Mandsaur,2018,43.48,26.04,17.3,98.95,30.24,81.1,52.57
Tamil Nadu,Mayiladuthurai,2024,99.51,93.55,74.47,60.63,50.96,33.37,14.39
Rajasthan,Baran,2018,97.13,49.92,77.71,82.67,29.63,95.01,60.09
Kerala,Alappuzha,2016,39.07,37.51,56.25,25.96,52.45,48.18,36.97
Rajasthan,Jodhpur,2025,45.65,62.46,34.25,57.54,86.28,57.67,21.88
Madhya Pradesh,Vidisha,2019,36.68,23.04,96.74,72.32,80.07,82.23,46.72
Uttar Pradesh,Kanpur Nagar,2024,71.82,67.95,16.56,63.78,52.27,92.53,18.21
Sikkim,Mangan,2019,53.16,11.7,45.99,89.63,11.78,48.52,84.36
Tamil Nadu,Namakkal,2020,22.87,27.03,30.89,36.52,72.32,46.21,58.78
Uttar Pradesh,Chitrakoot,2024,46.93,59.01,47.74,92.74,44.05,65.68,44.41
Tamil Nadu,Cuddalore,2021,42.15,61.68,47.77,28.44,54.7,95.41,58.24
Manipur,Kamjong,2022,23.36,49.18,58.56,41.6,30.13,51.65,63.26
Karnataka,Kalaburagi,2017,38.97,45.67,82.78,13.43,25.34,33.61,80.58
Tripura,Unakoti,2018,43.36,56.29,30.25,67.75,36.43,72.39,70.88
Kerala,Pathanamthitta,2018,18.77,49.82,97.0,59.66,13.45,41.51,37.18
Bihar,Madhepura,2024,78.96,21.1,41.01,23.38,59.08,85.57,79.6
Uttar Pradesh,Lalitpur,2021,47.7,37.54,80.98,72.2,40.38,25.01,88.25
Madhya Pradesh,Niwari,2025,25.93,23.11,57.4,25.16,76.85,42.68,94.98
Tamil Nadu,Thanjavur,2022,22.92,31.13,66.69,85.72,68.86,26.32,25.62
Uttar Pradesh,Fatehpur,2021,92.04,59.34,32.74,25.56,28.56,97.33,45.58
Punjab,Sangrur,2023,10.54,94.32,71.18,39.26,87.54,69.63,78.94
Assam,Charaideo,2021,16.65,68.87,75.8,99.98,46.69,26.43,39.2
Bihar,Gopalganj,2023,58.41,36.84,62.1,11.57,10.33,84.54,21.16
Tamil Nadu,Namakkal,2018,77.38,96.87,93.64,17.49,32.88,48.43,72.92
Jharkhand,Hazaribagh,2015,43.0,62.42,83.77,88.85,47.23,89.24,95.24
Bihar,Kishanganj,2021,69.92,95.71,53.53,32.52,41.67,74.98,91.37
Madhya Pradesh,Neemuch,2022,94.6,29.88,83.3,82.34,74.17,74.67,11.85
Bihar,Gaya,2022,76.73,68.75,65.82,79.39,87.27,59.57,66.75
Arunachal Pradesh,Upper Subansiri,2017,98.04,43.66,35.15,57.72,49.81,97.88,88.21
Tamil Nadu,Vellore,2020,98.92,56.56,32.76,25.92,55.95,34.28,84.58
Bihar,Darbhanga,2023,43.71,61.3,91.23,55.16,64.23,71.06,32.05
Madhya Pradesh,Shahdol,2019,30.92,94.77,89.72,66.78,86.37,30.04,57.79
Rajasthan,Jhalawar,2020,26.26,46.47,28.27,13.98,25.1,95.76,17.85
Uttar Pradesh,Ballia,2025,55.22,60.48,57.22,58.51,68.89,98.52,44.06
Bihar,Sheikhpura,2019,52.09,35.29,62.01,37.21,48.95,62.45,72.53
Rajasthan,Bhilwara,2021,47.61,58.16,19.37,74.9,54.01,76.41,90.19
Uttar Pradesh,Ambedkar Nagar,2024,56.97,79.47,15.24,17.32,94.66,35.77,39.87
Madhya Pradesh,Tikamgarh,2018,35.22,22.75,84.5,22.5,96.64,34.94,72.62
Telangana,Rajanna Sircilla,2019,57.73,73.73,91.73,22.61,18.19,67.78,32.37
Rajasthan,Jodhpur,2025,31.77,43.62,99.94,22.72,33.05,43.89,86.53
Tamil Nadu,Tiruchirappalli,2024,70.57,74.84,44.61,90.59,36.11,92.64,97.15
Nagaland,Mon,2022,24.72,44.05,89.25,50.4,22.87,20.25,30.78
