state,district,year,tourist_visits,domestic_tourists,foreign_tourists,tourism_revenue,hotels,tourist_sites
Andhra Pradesh,Parvathipuram Manyam,2022,3258454,3173254,21817,469386463,548,186
Andhra Pradesh,Parvathipuram Manyam,2023,3328270,1913236,2333,30182371,657,141
Andhra Pradesh,Parvathipuram Manyam,2024,3426498,1825135,27733,461414496,694,40
Andhra Pradesh,Parvathipuram Manyam,2025,2504949,2611618,180206,28371059,907,80
Andhra Pradesh,Prakasam,2015,2672844,1167738,12074,464294714,557,20
Andhra Pradesh,Prakasam,2016,3267058,254468,486889,374000008,491,148
Andhra Pradesh,Prakasam,2017,4991291,3986737,230192,43390425,385,181
Andhra Pradesh,Prakasam,2018,1136489,3202951,400202,53544656,440,102
Andhra Pradesh,Prakasam,2019,3604696,2313476,292926,464667411,79,39
Andhra Pradesh,Prakasam,2020,2744910,2463129,186775,153024716,140,64
Andhra Pradesh,Prakasam,2021,2116794,1956370,220961,4315937,660,164
Andhra Pradesh,Prakasam,2022,3156876,3955092,332041,365753587,481,167
Andhra Pradesh,Prakasam,2023,59700,3512511,392487,255103437,75,52
Andhra Pradesh,Prakasam,2024,4173131,3393445,196314,125482941,772,71
Andhra Pradesh,Prakasam,2025,4628401,1045339,259464,53690527,311,188
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,628993,1125376,103041,334128069,710,115
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,1667095,2995029,366989,50752707,531,169
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,1176399,1864855,37214,98176640,378,180
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,814780,4227676,49289,365575853,90,174
Andhra Pradesh,Sri Potti Sriramulu Nellore,2019,1103892,1641490,320711,238935889,214,116
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,2630543,4209981,444156,360698005,520,46
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,1498355,3476105,268878,18038277,102,2
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,1757280,3636419,447967,170511959,254,23
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,539436,2564831,289842,402588731,163,197
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,4732742,3925814,371827,411275451,713,28
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,3287004,400652,355769,331439328,719,190
Andhra Pradesh,Sri Sathya Sai,2015,903820,3663386,166686,162307057,699,101
Andhra Pradesh,Sri Sathya Sai,2016,3977737,4080091,370962,256679990,560,40
Andhra Pradesh,Sri Sathya Sai,2017,4055620,3307890,280725,423632755,625,81
Andhra Pradesh,Sri Sathya Sai,2018,164802,1462044,304429,57541918,572,51
Andhra Pradesh,Sri Sathya Sai,2019,3758792,139308,375716,367323780,509,157
Andhra Pradesh,Sri Sathya Sai,2020,2473989,1202994,151747,287255884,150,62
Andhra Pradesh,Sri Sathya Sai,2021,1971531,89121,357869,107452031,410,68
Andhra Pradesh,Sri Sathya Sai,2022,3658290,3930854,24514,166940384,707,88
Andhra Pradesh,Sri Sathya Sai,2023,4365751,2595284,81793,21924734,67,180
Andhra Pradesh,Sri Sathya Sai,2024,3698723,3914360,441434,66643783,223,66
Andhra Pradesh,Sri Sathya Sai,2025,2344096,2381278,389116,306483311,497,14
Andhra Pradesh,Srikakulam,2015,2351693,453529,47948,40814977,128,186
Andhra Pradesh,Srikakulam,2016,4435013,3505653,475985,282969078,291,43
Andhra Pradesh,Srikakulam,2017,1910084,329447,316004,354214668,767,133
Andhra Pradesh,Srikakulam,2018,1419854,1578395,87090,234641738,886,136
Andhra Pradesh,Srikakulam,2019,2326977,1784276,463667,146401405,867,101
Andhra Pradesh,Srikakulam,2020,764569,3921809,266644,51230695,625,32
Andhra Pradesh,Srikakulam,2021,3809469,3371858,466433,411023450,819,7
Andhra Pradesh,Srikakulam,2022,583890,496802,141726,35765768,605,103
Andhra Pradesh,Srikakulam,2023,1664336,2035038,450864,53256721,643,189
Andhra Pradesh,Srikakulam,2024,776562,4150448,297293,293607624,525,145
Andhra Pradesh,Srikakulam,2025,1776508,1128288,396138,492342013,64,73
Andhra Pradesh,Tirupati,2015,820694,4222369,424235,289200719,525,78
Andhra Pradesh,Tirupati,2016,3303064,3595054,487185,438443426,607,24
Andhra Pradesh,Tirupati,2017,4294336,4332620,398165,484406057,873,124
Andhra Pradesh,Tirupati,2018,3489006,3750340,213892,137403041,521,32
Andhra Pradesh,Tirupati,2019,3530283,2969063,332889,455720950,161,124
Andhra Pradesh,Tirupati,2020,2370130,396217,199526,425470966,207,87
Andhra Pradesh,Tirupati,2021,4285123,4421861,152104,170280343,373,32
Andhra Pradesh,Tirupati,2022,1579042,1846739,435794,156765900,66,174
Andhra Pradesh,Tirupati,2023,2051205,3635694,480773,371203757,848,175
Andhra Pradesh,Tirupati,2024,470701,3711830,317558,164129766,385,176
Andhra Pradesh,Tirupati,2025,3242130,1421615,199339,415694648,706,2
Andhra Pradesh,Visakhapatnam,2015,770326,4413017,129423,490927203,56,117
Andhra Pradesh,Visakhapatnam,2016,825766,1663600,430733,329343574,428,12
Andhra Pradesh,Visakhapatnam,2017,1682004,571402,189972,124685593,853,78
Andhra Pradesh,Visakhapatnam,2018,904234,3536814,407382,404505085,304,186
Andhra Pradesh,Visakhapatnam,2019,529058,1512990,198752,71776650,275,155
Andhra Pradesh,Visakhapatnam,2020,2750915,2386895,197419,72466554,379,47
Andhra Pradesh,Visakhapatnam,2021,3818161,3512998,311725,89880730,967,133
Andhra Pradesh,Visakhapatnam,2022,4447426,3359939,63807,181250732,53,127
Andhra Pradesh,Visakhapatnam,2023,4251084,3571596,114238,159984021,64,64
Andhra Pradesh,Visakhapatnam,2024,3311258,849647,294686,385895016,466,129
Andhra Pradesh,Visakhapatnam,2025,2958141,1098433,94477,160674540,453,193
Andhra Pradesh,Vizianagaram,2015,1060675,378596,186409,356299588,437,70
Andhra Pradesh,Vizianagaram,2016,1769987,4189365,44553,234217198,742,90
Andhra Pradesh,Vizianagaram,2017,643373,2646774,476566,440618847,274,127
Andhra Pradesh,Vizianagaram,2018,835604,4407946,312479,358604183,863,184
Andhra Pradesh,Vizianagaram,2019,3573338,3590950,84506,351955683,79,83
Andhra Pradesh,Vizianagaram,2020,4243181,4314950,260668,462216035,889,134
Andhra Pradesh,Vizianagaram,2021,437974,3130124,182572,156398660,875,147
Andhra Pradesh,Vizianagaram,2022,903091,3329245,238933,168133061,13,189
Andhra Pradesh,Vizianagaram,2023,605594,1050510,38534,311769588,326,80
Andhra Pradesh,Vizianagaram,2024,641456,902788,234591,455223687,929,69
Andhra Pradesh,Vizianagaram,2025,2831694,3793545,254341,179622488,908,114
Andhra Pradesh,West Godavari,2015,4132342,4130603,497765,188024740,836,29
Andhra Pradesh,West Godavari,2016,4271035,76314,420747,147368326,403,100
Andhra Pradesh,West Godavari,2017,948042,1392986,494524,78908317,634,93
Andhra Pradesh,West Godavari,2018,1049168,3198015,455554,161506404,236,15
Andhra Pradesh,West Godavari,2019,4381703,1576969,193431,105033233,702,152
Andhra Pradesh,West Godavari,2020,1365408,2917878,427593,277376712,39,71
Andhra Pradesh,West Godavari,2021,3270285,661240,349018,427347260,950,96
Andhra Pradesh,West Godavari,2022,4268986,1661309,7098,314483262,103,101
Andhra Pradesh,West Godavari,2023,3855593,3582350,244398,224631064,766,139
Andhra Pradesh,West Godavari,2024,1164211,681401,332850,235183142,996,14
Andhra Pradesh,West Godavari,2025,3527605,4185390,330543,247927997,478,60
Andhra Pradesh,YSR Kadapa,2015,768782,2927143,159143,404611694,590,13
Andhra Pradesh,YSR Kadapa,2016,3608994,2535685,487007,434288413,199,43
Andhra Pradesh,YSR Kadapa,2017,1525958,4254710,30084,440067546,930,85
Andhra Pradesh,YSR Kadapa,2018,189728,3318820,13583,243785726,690,50
Andhra Pradesh,YSR Kadapa,2019,1167112,3195893,57292,464156625,569,113
Andhra Pradesh,YSR Kadapa,2020,62098,4051278,308251,234908846,46,93
Andhra Pradesh,YSR Kadapa,2021,76288,207076,456642,206108533,789,149
Andhra Pradesh,YSR Kadapa,2022,737767,1993187,216265,118106348,506,79
Andhra Pradesh,YSR Kadapa,2023,4913118,3482855,353943,93863539,926,2
Andhra Pradesh,YSR Kadapa,2024,1692908,2466730,330852,262229269,666,172
Andhra Pradesh,YSR Kadapa,2025,3279475,77606,261525,186245459,920,114
Arunachal Pradesh,Tawang,2015,3435042,2524003,149437,236348545,335,22
Arunachal Pradesh,Tawang,2016,698256,958288,191331,162185021,161,118
Arunachal Pradesh,Tawang,2017,4763476,2083699,109440,485515273,990,99
Arunachal Pradesh,Tawang,2018,2635707,902955,100855,350029436,391,48
Arunachal Pradesh,Tawang,2019,244088,98936,187291,170400031,251,114
Arunachal Pradesh,Tawang,2020,1951606,1891572,141793,266271368,327,166
Arunachal Pradesh,Tawang,2021,2610520,287001,399963,17321765,724,143
Arunachal Pradesh,Tawang,2022,1566725,1718415,375856,161295184,658,188
Arunachal Pradesh,Tawang,2023,2410958,3865316,261683,159243877,856,184
Arunachal Pradesh,Tawang,2024,609846,2560900,402985,481783554,606,106
Arunachal Pradesh,Tawang,2025,2351337,153093,473375,242969984,105,24
Arunachal Pradesh,West Kameng,2015,1695865,3991489,26398,83154939,444,199
Arunachal Pradesh,West Kameng,2016,1972263,4470699,160812,284074334,21,89
Arunachal Pradesh,West Kameng,2017,2327771,68648,240755,490071418,144,122
Arunachal Pradesh,West Kameng,2018,3587182,1687907,495121,414555187,266,24
Arunachal Pradesh,West Kameng,2019,1903328,1427533,349129,438844144,329,143
Arunachal Pradesh,West Kameng,2020,1166586,488718,467043,80692491,911,29
Arunachal Pradesh,West Kameng,2021,221108,1751168,403437,91930992,830,175
Arunachal Pradesh,West Kameng,2022,1225781,672814,5111,449571911,468,150
Arunachal Pradesh,West Kameng,2023,3578399,1088558,29100,21792337,106,13
Arunachal Pradesh,West Kameng,2024,2827161,3556888,227034,245299049,329,146
Arunachal Pradesh,West Kameng,2025,1639050,754336,164007,326060889,880,9
Arunachal Pradesh,East Kameng,2015,2012425,203979,99128,136014874,252,76
Arunachal Pradesh,East Kameng,2016,631813,1893730,387239,475646815,397,68
Arunachal Pradesh,East Kameng,2017,3195904,113266,387410,188822850,715,175
Arunachal Pradesh,East Kameng,2018,4943727,1158579,413452,422468835,293,193
Arunachal Pradesh,East Kameng,2019,2909545,4238026,477884,165624848,575,139
Arunachal Pradesh,East Kameng,2020,4845759,851500,407796,129380366,918,163
Arunachal Pradesh,East Kameng,2021,4246044,893083,212113,185167768,538,153
Arunachal Pradesh,East Kameng,2022,1526708,2604090,274164,322423892,909,102
Arunachal Pradesh,East Kameng,2023,627372,291721,340696,109211450,428,108
Arunachal Pradesh,East Kameng,2024,2346884,1706118,393608,143505520,640,103
Arunachal Pradesh,East Kameng,2025,1822369,1354888,445580,71691144,889,179
Arunachal Pradesh,Papum Pare,2015,499459,3914407,306814,179078880,894,58
Arunachal Pradesh,Papum Pare,2016,842700,4351056,344207,244888300,965,54
Arunachal Pradesh,Papum Pare,2017,2029223,1727098,375323,188499602,960,171
Arunachal Pradesh,Papum Pare,2018,2481427,1433666,461179,56494721,575,136
Arunachal Pradesh,Papum Pare,2019,4849367,860878,10686,484622316,214,47
Arunachal Pradesh,Papum Pare,2020,2656143,3731064,238792,269813628,969,9
Arunachal Pradesh,Papum Pare,2021,894863,3499872,173366,124981769,926,125
Arunachal Pradesh,Papum Pare,2022,2472464,572748,190201,51651751,946,65
Arunachal Pradesh,Papum Pare,2023,3391824,2783867,29770,152690073,768,91
Arunachal Pradesh,Papum Pare,2024,3102114,3492976,311851,106471006,972,199
Arunachal Pradesh,Papum Pare,2025,3857500,3864285,225471,490521919,983,27
Arunachal Pradesh,Kurung Kumey,2015,1770242,4256830,93758,83085050,413,157
Arunachal Pradesh,Kurung Kumey,2016,938405,2232198,272156,438664701,412,1
Arunachal Pradesh,Kurung Kumey,2017,2519205,2016728,264632,156535955,574,141
Arunachal Pradesh,Kurung Kumey,2018,4552643,1098291,427338,35032244,754,124
Arunachal Pradesh,Kurung Kumey,2019,2261040,4018213,5803,23323445,430,43
Arunachal Pradesh,Kurung Kumey,2020,3493658,1425290,76894,121012534,178,72
Arunachal Pradesh,Kurung Kumey,2021,725312,2984378,426921,250013251,607,163
Arunachal Pradesh,Kurung Kumey,2022,2856229,1648399,345995,150848757,647,159
Arunachal Pradesh,Kurung Kumey,2023,12953,165154,481599,254492352,341,112
Arunachal Pradesh,Kurung Kumey,2024,832221,4029760,174202,19794213,12,81
Arunachal Pradesh,Kurung Kumey,2025,4728876,839034,320900,81621820,991,164
Arunachal Pradesh,Kra Daadi,2015,2721591,3783799,170428,435383263,534,183
Arunachal Pradesh,Kra Daadi,2016,841510,1412302,358214,227113779,965,26
Arunachal Pradesh,Kra Daadi,2017,305071,999175,106176,454960474,550,163
Arunachal Pradesh,Kra Daadi,2018,237712,4407138,6897,232587275,325,167
Arunachal Pradesh,Kra Daadi,2019,1978388,4079537,123699,458213133,523,85
Arunachal Pradesh,Kra Daadi,2020,1328411,2150188,103270,114765815,221,73
Arunachal Pradesh,Kra Daadi,2021,1397695,737070,326400,288672135,496,8
Arunachal Pradesh,Kra Daadi,2022,820988,3103861,115303,134774342,131,111
Arunachal Pradesh,Kra Daadi,2023,766833,1354564,81734,17483064,622,175
Arunachal Pradesh,Kra Daadi,2024,1804932,2903802,157368,1199517,61,114
Arunachal Pradesh,Kra Daadi,2025,2968245,2629338,251217,422050178,95,133
Arunachal Pradesh,Lower Subansiri,2015,4834413,949195,252068,473306493,265,20
