state,district,year,population,male_population,female_population,population_growth_rate,urban_population,rural_population
Andhra Pradesh,Chittoor,2024,3204590,915508,1179973,2.55,1660086,2440341
Andhra Pradesh,Chittoor,2025,1820102,1980024,234244,1.48,1618956,2706700
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,1792150,2085435,575172,1.81,219378,228567
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2016,1897041,395088,1899551,2.56,1937668,1536638
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2017,4447347,489439,2280827,3.11,1682602,2914306
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2018,3905085,162503,1517617,2.28,765387,371724
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2019,2777525,898059,330478,0.78,1871744,2434606
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2020,1262823,1379133,276310,1.68,1572984,2388371
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2021,1622753,1092303,577034,3.18,1536633,1847043
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,4025340,2496284,208540,2.05,1754119,2836945
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2023,4530767,1777250,514520,2.13,907077,1219848
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2024,4028626,2313884,259977,2.23,329920,1506347
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2025,3020703,1045511,833864,2.8,462885,337134
Andhra Pradesh,East Godavari,2015,1268185,886697,2211779,2.09,714955,2188061
Andhra Pradesh,East Godavari,2016,1417695,918023,1459135,2.54,934508,2245221
Andhra Pradesh,East Godavari,2017,261981,1322265,135686,3.32,1969879,2773890
Andhra Pradesh,East Godavari,2018,3032765,1460550,729047,2.4,1800709,1024813
Andhra Pradesh,East Godavari,2019,100290,874110,663952,2.02,324978,1797971
Andhra Pradesh,East Godavari,2020,4121033,273631,1239769,0.83,388451,589784
Andhra Pradesh,East Godavari,2021,1928686,454623,591179,1.38,19788,307870
Andhra Pradesh,East Godavari,2022,194960,2156979,1514970,3.3,70645,2523802
Andhra Pradesh,East Godavari,2023,3385944,406083,767501,1.23,690423,1424546
Andhra Pradesh,East Godavari,2024,273650,1535605,667137,2.7,1901419,2609489
Andhra Pradesh,East Godavari,2025,4189945,2222393,1509947,1.67,1277150,1903745
Andhra Pradesh,Eluru,2015,1138840,359681,2333451,2.61,178975,94796
Andhra Pradesh,Eluru,2016,4577295,1710256,1514213,1.62,66464,136027
Andhra Pradesh,Eluru,2017,2072065,339222,1195180,3.31,478578,1743676
Andhra Pradesh,Eluru,2018,1934625,154424,2222466,2.95,1824342,2247125
Andhra Pradesh,Eluru,2019,4844036,767667,2114372,0.59,1132263,2817165
Andhra Pradesh,Eluru,2020,3246134,1369707,1593015,1.74,297474,1531299
Andhra Pradesh,Eluru,2021,4721297,905859,2026284,1.97,1929001,741057
Andhra Pradesh,Eluru,2022,2223781,423591,1731276,2.45,38112,1570465
Andhra Pradesh,Eluru,2023,3783296,895486,538948,2.36,30751,1002790
Andhra Pradesh,Eluru,2024,1578699,1489759,1303605,0.78,235792,1630085
Andhra Pradesh,Eluru,2025,1610334,1123715,656423,1.36,553133,498003
Andhra Pradesh,Guntur,2015,1193204,2399067,416870,1.26,942281,351287
Andhra Pradesh,Guntur,2016,1035550,1669501,1655734,2.43,1341949,2611821
Andhra Pradesh,Guntur,2017,960223,2316413,405969,0.95,1666881,2537602
Andhra Pradesh,Guntur,2018,3649707,804339,1037317,1.89,729301,2049417
Andhra Pradesh,Guntur,2019,4634165,1708103,2050662,2.23,1521846,1106188
Andhra Pradesh,Guntur,2020,2693006,2229278,149619,1.35,454650,390012
Andhra Pradesh,Guntur,2021,4059992,502885,976621,2.77,214840,1726960
Andhra Pradesh,Guntur,2022,3345512,648671,374847,3.36,761956,2605551
Andhra Pradesh,Guntur,2023,3086141,2191728,1882473,1.06,757353,2752813
Andhra Pradesh,Guntur,2024,4080651,1563635,1750010,2.6,804403,2918250
Andhra Pradesh,Guntur,2025,2940334,337123,1240251,3.22,1251024,273189
Andhra Pradesh,Kakinada,2015,4423605,2364738,1891146,1.13,181338,1906616
Andhra Pradesh,Kakinada,2016,3206500,528186,2125464,2.98,669614,599971
Andhra Pradesh,Kakinada,2017,2033128,2008803,1574051,0.79,1010461,1943856
Andhra Pradesh,Kakinada,2018,1223964,2389883,674977,2.81,1675213,1058924
Andhra Pradesh,Kakinada,2019,4358428,883619,2236802,1.52,1226515,21993
Andhra Pradesh,Kakinada,2020,4855747,1355865,1044443,1.86,1034855,2967605
Andhra Pradesh,Kakinada,2021,4949571,198468,171119,2.98,976287,2934177
Andhra Pradesh,Kakinada,2022,1812008,182153,1149300,3.03,1848646,2110822
Andhra Pradesh,Kakinada,2023,3499355,1167017,1046846,1.93,1636746,1566756
Andhra Pradesh,Kakinada,2024,3007861,577333,2158714,2.77,1564001,235673
Andhra Pradesh,Kakinada,2025,1051078,471876,1191778,2.41,1267448,1390926
Andhra Pradesh,Krishna,2015,4861908,174227,1501622,2.55,1071507,1061383
Andhra Pradesh,Krishna,2016,2651511,383375,41355,3.14,1956200,2116465
Andhra Pradesh,Krishna,2017,822970,1410625,1367870,2.34,1764403,462610
Andhra Pradesh,Krishna,2018,2943555,842579,2329207,1.87,1805910,1829611
Andhra Pradesh,Krishna,2019,2864524,163950,1289895,1.27,1046524,261451
Andhra Pradesh,Krishna,2020,3899976,1282541,857661,1.69,291022,384740
Andhra Pradesh,Krishna,2021,3672186,1150995,2402091,3.38,665039,422931
Andhra Pradesh,Krishna,2022,1524316,545749,125895,1.9,1594903,176682
Andhra Pradesh,Krishna,2023,3783207,92744,1668548,2.68,1229730,814585
Andhra Pradesh,Krishna,2024,4979254,1151846,445515,3.14,322131,1473314
Andhra Pradesh,Krishna,2025,301019,1148278,1501772,0.64,1966967,1909580
Andhra Pradesh,Kurnool,2015,2454113,2259124,797048,2.08,1338295,2381592
Andhra Pradesh,Kurnool,2016,440852,1860744,739258,0.72,1546133,507891
Andhra Pradesh,Kurnool,2017,4046968,1807164,2490255,1.75,693549,732742
Andhra Pradesh,Kurnool,2018,4484311,1882954,1378568,3.22,799412,611606
Andhra Pradesh,Kurnool,2019,3935228,108718,748122,1.34,1480153,1870466
Andhra Pradesh,Kurnool,2020,2069535,704933,501790,1.88,838782,651655
Andhra Pradesh,Kurnool,2021,647511,1208294,116212,1.78,1331430,2046169
Andhra Pradesh,Kurnool,2022,2671094,1956559,2369568,2.15,1465784,2261344
Andhra Pradesh,Kurnool,2023,1573609,980005,1404901,3.01,1319292,2908517
Andhra Pradesh,Kurnool,2024,904382,710007,826510,0.99,1637957,1129318
Andhra Pradesh,Kurnool,2025,4699345,238569,2000410,2.55,1169150,1072223
Andhra Pradesh,Nandyal,2015,3815892,791222,1760111,2.15,633607,116369
Andhra Pradesh,Nandyal,2016,4787437,38542,1970119,1.66,1486290,331168
Andhra Pradesh,Nandyal,2017,2905023,175379,480363,1.41,1042940,954052
Andhra Pradesh,Nandyal,2018,1588658,220875,1103732,2.98,703412,544503
Andhra Pradesh,Nandyal,2019,3827561,575740,420756,1.96,1953949,2837924
Andhra Pradesh,Nandyal,2020,1182238,230879,329688,3.45,575189,1421655
Andhra Pradesh,Nandyal,2021,1168414,1004914,1982413,1.24,468727,604914
Andhra Pradesh,Nandyal,2022,4518797,325960,108698,2.81,1527963,1850858
Andhra Pradesh,Nandyal,2023,1043080,2356086,178817,3.26,226739,2774231
Andhra Pradesh,Nandyal,2024,1391894,733946,2412932,3.47,161001,1203616
Andhra Pradesh,Nandyal,2025,3960455,737329,607020,0.63,1301618,170474
Andhra Pradesh,NTR,2015,2377080,492577,2044094,2.74,855537,2863262
Andhra Pradesh,NTR,2016,4960923,1341139,328820,2.04,441832,573089
Andhra Pradesh,NTR,2017,4810381,2185457,628390,1.25,1710752,1073801
Andhra Pradesh,NTR,2018,3997468,1929638,946873,0.84,1963608,2897530
Andhra Pradesh,NTR,2019,563563,1167067,630790,1.4,12741,2923840
Andhra Pradesh,NTR,2020,774665,308096,159311,0.81,320695,1112516
Andhra Pradesh,NTR,2021,2414169,2099174,94096,1.97,357322,1405766
Andhra Pradesh,NTR,2022,1415983,1319978,2324386,1.37,1447269,1453499
Andhra Pradesh,NTR,2023,1322350,2459391,636216,2.62,886748,575853
Andhra Pradesh,NTR,2024,2613542,210424,1147066,2.58,845209,1063318
Andhra Pradesh,NTR,2025,1909918,149410,1694477,0.73,254412,622756
Andhra Pradesh,Palnadu,2015,2395683,1570540,1755321,0.67,1774476,1015182
Andhra Pradesh,Palnadu,2016,2053355,1150852,1083649,2.19,1319609,2205581
Andhra Pradesh,Palnadu,2017,1055061,1930957,1633916,2.05,970638,1445819
Andhra Pradesh,Palnadu,2018,2673893,300591,2485149,3.21,1870922,2412314
Andhra Pradesh,Palnadu,2019,1484188,2146946,1085034,1.71,1574493,2488092
Andhra Pradesh,Palnadu,2020,4837236,518789,1127341,1.5,947333,958868
Andhra Pradesh,Palnadu,2021,4586095,169888,2317240,3.4,1822192,1022288
Andhra Pradesh,Palnadu,2022,1351243,819931,1928202,2.33,258594,1311761
Andhra Pradesh,Palnadu,2023,786889,1073174,2226823,1.55,616162,278553
Andhra Pradesh,Palnadu,2024,3107635,1856018,507624,0.89,1574642,1614573
Andhra Pradesh,Palnadu,2025,2989768,664864,29160,1.97,562957,602919
Andhra Pradesh,Parvathipuram Manyam,2015,1877457,506671,535321,0.94,926000,1938072
Andhra Pradesh,Parvathipuram Manyam,2016,502325,720621,588723,2.58,1901715,575648
Andhra Pradesh,Parvathipuram Manyam,2017,3743654,728103,1188867,2.76,957187,514529
Andhra Pradesh,Parvathipuram Manyam,2018,3629408,1179265,2269800,2.55,1011792,811528
Andhra Pradesh,Parvathipuram Manyam,2019,4668663,1457252,1157684,2.62,27490,1044778
Andhra Pradesh,Parvathipuram Manyam,2020,1037669,310499,2211728,1.19,1230837,1758641
Andhra Pradesh,Parvathipuram Manyam,2021,1478501,91152,1049074,1.22,855135,598059
Andhra Pradesh,Parvathipuram Manyam,2022,3311991,1183182,449186,1.28,290103,2888251
Andhra Pradesh,Parvathipuram Manyam,2023,2155111,2394102,714250,2.23,993600,2320336
Andhra Pradesh,Parvathipuram Manyam,2024,770776,109845,2196807,0.8,76872,2444680
Andhra Pradesh,Parvathipuram Manyam,2025,2558239,1339918,1680077,3.18,950718,1574285
Andhra Pradesh,Prakasam,2015,4569919,2436382,1859873,2.61,1304181,1373054
Andhra Pradesh,Prakasam,2016,2256896,45202,462279,3.49,455433,2936072
Andhra Pradesh,Prakasam,2017,1098478,853315,1905755,1.61,903450,2142299
Andhra Pradesh,Prakasam,2018,1384540,952783,142226,1.27,1010750,1641404
Andhra Pradesh,Prakasam,2019,982769,1284588,1025611,2.96,1763213,753415
Andhra Pradesh,Prakasam,2020,3918478,774433,1212506,3.36,485614,1289124
Andhra Pradesh,Prakasam,2021,1694973,497923,1222653,3.45,745950,2988059
Andhra Pradesh,Prakasam,2022,1270997,1958839,2136784,1.67,596950,961825
Andhra Pradesh,Prakasam,2023,2672082,2432355,794024,0.79,340232,1143795
Andhra Pradesh,Prakasam,2024,1369035,2084734,780519,1.7,540574,2889319
Andhra Pradesh,Prakasam,2025,4641009,1335519,2189690,1.35,788206,1486366
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,3433114,640681,390742,0.82,591395,2446814
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,521577,993852,1615556,2.32,799028,703892
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,1638561,2493031,895927,2.23,921908,2114607
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,1351009,1576602,1972674,3.2,1953541,295131
Andhra Pradesh,Sri Potti Sriramulu Nellore,2019,4307282,1064817,1108016,3.12,95042,2583870
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,417365,1745784,2113120,1.87,1014852,1181806
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,2313568,1854432,1739128,3.19,599276,2900886
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,1045846,1320918,1816923,2.55,1065398,1676657
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,3746610,2134489,1384948,2.3,570323,1699122
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,4683712,292633,1784009,3.26,1776659,2024416
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,3387598,791304,1574428,2.38,881039,2819724
Andhra Pradesh,Sri Sathya Sai,2015,4460536,2053689,792914,3.35,1974460,102034
Andhra Pradesh,Sri Sathya Sai,2016,1302043,625307,2454110,2.11,690471,152606
Andhra Pradesh,Sri Sathya Sai,2017,4228550,1075737,1836706,1.89,352871,2549749
Andhra Pradesh,Sri Sathya Sai,2018,4188840,358103,668006,3.31,334639,364481
Andhra Pradesh,Sri Sathya Sai,2019,179201,1171382,2104480,1.65,1811767,244133
Andhra Pradesh,Sri Sathya Sai,2020,3564522,2063672,2397722,3.37,356506,2956338
Andhra Pradesh,Sri Sathya Sai,2021,1161244,278994,580746,1.08,726280,509749
Andhra Pradesh,Sri Sathya Sai,2022,2875201,1881892,2440653,1.66,1711005,585342
Andhra Pradesh,Sri Sathya Sai,2023,2573941,1112676,1773268,1.33,1389270,2693143
Andhra Pradesh,Sri Sathya Sai,2024,2531271,1487594,825969,3.09,1578240,1123984
Andhra Pradesh,Sri Sathya Sai,2025,4106109,802498,1882339,1.97,1553756,2059873
Andhra Pradesh,Srikakulam,2015,3317294,134418,2118211,1.75,937104,371081
Andhra Pradesh,Srikakulam,2016,4708191,526689,2435228,0.64,1173436,2681897
Andhra Pradesh,Srikakulam,2017,1585615,820432,1968912,0.66,1897541,2343793
Andhra Pradesh,Srikakulam,2018,3790999,164650,256803,1.9,953291,2017453
Andhra Pradesh,Srikakulam,2019,194486,666096,2291355,2.85,1352388,228542
Andhra Pradesh,Srikakulam,2020,860066,827140,428926,3.31,1578745,398958
Andhra Pradesh,Srikakulam,2021,376125,70973,2006415,1.54,1741390,2724058
Andhra Pradesh,Srikakulam,2022,1741306,1632419,1701887,3.44,1870242,828002
Andhra Pradesh,Srikakulam,2023,1811155,1771268,1191627,2.91,1113320,250459
Andhra Pradesh,Srikakulam,2024,3776196,2061118,1702181,0.84,34784,2709831
Andhra Pradesh,Srikakulam,2025,2930516,1777104,286576,2.93,379849,244036
Andhra Pradesh,Tirupati,2015,3179943,2339342,182217,1.66,1126773,704386
Andhra Pradesh,Tirupati,2016,3039337,578548,951200,2.13,1797793,1059417
Andhra Pradesh,Tirupati,2017,357199,2455714,356208,2.0,1025064,2000432
Andhra Pradesh,Tirupati,2018,206672,2164730,1060087,1.46,794090,409936
Andhra Pradesh,Tirupati,2019,716143,918673,1930564,0.56,1861765,1517181
Andhra Pradesh,Tirupati,2020,4643859,1973643,848169,1.02,758042,2725876
Andhra Pradesh,Tirupati,2021,2092617,1305973,221028,0.57,1554617,1037648
Andhra Pradesh,Tirupati,2022,1764925,350866,223552,2.58,1346393,2662906
Andhra Pradesh,Tirupati,2023,3103531,630589,2276123,1.13,195188,1304531
Andhra Pradesh,Tirupati,2024,3205511,1410462,1333572,1.2,936319,1302997
Andhra Pradesh,Tirupati,2025,810114,1801571,2361965,0.92,284271,753399
Andhra Pradesh,Visakhapatnam,2015,3149793,1761742,195644,2.26,579059,619879
Andhra Pradesh,Visakhapatnam,2016,1899941,2181715,1633923,2.26,613169,1333596
Andhra Pradesh,Visakhapatnam,2017,3581856,1471666,1328399,0.73,1706458,952933
Andhra Pradesh,Visakhapatnam,2018,3460151,1013537,1679278,3.21,1188542,276198
Andhra Pradesh,Visakhapatnam,2019,1832612,585364,1358517,1.07,325873,953559
Andhra Pradesh,Visakhapatnam,2020,3970864,1410925,1028821,2.22,1302938,189288
Andhra Pradesh,Visakhapatnam,2021,2516607,1256766,986407,1.95,1807994,466727
Andhra Pradesh,Visakhapatnam,2022,2054993,1695849,590811,1.18,1899496,906506
Andhra Pradesh,Visakhapatnam,2023,4444493,1201717,189365,0.78,796328,1363852
Andhra Pradesh,Visakhapatnam,2024,2047846,2166208,1000376,3.04,384518,2526744
Andhra Pradesh,Visakhapatnam,2025,1217381,324619,467057,1.43,650558,344561
Andhra Pradesh,Vizianagaram,2015,2465823,1123718,218777,3.21,515008,2861594
Andhra Pradesh,Vizianagaram,2016,2378096,227871,427153,3.03,270938,426140
Andhra Pradesh,Vizianagaram,2017,3115053,2292253,117468,2.63,1979405,2077226
Andhra Pradesh,Vizianagaram,2018,1338935,224307,1979963,1.79,932237,2443058
Andhra Pradesh,Vizianagaram,2019,1884559,1591524,1448516,2.1,910658,2665268
Andhra Pradesh,Vizianagaram,2020,4513689,2057774,1615933,0.95,1755917,260679
Andhra Pradesh,Vizianagaram,2021,3485913,504858,846108,3.22,1685636,451731
Andhra Pradesh,Vizianagaram,2022,2367198,2492998,666736,0.95,1599457,1160722
Andhra Pradesh,Vizianagaram,2023,3516877,1980865,1784153,1.19,821693,2130791
Andhra Pradesh,Vizianagaram,2024,2876247,1755204,2166201,0.73,1280109,1646616
Andhra Pradesh,Vizianagaram,2025,290928,1031070,1010501,2.21,1336688,1963982
Andhra Pradesh,West Godavari,2015,2949903,1637514,2180216,0.87,1487077,2590066
Andhra Pradesh,West Godavari,2016,491136,699626,1462429,1.0,556749,2310076
Andhra Pradesh,West Godavari,2017,1551728,271863,1984238,1.99,78138,1200365
Andhra Pradesh,West Godavari,2018,4773465,364257,1027676,1.6,555066,1041032
Andhra Pradesh,West Godavari,2019,4120227,646497,2386111,1.15,505876,2064374
Andhra Pradesh,West Godavari,2020,4642022,1286521,338133,2.99,1805668,1726550
Andhra Pradesh,West Godavari,2021,687636,2172036,1265911,0.65,1863980,470130
Andhra Pradesh,West Godavari,2022,4225874,585451,247848,0.74,1120928,111814
Andhra Pradesh,West Godavari,2023,3871266,1084905,2009391,1.81,48017,2465528
Andhra Pradesh,West Godavari,2024,3014279,2024284,444248,0.6,1321647,1153871
Andhra Pradesh,West Godavari,2025,4764417,2288902,178659,1.14,280292,616114
Andhra Pradesh,YSR Kadapa,2015,4448169,1303890,323951,0.6,213398,214582
Andhra Pradesh,YSR Kadapa,2016,4882314,2295079,1318942,2.8,1152201,310786
Andhra Pradesh,YSR Kadapa,2017,999882,1432049,845683,2.49,1808223,766693
Andhra Pradesh,YSR Kadapa,2018,3663750,1961308,408804,3.39,1388646,2863977
Andhra Pradesh,YSR Kadapa,2019,362888,518625,2016222,0.72,1320078,1059507
Andhra Pradesh,YSR Kadapa,2020,2272323,612446,420562,2.57,1336319,1756709
Andhra Pradesh,YSR Kadapa,2021,4144237,2438111,2380273,1.99,1004417,142303
Andhra Pradesh,YSR Kadapa,2022,4524024,2471706,1149254,2.81,1063764,627504
Andhra Pradesh,YSR Kadapa,2023,1066885,2134247,709524,3.22,1874055,1487877
Andhra Pradesh,YSR Kadapa,2024,2035310,2237613,1766131,1.88,1785891,1177529
Andhra Pradesh,YSR Kadapa,2025,1385225,2290925,2372167,3.29,888421,2226521
Arunachal Pradesh,Tawang,2015,2481531,1257389,2066557,2.56,496790,2590804
Arunachal Pradesh,Tawang,2016,1205455,590106,58133,0.97,44295,2374131
Arunachal Pradesh,Tawang,2017,3835379,2220642,1578201,3.04,85539,2301727
Arunachal Pradesh,Tawang,2018,2782581,1471662,333940,1.9,477583,2853966
Arunachal Pradesh,Tawang,2019,3992771,202635,1462185,1.1,573904,633664
Arunachal Pradesh,Tawang,2020,2332364,1344187,1637335,2.05,1847851,2987585
Arunachal Pradesh,Tawang,2021,1494556,1307187,502842,0.65,1099762,471327
Arunachal Pradesh,Tawang,2022,3780615,136462,2472161,0.86,1761832,475573
Arunachal Pradesh,Tawang,2023,2498073,1266058,2058544,0.57,1162337,1146583
Arunachal Pradesh,Tawang,2024,229805,1410896,86425,1.77,161337,1303923
Arunachal Pradesh,Tawang,2025,1111557,2444111,1242534,1.71,1833528,2066064
Arunachal Pradesh,West Kameng,2015,4857160,1453775,206595,0.59,1657887,1993243
Arunachal Pradesh,West Kameng,2016,2104138,1943058,1234327,3.37,581755,2800517
Arunachal Pradesh,West Kameng,2017,789665,2021023,1053734,0.9,421759,2748217
Arunachal Pradesh,West Kameng,2018,4775737,2203156,413008,1.91,1348184,2269196
Arunachal Pradesh,West Kameng,2019,4429766,468123,1287625,3.49,814034,1436905
Arunachal Pradesh,West Kameng,2020,3911776,324354,1240639,2.16,402892,1581237
Arunachal Pradesh,West Kameng,2021,3272476,1496982,869575,2.69,223123,359856
Arunachal Pradesh,West Kameng,2022,1051777,327965,1226908,1.31,472615,42948
Arunachal Pradesh,West Kameng,2023,449833,1247804,743842,2.09,1984971,531076
Arunachal Pradesh,West Kameng,2024,2058775,2073606,1183571,1.68,1994461,1128961
Arunachal Pradesh,West Kameng,2025,2755695,942289,960467,3.07,443375,2832159
Arunachal Pradesh,East Kameng,2015,4319042,945708,1505142,1.6,415819,2722072
Arunachal Pradesh,East Kameng,2016,2685934,923257,1638146,2.45,1468231,1945620
Arunachal Pradesh,East Kameng,2017,2526428,1454843,1139303,2.45,1846912,1314937
Arunachal Pradesh,East Kameng,2018,4914409,2195827,785323,2.15,1894726,2019515
Arunachal Pradesh,East Kameng,2019,1885964,1473540,484345,2.69,543278,2553347
Arunachal Pradesh,East Kameng,2020,1922568,976081,554540,1.66,1486092,2445818
Arunachal Pradesh,East Kameng,2021,4675898,2190987,571077,1.97,1986584,2801117
Arunachal Pradesh,East Kameng,2022,157785,703829,2074688,2.19,901897,2151300
Arunachal Pradesh,East Kameng,2023,2122326,633706,141529,0.97,1706006,2233969
Arunachal Pradesh,East Kameng,2024,2219438,2056597,59934,0.56,1184616,143850
Arunachal Pradesh,East Kameng,2025,919174,1014038,1303568,2.06,527429,1173451
Arunachal Pradesh,Papum Pare,2015,4049723,2187208,2281631,1.96,1644301,1406477
Arunachal Pradesh,Papum Pare,2016,2303063,1906911,304819,3.36,656143,1746092
Arunachal Pradesh,Papum Pare,2017,3617544,2088506,1492824,1.06,1279818,2862982
Arunachal Pradesh,Papum Pare,2018,2287880,282971,1018139,0.61,1173338,2774205
Arunachal Pradesh,Papum Pare,2019,2752811,256153,771721,1.73,1485115,2801086
