state,district,year,road_length_km,railway_stations,buses_operating,registered_vehicles,airports_nearby
Andhra Pradesh,Annamayya,2016,7711,43,1221,803033,2
Andhra Pradesh,Annamayya,2017,7259,44,1952,939964,2
Andhra Pradesh,Annamayya,2018,7747,28,400,923058,1
Andhra Pradesh,Annamayya,2019,3451,20,896,421684,0
Andhra Pradesh,Annamayya,2020,5852,37,466,824409,0
Andhra Pradesh,Annamayya,2021,1221,33,1303,829677,2
Andhra Pradesh,Annamayya,2022,2716,44,1341,508423,0
Andhra Pradesh,Annamayya,2023,2476,13,153,69459,0
Andhra Pradesh,Annamayya,2024,4240,22,1616,645775,2
Andhra Pradesh,Annamayya,2025,1423,42,1731,1369627,0
Andhra Pradesh,Bapatla,2015,5513,19,591,496841,0
Andhra Pradesh,Bapatla,2016,8201,2,642,293140,1
Andhra Pradesh,Bapatla,2017,2743,34,1714,1363979,1
Andhra Pradesh,Bapatla,2018,6468,37,673,496799,2
Andhra Pradesh,Bapatla,2019,3609,27,1222,181953,0
Andhra Pradesh,Bapatla,2020,9324,5,906,1559967,2
Andhra Pradesh,Bapatla,2021,9825,39,238,865405,3
Andhra Pradesh,Bapatla,2022,4516,27,228,93809,2
Andhra Pradesh,Bapatla,2023,495,34,335,385267,3
Andhra Pradesh,Bapatla,2024,4211,41,1846,1001187,3
Andhra Pradesh,Bapatla,2025,3532,24,1771,741830,3
Andhra Pradesh,Chittoor,2015,9066,13,917,1524993,0
Andhra Pradesh,Chittoor,2016,4193,9,186,1125634,3
Andhra Pradesh,Chittoor,2017,3837,46,1380,897394,0
Andhra Pradesh,Chittoor,2018,9647,38,1398,625312,1
Andhra Pradesh,Chittoor,2019,1655,50,1018,1244455,0
Andhra Pradesh,Chittoor,2020,998,2,1615,1997895,1
Andhra Pradesh,Chittoor,2021,9608,50,439,1705140,1
Andhra Pradesh,Chittoor,2022,5169,37,1606,1584842,3
Andhra Pradesh,Chittoor,2023,8769,50,1425,862021,1
Andhra Pradesh,Chittoor,2024,7623,15,1912,42271,1
Andhra Pradesh,Chittoor,2025,3624,46,1784,1072345,3
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,851,42,1171,1496986,3
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2016,9008,9,1024,86156,0
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2017,4433,1,1980,121645,1
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2018,3276,39,609,195115,0
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2019,9073,28,520,1729716,1
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2020,9891,42,1304,770754,2
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2021,2332,2,831,973566,0
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,5969,49,91,658132,3
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2023,5214,33,1699,1463763,3
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2024,4830,11,579,1321341,1
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2025,6381,11,1457,1520307,1
Andhra Pradesh,East Godavari,2015,7236,2,1322,782094,0
Andhra Pradesh,East Godavari,2016,8224,41,1916,1687742,1
Andhra Pradesh,East Godavari,2017,9976,8,1893,1868913,3
Andhra Pradesh,East Godavari,2018,1990,2,1094,1731378,3
Andhra Pradesh,East Godavari,2019,5227,11,899,424134,1
Andhra Pradesh,East Godavari,2020,9656,26,1356,1404372,2
Andhra Pradesh,East Godavari,2021,1698,2,1769,1261771,1
Andhra Pradesh,East Godavari,2022,5609,26,662,622466,1
Andhra Pradesh,East Godavari,2023,6078,32,1842,464575,1
Andhra Pradesh,East Godavari,2024,7402,48,1411,1051842,0
Andhra Pradesh,East Godavari,2025,300,10,1825,1485427,1
Andhra Pradesh,Eluru,2015,4794,9,742,866550,3
Andhra Pradesh,Eluru,2016,3266,46,109,362852,0
Andhra Pradesh,Eluru,2017,8123,7,1601,334701,2
Andhra Pradesh,Eluru,2018,1146,25,1436,192317,0
Andhra Pradesh,Eluru,2019,5663,9,269,930148,0
Andhra Pradesh,Eluru,2020,5002,24,1903,1047584,0
Andhra Pradesh,Eluru,2021,6492,19,1342,51304,1
Andhra Pradesh,Eluru,2022,1720,22,1443,321281,1
Andhra Pradesh,Eluru,2023,1923,42,1015,1808887,1
Andhra Pradesh,Eluru,2024,2066,38,1920,1721064,1
Andhra Pradesh,Eluru,2025,1655,42,971,1820991,3
Andhra Pradesh,Guntur,2015,2367,6,1457,1133477,0
Andhra Pradesh,Guntur,2016,6371,33,486,672287,3
Andhra Pradesh,Guntur,2017,9088,42,1314,1002869,2
Andhra Pradesh,Guntur,2018,4316,25,393,762127,2
Andhra Pradesh,Guntur,2019,4343,32,724,1925270,0
Andhra Pradesh,Guntur,2020,5718,2,1214,484413,2
Andhra Pradesh,Guntur,2021,4474,14,226,570413,0
Andhra Pradesh,Guntur,2022,1124,31,1818,1562312,3
Andhra Pradesh,Guntur,2023,4456,20,1007,647366,0
Andhra Pradesh,Guntur,2024,1943,49,1270,184222,3
Andhra Pradesh,Guntur,2025,885,28,1507,1429842,2
Andhra Pradesh,Kakinada,2015,6663,28,1679,1335847,1
Andhra Pradesh,Kakinada,2016,1035,17,1234,1197435,3
Andhra Pradesh,Kakinada,2017,3182,2,537,1039199,2
Andhra Pradesh,Kakinada,2018,2043,1,277,305153,0
Andhra Pradesh,Kakinada,2019,3363,29,131,263291,1
Andhra Pradesh,Kakinada,2020,6359,21,966,353229,2
Andhra Pradesh,Kakinada,2021,7037,29,1044,725121,2
Andhra Pradesh,Kakinada,2022,4334,49,1171,559736,2
Andhra Pradesh,Kakinada,2023,4826,34,207,1885098,3
Andhra Pradesh,Kakinada,2024,1040,44,258,1991571,0
Andhra Pradesh,Kakinada,2025,2812,43,1217,1302435,3
Andhra Pradesh,Krishna,2015,9896,24,1261,153898,1
Andhra Pradesh,Krishna,2016,1884,5,328,990300,2
Andhra Pradesh,Krishna,2017,2241,47,1738,1044663,3
Andhra Pradesh,Krishna,2018,3705,33,920,585354,0
Andhra Pradesh,Krishna,2019,5506,16,452,1633655,2
Andhra Pradesh,Krishna,2020,9958,12,1838,379584,3
Andhra Pradesh,Krishna,2021,8323,22,457,1779931,2
Andhra Pradesh,Krishna,2022,3664,3,297,38918,0
Andhra Pradesh,Krishna,2023,3126,30,1649,482948,3
Andhra Pradesh,Krishna,2024,904,49,462,309491,1
Andhra Pradesh,Krishna,2025,3716,36,579,1574427,2
Andhra Pradesh,Kurnool,2015,1934,34,466,335431,0
Andhra Pradesh,Kurnool,2016,9410,39,870,597318,2
Andhra Pradesh,Kurnool,2017,1836,45,1519,1212098,2
Andhra Pradesh,Kurnool,2018,1268,35,957,119639,0
Andhra Pradesh,Kurnool,2019,2916,17,1400,1403296,3
Andhra Pradesh,Kurnool,2020,7561,41,1223,1787481,0
Andhra Pradesh,Kurnool,2021,6712,15,432,875283,3
Andhra Pradesh,Kurnool,2022,3223,35,1910,1036209,3
Andhra Pradesh,Kurnool,2023,2128,44,865,34035,1
Andhra Pradesh,Kurnool,2024,8426,7,282,208505,0
Andhra Pradesh,Kurnool,2025,9908,17,517,849221,3
Andhra Pradesh,Nandyal,2015,9741,17,1147,1587134,3
Andhra Pradesh,Nandyal,2016,5611,24,782,749354,1
Andhra Pradesh,Nandyal,2017,8749,23,1884,1253846,1
Andhra Pradesh,Nandyal,2018,4530,34,1010,606360,3
Andhra Pradesh,Nandyal,2019,4987,50,1208,229979,1
Andhra Pradesh,Nandyal,2020,4702,41,279,1997826,1
Andhra Pradesh,Nandyal,2021,4951,24,1830,1196431,0
Andhra Pradesh,Nandyal,2022,758,19,1817,1207126,1
Andhra Pradesh,Nandyal,2023,5361,23,1339,798581,1
Andhra Pradesh,Nandyal,2024,7426,27,1635,1226692,0
Andhra Pradesh,Nandyal,2025,2007,3,1094,913942,2
Andhra Pradesh,NTR,2015,8564,29,838,1807451,1
Andhra Pradesh,NTR,2016,4005,48,1988,977031,1
Andhra Pradesh,NTR,2017,4261,1,1863,1260835,0
Andhra Pradesh,NTR,2018,9678,23,1333,1367262,1
Andhra Pradesh,NTR,2019,4027,5,66,914253,2
Andhra Pradesh,NTR,2020,6946,43,1742,1123397,2
Andhra Pradesh,NTR,2021,2413,19,760,972300,1
Andhra Pradesh,NTR,2022,754,12,237,450712,1
Andhra Pradesh,NTR,2023,9889,41,424,968722,2
Andhra Pradesh,NTR,2024,236,41,1123,1647433,2
Andhra Pradesh,NTR,2025,683,29,760,1265347,3
Andhra Pradesh,Palnadu,2015,9525,39,815,956951,3
Andhra Pradesh,Palnadu,2016,9755,8,263,123752,1
Andhra Pradesh,Palnadu,2017,7171,8,1905,1247416,0
Andhra Pradesh,Palnadu,2018,3533,2,903,536760,1
Andhra Pradesh,Palnadu,2019,3460,4,973,1139948,3
Andhra Pradesh,Palnadu,2020,1002,25,277,376801,3
Andhra Pradesh,Palnadu,2021,3854,2,239,636971,2
Andhra Pradesh,Palnadu,2022,1877,31,1928,410987,3
Andhra Pradesh,Palnadu,2023,2666,8,1650,271045,1
Andhra Pradesh,Palnadu,2024,2740,45,802,1882745,3
Andhra Pradesh,Palnadu,2025,4679,12,1906,22797,1
Andhra Pradesh,Parvathipuram Manyam,2015,8686,35,1009,1385362,0
Andhra Pradesh,Parvathipuram Manyam,2016,421,36,1154,1688619,1
Andhra Pradesh,Parvathipuram Manyam,2017,5766,31,324,1182346,0
Andhra Pradesh,Parvathipuram Manyam,2018,7964,29,1961,117895,0
Andhra Pradesh,Parvathipuram Manyam,2019,3091,12,1865,65245,2
Andhra Pradesh,Parvathipuram Manyam,2020,9232,21,144,1713197,0
Andhra Pradesh,Parvathipuram Manyam,2021,9106,15,1591,330342,1
Andhra Pradesh,Parvathipuram Manyam,2022,8017,16,1496,1573976,3
Andhra Pradesh,Parvathipuram Manyam,2023,5905,48,821,1918108,2
Andhra Pradesh,Parvathipuram Manyam,2024,7834,1,1056,1959500,3
Andhra Pradesh,Parvathipuram Manyam,2025,1970,8,1418,1689849,2
Andhra Pradesh,Prakasam,2015,1912,5,1821,196861,3
Andhra Pradesh,Prakasam,2016,459,8,336,1513804,1
Andhra Pradesh,Prakasam,2017,3966,43,1162,1721095,1
Andhra Pradesh,Prakasam,2018,2014,6,1174,667870,2
Andhra Pradesh,Prakasam,2019,4075,9,1827,465062,0
Andhra Pradesh,Prakasam,2020,3318,43,1860,781610,3
Andhra Pradesh,Prakasam,2021,3629,48,1378,1578947,0
Andhra Pradesh,Prakasam,2022,8975,33,818,1222535,3
Andhra Pradesh,Prakasam,2023,5083,20,1308,1530082,0
Andhra Pradesh,Prakasam,2024,7247,11,1555,113525,1
Andhra Pradesh,Prakasam,2025,8618,38,679,1384138,2
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,2931,39,1138,259113,1
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,1379,25,1890,614879,1
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,2591,28,1362,1926692,0
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,7974,26,948,210467,1
Andhra Pradesh,Sri Potti Sriramulu Nellore,2019,9606,13,873,872091,0
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,5162,7,1446,646424,2
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,4225,47,257,1204267,1
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,8274,50,504,503525,0
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,4134,19,1585,1968029,2
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,5996,27,254,1065005,1
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,8147,45,1099,1930284,0
Andhra Pradesh,Sri Sathya Sai,2015,8148,3,978,659461,1
Andhra Pradesh,Sri Sathya Sai,2016,9626,22,933,195920,3
Andhra Pradesh,Sri Sathya Sai,2017,3048,10,122,899118,3
Andhra Pradesh,Sri Sathya Sai,2018,1942,12,1142,305330,2
Andhra Pradesh,Sri Sathya Sai,2019,9808,42,779,1031023,2
Andhra Pradesh,Sri Sathya Sai,2020,2626,5,1308,706985,3
Andhra Pradesh,Sri Sathya Sai,2021,8516,27,624,68115,0
Andhra Pradesh,Sri Sathya Sai,2022,7385,2,479,912765,2
Andhra Pradesh,Sri Sathya Sai,2023,3548,49,1548,1433697,3
Andhra Pradesh,Sri Sathya Sai,2024,7711,44,338,133448,3
Andhra Pradesh,Sri Sathya Sai,2025,6909,31,432,1739566,3
Andhra Pradesh,Srikakulam,2015,1507,3,1128,110987,1
Andhra Pradesh,Srikakulam,2016,9168,40,1302,516479,1
Andhra Pradesh,Srikakulam,2017,1813,46,187,1564273,1
Andhra Pradesh,Srikakulam,2018,5392,11,1919,757257,0
Andhra Pradesh,Srikakulam,2019,3154,30,1485,1195209,0
Andhra Pradesh,Srikakulam,2020,2767,20,1958,46802,2
Andhra Pradesh,Srikakulam,2021,3279,44,1371,1119271,2
Andhra Pradesh,Srikakulam,2022,9119,35,1662,1161192,2
Andhra Pradesh,Srikakulam,2023,9715,6,1732,447104,3
Andhra Pradesh,Srikakulam,2024,3987,23,1974,179807,0
Andhra Pradesh,Srikakulam,2025,8980,42,1740,1677442,3
Andhra Pradesh,Tirupati,2015,6473,22,1757,1694063,2
Andhra Pradesh,Tirupati,2016,2289,23,1910,217023,0
Andhra Pradesh,Tirupati,2017,3068,8,1559,374280,0
Andhra Pradesh,Tirupati,2018,1607,49,975,693714,0
Andhra Pradesh,Tirupati,2019,4725,6,875,60784,2
Andhra Pradesh,Tirupati,2020,4578,7,1764,1331409,1
Andhra Pradesh,Tirupati,2021,7266,12,577,1565486,3
Andhra Pradesh,Tirupati,2022,9897,21,442,1683903,1
Andhra Pradesh,Tirupati,2023,5238,39,775,1748293,1
Andhra Pradesh,Tirupati,2024,4834,4,929,1906982,0
Andhra Pradesh,Tirupati,2025,6320,46,170,179582,3
Andhra Pradesh,Visakhapatnam,2015,2853,48,1196,97687,2
Andhra Pradesh,Visakhapatnam,2016,4165,11,252,1709990,1
Andhra Pradesh,Visakhapatnam,2017,8329,1,1067,1956120,3
Andhra Pradesh,Visakhapatnam,2018,9649,12,1488,1700728,2
Andhra Pradesh,Visakhapatnam,2019,9977,29,647,362272,1
Andhra Pradesh,Visakhapatnam,2020,1473,25,308,1354762,3
Andhra Pradesh,Visakhapatnam,2021,9282,46,1937,541911,0
Andhra Pradesh,Visakhapatnam,2022,8662,25,1394,1387935,1
Andhra Pradesh,Visakhapatnam,2023,9498,15,868,1820440,1
Andhra Pradesh,Visakhapatnam,2024,4753,47,428,822160,1
Andhra Pradesh,Visakhapatnam,2025,2685,21,425,1196125,3
Andhra Pradesh,Vizianagaram,2015,4321,3,104,1141033,1
Andhra Pradesh,Vizianagaram,2016,9150,44,797,504414,1
Andhra Pradesh,Vizianagaram,2017,4905,23,1467,1865201,3
Andhra Pradesh,Vizianagaram,2018,7698,1,1100,1511309,0
Andhra Pradesh,Vizianagaram,2019,1913,20,1516,996547,2
Andhra Pradesh,Vizianagaram,2020,6380,32,217,667899,1
Andhra Pradesh,Vizianagaram,2021,6683,9,950,1931398,0
Andhra Pradesh,Vizianagaram,2022,2862,35,1838,364263,2
Andhra Pradesh,Vizianagaram,2023,5447,40,807,758168,2
Andhra Pradesh,Vizianagaram,2024,3153,32,514,749975,0
Andhra Pradesh,Vizianagaram,2025,1599,25,1236,450141,1
Andhra Pradesh,West Godavari,2015,7726,30,755,1026562,3
Andhra Pradesh,West Godavari,2016,3883,21,404,1749719,3
Andhra Pradesh,West Godavari,2017,8780,11,1993,246309,1
Andhra Pradesh,West Godavari,2018,3702,3,329,1006887,3
Andhra Pradesh,West Godavari,2019,5292,2,1403,1137252,0
Andhra Pradesh,West Godavari,2020,6711,45,1464,942279,3
Andhra Pradesh,West Godavari,2021,8600,44,387,696622,3
Andhra Pradesh,West Godavari,2022,9086,24,116,358318,0
Andhra Pradesh,West Godavari,2023,3918,20,1117,1991584,1
Andhra Pradesh,West Godavari,2024,5533,33,1677,676813,1
Andhra Pradesh,West Godavari,2025,9586,32,480,118430,0
Andhra Pradesh,YSR Kadapa,2015,5046,17,1333,451919,3
Andhra Pradesh,YSR Kadapa,2016,9414,13,1515,1797803,3
Andhra Pradesh,YSR Kadapa,2017,5234,17,879,1645537,3
Andhra Pradesh,YSR Kadapa,2018,227,3,190,642807,3
Andhra Pradesh,YSR Kadapa,2019,2017,17,963,1306694,1
Andhra Pradesh,YSR Kadapa,2020,7033,50,1832,320944,1
Andhra Pradesh,YSR Kadapa,2021,7652,25,1299,1274670,2
Andhra Pradesh,YSR Kadapa,2022,4537,25,808,35381,0
Andhra Pradesh,YSR Kadapa,2023,6842,22,706,346391,1
Andhra Pradesh,YSR Kadapa,2024,543,7,693,584096,1
Andhra Pradesh,YSR Kadapa,2025,2841,9,215,398992,3
Arunachal Pradesh,Tawang,2015,9581,10,1071,321431,2
Arunachal Pradesh,Tawang,2016,7315,14,1506,880893,3
Arunachal Pradesh,Tawang,2017,1359,25,1797,152539,0
Arunachal Pradesh,Tawang,2018,8415,29,1648,1782750,3
Arunachal Pradesh,Tawang,2019,858,18,436,1311008,2
Arunachal Pradesh,Tawang,2020,6579,23,995,1992339,2
Arunachal Pradesh,Tawang,2021,7014,15,354,1914931,2
Arunachal Pradesh,Tawang,2022,8293,43,1745,1314991,3
Arunachal Pradesh,Tawang,2023,5282,16,578,105145,3
Arunachal Pradesh,Tawang,2024,4933,19,1543,1390663,3
Arunachal Pradesh,Tawang,2025,614,50,1488,163465,1
Arunachal Pradesh,West Kameng,2015,304,39,1278,1952640,2
Arunachal Pradesh,West Kameng,2016,5494,30,824,227611,1
Arunachal Pradesh,West Kameng,2017,2874,14,450,1165350,1
Arunachal Pradesh,West Kameng,2018,6816,28,124,1201123,0
Arunachal Pradesh,West Kameng,2019,8682,2,721,1716790,0
Arunachal Pradesh,West Kameng,2020,9674,40,1210,198794,3
Arunachal Pradesh,West Kameng,2021,2278,27,794,1050833,1
Arunachal Pradesh,West Kameng,2022,6077,15,492,403734,3
Arunachal Pradesh,West Kameng,2023,2838,40,1732,425926,3
Arunachal Pradesh,West Kameng,2024,7113,36,1510,803149,2
Arunachal Pradesh,West Kameng,2025,3634,41,1972,706957,1
Arunachal Pradesh,East Kameng,2015,7283,35,175,660142,3
Arunachal Pradesh,East Kameng,2016,4072,10,701,52261,1
Arunachal Pradesh,East Kameng,2017,9403,8,402,153257,0
Arunachal Pradesh,East Kameng,2018,5480,30,1398,946421,2
Arunachal Pradesh,East Kameng,2019,344,8,1810,1438497,3
Arunachal Pradesh,East Kameng,2020,3884,29,1646,1704907,1
Arunachal Pradesh,East Kameng,2021,3516,40,897,943724,3
Arunachal Pradesh,East Kameng,2022,5183,9,1503,534542,0
Arunachal Pradesh,East Kameng,2023,2141,40,1435,56040,1
Arunachal Pradesh,East Kameng,2024,7886,34,650,1422785,1
Arunachal Pradesh,East Kameng,2025,5123,23,932,655710,0
Arunachal Pradesh,Papum Pare,2015,3826,2,1627,582687,0
Arunachal Pradesh,Papum Pare,2016,8595,11,1785,1748616,3
Arunachal Pradesh,Papum Pare,2017,6710,44,1460,268152,0
Arunachal Pradesh,Papum Pare,2018,9662,26,1569,1573059,3
Arunachal Pradesh,Papum Pare,2019,4929,44,1181,1819829,0
Arunachal Pradesh,Papum Pare,2020,7885,28,1785,438101,2
Arunachal Pradesh,Papum Pare,2021,2726,26,244,278093,1
Arunachal Pradesh,Papum Pare,2022,7390,8,940,1832942,2
Arunachal Pradesh,Papum Pare,2023,4835,28,656,1157457,2
Arunachal Pradesh,Papum Pare,2024,6944,50,783,1668824,2
Arunachal Pradesh,Papum Pare,2025,5870,45,513,1031195,3
Arunachal Pradesh,Kurung Kumey,2015,7306,18,105,1759960,1
Arunachal Pradesh,Kurung Kumey,2016,966,10,1587,953674,1
Arunachal Pradesh,Kurung Kumey,2017,8034,18,873,476562,1
Arunachal Pradesh,Kurung Kumey,2018,2060,41,1872,1207570,0
Arunachal Pradesh,Kurung Kumey,2019,5001,37,625,1786407,0
Arunachal Pradesh,Kurung Kumey,2020,1212,30,1552,859410,1
Arunachal Pradesh,Kurung Kumey,2021,7320,19,423,483451,0
Arunachal Pradesh,Kurung Kumey,2022,8761,28,88,1519244,3
Arunachal Pradesh,Kurung Kumey,2023,238,17,1965,974278,2
Arunachal Pradesh,Kurung Kumey,2024,6405,36,1219,1281916,2
Arunachal Pradesh,Kurung Kumey,2025,256,39,135,1416382,0
Arunachal Pradesh,Kra Daadi,2015,246,27,239,791704,3
Arunachal Pradesh,Kra Daadi,2016,2069,44,326,1637270,1
Arunachal Pradesh,Kra Daadi,2017,1395,41,420,1364578,2
Arunachal Pradesh,Kra Daadi,2018,5100,39,820,1123805,1
Arunachal Pradesh,Kra Daadi,2019,5551,5,991,527477,1
Arunachal Pradesh,Kra Daadi,2020,2273,49,416,1860291,1
Arunachal Pradesh,Kra Daadi,2021,6678,48,414,695167,3
Arunachal Pradesh,Kra Daadi,2022,9400,29,1053,1938459,0
Arunachal Pradesh,Kra Daadi,2023,7035,19,90,180512,3
Arunachal Pradesh,Kra Daadi,2024,9412,26,410,150027,1
Arunachal Pradesh,Kra Daadi,2025,1672,48,608,815001,1
Arunachal Pradesh,Lower Subansiri,2015,6384,2,783,1890875,3
Arunachal Pradesh,Lower Subansiri,2016,6063,29,395,1258811,2
Arunachal Pradesh,Lower Subansiri,2017,7753,30,1370,1329500,1
Arunachal Pradesh,Lower Subansiri,2018,7490,46,798,1033729,3
Arunachal Pradesh,Lower Subansiri,2019,6371,19,1810,1041927,2
Arunachal Pradesh,Lower Subansiri,2020,738,39,125,681244,2
Arunachal Pradesh,Lower Subansiri,2021,8895,39,990,1093883,3
Arunachal Pradesh,Lower Subansiri,2022,3205,4,1025,1564207,1
Arunachal Pradesh,Lower Subansiri,2023,4099,24,769,1591036,3
Arunachal Pradesh,Lower Subansiri,2024,1300,27,575,1013988,1
Arunachal Pradesh,Lower Subansiri,2025,460,38,916,1958363,1
Arunachal Pradesh,Upper Subansiri,2015,335,1,1889,939966,3
Arunachal Pradesh,Upper Subansiri,2016,4385,36,1707,486696,3
Arunachal Pradesh,Upper Subansiri,2017,9346,23,1492,311244,2
Arunachal Pradesh,Upper Subansiri,2018,6318,12,1481,1460276,1
Arunachal Pradesh,Upper Subansiri,2019,9617,35,241,866350,3
Arunachal Pradesh,Upper Subansiri,2020,6396,12,1764,274971,2
Arunachal Pradesh,Upper Subansiri,2021,395,17,1258,1430191,1
Arunachal Pradesh,Upper Subansiri,2022,5954,14,715,1892219,2
Arunachal Pradesh,Upper Subansiri,2023,4890,3,172,66513,2
Arunachal Pradesh,Upper Subansiri,2024,2366,1,1036,427646,0
Arunachal Pradesh,Upper Subansiri,2025,1603,6,760,192280,1
Arunachal Pradesh,West Siang,2015,5114,40,1810,14535,1
Arunachal Pradesh,West Siang,2016,4358,45,1059,509908,0
Arunachal Pradesh,West Siang,2017,4989,31,800,702234,2
Arunachal Pradesh,West Siang,2018,9873,37,1156,731468,2
Arunachal Pradesh,West Siang,2019,5360,28,892,1525619,2
Arunachal Pradesh,West Siang,2020,9628,48,1338,559149,0
Arunachal Pradesh,West Siang,2021,2981,31,1325,795462,1
Arunachal Pradesh,West Siang,2022,1693,28,1075,536418,0
Arunachal Pradesh,West Siang,2023,4433,31,375,27041,0
Arunachal Pradesh,West Siang,2024,2001,10,360,1697353,1
Arunachal Pradesh,West Siang,2025,2311,32,819,290709,1
Arunachal Pradesh,East Siang,2015,9125,9,253,1468973,1
Arunachal Pradesh,East Siang,2016,7444,35,472,1036006,3
Arunachal Pradesh,East Siang,2017,6024,39,649,1042623,0
Arunachal Pradesh,East Siang,2018,1944,15,324,1691681,1
Arunachal Pradesh,East Siang,2019,6324,6,847,1473650,1
Arunachal Pradesh,East Siang,2020,201,40,1419,1936199,1
Arunachal Pradesh,East Siang,2021,3577,47,1659,542182,0
Arunachal Pradesh,East Siang,2022,4610,23,71,1824015,1
Arunachal Pradesh,East Siang,2023,3232,23,1150,1988077,3
Arunachal Pradesh,East Siang,2024,4454,1,979,278497,0
Arunachal Pradesh,East Siang,2025,3042,20,739,1883588,0
Arunachal Pradesh,Siang,2015,3743,4,1475,528988,0
Arunachal Pradesh,Siang,2016,7889,28,562,967318,3
Arunachal Pradesh,Siang,2017,590,15,1995,1377428,0
Arunachal Pradesh,Siang,2018,9611,5,1515,966231,1
Arunachal Pradesh,Siang,2019,3824,11,1452,1591492,2
Arunachal Pradesh,Siang,2020,7397,21,474,1037893,2
Arunachal Pradesh,Siang,2021,6572,20,1595,486145,1
Arunachal Pradesh,Siang,2022,4503,22,584,1751825,2
Arunachal Pradesh,Siang,2023,6040,20,294,1099801,0
Arunachal Pradesh,Siang,2024,8685,32,98,1350641,1
Arunachal Pradesh,Siang,2025,5592,35,507,1759925,2
Arunachal Pradesh,Upper Siang,2015,4748,16,58,1792168,0
Arunachal Pradesh,Upper Siang,2016,2677,45,1774,874884,1
Arunachal Pradesh,Upper Siang,2017,1346,30,773,1295423,0
Arunachal Pradesh,Upper Siang,2018,9361,13,1301,878715,1
Arunachal Pradesh,Upper Siang,2019,7612,44,1248,1738139,3
Arunachal Pradesh,Upper Siang,2020,9603,10,307,760258,3
