state,district,year,factories,industrial_output,manufacturing_index,employment_rate,electricity_usage,export_value,industrial_growth
Haryana,Jind,2019,95.64,96.01,68.56,56.74,72.69,64.01,63.97
Assam,Tinsukia,2020,49.69,57.31,87.87,12.94,48.01,19.45,48.33
Manipur,Kangpokpi,2018,33.55,39.96,80.12,45.17,74.96,10.42,25.99
Kerala,Wayanad,2019,46.05,79.32,63.36,70.92,25.61,66.08,75.93
Chhattisgarh,Surguja,2023,59.98,72.26,48.16,28.5,16.99,48.68,21.45
Meghalaya,South Garo Hills,2017,19.34,78.58,39.64,91.49,86.79,57.68,71.45
Tamil Nadu,Tirunelveli,2019,93.07,16.57,10.69,15.67,67.42,46.08,97.81
Chhattisgarh,Gaurela-Pendra-Marwahi,2018,46.16,10.6,99.69,31.64,65.05,45.76,17.69
Himachal Pradesh,Lahaul & Spiti,2021,98.5,36.63,11.93,23.36,63.24,50.59,28.94
Haryana,Sirsa,2020,42.56,55.7,89.73,13.6,22.86,99.1,75.91
Telangana,Narayanpet,2023,55.24,31.7,76.86,79.25,26.28,61.44,32.57
Bihar,Siwan,2015,23.63,36.92,96.88,39.8,90.23,19.48,52.91
Himachal Pradesh,Lahaul & Spiti,2023,50.91,48.68,81.53,90.6,45.4,65.25,67.03
Tamil Nadu,Salem,2023,17.05,18.36,84.23,43.72,24.31,69.5,75.62
Telangana,Warangal,2020,21.55,62.2,13.15,58.63,50.63,12.85,39.61
Haryana,Gurugram,2019,25.26,67.64,13.91,99.31,46.59,92.1,38.48
Uttar Pradesh,Shahjahanpur,2022,95.76,90.01,79.61,33.11,60.84,93.29,36.68
Punjab,Ferozepur,2022,31.91,51.41,83.05,75.4,79.27,10.73,68.01
Karnataka,Kodagu,2019,23.96,82.43,71.17,24.26,17.58,61.55,42.29
Meghalaya,West Garo Hills,2021,32.79,71.67,64.41,58.96,58.28,55.67,25.59
Assam,Majuli,2019,55.09,31.01,10.66,58.05,64.41,62.33,89.57
Odisha,Mayurbhanj,2021,78.26,34.02,56.77,22.27,52.54,82.22,72.04
Rajasthan,Didwana-Kuchaman,2020,68.21,79.65,76.6,42.19,77.86,63.93,73.28
Telangana,Warangal,2015,48.73,41.25,27.46,46.02,24.01,53.79,38.21
Rajasthan,Kotputli-Behror,2018,18.21,86.9,29.68,76.9,47.34,85.54,64.88
Karnataka,Davanagere,2017,81.86,84.96,31.17,68.7,24.86,76.79,41.1
Uttar Pradesh,Etawah,2016,20.87,33.8,42.18,35.57,32.29,68.39,61.7
Andhra Pradesh,Parvathipuram Manyam,2023,48.09,41.13,66.72,88.98,19.69,41.69,89.29
Haryana,Palwal,2018,86.57,30.73,46.75,31.59,22.75,50.18,88.27
Jharkhand,Chatra,2020,69.07,42.72,13.74,15.72,18.67,40.04,88.99
Chhattisgarh,Balod,2020,75.39,47.32,67.52,71.51,38.4,75.67,15.36
Madhya Pradesh,Indore,2021,71.48,77.06,44.11,84.04,50.65,10.88,71.79
Sikkim,Pakyong,2023,62.25,46.91,58.87,60.43,68.67,75.01,66.13
Tripura,West Tripura,2015,44.35,52.58,77.9,34.78,98.18,77.44,81.99
Rajasthan,Neem Ka Thana,2021,28.51,25.46,46.75,37.97,19.05,72.82,80.74
Telangana,Siddipet,2025,98.8,54.14,34.55,21.27,66.21,59.49,93.78
Arunachal Pradesh,West Kameng,2025,13.45,57.08,90.35,46.68,64.87,50.34,31.11
Tamil Nadu,Ranipet,2017,21.58,75.45,32.65,80.4,88.88,98.43,97.37
Andhra Pradesh,Annamayya,2024,44.85,60.62,77.0,35.94,25.37,14.11,38.38
Telangana,Nalgonda,2025,54.38,28.12,15.91,21.12,49.38,50.17,83.5
Meghalaya,South West Garo Hills,2018,12.86,39.74,15.12,68.03,49.22,97.85,12.9
Jharkhand,Sahebganj,2016,15.28,85.16,89.15,61.19,62.58,41.47,73.62
Jharkhand,Dhanbad,2018,11.03,32.53,29.69,23.11,61.61,77.67,57.64
Kerala,Kannur,2016,46.62,77.09,69.58,60.18,12.02,45.15,28.99
Gujarat,Chhota Udepur,2025,49.48,62.1,35.69,80.61,55.96,19.08,93.55
Tamil Nadu,Ariyalur,2019,40.01,37.4,86.93,64.4,58.19,88.99,75.76
Assam,Udalguri,2022,75.78,28.71,85.77,64.44,19.98,95.78,38.6
Tamil Nadu,Karur,2019,68.7,63.62,28.48,51.02,16.81,53.54,68.37
Rajasthan,Udaipur,2017,31.01,77.67,70.25,96.45,80.36,37.24,32.35
Telangana,Adilabad,2020,24.28,38.77,90.53,85.85,55.05,83.18,30.0
Kerala,Wayanad,2016,23.36,72.38,37.05,33.33,85.64,22.55,55.03
Odisha,Kalahandi,2019,84.6,44.42,51.87,39.69,99.53,68.87,44.71
Uttar Pradesh,Sitapur,2024,33.53,17.8,90.66,77.22,99.42,55.53,99.96
Uttar Pradesh,Kanpur Nagar,2022,76.22,50.07,23.18,93.87,59.48,11.41,81.51
Bihar,Aurangabad,2015,55.09,89.72,32.94,60.99,66.98,90.05,81.0
Punjab,Sri Muktsar Sahib,2024,12.36,63.93,73.3,61.64,62.34,25.67,98.99
Punjab,Mansa,2022,73.57,23.06,36.19,42.28,34.36,46.52,92.16
Gujarat,Chhota Udepur,2024,37.56,79.28,10.05,19.53,82.85,85.67,68.16
Arunachal Pradesh,Namsai,2016,54.85,10.39,72.15,41.18,33.5,54.71,68.72
West Bengal,Alipurduar,2020,36.62,75.19,34.9,27.16,62.55,16.75,34.18
Uttar Pradesh,Saharanpur,2020,88.2,57.11,44.08,72.09,56.22,53.37,91.59
Andhra Pradesh,YSR Kadapa,2018,12.62,29.04,79.9,25.93,34.02,99.84,17.73
Bihar,Muzaffarpur,2018,47.11,15.21,81.11,49.14,11.46,91.02,50.69
Uttar Pradesh,Unnao,2019,58.77,50.13,79.32,43.88,50.14,60.9,88.76
Chhattisgarh,Kondagaon,2019,19.28,34.56,16.68,64.67,91.76,61.74,59.9
Manipur,Jiribam,2020,24.68,61.38,77.17,78.98,98.19,59.08,97.3
Bihar,Vaishali,2024,58.38,41.06,30.74,66.77,62.2,28.8,22.99
Telangana,Hanamkonda,2024,46.26,39.07,41.79,74.77,59.24,10.48,54.34
Haryana,Kurukshetra,2015,83.8,38.62,61.95,52.16,17.15,83.21,61.92
Uttar Pradesh,Meerut,2018,37.19,76.75,49.13,38.52,84.08,20.44,21.41
Kerala,Alappuzha,2020,22.62,86.02,21.54,61.39,77.78,43.29,73.85
Kerala,Kasaragod,2025,34.57,27.4,91.64,76.92,62.44,66.21,89.93
Jharkhand,West Singhbhum,2023,98.22,64.59,98.93,46.27,36.91,75.25,26.68
Tamil Nadu,Dharmapuri,2024,41.07,94.02,90.42,66.35,14.59,42.25,50.77
Uttarakhand,Pithoragarh,2022,20.33,37.54,41.68,52.84,77.1,58.17,48.09
Uttar Pradesh,Ghaziabad,2016,86.23,72.69,73.74,51.88,83.4,80.75,50.87
Uttar Pradesh,Azamgarh,2024,39.72,90.58,29.01,85.01,12.82,18.66,76.34
Telangana,Rajanna Sircilla,2020,83.08,57.21,46.65,72.01,28.95,47.57,62.0
Bihar,Saran,2015,98.7,51.77,42.32,57.71,13.17,75.8,11.91
Gujarat,Gir Somnath,2024,43.74,60.82,70.27,56.85,45.2,54.91,67.34
Madhya Pradesh,Sheopur,2015,63.33,87.75,19.95,92.08,54.74,12.89,82.08
Uttar Pradesh,Aligarh,2018,58.31,46.41,19.63,61.23,35.82,26.0,86.62
Uttarakhand,Pithoragarh,2021,17.15,98.71,68.7,78.09,26.27,92.31,37.46
Chhattisgarh,Mahasamund,2018,54.96,66.4,23.91,63.39,78.19,79.0,45.88
Haryana,Ambala,2018,81.19,74.44,40.84,17.85,19.47,12.11,74.07
Tripura,Khowai,2018,31.81,22.38,61.41,85.44,76.69,59.46,73.97
Madhya Pradesh,Raisen,2016,20.17,48.23,94.7,63.46,70.76,29.15,60.09
Karnataka,Davanagere,2016,64.19,65.12,54.44,95.2,46.2,88.25,18.99
Madhya Pradesh,Seoni,2024,71.18,69.14,23.0,92.79,82.59,66.29,99.47
Uttar Pradesh,Budaun,2024,22.2,70.75,11.7,36.67,15.46,92.48,35.17
Madhya Pradesh,Barwani,2019,80.77,66.29,99.75,91.0,79.65,47.03,67.98
Telangana,Wanaparthy,2015,89.37,73.42,70.65,92.48,26.42,83.47,28.94
Gujarat,Rajkot,2023,87.24,31.22,88.87,38.34,23.07,66.32,77.17
Uttar Pradesh,Budaun,2023,23.38,22.13,85.66,77.84,23.55,49.68,68.26
Madhya Pradesh,Indore,2020,84.75,10.19,47.65,70.07,69.57,62.34,71.42
Uttar Pradesh,Bhadohi,2018,55.21,32.44,73.26,54.6,81.7,87.37,55.13
Haryana,Faridabad,2025,86.07,52.46,75.4,74.06,15.88,83.77,13.15
Odisha,Mayurbhanj,2018,62.37,15.85,15.89,18.54,25.49,85.88,37.97
Sikkim,Gyalshing,2025,46.9,76.29,26.21,50.51,45.3,59.68,78.73
Arunachal Pradesh,East Siang,2017,99.76,33.83,86.29,94.35,33.41,23.66,87.96
Rajasthan,Gangapur City,2019,18.69,74.86,54.29,63.1,29.66,57.72,94.09
Telangana,Vikarabad,2017,93.15,35.36,58.73,56.1,98.14,54.47,30.08
Maharashtra,Nagpur,2016,23.29,53.73,86.82,98.88,24.25,73.02,75.35
Kerala,Wayanad,2024,99.74,22.4,46.44,80.44,34.06,33.41,25.91
Uttar Pradesh,Amethi,2024,92.95,93.86,40.88,77.89,22.45,64.22,11.47
Haryana,Gurugram,2024,63.66,52.23,71.34,24.69,90.39,42.56,22.46
Bihar,Gaya,2022,16.24,94.19,72.56,60.25,57.95,52.44,50.12
Gujarat,Anand,2023,55.45,13.5,73.32,49.37,30.54,68.68,43.09
Jharkhand,West Singhbhum,2018,49.02,19.5,93.64,28.05,62.2,89.38,70.46
Karnataka,Kodagu,2021,41.29,24.73,80.42,30.86,59.34,66.82,85.36
Meghalaya,Ri Bhoi,2025,89.5,18.7,47.66,24.18,32.35,15.5,76.67
Uttarakhand,Pithoragarh,2022,79.43,13.52,90.02,94.28,13.54,33.53,63.13
Sikkim,Soreng,2025,52.04,53.09,34.53,70.04,75.5,93.16,89.94
Manipur,Jiribam,2024,68.45,30.47,22.57,76.34,48.17,53.1,13.73
Odisha,Mayurbhanj,2022,71.04,24.08,52.63,89.68,25.74,71.78,26.26
Odisha,Balasore,2017,73.7,42.4,40.63,16.64,86.38,44.89,65.58
Tamil Nadu,Kanchipuram,2022,98.93,67.97,77.33,25.83,32.33,67.71,37.79
Bihar,Araria,2023,11.73,32.31,89.02,11.01,31.97,49.44,80.0
Gujarat,Dahod,2015,66.34,89.78,16.78,53.87,16.77,92.75,42.07
Jharkhand,Seraikela-Kharsawan,2020,87.1,12.37,54.84,47.11,59.75,21.11,98.75
Maharashtra,Satara,2024,40.86,67.65,39.22,65.55,60.46,71.73,37.26
Assam,Dhubri,2025,65.83,46.44,34.34,49.05,96.47,51.67,88.31
Mizoram,Serchhip,2024,31.65,30.13,14.05,96.73,58.14,31.46,73.76
Andhra Pradesh,Bapatla,2019,52.4,91.73,64.71,72.19,86.61,30.7,21.52
Madhya Pradesh,Niwari,2023,93.03,83.11,78.14,84.29,64.51,93.2,16.63
Bihar,Nalanda,2020,62.49,71.06,68.33,63.45,33.43,31.97,99.25
Andhra Pradesh,Guntur,2023,11.67,69.13,52.46,22.59,83.46,78.59,30.88
West Bengal,Purba Medinipur,2025,81.09,93.19,97.01,60.14,11.58,44.1,49.25
Uttar Pradesh,Shravasti,2024,45.45,29.89,96.55,71.94,62.03,67.86,26.85
Uttarakhand,Pauri Garhwal,2023,96.03,12.45,59.14,36.09,48.74,30.02,28.0
Nagaland,Noklak,2016,22.76,45.72,75.65,94.83,86.9,52.91,32.57
Bihar,Darbhanga,2023,41.32,70.99,61.32,38.84,76.62,18.81,21.74
Andhra Pradesh,Bapatla,2019,72.33,87.36,17.12,55.88,33.16,70.62,38.57
Gujarat,Patan,2024,22.51,38.13,30.65,99.05,75.14,80.55,40.36
Haryana,Yamunanagar,2021,79.5,63.43,29.2,93.23,16.43,99.15,43.51
Telangana,Warangal,2023,67.69,19.32,29.7,46.62,89.94,90.43,24.83
Arunachal Pradesh,Lower Dibang Valley,2025,45.75,66.58,40.52,78.79,86.68,28.02,54.34
Punjab,Ferozepur,2019,56.62,45.86,91.97,59.83,72.16,56.1,47.97
Jharkhand,Chatra,2020,17.75,16.87,40.99,18.73,29.58,98.65,11.01
Chhattisgarh,Mahasamund,2015,14.73,11.25,45.46,26.18,71.39,74.03,20.34
Uttar Pradesh,Mainpuri,2024,53.59,34.85,22.1,51.22,78.38,32.35,50.08
Madhya Pradesh,Sidhi,2015,75.12,85.61,49.9,34.26,81.34,36.72,72.89
Odisha,Koraput,2019,36.99,95.77,53.91,85.76,30.35,24.18,39.41
Haryana,Palwal,2015,42.92,56.23,85.03,15.65,73.24,98.64,80.74
Bihar,West Champaran,2018,96.78,12.56,73.71,51.82,72.67,17.68,59.64
Rajasthan,Jodhpur,2022,87.97,62.03,25.24,33.51,40.6,31.53,21.72
Haryana,Panipat,2019,84.82,87.77,70.36,30.62,87.88,67.98,97.03
Telangana,Nalgonda,2016,32.66,69.65,43.76,73.81,69.46,42.17,24.71
Haryana,Ambala,2016,86.9,51.46,23.82,24.08,26.51,98.76,92.51
Sikkim,Mangan,2015,41.89,39.05,53.96,36.83,65.07,47.36,28.3
Madhya Pradesh,Niwari,2018,55.7,35.76,57.95,78.43,26.94,96.41,45.85
Meghalaya,Ri Bhoi,2025,33.92,77.06,18.2,39.46,82.69,61.23,13.5
Odisha,Rayagada,2024,60.04,67.45,61.75,17.09,78.81,56.95,25.65
Tamil Nadu,Coimbatore,2019,71.23,65.87,87.42,99.81,47.5,29.59,18.21
Nagaland,Wokha,2024,32.31,39.19,93.61,64.57,11.09,93.16,98.51
Uttar Pradesh,Maharajganj,2019,96.98,25.38,56.56,75.9,70.25,34.94,15.29
Jharkhand,Latehar,2023,94.73,46.85,98.47,94.59,37.97,33.53,42.73
Uttar Pradesh,Kanpur Nagar,2019,79.81,35.99,99.02,11.14,54.96,67.74,18.16
Odisha,Balangir,2024,18.97,12.99,29.14,55.46,15.05,20.19,50.16
Andhra Pradesh,Nandyal,2023,36.3,86.8,54.82,23.15,94.8,44.24,30.54
Gujarat,Vadodara,2016,24.37,94.97,74.45,90.49,98.83,54.33,58.37
Jharkhand,Bokaro,2025,61.48,88.8,11.84,40.95,55.75,12.78,65.07
Madhya Pradesh,Barwani,2015,47.75,37.03,79.56,41.11,94.1,60.02,72.05
Odisha,Kalahandi,2019,84.19,28.61,21.46,34.56,25.09,90.69,50.13
Bihar,Vaishali,2018,45.02,42.05,50.78,59.28,59.14,55.41,49.44
Nagaland,Mokokchung,2022,46.31,37.96,24.71,60.89,94.65,49.65,52.08
Chhattisgarh,Korba,2025,79.39,10.86,91.32,75.38,50.55,93.58,49.43
Himachal Pradesh,Kullu,2015,19.6,26.74,36.69,61.35,67.51,79.39,69.5
Gujarat,Morbi,2023,47.47,48.1,92.68,13.57,21.01,48.62,49.7
Goa,South Goa,2016,23.1,69.0,58.05,64.25,23.03,26.11,14.2
Assam,Nalbari,2020,31.58,51.0,26.02,74.89,36.77,63.21,73.16
Karnataka,Chikkamagaluru,2018,63.73,47.6,95.92,73.1,29.21,85.68,90.4
Meghalaya,South Garo Hills,2020,51.89,51.0,25.43,52.63,27.96,10.93,72.94
Uttar Pradesh,Muzaffarnagar,2017,41.48,99.33,26.39,49.83,21.66,22.31,59.47
Himachal Pradesh,Bilaspur,2025,71.02,85.93,18.29,91.49,12.14,25.35,94.15
Uttar Pradesh,Maharajganj,2016,14.85,11.85,87.64,10.21,53.03,22.09,60.55
Telangana,Nirmal,2020,97.4,43.74,10.44,64.4,80.8,27.09,92.94
Kerala,Ernakulam,2019,12.74,69.21,37.31,54.07,20.4,67.69,69.11
Arunachal Pradesh,Upper Subansiri,2020,66.02,40.61,65.05,91.07,10.76,94.68,78.07
Manipur,Pherzawl,2022,79.05,52.11,58.22,43.64,20.82,71.61,29.03
Arunachal Pradesh,Tawang,2024,88.58,56.29,81.07,52.52,23.15,39.25,74.25
Telangana,Jagtial,2022,20.2,49.44,46.82,26.7,19.5,43.33,10.36
Gujarat,Morbi,2020,60.76,91.72,65.95,81.59,61.98,65.49,68.23
Chhattisgarh,Bijapur,2018,68.41,43.83,97.06,38.09,48.23,40.3,93.09
Sikkim,Soreng,2025,20.67,29.3,48.6,50.32,64.8,45.2,60.05
Haryana,Hisar,2025,73.66,97.95,50.15,18.53,14.61,67.68,70.97
Nagaland,Zunheboto,2023,49.35,88.49,69.77,46.81,53.03,14.16,48.85
Tamil Nadu,Ramanathapuram,2018,14.45,44.3,71.52,52.99,51.41,27.71,41.1
Bihar,Saran,2017,50.6,89.09,70.12,55.48,51.12,66.49,31.6
Madhya Pradesh,Raisen,2024,90.58,43.47,26.19,75.24,71.91,44.77,92.34
Odisha,Malkangiri,2020,78.03,65.74,51.03,64.41,39.85,17.83,81.16
Karnataka,Chikkamagaluru,2017,23.4,62.59,92.57,14.83,63.94,55.55,59.82
West Bengal,Paschim Bardhaman,2020,34.79,97.06,97.89,46.52,96.98,49.13,71.09
Telangana,Jogulamba Gadwal,2025,10.73,51.55,30.6,69.54,85.27,54.14,77.98
Madhya Pradesh,Vidisha,2022,19.69,63.4,69.66,67.92,79.24,55.24,70.78
Uttar Pradesh,Fatehpur,2021,55.58,95.94,50.37,11.6,95.83,96.34,71.03
Tamil Nadu,Erode,2023,89.18,47.86,48.43,63.6,90.0,26.79,62.83
Manipur,Ukhrul,2015,59.24,17.7,72.14,51.84,52.16,85.4,45.55
Telangana,Suryapet,2019,60.12,61.08,63.46,85.53,68.81,54.27,79.75
Assam,Jorhat,2024,18.47,32.99,19.54,27.11,12.64,74.91,43.75
Telangana,Bhadradri Kothagudem,2017,96.97,10.76,85.43,96.08,39.44,73.33,28.47
Maharashtra,Osmanabad (Dharashiv),2015,58.07,39.01,55.95,30.78,19.55,44.81,66.69
Arunachal Pradesh,Kra Daadi,2016,70.14,26.39,96.98,82.36,30.3,27.08,81.27
Jharkhand,East Singhbhum,2023,93.49,17.79,80.78,27.96,93.56,10.51,70.57
Rajasthan,Kotputli-Behror,2021,75.74,78.37,67.09,62.44,91.36,85.22,19.26
Karnataka,Vijayanagara,2025,72.18,73.84,42.86,31.68,24.57,34.77,87.45
Odisha,Koraput,2017,58.78,67.28,86.84,54.23,88.59,56.62,88.91
Meghalaya,West Garo Hills,2022,18.12,57.14,53.55,68.64,17.9,15.61,42.99
Meghalaya,West Khasi Hills,2016,51.16,92.47,41.37,58.59,70.37,12.07,98.99
Uttar Pradesh,Sambhal,2021,42.92,80.09,29.45,22.9,80.62,33.45,13.6
Karnataka,Udupi,2024,58.28,50.26,69.07,54.98,42.68,14.91,36.15
Madhya Pradesh,Sheopur,2017,89.67,43.81,47.3,85.06,49.99,88.76,76.28
Madhya Pradesh,Panna,2024,91.28,73.46,28.94,11.45,90.36,80.32,98.19
Madhya Pradesh,Seoni,2020,97.71,55.16,97.73,27.98,14.11,29.83,45.56
Rajasthan,Jodhpur,2021,13.07,94.15,55.25,39.04,98.74,65.32,71.26
Chhattisgarh,Balrampur,2016,85.98,72.45,96.05,91.52,98.12,30.35,69.26
Gujarat,Junagadh,2017,29.96,47.04,97.97,88.13,99.44,29.81,64.13
West Bengal,South 24 Parganas,2015,71.69,74.56,17.48,80.94,96.05,38.29,47.25
Bihar,Arwal,2023,66.62,12.59,90.79,46.58,29.96,63.67,10.85
Assam,Kamrup Metropolitan,2022,52.0,96.06,71.97,25.54,61.68,47.09,78.47
Telangana,Mulugu,2021,81.09,79.23,55.27,22.13,22.96,28.2,65.65
Karnataka,Uttara Kannada,2019,72.04,46.3,93.59,26.28,34.71,46.09,28.6
Telangana,Narayanpet,2015,95.35,88.24,14.96,95.37,22.85,95.22,93.91
Andhra Pradesh,West Godavari,2016,62.5,71.28,69.12,73.85,40.76,65.93,38.42
Madhya Pradesh,Indore,2018,36.86,81.46,37.81,15.64,78.4,90.52,48.0
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2024,90.79,92.24,27.16,90.77,68.01,91.09,33.15
Arunachal Pradesh,West Kameng,2019,84.19,13.56,89.56,32.17,71.3,58.31,76.87
Uttar Pradesh,Mahoba,2025,14.62,59.16,84.77,12.56,59.49,54.94,38.75
Gujarat,Junagadh,2021,75.26,22.55,41.85,58.76,28.39,45.9,75.17
Odisha,Puri,2023,83.43,63.98,50.28,39.21,51.77,53.45,45.16
Rajasthan,Hanumangarh,2019,85.67,87.38,14.56,85.71,95.72,41.11,70.99
Tamil Nadu,Tirupathur,2019,93.08,58.64,33.98,22.69,74.16,54.2,13.13
Uttarakhand,Champawat,2022,30.57,32.28,45.63,48.1,95.48,62.15,85.57
Uttar Pradesh,Sambhal,2025,51.55,30.97,53.02,45.34,91.02,36.18,34.13
Sikkim,Soreng,2020,21.4,83.48,15.2,61.16,58.71,35.47,64.75
Karnataka,Koppal,2019,46.91,27.63,63.02,38.37,53.35,40.96,10.63
Manipur,Chandel,2017,77.34,38.84,35.8,73.94,58.19,29.14,47.72
Kerala,Thrissur,2023,73.31,16.48,35.63,80.44,17.43,24.61,94.11
Jharkhand,Godda,2015,18.99,72.07,46.39,44.17,60.22,50.08,63.6
Madhya Pradesh,Singrauli,2019,37.16,14.86,47.9,34.75,99.28,38.03,75.94
Madhya Pradesh,Harda,2016,54.26,86.39,82.23,90.0,62.88,38.09,90.52
Bihar,Rohtas,2023,91.81,67.33,17.07,69.12,94.43,76.21,36.4
Haryana,Sonipat,2019,34.88,93.38,49.26,31.35,61.65,87.75,30.56
Maharashtra,Wardha,2024,41.52,48.32,62.28,78.23,32.76,84.93,65.69
Bihar,East Champaran,2022,93.98,19.24,68.79,13.56,30.97,86.08,47.81
Chhattisgarh,Jashpur,2017,73.26,44.4,74.73,68.11,24.25,15.02,35.41
Odisha,Jagatsinghpur,2022,41.38,13.83,21.71,75.28,31.15,56.31,98.73
Chhattisgarh,Durg,2020,38.28,38.98,84.12,37.09,31.62,58.04,61.66
Uttar Pradesh,Hamirpur,2016,97.4,30.36,53.93,91.56,93.49,29.25,51.0
Bihar,Bhagalpur,2025,47.03,66.5,18.18,93.24,28.47,84.84,43.31
Nagaland,Mokokchung,2021,76.61,58.15,61.67,93.41,35.15,55.95,86.64
Gujarat,Surendranagar,2023,96.79,93.63,66.59,61.01,16.74,37.91,14.41
Jharkhand,Khunti,2024,76.29,55.61,27.45,46.55,83.69,52.83,33.95
Manipur,Tamenglong,2024,84.94,99.03,33.52,85.03,38.99,96.27,54.55
Tamil Nadu,Mayiladuthurai,2015,76.82,34.87,33.89,38.78,78.29,72.06,54.16
Uttar Pradesh,Maharajganj,2021,42.02,41.54,81.61,76.59,55.02,12.75,30.0
Telangana,Khammam,2021,49.05,78.75,95.24,96.29,62.16,43.08,64.79
Tamil Nadu,Tirupathur,2020,78.95,84.25,37.06,76.22,68.62,12.35,58.47
Jharkhand,Garhwa,2020,75.11,86.99,61.49,25.09,92.7,95.87,64.84
Telangana,Wanaparthy,2024,15.81,45.88,76.73,19.6,20.8,91.67,31.66
Tamil Nadu,Kanchipuram,2018,33.54,62.49,65.93,40.33,98.21,66.79,43.36
Haryana,Panchkula,2017,68.27,18.32,72.22,50.11,34.13,29.29,92.89
Uttar Pradesh,Hathras,2025,96.86,67.99,38.14,21.96,13.56,47.98,27.81
Maharashtra,Washim,2018,98.09,35.01,84.1,62.34,65.83,12.37,61.78
Madhya Pradesh,Dhar,2021,13.79,18.35,59.11,79.66,89.49,55.7,36.09
Madhya Pradesh,Mandla,2016,76.78,84.55,16.81,63.32,58.26,47.23,13.94
Uttar Pradesh,Pratapgarh,2025,38.38,65.53,21.56,17.41,40.81,80.8,48.88
Manipur,Imphal West,2018,31.14,42.53,71.9,28.98,82.35,22.75,46.86
Haryana,Kurukshetra,2022,89.78,55.92,25.32,16.15,31.28,13.39,33.68
Chhattisgarh,Janjgir-Champa,2022,80.18,74.67,74.42,61.8,44.58,65.53,72.76
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2018,35.75,87.44,70.13,32.01,34.98,60.23,99.05
Karnataka,Kolar,2018,95.42,16.75,51.53,13.03,92.57,94.1,76.22
Uttar Pradesh,Saharanpur,2018,81.13,71.03,76.83,74.74,43.67,96.37,16.23
Bihar,Munger,2021,90.92,21.11,19.05,88.08,66.36,45.19,10.26
Telangana,Bhadradri Kothagudem,2020,53.64,90.14,34.47,14.06,43.88,14.14,59.11
Madhya Pradesh,Balaghat,2023,39.94,40.95,75.77,97.32,50.31,12.31,50.87
Gujarat,Botad,2020,53.02,95.27,47.3,99.02,39.33,61.32,13.78
Tripura,Unakoti,2023,88.52,91.73,25.71,44.24,98.6,40.44,67.75
Rajasthan,Kotputli-Behror,2022,38.71,91.05,39.0,16.21,57.7,70.37,37.62
Haryana,Nuh,2019,66.3,64.59,94.99,73.8,14.33,20.31,12.6
Bihar,Sheohar,2016,36.42,43.82,75.11,56.87,78.86,51.29,28.8
Karnataka,Chitradurga,2015,51.16,24.39,70.58,68.62,31.54,73.71,44.81
Arunachal Pradesh,Tirap,2020,91.25,93.95,51.19,29.93,83.94,94.13,49.18
Madhya Pradesh,Umaria,2024,88.22,60.76,68.22,57.72,25.03,52.28,31.97
Rajasthan,Udaipur,2022,70.13,50.13,91.11,96.53,73.18,38.77,55.34
