state,district,year,power_consumption_mwh,renewable_energy_mwh,solar_installations,wind_energy_mwh,electricity_access_percent
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2019,303869,76701,13615,94577,93.05
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2020,365590,152693,19071,15732,75.59
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2021,153705,141386,17937,31014,74.34
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,368101,149032,7605,147699,93.72
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2023,60387,54036,7173,133971,73.19
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2024,464266,12122,10497,82428,97.55
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2025,272571,70654,15712,112611,83.16
Andhra Pradesh,East Godavari,2015,209437,50583,10695,145982,71.03
Andhra Pradesh,East Godavari,2016,423037,18239,8089,24646,91.63
Andhra Pradesh,East Godavari,2017,378258,78943,1357,100143,79.41
Andhra Pradesh,East Godavari,2018,236958,137258,10046,52428,82.73
Andhra Pradesh,East Godavari,2019,10745,43906,5327,99208,99.63
Andhra Pradesh,East Godavari,2020,246059,188449,5540,25754,79.69
Andhra Pradesh,East Godavari,2021,147384,58580,18076,12533,98.25
Andhra Pradesh,East Godavari,2022,462492,57620,16316,59866,85.1
Andhra Pradesh,East Godavari,2023,115077,67547,9996,107615,79.67
Andhra Pradesh,East Godavari,2024,5889,17016,13254,54084,84.1
Andhra Pradesh,East Godavari,2025,106951,35569,19227,8260,91.53
Andhra Pradesh,Eluru,2015,417513,180237,7972,140906,76.73
Andhra Pradesh,Eluru,2016,205041,109168,6731,146725,98.31
Andhra Pradesh,Eluru,2017,425152,176380,5656,3501,70.35
Andhra Pradesh,Eluru,2018,368528,67356,6988,1501,90.32
Andhra Pradesh,Eluru,2019,235602,104393,13454,65284,73.28
Andhra Pradesh,Eluru,2020,409542,176034,12748,33926,71.87
Andhra Pradesh,Eluru,2021,71916,5037,2112,47877,95.47
Andhra Pradesh,Eluru,2022,3950,23606,17691,145822,71.07
Andhra Pradesh,Eluru,2023,304794,176835,6778,66322,70.11
Andhra Pradesh,Eluru,2024,298507,55810,9596,413,81.62
Andhra Pradesh,Eluru,2025,245657,65700,2844,125291,78.17
Andhra Pradesh,Guntur,2015,477758,33729,386,46002,70.66
Andhra Pradesh,Guntur,2016,385690,8764,12020,101388,86.66
Andhra Pradesh,Guntur,2017,195407,80971,6581,144482,70.85
Andhra Pradesh,Guntur,2018,164304,24067,5293,20267,89.63
Andhra Pradesh,Guntur,2019,426875,61866,12866,105930,99.79
Andhra Pradesh,Guntur,2020,54284,183119,2064,51464,81.02
Andhra Pradesh,Guntur,2021,188336,118126,9072,3606,83.86
Andhra Pradesh,Guntur,2022,420994,127995,1058,94897,72.0
Andhra Pradesh,Guntur,2023,466026,187382,5975,94601,80.37
Andhra Pradesh,Guntur,2024,350550,40102,17585,34342,71.21
Andhra Pradesh,Guntur,2025,327665,190350,6402,55754,99.65
Andhra Pradesh,Kakinada,2015,150525,105334,5661,100213,75.85
Andhra Pradesh,Kakinada,2016,353311,14692,6226,137513,94.96
Andhra Pradesh,Kakinada,2017,293602,41948,17154,67630,97.3
Andhra Pradesh,Kakinada,2018,259210,128700,18000,22155,82.38
Andhra Pradesh,Kakinada,2019,314917,20149,3207,106810,83.56
Andhra Pradesh,Kakinada,2020,378715,154248,19268,102550,89.26
Andhra Pradesh,Kakinada,2021,262271,180093,667,22185,92.49
Andhra Pradesh,Kakinada,2022,252537,87916,9812,53529,84.05
Andhra Pradesh,Kakinada,2023,53646,129796,1343,149473,71.8
Andhra Pradesh,Kakinada,2024,199755,159823,19178,131623,96.85
Andhra Pradesh,Kakinada,2025,88650,144363,11083,26549,79.3
Andhra Pradesh,Krishna,2015,230896,172624,4352,12126,95.69
Andhra Pradesh,Krishna,2016,376962,14054,17131,103125,84.07
Andhra Pradesh,Krishna,2017,346090,12324,8496,116410,72.12
Andhra Pradesh,Krishna,2018,396785,155695,754,39498,89.6
Andhra Pradesh,Krishna,2019,69334,40730,4660,92347,96.81
Andhra Pradesh,Krishna,2020,343385,7208,14672,115432,90.66
Andhra Pradesh,Krishna,2021,136921,110127,11343,55386,79.02
Andhra Pradesh,Krishna,2022,288657,56622,9275,144557,80.94
Andhra Pradesh,Krishna,2023,280462,47861,17229,138364,74.81
Andhra Pradesh,Krishna,2024,281864,145862,6490,119821,70.64
Andhra Pradesh,Krishna,2025,171746,108165,14600,148957,79.63
Andhra Pradesh,Kurnool,2015,161410,132747,15890,141246,97.75
Andhra Pradesh,Kurnool,2016,370785,86508,2583,112714,85.04
Andhra Pradesh,Kurnool,2017,181521,119392,7675,7195,80.46
Andhra Pradesh,Kurnool,2018,49086,199826,8622,64560,99.68
Andhra Pradesh,Kurnool,2019,143180,153346,15774,51684,94.26
Andhra Pradesh,Kurnool,2020,259960,92181,15945,39908,80.5
Andhra Pradesh,Kurnool,2021,391708,19704,11757,27052,96.99
Andhra Pradesh,Kurnool,2022,191239,157950,10750,12984,83.4
Andhra Pradesh,Kurnool,2023,7090,49116,8043,132597,83.91
Andhra Pradesh,Kurnool,2024,105396,106083,18593,46961,80.09
Andhra Pradesh,Kurnool,2025,74267,160940,1799,26497,84.6
Andhra Pradesh,Nandyal,2015,450757,16315,15737,90910,74.09
Andhra Pradesh,Nandyal,2016,204699,132854,7603,54357,84.05
Andhra Pradesh,Nandyal,2017,480411,152913,10819,34224,94.86
Andhra Pradesh,Nandyal,2018,98975,137073,10739,88472,89.88
Andhra Pradesh,Nandyal,2019,351960,38730,5666,119471,91.94
Andhra Pradesh,Nandyal,2020,11639,74281,8820,28640,89.83
Andhra Pradesh,Nandyal,2021,87782,128541,825,146098,83.05
Andhra Pradesh,Nandyal,2022,64342,193780,15791,98569,96.9
Andhra Pradesh,Nandyal,2023,486592,138721,4504,8860,74.42
Andhra Pradesh,Nandyal,2024,55376,114356,19360,104134,76.82
Andhra Pradesh,Nandyal,2025,411283,196978,19639,84042,74.26
Andhra Pradesh,NTR,2015,139138,70134,17337,22070,85.47
Andhra Pradesh,NTR,2016,466320,102999,16232,80817,88.87
Andhra Pradesh,NTR,2017,356295,170162,16855,45454,85.48
Andhra Pradesh,NTR,2018,469495,142223,13266,23879,83.31
Andhra Pradesh,NTR,2019,2244,154624,17874,138386,82.44
Andhra Pradesh,NTR,2020,347210,28493,9858,9612,98.09
Andhra Pradesh,NTR,2021,207024,69231,4733,113254,75.55
Andhra Pradesh,NTR,2022,147140,90409,18589,75952,88.32
Andhra Pradesh,NTR,2023,364186,134042,17703,31243,75.22
Andhra Pradesh,NTR,2024,269753,59182,9055,102719,74.76
Andhra Pradesh,NTR,2025,152998,24171,6505,22270,81.69
Andhra Pradesh,Palnadu,2015,175952,164624,2304,137626,89.5
Andhra Pradesh,Palnadu,2016,456394,29805,15277,891,99.27
Andhra Pradesh,Palnadu,2017,344942,179273,810,87885,71.68
Andhra Pradesh,Palnadu,2018,240200,21383,8866,129189,97.84
Andhra Pradesh,Palnadu,2019,400037,173376,7871,1447,99.53
Andhra Pradesh,Palnadu,2020,199750,101668,7620,19920,84.49
Andhra Pradesh,Palnadu,2021,4708,150544,14308,59796,82.07
Andhra Pradesh,Palnadu,2022,49891,106987,15427,19215,79.78
Andhra Pradesh,Palnadu,2023,461216,73285,1609,7483,92.14
Andhra Pradesh,Palnadu,2024,289459,31094,1955,104848,76.21
Andhra Pradesh,Palnadu,2025,146122,86890,8330,57649,77.03
Andhra Pradesh,Parvathipuram Manyam,2015,282988,90737,1428,89541,90.6
Andhra Pradesh,Parvathipuram Manyam,2016,6141,135972,19894,113522,80.14
Andhra Pradesh,Parvathipuram Manyam,2017,192076,39570,18459,97948,84.43
Andhra Pradesh,Parvathipuram Manyam,2018,175048,194301,2303,92637,71.62
Andhra Pradesh,Parvathipuram Manyam,2019,421161,120955,4150,108330,83.54
Andhra Pradesh,Parvathipuram Manyam,2020,249740,197737,8840,22291,75.73
Andhra Pradesh,Parvathipuram Manyam,2021,33025,173829,11675,104077,96.57
Andhra Pradesh,Parvathipuram Manyam,2022,425684,7802,11203,22632,71.02
Andhra Pradesh,Parvathipuram Manyam,2023,84133,138812,12187,93531,90.21
Andhra Pradesh,Parvathipuram Manyam,2024,357881,49008,19513,31078,89.05
Andhra Pradesh,Parvathipuram Manyam,2025,457485,106132,392,99387,94.31
Andhra Pradesh,Prakasam,2015,43487,37439,2823,66369,93.78
Andhra Pradesh,Prakasam,2016,145424,70388,10590,41939,71.82
Andhra Pradesh,Prakasam,2017,241701,85248,14097,42512,78.17
Andhra Pradesh,Prakasam,2018,98782,132837,817,69012,78.39
Andhra Pradesh,Prakasam,2019,181775,12074,9503,113638,81.47
Andhra Pradesh,Prakasam,2020,462535,130410,2522,142906,88.11
Andhra Pradesh,Prakasam,2021,434477,188762,16513,12489,93.12
Andhra Pradesh,Prakasam,2022,207302,17774,16649,17442,72.73
Andhra Pradesh,Prakasam,2023,361766,149590,256,33945,86.67
Andhra Pradesh,Prakasam,2024,314215,97592,12418,24084,96.09
Andhra Pradesh,Prakasam,2025,80695,138400,18308,57792,81.32
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,389099,187227,15458,92448,89.77
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,66216,183726,348,92630,95.56
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,486657,15706,17043,96120,92.83
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,318741,54542,2561,121568,79.66
Andhra Pradesh,Sri Potti Sriramulu Nellore,2019,293725,13830,3938,51582,76.68
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,369753,199346,9698,44027,89.4
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,490742,198687,10115,67802,73.32
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,442343,140139,3869,12130,82.56
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,239307,123780,9616,91982,87.4
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,116873,21402,1007,24772,97.99
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,233051,156930,2302,133349,93.78
Andhra Pradesh,Sri Sathya Sai,2015,116619,32489,15565,49643,72.47
Andhra Pradesh,Sri Sathya Sai,2016,377232,22046,17921,121775,79.01
Andhra Pradesh,Sri Sathya Sai,2017,247573,43446,10100,126658,98.76
Andhra Pradesh,Sri Sathya Sai,2018,365798,69652,9628,96977,74.42
Andhra Pradesh,Sri Sathya Sai,2019,377953,119546,10801,29489,74.8
Andhra Pradesh,Sri Sathya Sai,2020,248876,125488,7260,77225,86.68
Andhra Pradesh,Sri Sathya Sai,2021,456202,79774,16284,19831,97.39
Andhra Pradesh,Sri Sathya Sai,2022,259748,179913,19822,52874,71.18
Andhra Pradesh,Sri Sathya Sai,2023,67983,136054,1487,143838,95.8
Andhra Pradesh,Sri Sathya Sai,2024,442195,165184,12297,1074,82.2
Andhra Pradesh,Sri Sathya Sai,2025,281893,35821,6603,107272,85.9
Andhra Pradesh,Srikakulam,2015,410685,10984,1059,119054,97.17
Andhra Pradesh,Srikakulam,2016,85432,54307,19632,144364,92.76
Andhra Pradesh,Srikakulam,2017,349726,169710,7898,9324,99.4
Andhra Pradesh,Srikakulam,2018,28069,180116,16605,52928,98.43
Andhra Pradesh,Srikakulam,2019,192171,60011,2851,11653,76.23
Andhra Pradesh,Srikakulam,2020,356100,123565,2069,84571,70.11
Andhra Pradesh,Srikakulam,2021,43286,154964,19962,21437,93.25
Andhra Pradesh,Srikakulam,2022,293704,22902,10369,27221,86.18
Andhra Pradesh,Srikakulam,2023,348713,33019,7039,100746,85.15
Andhra Pradesh,Srikakulam,2024,448068,149324,14814,41212,76.57
Andhra Pradesh,Srikakulam,2025,224528,72867,652,112912,86.18
Andhra Pradesh,Tirupati,2015,304368,25275,3756,62850,78.3
Andhra Pradesh,Tirupati,2016,462674,74910,7260,80563,89.25
Andhra Pradesh,Tirupati,2017,237180,60007,4098,136715,97.22
Andhra Pradesh,Tirupati,2018,63285,38721,1941,82987,90.49
Andhra Pradesh,Tirupati,2019,230222,58667,12117,115837,77.19
Andhra Pradesh,Tirupati,2020,58994,83808,14877,128085,86.75
Andhra Pradesh,Tirupati,2021,487647,3415,5275,41543,78.83
Andhra Pradesh,Tirupati,2022,331856,114863,2123,74836,86.49
Andhra Pradesh,Tirupati,2023,88994,138779,5795,105095,85.53
Andhra Pradesh,Tirupati,2024,52112,7937,5752,112100,78.01
Andhra Pradesh,Tirupati,2025,169987,158501,11396,91416,99.18
Andhra Pradesh,Visakhapatnam,2015,32502,128952,6156,123411,70.45
Andhra Pradesh,Visakhapatnam,2016,363071,155781,3153,142810,72.12
Andhra Pradesh,Visakhapatnam,2017,443294,162628,1325,77721,81.8
Andhra Pradesh,Visakhapatnam,2018,497270,112094,901,115344,99.55
Andhra Pradesh,Visakhapatnam,2019,19113,197074,9972,24433,97.06
Andhra Pradesh,Visakhapatnam,2020,130162,154676,14604,72123,71.08
Andhra Pradesh,Visakhapatnam,2021,129214,145533,6687,67294,87.18
Andhra Pradesh,Visakhapatnam,2022,289951,141179,18507,23946,82.22
Andhra Pradesh,Visakhapatnam,2023,219057,174393,17746,92648,94.97
Andhra Pradesh,Visakhapatnam,2024,209702,47105,7140,139859,79.87
Andhra Pradesh,Visakhapatnam,2025,499710,127835,17123,128571,96.42
Andhra Pradesh,Vizianagaram,2015,134795,12686,2237,59745,97.63
Andhra Pradesh,Vizianagaram,2016,475500,119763,4094,135619,93.33
Andhra Pradesh,Vizianagaram,2017,377419,2872,16755,53006,80.52
Andhra Pradesh,Vizianagaram,2018,256481,20690,5876,60218,78.1
Andhra Pradesh,Vizianagaram,2019,416338,182672,11412,78566,97.99
Andhra Pradesh,Vizianagaram,2020,153071,104222,11033,137745,77.37
Andhra Pradesh,Vizianagaram,2021,448011,39872,18449,146529,88.83
Andhra Pradesh,Vizianagaram,2022,166627,192266,2570,37776,72.57
Andhra Pradesh,Vizianagaram,2023,218858,148117,16720,126402,83.22
Andhra Pradesh,Vizianagaram,2024,436438,150752,16274,92977,73.52
Andhra Pradesh,Vizianagaram,2025,349231,73722,13313,48831,91.07
Andhra Pradesh,West Godavari,2015,447676,73228,7427,22992,72.59
Andhra Pradesh,West Godavari,2016,452434,5674,1918,61269,82.12
Andhra Pradesh,West Godavari,2017,487695,156570,16878,130533,70.75
Andhra Pradesh,West Godavari,2018,242966,133441,6358,130300,93.17
Andhra Pradesh,West Godavari,2019,337750,142102,19732,85374,77.63
Andhra Pradesh,West Godavari,2020,200424,49392,15474,26045,89.99
Andhra Pradesh,West Godavari,2021,400591,68750,76,54481,81.38
Andhra Pradesh,West Godavari,2022,171886,118081,12810,48021,84.57
Andhra Pradesh,West Godavari,2023,169956,160634,10235,137330,97.94
Andhra Pradesh,West Godavari,2024,246974,54367,347,38480,85.82
Andhra Pradesh,West Godavari,2025,184606,89450,391,71802,92.82
Andhra Pradesh,YSR Kadapa,2015,336081,56947,2954,6887,83.02
Andhra Pradesh,YSR Kadapa,2016,231309,37729,444,34607,90.04
Andhra Pradesh,YSR Kadapa,2017,177905,60269,12742,124631,77.95
Andhra Pradesh,YSR Kadapa,2018,154042,144282,18370,40190,86.73
Andhra Pradesh,YSR Kadapa,2019,321068,14775,10965,120884,70.3
Andhra Pradesh,YSR Kadapa,2020,477458,128601,12984,39792,74.2
Andhra Pradesh,YSR Kadapa,2021,114337,161998,7424,133283,90.27
Andhra Pradesh,YSR Kadapa,2022,84920,8512,19716,14762,74.87
Andhra Pradesh,YSR Kadapa,2023,457779,4369,2108,26974,94.77
Andhra Pradesh,YSR Kadapa,2024,126884,29779,9211,97047,76.62
Andhra Pradesh,YSR Kadapa,2025,327998,135657,1941,15090,73.63
Arunachal Pradesh,Tawang,2015,306660,159986,7844,71782,75.25
Arunachal Pradesh,Tawang,2016,279093,166360,10426,37573,78.71
Arunachal Pradesh,Tawang,2017,321932,168084,2159,93416,96.53
Arunachal Pradesh,Tawang,2018,327113,173475,16006,3860,94.8
Arunachal Pradesh,Tawang,2019,119724,124894,12714,29062,75.2
Arunachal Pradesh,Tawang,2020,250098,22855,5374,67016,97.47
Arunachal Pradesh,Tawang,2021,54817,61455,6222,5240,70.67
Arunachal Pradesh,Tawang,2022,234400,27792,18255,103626,94.84
Arunachal Pradesh,Tawang,2023,189573,38236,15938,99349,71.7
Arunachal Pradesh,Tawang,2024,382703,163880,2103,143677,70.93
Arunachal Pradesh,Tawang,2025,433028,56213,19247,44799,84.21
Arunachal Pradesh,West Kameng,2015,453238,167651,13047,7605,88.41
Arunachal Pradesh,West Kameng,2016,461446,27973,10796,124975,89.4
Arunachal Pradesh,West Kameng,2017,64705,177737,18890,31634,70.62
Arunachal Pradesh,West Kameng,2018,287987,148688,15529,137878,87.81
Arunachal Pradesh,West Kameng,2019,293749,57858,3183,75172,95.49
Arunachal Pradesh,West Kameng,2020,470365,14658,19927,135358,79.11
Arunachal Pradesh,West Kameng,2021,191464,195497,216,10277,77.11
Arunachal Pradesh,West Kameng,2022,235475,170217,13553,85027,78.17
Arunachal Pradesh,West Kameng,2023,434289,32335,6883,116810,81.63
Arunachal Pradesh,West Kameng,2024,274057,41031,15123,55253,86.55
Arunachal Pradesh,West Kameng,2025,338086,70379,9921,100133,92.23
Arunachal Pradesh,East Kameng,2015,64409,3611,2504,143911,93.82
Arunachal Pradesh,East Kameng,2016,369169,95242,10182,48838,99.65
Arunachal Pradesh,East Kameng,2017,227557,71377,18975,47430,70.11
Arunachal Pradesh,East Kameng,2018,376528,152508,1458,133089,70.26
Arunachal Pradesh,East Kameng,2019,45927,152977,2977,77209,90.19
Arunachal Pradesh,East Kameng,2020,142625,114689,920,148897,75.96
Arunachal Pradesh,East Kameng,2021,256751,139084,8634,107615,76.21
Arunachal Pradesh,East Kameng,2022,76798,167017,9023,110089,97.68
Arunachal Pradesh,East Kameng,2023,494078,69731,1958,135105,78.18
Arunachal Pradesh,East Kameng,2024,119154,133102,17041,37494,97.86
Arunachal Pradesh,East Kameng,2025,285209,18152,2986,3239,79.15
Arunachal Pradesh,Papum Pare,2015,117767,63751,15242,34014,88.09
Arunachal Pradesh,Papum Pare,2016,402499,175729,7451,60744,86.41
Arunachal Pradesh,Papum Pare,2017,130434,187218,17964,144146,78.61
Arunachal Pradesh,Papum Pare,2018,278871,102259,11949,131450,91.27
Arunachal Pradesh,Papum Pare,2019,26756,189871,8965,107855,96.17
Arunachal Pradesh,Papum Pare,2020,195778,44118,19137,143990,72.59
Arunachal Pradesh,Papum Pare,2021,167480,130636,12128,23771,70.47
Arunachal Pradesh,Papum Pare,2022,159440,177535,13877,87242,98.74
Arunachal Pradesh,Papum Pare,2023,22426,37329,4590,115687,96.89
Arunachal Pradesh,Papum Pare,2024,364562,96249,4428,137104,97.4
Arunachal Pradesh,Papum Pare,2025,137526,173988,18431,142863,89.75
Arunachal Pradesh,Kurung Kumey,2015,490577,36687,16729,30610,99.58
Arunachal Pradesh,Kurung Kumey,2016,262701,2400,14225,19190,80.28
Arunachal Pradesh,Kurung Kumey,2017,152640,136673,12214,103847,77.48
Arunachal Pradesh,Kurung Kumey,2018,345046,92170,18557,31484,88.78
Arunachal Pradesh,Kurung Kumey,2019,366852,141767,1848,147598,89.18
Arunachal Pradesh,Kurung Kumey,2020,345049,51496,1338,43421,92.12
Arunachal Pradesh,Kurung Kumey,2021,456537,194438,5048,107100,85.36
Arunachal Pradesh,Kurung Kumey,2022,450576,9793,11939,34700,79.61
Arunachal Pradesh,Kurung Kumey,2023,7295,167758,10914,110412,73.58
Arunachal Pradesh,Kurung Kumey,2024,109204,76893,9385,125020,89.63
Arunachal Pradesh,Kurung Kumey,2025,234158,104666,15585,14062,78.79
Arunachal Pradesh,Kra Daadi,2015,375035,86770,3173,112532,81.8
Arunachal Pradesh,Kra Daadi,2016,43578,23776,17603,359,78.47
Arunachal Pradesh,Kra Daadi,2017,211464,157968,16726,98868,89.61
Arunachal Pradesh,Kra Daadi,2018,202700,3402,7610,27261,94.07
Arunachal Pradesh,Kra Daadi,2019,339387,36688,8816,134579,96.23
Arunachal Pradesh,Kra Daadi,2020,168477,133840,6157,96174,78.35
Arunachal Pradesh,Kra Daadi,2021,445446,78748,5810,28130,95.66
Arunachal Pradesh,Kra Daadi,2022,444854,180014,13968,82240,73.7
Arunachal Pradesh,Kra Daadi,2023,136521,179591,16122,99205,87.85
Arunachal Pradesh,Kra Daadi,2024,410589,14534,7100,138913,84.75
Arunachal Pradesh,Kra Daadi,2025,481479,104518,15864,126848,89.99
Arunachal Pradesh,Lower Subansiri,2015,144029,35303,11251,100717,91.55
Arunachal Pradesh,Lower Subansiri,2016,147119,171764,19667,18727,84.8
Arunachal Pradesh,Lower Subansiri,2017,112139,190367,17134,110933,95.71
Arunachal Pradesh,Lower Subansiri,2018,118636,128091,2205,141935,91.77
Arunachal Pradesh,Lower Subansiri,2019,77964,65982,15096,133314,78.39
Arunachal Pradesh,Lower Subansiri,2020,289977,152401,19851,97188,95.9
Arunachal Pradesh,Lower Subansiri,2021,329512,5372,2245,23127,80.89
Arunachal Pradesh,Lower Subansiri,2022,399805,7892,14470,6968,73.35
Arunachal Pradesh,Lower Subansiri,2023,357336,141119,14831,49578,93.91
Arunachal Pradesh,Lower Subansiri,2024,140158,154912,4628,115902,91.13
Arunachal Pradesh,Lower Subansiri,2025,296207,670,2314,119838,99.48
Arunachal Pradesh,Upper Subansiri,2015,413737,82717,6744,148583,82.77
Arunachal Pradesh,Upper Subansiri,2016,426678,92874,9106,4913,86.04
Arunachal Pradesh,Upper Subansiri,2017,148160,36318,15246,91089,77.64
Arunachal Pradesh,Upper Subansiri,2018,125274,109974,3437,14538,74.63
Arunachal Pradesh,Upper Subansiri,2019,271707,129290,4013,100253,86.0
Arunachal Pradesh,Upper Subansiri,2020,35406,175423,4813,91344,73.48
Arunachal Pradesh,Upper Subansiri,2021,11388,86422,12244,83920,85.81
Arunachal Pradesh,Upper Subansiri,2022,178241,19345,6718,93785,97.5
Arunachal Pradesh,Upper Subansiri,2023,425875,13804,7258,41597,96.22
Arunachal Pradesh,Upper Subansiri,2024,40946,132218,15950,148148,71.62
Arunachal Pradesh,Upper Subansiri,2025,179974,59282,7146,17621,78.01
Arunachal Pradesh,West Siang,2015,375314,121224,1296,88393,75.8
Arunachal Pradesh,West Siang,2016,229475,80174,12053,68904,74.82
